t,v,a_int,T_oil,dv_dt,dv_dt_noisy
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930000000000000000e+02,5.000000000000000000e+00,5.009452669089676569e+00
2.000400080016003206e-03,9.874274304935426461e-03,4.924736591613759762e-02,2.930000001308100082e+02,4.875675692547077666e+00,4.849538270473040313e+00
4.000800160032006413e-03,1.951817826061521752e-02,9.709876905705810968e-02,2.930000010275138038e+02,4.768786197307375296e+00,4.748133020137780491e+00
6.001200240048009185e-03,2.896190987752447071e-02,1.437105318368863960e-01,2.930000034090087411e+02,4.674949324293369735e+00,4.552875955161376886e+00
8.001600320064012825e-03,3.822841871375297351e-02,1.892021875955114396e-01,2.930000079513509945e+02,4.591191918308870967e+00,4.681177287444915791e+00
1.000200040008001647e-02,4.733566190310674326e-02,2.336678929122829318e-01,2.930000152946440721e+02,4.515417801436666601e+00,4.572626095038527794e+00
1.200240048009601837e-02,5.629800089823743664e-02,2.771835021264680843e-01,2.930000260479220060e+02,4.446102082606883776e+00,4.429830940763492819e+00
1.400280056011202201e-02,6.512717101171450196e-02,3.198114810662622265e-01,2.930000407930674555e+02,4.382105776261232322e+00,4.420796105597615266e+00
1.600320064012802565e-02,7.383289139106899435e-02,3.616040043971041618e-01,2.930000600875332566e+02,4.322559192141298468e+00,4.336619725631180700e+00
1.800360072014402929e-02,8.242337696486799758e-02,4.026055548944404983e-01,2.930000844670294669e+02,4.266785083483868313e+00,4.239093941662665621e+00
2.000400080016003293e-02,9.090560795994814813e-02,4.428542940147430218e-01,2.930001144470763847e+02,4.214247524624971319e+00,4.263125897181272883e+00
2.200440088017603657e-02,9.928560411408952902e-02,4.823834588134633394e-01,2.930001505246871716e+02,4.164516014145031697e+00,4.148988186812074375e+00
2.400480096019203674e-02,1.075686363359941722e-01,5.212224382304557757e-01,2.930001931800179591e+02,4.117240055779883612e+00,4.100798860576985838e+00
2.600520104020804038e-02,1.157593130446007285e-01,5.593972135645983723e-01,2.930002428770802112e+02,4.072131231714338995e+00,4.032523893946393656e+00
2.800560112022404402e-02,1.238617071611383263e-01,5.969310077704478301e-01,2.930003000646695455e+02,4.028949650998447929e+00,4.051697554560490744e+00
3.000600120024004766e-02,1.318794736875700813e-01,6.338448847354863913e-01,2.930003651776982565e+02,3.987493739192189413e+00,3.982533836606319877e+00
3.200640128025605130e-02,1.398159049896733341e-01,6.701580311469559348e-01,2.930004386378295180e+02,3.947592708070426504e+00,3.974857143768660617e+00
3.400680136027205147e-02,1.476739531208334788e-01,7.058878708902542876e-01,2.930005208537785961e+02,3.909100872596433796e+00,3.878741587602902108e+00
3.600720144028805858e-02,1.554563043340606854e-01,7.410504471532561865e-01,2.930006122220775637e+02,3.871892940525404114e+00,3.878234332880997393e+00
