dP,R,mu,L,Q,Q_noisy
5.606394622302310745e+04,5.624449319442700705e-03,3.074566515971649452e-03,1.808431520043390694e+00,4.844830449307865709e-03,5.190414641372652002e-03
9.554173266933417472e+04,1.600031802686081861e-02,6.408569287439411059e-04,1.227933950668105290e+00,1.337181099372729276e-01,1.345397280807740792e-01
2.297436514476703451e+04,6.348024676939418437e-03,1.153830025168960886e-03,1.662945846682680973e+00,6.216082197505560028e-03,6.546519273688947149e-03
9.537845024235194433e+04,6.632927476109896567e-03,4.209667040047146425e-03,1.243822445856331615e+00,1.762553218405543340e-02,1.632237495245107348e-02
3.806483068094369082e+04,1.455754189259363118e-02,2.021344816895511310e-03,5.622603346865111540e-01,3.342370287960892417e-01,3.351423846627623604e-01
4.809938040753181122e+04,1.768973676844171755e-02,3.581927116392244741e-03,1.896406389502536483e+00,2.017699387669659450e-01,2.022163133393299617e-01
8.449323344383975200e+04,8.868022510415319096e-03,2.018105388920951506e-03,1.630072588781531495e+00,5.106508838062435301e-02,5.052813514526406646e-02
4.682792227322451799e+04,1.259286654614862402e-02,8.398601647802857693e-04,9.963653449470553092e-01,2.113476929496723444e-01,2.119288110538687098e-01
5.946343189057535346e+04,1.650009577245399595e-02,1.247430326210881985e-03,1.901919963100142663e+00,3.205858904658671071e-01,3.209504628620531985e-01
1.248032019187615333e+04,7.775463278888465959e-03,6.214136977722424602e-04,1.159568402319948843e+00,1.505049424503591970e-02,1.534462674169144621e-02
7.781617978073259292e+04,1.118441758583904426e-02,2.231407307088427092e-03,6.519016098393707326e-01,2.300150401485921980e-01,2.300434623899079989e-01
5.843289818973503861e+04,1.389363093343631839e-02,1.382644055995056829e-03,5.837296830780532853e-01,3.098493961168249933e-01,3.103961091034374564e-01
3.967585448491829447e+04,1.681092345312734312e-02,4.040879289382734614e-03,9.974410080769471332e-01,2.488679843907535549e-01,2.481315303037519016e-01
8.095858330855639360e+04,1.360146385643459105e-02,7.404873383678816333e-04,1.062277125402861122e+00,2.339480049899469727e-01,2.337850950419539109e-01
3.728753463624804863e+04,7.191716984963815278e-03,3.717882657450716308e-03,1.233394186187202868e+00,9.474555794089036670e-03,8.992436481409057936e-03
5.081481005325863225e+04,1.745702224053251317e-02,3.521425864158338106e-03,6.075129150145095469e-01,4.837623327801982565e-01,4.843611789928328748e-01
2.206375275224482903e+04,1.716652318602252328e-02,2.711652524651330786e-03,1.540548580348070518e+00,1.177013507260942782e-01,1.177410728335759327e-01
4.628016878024162725e+04,1.584387702214218319e-02,2.624224373663867297e-03,1.293321071239815545e+00,2.344125984724509115e-01,2.341201417214858194e-01
2.831097166085346544e+04,1.599496097325292868e-02,1.314744531277998226e-03,1.494322091667365404e+00,1.834874098135219067e-01,1.827055013511650616e-01
3.360820063976645179e+04,1.183634754253704881e-02,1.981748446949691857e-03,7.133365488967415846e-01,1.285919633938909512e-01,1.283347711532720758e-01
