lam,h,c,c_noisy
7.141229178590609017e-01,4.169819862720000603e-01,1.117391099887559802e+00,1.137800291101411565e+00
1.092026266490249142e+00,6.483666164477949190e-01,1.385084133766022685e+00,1.359527483452880769e+00
2.503186163015992172e+00,9.852402782649563040e-01,2.088699625251224656e+00,2.092880613718482330e+00
1.955405090160919457e+00,5.569034848344233124e-01,1.762871658104689043e+00,1.757193962043409829e+00
7.353216056009979074e-01,3.077982406529699011e-01,1.128836596056817632e+00,1.124310103135713224e+00
1.582817350591184447e+00,6.896721898466444678e-01,1.663786979902488472e+00,1.661631008271590826e+00
1.697628245352085008e+00,9.450298442569406987e-01,1.729737701431703467e+00,1.709537840140231024e+00
8.993472865926963600e-01,6.854182566867720316e-01,1.256358032647351131e+00,1.254038708870909291e+00
2.336442878523036448e+00,9.642023095100161756e-01,2.021021663106334021e+00,2.012369532343584400e+00
7.841800498035085276e-01,4.841854028232310814e-01,1.171826926354969434e+00,1.205056921521418190e+00
1.478070476239154996e+00,9.540816856920603106e-02,9.153616628073214523e-01,9.176195289396006372e-01
1.791850456553409243e+00,5.118930570364678412e-02,7.130384770383358939e-01,7.095121690949199866e-01
1.576570051035444564e+00,2.357108556470322025e-01,1.039782954592736397e+00,1.036970080411222961e+00
1.966996428595351842e+00,7.294397054695657134e-01,1.844999450274716679e+00,1.838318986813627154e+00
2.344594468230400519e+00,5.321250404724337663e-02,7.275618014033985448e-01,7.170102958913473490e-01
2.890668137090246503e+00,1.724606583280178518e-01,1.234141717620774514e+00,1.230233707848428004e+00
1.210502909371978575e+00,5.147678356409028932e-01,1.452478364539071753e+00,1.457297818424139635e+00
2.121368017699562625e+00,3.744151066282009888e-01,1.272933597302373876e+00,1.270548061236640214e+00
2.240539991675388531e+00,7.766559254404581392e-01,1.960894442515664471e+00,1.970472029545262016e+00
1.231801872531217867e+00,4.533844714811228194e-01,1.457089087360059487e+00,1.455091066069393646e+00
5.037252087720904825e-01,2.105580196774132773e-01,9.322495956139364992e-01,9.324921912647031741e-01
2.933650686916031702e+00,9.808865282921597206e-01,2.237417871784153078e+00,2.252876080296281280e+00
1.246003057542189207e+00,2.890183545588773661e-01,1.239872326465937924e+00,1.245323381692814424e+00
1.284965005085842105e+00,9.428894153344472562e-01,1.504408806264030840e+00,1.499356518907890568e+00
2.729277676112892959e+00,7.317222210810659933e-01,2.026859477335996029e+00,2.025031087590018597e+00
1.962907349727270212e+00,9.153016551126655909e-01,1.857039839591569486e+00,1.862445090909117473e+00
1.678274162954578319e+00,9.934561780039650181e-01,1.720388942166570123e+00,1.739739822507558653e+00
2.433192524122040901e+00,8.520665163968478284e-01,2.045588998057929597e+00,2.042892794784510357e+00
5.758650191561780485e-01,7.143506769492650177e-01,1.002707792550247223e+00,1.000272205759456190e+00
2.267412739139058608e+00,1.375694693764046295e-01,1.103019900915354512e+00,1.113043036928111462e+00
1.435609583696177083e+00,5.744460397123745538e-02,7.480352609971736566e-01,7.391706615655677659e-01
7.271317837606445789e-01,5.909057953842501432e-01,1.128344080311188158e+00,1.125426877986789531e+00
2.151250168569736942e+00,9.437309594702171234e-01,1.942154239999748011e+00,1.950979629674312932e+00
2.828659636853386061e+00,9.564891596902218573e-01,2.199471517763678108e+00,2.205275017925587111e+00
1.017977920202503217e+00,5.987137672402229605e-01,1.336767003177935731e+00,1.337682170210759303e+00
2.075225499463357437e+00,2.726006281164949918e-01,1.176302384666477074e+00,1.183003428214761898e+00
1.245407726643561919e+00,7.358795579421165689e-01,1.480065851310681690e+00,1.451784228242243957e+00
2.354391700173326107e+00,9.433968707299633660e-01,2.026718731032959742e+00,2.036931799207960747e+00
2.305412020355293912e+00,9.680090148778899284e-01,2.008569960987078851e+00,1.998973513388997425e+00
1.046788561422011377e+00,5.954829165113973560e-02,7.422830976530250258e-01,7.255968992264653084e-01
2.574717185685780674e+00,2.809274347146778483e-01,1.310493978271151105e+00,1.313258435866361040e+00
2.144130527183107926e+00,4.025729062871065134e-01,1.335976038484920414e+00,1.342981487338414270e+00
2.206997269650875726e+00,3.819784835976478554e-01,1.282625455067813558e+00,1.278177780510985739e+00
2.550189375426337612e+00,2.204038543492690128e-01,1.281159215693853159e+00,1.270395157292845134e+00
1.571432260746154830e+00,6.208806496020040644e-01,1.652647823860447840e+00,1.652909072195788198e+00
2.396763652887297535e+00,5.851331706255424869e-01,1.785753820747248977e+00,1.785226347664820246e+00
2.696200461665634762e+00,7.278639629731378236e-01,2.021873048106027859e+00,2.035929029766208931e+00
7.557998048051859374e-01,3.220672570437617122e-01,1.145163227687098217e+00,1.152637307561891644e+00
2.624420843665384417e+00,2.411342148101758842e-01,1.310099032810492226e+00,1.312037189273138393e+00
1.484818331580837869e+00,8.189087180059143600e-01,1.616683942064244706e+00,1.627800274116484536e+00
1.699209808780687503e+00,3.494366318002914418e-01,1.292083785202775115e+00,1.290028554703717134e+00
8.658364243954961292e-01,2.564188593000507055e-01,1.186502846462863747e+00,1.177243850726380048e+00
2.246065862367733867e+00,7.300708752256309664e-01,1.949792881613753970e+00,1.955633464724006343e+00
1.229946539969627661e+00,2.430022847225085103e-01,1.066867803931349057e+00,1.072693188117906038e+00
2.677847874483972657e+00,2.709813284495540819e-01,1.333354889410024224e+00,1.331206600298755705e+00
1.188435942370192677e+00,4.814545823742255592e-01,1.436934809127955237e+00,1.429106723348315677e+00
1.904524296827224905e+00,1.588204776569248355e-01,1.105391745514540780e+00,1.107683284566673310e+00
1.499140552826131900e+00,3.245560310894625711e-01,1.275559258043986066e+00,1.250620315259406201e+00
2.032273729756097769e+00,9.321885031924428411e-01,1.889201338955737164e+00,1.896102586657365308e+00
9.915980994303092988e-01,3.874140224225522400e-01,1.309780631119091820e+00,1.314694313726541663e+00
9.507188521077378773e-01,1.093498043996532637e-01,8.138442552054342416e-01,7.974556837665293108e-01
2.367150964124594914e+00,8.074005168012035050e-01,2.012924890977053849e+00,2.013538426075435428e+00
2.380558545923193492e+00,4.314338425896812601e-01,1.368759869916917671e+00,1.359118873281505158e+00
1.917444686132280696e+00,9.779292255177552962e-01,1.837704294082115553e+00,1.845276504529697048e+00
2.802699193207324857e+00,7.159828749241704537e-01,1.994921041851238641e+00,1.974579369116804317e+00
1.014437620572547161e+00,3.661697688662578498e-01,1.319804593584240182e+00,1.310659648204294259e+00
2.627252811479128702e+00,8.964785582130667674e-01,2.121250247681076395e+00,2.128346047558497212e+00
9.224682783177156065e-01,1.386849319581298645e-01,8.090281796448024476e-01,8.205921901291239884e-01
