t,A,S,dA_dt,dA_dt_noisy
0.000000000000000000e+00,5.000000000000000104e-03,0.000000000000000000e+00,4.597449225286398024e-03,8.053291145934258349e-03
8.001600320064012825e-03,5.036925429612681623e-03,2.011175063371549756e-07,4.632106965062954447e-03,1.284828840007453885e-02
1.600320064012802565e-02,5.074129261742880981e-03,4.044137483277284788e-07,4.667036187190781379e-03,7.971406949024652591e-03
2.400480096019203674e-02,5.111613683805265110e-03,6.099249396844963452e-07,4.702239169409419203e-03,-8.329333146634190430e-03
3.200640128025605130e-02,5.149380893269479495e-03,8.176874861873562212e-07,4.737718202783985921e-03,1.379127686951516288e-02
4.000800160032006586e-02,5.187433104295294597e-03,1.027738275103973459e-06,4.773475597990698739e-03,9.237221321630812582e-03
4.800960192038407348e-02,5.225772550921182862e-03,1.240114807144311781e-06,4.809513688374595676e-03,-5.600186652282559616e-04
5.601120224044808804e-02,5.264401487064317847e-03,1.454855196460631693e-06,4.845834830015374392e-03,1.065701587197890460e-02
6.401280256051210260e-02,5.303322186520575965e-03,1.671998170647490377e-06,4.882441401793977814e-03,8.528165363654735542e-03
7.201440288057611716e-02,5.342536942964536475e-03,1.891583070741743808e-06,4.919335805459935235e-03,7.860660772015195044e-03
8.001600320064013172e-02,5.382048069949478888e-03,2.113649851222544003e-06,4.956520465699458880e-03,5.240742878857426561e-03
8.801760352070414628e-02,5.421857900907387298e-03,2.338239080011340716e-06,4.993997830204308097e-03,1.046112769632877651e-02
9.601920384076814696e-02,5.461968789148945180e-03,2.565391938471880163e-06,5.031770369741411612e-03,-2.332770500275257487e-03
1.040208041608321615e-01,5.502383107863539728e-03,2.795150221410209261e-06,5.069840578223280825e-03,3.440741098292753042e-03
1.120224044808961761e-01,5.543103250119260118e-03,3.027556337074667159e-06,5.108210972779188112e-03,2.870178459794051062e-04
1.200240048009601906e-01,5.584131628862898378e-03,3.262653307155893279e-06,5.146884093827134438e-03,1.113534622017340985e-02
1.280256051210242052e-01,5.625470676919945914e-03,3.500484766786823509e-06,5.185862505146606252e-03,5.583083579963196361e-03
1.360272054410882059e-01,5.667122846994599589e-03,3.741094964542693167e-06,5.225148793952135579e-03,2.300581284301249536e-03
1.440288057611522343e-01,5.709090611669756510e-03,3.984528762441031918e-06,5.264745570967643319e-03,-2.554339052600777989e-03
1.520304060812162350e-01,5.751376465057936489e-03,4.230831724333828914e-06,5.304655472059569520e-03,2.732733065870862361e-03
1.600320064012802634e-01,5.793982931259039973e-03,4.480050593166543961e-06,5.344881166299377158e-03,5.426302971482812633e-03
1.680336067213442641e-01,5.836912544370918658e-03,4.732232240213305174e-06,5.385425337179710475e-03,2.629396284186006315e-03
1.760352070414082926e-01,5.880167858939861457e-03,4.987424187220019835e-06,5.426290692548789429e-03,1.836692883653086306e-02
1.840368073614722932e-01,5.923751452835771154e-03,5.245674756748873616e-06,5.467479967406663373e-03,1.553472312046460732e-02
