Ar,M,M_noisy
1.020000000000000018e+00,6.637347117048942868e-01,6.647714642810886865e-01
1.020396079215843077e+00,6.635508760254066329e-01,6.660157304559101155e-01
1.020792158431686358e+00,6.635070784729834026e-01,6.644983897015335206e-01
1.021188237647529418e+00,6.634165932524573872e-01,6.595071215576443491e-01
1.021584316863372699e+00,6.633261091884867788e-01,6.660421767885060795e-01
1.021980396079215758e+00,6.632823271587063862e-01,6.646214508757983808e-01
1.022376475295059040e+00,6.631918741780881144e-01,6.615810144720072339e-01
1.022772554510902099e+00,6.631481072452810599e-01,6.648914615578701559e-01
1.023168633726745380e+00,6.630576855723562257e-01,6.641514027609144444e-01
1.023564712942588439e+00,6.629672653364520052e-01,6.638496628264185517e-01
1.023960792158431721e+00,6.629235143272373953e-01,6.630087810511847701e-01
1.024356871374274780e+00,6.628331257241881769e-01,6.644732646840255663e-01
1.024752950590118061e+00,6.627893900784165293e-01,6.605800278174115414e-01
1.025149029805961121e+00,6.626990333346312045e-01,6.622103034906520191e-01
1.025545109021804402e+00,6.626086783113751544e-01,6.611623203733352216e-01
1.025941188237647461e+00,6.625649589941606799e-01,6.643614976320645349e-01
1.026337267453490742e+00,6.624746361585269749e-01,6.625938024809719940e-01
1.026733346669333802e+00,6.624309324737771565e-01,6.615535622208819078e-01
1.027129425885177083e+00,6.623406420542584661e-01,6.599949166671879031e-01
1.027525505101020142e+00,6.622503536418465897e-01,6.614787769199900191e-01
1.027921584316863424e+00,6.622066666946665459e-01,6.622310932362215352e-01
1.028317663532706483e+00,6.621164110299503358e-01,6.612896023140522050e-01
1.028713742748549764e+00,6.620727399868285845e-01,6.659549314300231559e-01
1.029109821964392824e+00,6.619825173004003638e-01,6.650026902463177514e-01
1.029505901180236105e+00,6.618922969107505772e-01,6.537588094738526756e-01
1.029901980396079164e+00,6.618486430182910496e-01,6.561816032803879928e-01
1.030298059611922445e+00,6.617584559417575285e-01,6.612341396655920800e-01
1.030694138827765505e+00,6.617148182275423007e-01,6.604482469928132371e-01
1.031090218043608786e+00,6.616246646968326761e-01,6.622655936893284689e-01
1.031486297259451845e+00,6.615345137556930544e-01,6.621864795487607536e-01
1.031882376475295127e+00,6.614908936093447656e-01,6.678444098744978907e-01
1.032278455691138186e+00,6.614007765521306981e-01,6.580647142640538849e-01
1.032674534906981467e+00,6.613571728608247380e-01,6.602243578394437762e-01
1.033070614122824527e+00,6.612670899223752619e-01,6.673954047448522608e-01
1.033466693338667808e+00,6.611770098694326192e-01,6.631171188580381459e-01
1.033862772554510867e+00,6.611334241673429979e-01,6.631226142844718341e-01
1.034258851770354148e+00,6.610433785745655211e-01,6.595013594595031670e-01
1.034654930986197208e+00,6.609998096069487072e-01,6.560555840943816941e-01
1.035051010202040489e+00,6.609097987113226047e-01,6.614121929439907843e-01
1.035447089417883548e+00,6.608197910003115183e-01,6.611468332637762124e-01
1.035843168633726830e+00,6.607762404474377682e-01,6.570941842847040082e-01
1.036239247849569889e+00,6.606862677783033044e-01,6.586365877929616364e-01
1.036635327065413170e+00,6.606427342419853854e-01,6.604266032028036637e-01
1.037031406281256229e+00,6.605527968538774664e-01,6.577185419846951486e-01
1.037427485497099511e+00,6.604628629526895223e-01,6.601680530491328414e-01
1.037823564712942570e+00,6.604193482608516907e-01,6.607057973432600706e-01
1.038219643928785851e+00,6.603294499887657487e-01,6.604362086999322479e-01
