t,C,Q,dC_dt,dC_dt_noisy
1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,-3.859999999999999876e+00,-3.853088316158704174e+00
1.003800760152030458e+00,2.985385352016189042e+00,6.811552105121054888e-04,-3.830437126615961585e+00,-3.814004763745938220e+00
1.007601520304060916e+00,2.970882435160072887e+00,1.356388495453773532e-03,-3.801204873295485509e+00,-3.794596131771817760e+00
1.011402280456091152e+00,2.956490001917029709e+00,2.025761186618075648e-03,-3.772298310841931457e+00,-3.798361455474018822e+00
1.015203040608121610e+00,2.942206824864803671e+00,2.689333736823354849e-03,-3.743712603880506862e+00,-3.725605486547044709e+00
1.019003800760152068e+00,2.928031693950338799e+00,3.347165831222020937e-03,-3.715443005650319819e+00,-3.706515514203039707e+00
1.022804560912182525e+00,2.913963416335698664e+00,3.999316393640718267e-03,-3.687484856266133981e+00,-3.698223920973339851e+00
1.026605321064212761e+00,2.900000816398067727e+00,4.645843586580260254e-03,-3.659833581219968046e+00,-3.648211219136041183e+00
1.030406081216243219e+00,2.886142735729749997e+00,5.286804811215765551e-03,-3.632484689916370968e+00,-3.625193241992649362e+00
1.034206841368273677e+00,2.872388033138170815e+00,5.922256707396445982e-03,-3.605433774240515810e+00,-3.599551124307405203e+00
1.038007601520304135e+00,2.858735584645875960e+00,6.552255153645746184e-03,-3.578676507158245368e+00,-3.578108062331929240e+00
1.041808361672334371e+00,2.845184283150499649e+00,7.176855280847754120e-03,-3.552208640905673676e+00,-3.541274381173424857e+00
1.045609121824364829e+00,2.831733035527055353e+00,7.796111586997118113e-03,-3.526026001902371920e+00,-3.540755083642405321e+00
1.049409881976395287e+00,2.818380766443875807e+00,8.410077781909150452e-03,-3.500124494425021382e+00,-3.503382693384882618e+00
1.053210642128425745e+00,2.805126415841568743e+00,9.018806891952609733e-03,-3.474500096067334454e+00,-3.484142482320934153e+00
1.057011402280456203e+00,2.791968938073674522e+00,9.622351295001885241e-03,-3.449148855412598635e+00,-3.437171931159906269e+00
1.060812162432486438e+00,2.778907301906665683e+00,1.022076272043694403e-02,-3.424066890851369394e+00,-3.423272448701736081e+00
1.064612922584516896e+00,2.765940490519946504e+00,1.081409224914349661e-02,-3.399250389424900209e+00,-3.405099524444202164e+00
1.068413682736547354e+00,2.753067501505854775e+00,1.140239031351276272e-02,-3.374695605693654343e+00,-3.390333774940791134e+00
