t,k,L,dk_dt,dk_dt_noisy
0.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e-01,-4.309694750355694026e+01,-4.309003581971564500e+01
1.000200040008001603e-03,7.957085524068411075e+00,5.001413479936530626e-01,-4.271562006913006826e+01,-4.269918770626004800e+01
2.000400080016003206e-03,7.914550117167591381e+00,5.002823174761268366e-01,-4.233894953027120778e+01,-4.233234078874753692e+01
3.000600120024004593e-03,7.872389157845786301e+00,5.004229107572857327e-01,-4.196686367518309169e+01,-4.199292681981518172e+01
4.000800160032006413e-03,7.830598095396794633e+00,5.005631301254410692e-01,-4.159929163953481890e+01,-4.158118452220135453e+01
5.001000200040008233e-03,7.789172449819228738e+00,5.007029778473632842e-01,-4.123616388784240883e+01,-4.122723639639512783e+01
6.001200240048009185e-03,7.748107798969831705e+00,5.008424561721255275e-01,-4.087741208680601801e+01,-4.088815115151322033e+01
7.001400280056011005e-03,7.707399801947299345e+00,5.009815673239126355e-01,-4.052296928654554620e+01,-4.051134692446161978e+01
8.001600320064012825e-03,7.667044193857493362e+00,5.011203135030275480e-01,-4.017276985766572750e+01,-4.016547840974200767e+01
9.001800360072014645e-03,7.627036769231833269e+00,5.012586968907402074e-01,-3.982674933444756249e+01,-3.982086668451444922e+01
1.000200040008001647e-02,7.587373382027293722e+00,5.013967196492875589e-01,-3.948484439946206237e+01,-3.948427595463574846e+01
1.100220044008801829e-02,7.548049945626408075e+00,5.015343839218735500e-01,-3.914699286840124159e+01,-3.913605860866898922e+01
1.200240048009601837e-02,7.509062432837267487e+00,5.016716918326691310e-01,-3.881313367512351675e+01,-3.882786275686355282e+01
1.300260052010402019e-02,7.470406875893519150e+00,5.018086454868124768e-01,-3.848320685691064114e+01,-3.848646505587050370e+01
1.400280056011202201e-02,7.432079366454366287e+00,5.019452469704082098e-01,-3.815715353993339676e+01,-3.816679592618699957e+01
1.500300060012002383e-02,7.394076055604571707e+00,5.020814983505286211e-01,-3.783491592492309508e+01,-3.782293900067040227e+01
1.600320064012802565e-02,7.356393153854454248e+00,5.022174016752124492e-01,-3.751643727304619347e+01,-3.751564283089656016e+01
1.700340068013602574e-02,7.319026931139888781e+00,5.023529589734658796e-01,-3.720166189197929185e+01,-3.720751102699859558e+01
1.800360072014402929e-02,7.281973716822308873e+00,5.024881722552617669e-01,-3.689053512218161046e+01,-3.690617329142875036e+01
1.900380076015202938e-02,7.245229891160985147e+00,5.026230435132720276e-01,-3.658300325434738198e+01,-3.658814709915976238e+01
2.000400080016003293e-02,7.208791872378593091e+00,5.027575747244483750e-01,-3.627901341292485426e+01,-3.627885056931448560e+01
2.100420084016803302e-02,7.172656153207602081e+00,5.028917678426418902e-01,-3.597851383960188087e+01,-3.598402589770786619e+01
2.200440088017603657e-02,7.136819275087903591e+00,5.030256248050762879e-01,-3.568145367144413882e+01,-3.565557239515617738e+01
2.300460092018403666e-02,7.101277826050062636e+00,5.031591475328215379e-01,-3.538778291255963637e+01,-3.536764842625352401e+01
2.400480096019203674e-02,7.066028440715316883e+00,5.032923379307941980e-01,-3.509745242310443558e+01,-3.515167567268375848e+01
2.500500100020004030e-02,7.031067800295574877e+00,5.034251978877568590e-01,-3.481041390843742533e+01,-3.484819417335678082e+01
2.600520104020804038e-02,6.996392632593418703e+00,5.035577292763185886e-01,-3.452661990842225492e+01,-3.453011535026335821e+01
2.700540108021604394e-02,6.961999712002103990e+00,5.036899339529348207e-01,-3.424602378687460202e+01,-3.425446759510612793e+01
2.800560112022404402e-02,6.927885859505556354e+00,5.038218137579073552e-01,-3.396857972115284952e+01,-3.396430686120287845e+01
2.900580116023204758e-02,6.894047942678375840e+00,5.039533705153842469e-01,-3.369424269189018162e+01,-3.368989625326972970e+01
3.000600120024004766e-02,6.860482875685833370e+00,5.040846060333599166e-01,-3.342296847286660011e+01,-3.338061169776558046e+01
3.100620124024805122e-02,6.827187619283873410e+00,5.042155221036751511e-01,-3.315471362101855135e+01,-3.317695403627239870e+01
3.200640128025605130e-02,6.794159180819111299e+00,5.043461205020168814e-01,-3.288943546658475015e+01,-3.289698756672729019e+01
3.300660132026405486e-02,6.761394600087260898e+00,5.044764029910240311e-01,-3.262709199391755988e+01,-3.258623656176771277e+01
3.400680136027205147e-02,6.728890956618386099e+00,5.046063713174797627e-01,-3.236764188989869240e+01,-3.235470782997465733e+01
3.500700140028005503e-02,6.696645385396791994e+00,5.047360272095162692e-01,-3.211104465616689652e+01,-3.209778338871937109e+01
3.600720144028805858e-02,6.664655058057336490e+00,5.048653723815299532e-01,-3.185726045444544852e+01,-3.186754058187919725e+01
3.700740148029606214e-02,6.632917182823569568e+00,5.049944085341959710e-01,-3.160625009802809871e+01,-3.163921160144521139e+01
3.800760152030405875e-02,6.601429004507728848e+00,5.051231373544681214e-01,-3.135797504385014278e+01,-3.135462574896568810e+01
3.900780156031206231e-02,6.570187804510738694e+00,5.052515605155790679e-01,-3.111239738466251836e+01,-3.111021710290608766e+01
4.000800160032006586e-02,6.539190900822216435e+00,5.053796796770401167e-01,-3.086947984130810241e+01,-3.089402688239299266e+01
4.100820164032806248e-02,6.508435648020463482e+00,5.055074964846414387e-01,-3.062918575509840480e+01,-3.064285028833401725e+01
4.200840168033606603e-02,6.477919437272474212e+00,5.056350125704519582e-01,-3.039147908029001499e+01,-3.039291995388455803e+01
4.300860172034406959e-02,6.447639696333929749e+00,5.057622295528193535e-01,-3.015632437665898991e+01,-3.017521940912020639e+01
4.400880176035207314e-02,6.417593889549200625e+00,5.058891490363700560e-01,-2.992368680217236232e+01,-2.992565220152940597e+01
4.500900180036006976e-02,6.387779517851345013e+00,5.060157726120092514e-01,-2.969353210575533808e+01,-2.969162244520594740e+01
4.600920184036807331e-02,6.358194118762111380e+00,5.061421018569209895e-01,-2.946582662015301679e+01,-2.946511489541190798e+01
4.700940188037607687e-02,6.328835261728739781e+00,5.062681383357159337e-01,-2.924053722029422531e+01,-2.925066305346051010e+01
4.800960192038407348e-02,6.299700536041105359e+00,5.063938836026674606e-01,-2.901763122753841984e+01,-2.900575626610270419e+01
4.900980196039207704e-02,6.270787579908101428e+00,5.065193391943867418e-01,-2.879707661906301297e+01,-2.877925327997736815e+01
5.001000200040008059e-02,6.242094062697035817e+00,5.066445066351809023e-01,-2.857884188908039746e+01,-2.857242492298906456e+01
5.101020204040808415e-02,6.213617682496646921e+00,5.067693874377058316e-01,-2.836289602486952433e+01,-2.837926062941733107e+01
5.201040208041608076e-02,6.185356166117104593e+00,5.068939831029662946e-01,-2.814920850101524863e+01,-2.813457545533954018e+01
5.301060212042408432e-02,6.157307269090009250e+00,5.070182951203159316e-01,-2.793774927371962846e+01,-2.794777807408896919e+01
5.401080216043208787e-02,6.129468775668395431e+00,5.071423249674574807e-01,-2.772848877518432076e+01,-2.771090556281856010e+01
5.501100220044009143e-02,6.101838498826726465e+00,5.072660741104422222e-01,-2.752139790806327824e+01,-2.754283365640082692e+01
5.601120224044808804e-02,6.074414280260899801e+00,5.073895440036706450e-01,-2.731644803998481663e+01,-2.729815869592223976e+01
5.701140228045609160e-02,6.047193990388242568e+00,5.075127360898921136e-01,-2.711361099814234166e+01,-2.711401226723465285e+01
5.801160232046409515e-02,6.020175528347513350e+00,5.076356518002046458e-01,-2.691285906395282268e+01,-2.693783404175951190e+01
5.901180236047209177e-02,5.993356821998903072e+00,5.077582925540555792e-01,-2.671416496778223504e+01,-2.672044295722157159e+01
6.001200240048009532e-02,5.966735827924035007e+00,5.078806597592405714e-01,-2.651750188373716099e+01,-2.651641983816173109e+01
6.101220244048809888e-02,5.940310531425961216e+00,5.080027548119048220e-01,-2.632284342452165404e+01,-2.631738759773836378e+01
6.201240248049610243e-02,5.914078942549064521e+00,5.081245790976050003e-01,-2.613016360810304306e+01,-2.614980737060186300e+01
6.301260252050409905e-02,5.888039085752076573e+00,5.082461339934157829e-01,-2.593943678003405751e+01,-2.596158424097736273e+01
6.401280256051210260e-02,5.862189025242209972e+00,5.083674208610053924e-01,-2.575063778877683163e+01,-2.574664609811988925e+01
6.501300260052010616e-02,5.836526849872027078e+00,5.084884410515417841e-01,-2.556374187333161530e+01,-2.557307686566921134e+01
6.601320264052810971e-02,5.811050671031417814e+00,5.086091959063022694e-01,-2.537872464401189632e+01,-2.537401453177729138e+01
6.701340268053611327e-02,5.785758622647597882e+00,5.087296867566740710e-01,-2.519556207828095751e+01,-2.518037168783138924e+01
6.801360272054410294e-02,5.760648861185112324e+00,5.088499149241543229e-01,-2.501423051663857322e+01,-2.504720626396559169e+01
6.901380276055210650e-02,5.735719565645831075e+00,5.089698817203496262e-01,-2.483470665855681858e+01,-2.482961889622646723e+01
7.001400280056011005e-02,5.710968937568950743e+00,5.090895884469767152e-01,-2.465696755846480315e+01,-2.463247461911408820e+01
7.101420284056811361e-02,5.686395201030997271e+00,5.092090363958617916e-01,-2.448099062178161489e+01,-2.448694115866902266e+01
7.201440288057611716e-02,5.661996602645823273e+00,5.093282268489409681e-01,-2.430675360099688120e+01,-2.432296989266163223e+01
7.301460292058412072e-02,5.637771411564606261e+00,5.094471610782601578e-01,-2.413423459179849218e+01,-2.411918971525490107e+01
7.401480296059212427e-02,5.613717919475853080e+00,5.095658403459749630e-01,-2.396341202924691061e+01,-2.395834309892274661e+01
