t,h,dh_dt,dh_dt_noisy
0.000000000000000000e+00,1.000000000000000021e-02,-1.887622716000000311e+00,-1.887536319951984121e+00
1.000200040008001739e-05,9.981173369589412328e-03,-1.876963102970826247e+00,-1.876757698434950994e+00
2.000400080016003477e-05,9.962452826190784302e-03,-1.866403423487806634e+00,-1.866320814218760837e+00
3.000600120024005216e-05,9.943837389910767377e-03,-1.855942378014855842e+00,-1.856268167322757012e+00
4.000800160032006955e-05,9.925326091307805007e-03,-1.845578687395862838e+00,-1.845352348429194489e+00
5.001000200040008693e-05,9.906917971392131123e-03,-1.835311092556863199e+00,-1.835199498913772098e+00
6.001200240048010432e-05,9.888612081625775332e-03,-1.825138354213192038e+00,-1.825272592522032111e+00
7.001400280056012848e-05,9.870407483922559455e-03,-1.815059252581520566e+00,-1.814913973055471530e+00
8.001600320064013909e-05,9.852303250648097518e-03,-1.805072587096692383e+00,-1.804981443997645929e+00
9.001800360072014970e-05,9.834298464619795760e-03,-1.795177176133275765e+00,-1.795103643009111849e+00
1.000200040008001739e-04,9.816392219106852626e-03,-1.785371856731740925e+00,-1.785364751171411912e+00
1.100220044008801980e-04,9.798583617830260509e-03,-1.775655484329189182e+00,-1.775518806082535983e+00
1.200240048009602086e-04,9.780871774962804008e-03,-1.766026932494539237e+00,-1.766211046016289643e+00
1.300260052010402193e-04,9.763255815129059934e-03,-1.756485092668098824e+00,-1.756525820155097062e+00
1.400280056011202570e-04,9.745734873405399040e-03,-1.747028873905444035e+00,-1.747149403733613937e+00
1.500300060012002676e-04,9.728308095319982557e-03,-1.737657202625518815e+00,-1.737507491072360244e+00
1.600320064012802782e-04,9.710974636852765657e-03,-1.728369022362892693e+00,-1.728359091836022321e+00
1.700340068013602888e-04,9.693733664435497457e-03,-1.719163293524089919e+00,-1.719236407711831172e+00
1.800360072014402994e-04,9.676584354951715816e-03,-1.710038993147921849e+00,-1.710234470263511053e+00
1.900380076015203371e-04,9.659525895736756004e-03,-1.700995114669753949e+00,-1.701059412729908571e+00
2.000400080016003477e-04,9.642557484577742033e-03,-1.692030667689626844e+00,-1.692028632144497280e+00
2.100420084016803583e-04,9.625678329713595327e-03,-1.683144677744174977e+00,-1.683213578470499794e+00
2.200440088017603961e-04,9.608887649835022582e-03,-1.674336186082258759e+00,-1.674012670128659286e+00
2.300460092018404067e-04,9.592184674084529641e-03,-1.665604249444264884e+00,-1.665352568365438435e+00
2.400480096019204173e-04,9.575568642056411089e-03,-1.656947939844984674e+00,-1.657625730464726166e+00
2.500500100020004550e-04,9.559038803796758924e-03,-1.648366344360027158e+00,-1.648838597671518968e+00
2.600520104020804385e-04,9.542594419803452147e-03,-1.639858564915687600e+00,-1.639902257938701480e+00
2.700540108021604762e-04,9.526234761026165440e-03,-1.631423718082221530e+00,-1.631529265685115693e+00
2.800560112022405139e-04,9.509959108866365696e-03,-1.623060934870457439e+00,-1.623007524121082845e+00
2.900580116023204974e-04,9.493766755177313749e-03,-1.614769360531689513e+00,-1.614715030048933908e+00
3.000600120024005352e-04,9.477656998002874020e-03,-1.606548152189896328e+00,-1.606018692501133494e+00
3.100620124024805187e-04,9.461629112165683905e-03,-1.598396463751443175e+00,-1.598674468942116178e+00
3.200640128025605564e-04,9.445682405509733814e-03,-1.590313474462205390e+00,-1.590407875713987229e+00
3.300660132026405941e-04,9.429816200591122424e-03,-1.582298379289952539e+00,-1.581787686388079539e+00
3.400680136027205776e-04,9.414029826735592285e-03,-1.574350384709969575e+00,-1.574188708960919003e+00
3.500700140028006153e-04,9.398322620038521147e-03,-1.566468708553161227e+00,-1.566302942710067203e+00
3.600720144028805988e-04,9.382693923364934102e-03,-1.558652579856451004e+00,-1.558781081449372774e+00
