t,w,Omega_th,dw_dt,dw_dt_noisy
0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,-3.544151844011225627e+00,-3.526872634407986151e+00
1.000200040008001647e-02,4.964731500731387470e+00,2.488549958322376805e-03,-3.508218583312617156e+00,-3.467137676137559410e+00
2.000400080016003293e-02,4.929819978710954231e+00,4.953358735196371383e-03,-3.472769140472837357e+00,-3.456247286663668206e+00
3.000600120024005113e-02,4.895260638844637135e+00,7.394662675086259226e-03,-3.437795023255155069e+00,-3.502952884835373037e+00
4.000800160032006586e-02,4.861048768228817707e+00,9.812695209538323943e-03,-3.403287924275887111e+00,-3.358020130942231063e+00
5.001000200040008059e-02,4.827179735494476986e+00,1.220768687748410505e-02,-3.369239717297164205e+00,-3.346920988678963482e+00
6.001200240048010226e-02,4.793648990751657735e+00,1.457986532679683526e-02,-3.335642454191632300e+00,-3.362490115959646531e+00
7.001400280056011005e-02,4.760452062225303926e+00,1.692945539942966593e-02,-3.302488358713445482e+00,-3.273432453503627659e+00
8.001600320064013172e-02,4.727584557084302475e+00,1.925667908630953121e-02,-3.269769824518669932e+00,-3.251541204709366362e+00
9.001800360072015339e-02,4.695042156937326183e+00,2.156175567125563977e-02,-3.237479407996780356e+00,-3.222772783164003840e+00
1.000200040008001612e-01,4.662820615306714878e+00,2.384490180636799142e-02,-3.205609823180008977e+00,-3.204188711114219323e+00
1.100220044008801829e-01,4.630915757628476292e+00,2.610633151202735106e-02,-3.174153939213500308e+00,-3.146818289882877817e+00
1.200240048009602045e-01,4.599323481252287849e+00,2.834625617689525909e-02,-3.143104777877909317e+00,-3.179927482227992819e+00
1.300260052010402123e-01,4.568039752214392735e+00,3.056488464334304947e-02,-3.112455508046052977e+00,-3.120601005445705400e+00
1.400280056011202201e-01,4.537060605220594844e+00,3.276242317983038554e-02,-3.082199443348009549e+00,-3.106305408982008576e+00
1.500300060012002556e-01,4.506382141989234036e+00,3.493907554797830162e-02,-3.052330038296112935e+00,-3.022387727664381352e+00
1.600320064012802634e-01,4.476000526808702418e+00,3.709504313891525545e-02,-3.022840881822592252e+00,-3.020854776448509416e+00
1.700340068013602712e-01,4.445911986535294957e+00,3.923052497333916200e-02,-2.993725695182539059e+00,-3.008348532730793501e+00
1.800360072014403068e-01,4.416112810593214810e+00,4.134571770151732051e-02,-2.964978329901363008e+00,-3.004073753019205206e+00
1.900380076015203146e-01,4.386599350952923082e+00,4.344081560392305807e-02,-2.936592765743228028e+00,-2.949452377774171463e+00
