t,p,dp_dt,dp_dt_noisy
0.000000000000000000e+00,5.000000000000000278e-02,-1.613133543069168382e-02,-1.592398491545281292e-02
1.200240048009601837e-02,4.980667198322921707e-02,-1.608356560710898220e-02,-1.559059472100828708e-02
2.400480096019203674e-02,4.961391698787753074e-02,-1.603585101275799285e-02,-1.583758876704795954e-02
3.600720144028805858e-02,4.942173434898562701e-02,-1.598819198692756974e-02,-1.677008632589018639e-02
4.800960192038407348e-02,4.923012339758810890e-02,-1.594058886822037613e-02,-1.539737534821650558e-02
6.001200240048008838e-02,4.903908346067400309e-02,-1.589304199452513250e-02,-1.562521725110672596e-02
7.201440288057611716e-02,4.884861386118648924e-02,-1.584555170299848867e-02,-1.616772364421465921e-02
8.401680336067213206e-02,4.865871391802292084e-02,-1.579811833004694799e-02,-1.544944746752913677e-02
9.601920384076814696e-02,4.846938294603481134e-02,-1.575074221130864580e-02,-1.553199877359700068e-02
1.080216043208641619e-01,4.828062025602783414e-02,-1.570342368163508626e-02,-1.552694418364177105e-02
1.200240048009601768e-01,4.809242515476182256e-02,-1.565616307507283408e-02,-1.563910973028335635e-02
1.320264052810561917e-01,4.790479694495078378e-02,-1.560896072484508137e-02,-1.528093293287761251e-02
1.440288057611522343e-01,4.771773492525806931e-02,-1.556181696333199145e-02,-1.600368941553299146e-02
1.560312062412482492e-01,4.753123838949622343e-02,-1.551473212184995357e-02,-1.561247809064578509e-02
1.680336067213442641e-01,4.734530662779206506e-02,-1.546770653092613586e-02,-1.575697811853412136e-02
1.800360072014402790e-01,4.715993892702068785e-02,-1.542074052039065120e-02,-1.506143279280987464e-02
1.920384076815362939e-01,4.697513457019274891e-02,-1.537383441920401640e-02,-1.535000115471502058e-02
2.040408081616323088e-01,4.679089283645450348e-02,-1.532698855543874854e-02,-1.550246260601780175e-02
2.160432086417283237e-01,4.660721300108776333e-02,-1.528020325626096992e-02,-1.574934833367507350e-02
2.280456091218243386e-01,4.642409433550994530e-02,-1.523347884791187261e-02,-1.538779419228319435e-02
2.400480096019203535e-01,4.624153610727404357e-02,-1.518681565568923836e-02,-1.518193034737823181e-02
2.520504100820163962e-01,4.605953758006861576e-02,-1.514021400392878865e-02,-1.530557574710841168e-02
2.640528105621123833e-01,4.587809801371782459e-02,-1.509367421598558495e-02,-1.431723592734666060e-02
2.760552110422084260e-01,4.569721666418140316e-02,-1.504719661421527466e-02,-1.444316202503179852e-02
2.880576115223044686e-01,4.551689278355465496e-02,-1.500078151995538553e-02,-1.662747900733496653e-02
3.000600120024004558e-01,4.533712562006848856e-02,-1.495442925350653346e-02,-1.608783720108713719e-02
3.120624124824964984e-01,4.515791441808937601e-02,-1.490814013411353653e-02,-1.501300338934663352e-02
3.240648129625924856e-01,4.497925841811936665e-02,-1.486191447994655683e-02,-1.511522872689236886e-02
3.360672134426885282e-01,4.480115685679611492e-02,-1.481575260808216249e-02,-1.468756680958299525e-02
3.480696139227845154e-01,4.462360896689282486e-02,-1.476965483448434979e-02,-1.463926167587081134e-02
3.600720144028805580e-01,4.444661397731831248e-02,-1.472362147398553062e-02,-1.345291822095490142e-02
3.720744148829765452e-01,4.427017111311695036e-02,-1.467765284026746435e-02,-1.534486529788283218e-02
3.840768153630725879e-01,4.409427959546870224e-02,-1.463174924584218634e-02,-1.485831225011838459e-02
3.960792158431686305e-01,4.391893864168912309e-02,-1.458591100203287388e-02,-1.336024803753747651e-02
4.080816163232646177e-01,4.374414746522932440e-02,-1.454013841895465849e-02,-1.415211662123355002e-02
4.200840168033606603e-01,4.356990527567602967e-02,-1.449443180549545018e-02,-1.409659378206969300e-02
4.320864172834566475e-01,4.339621127875151890e-02,-1.444879146929672203e-02,-1.475719529230920014e-02
4.440888177635526901e-01,4.322306467631366333e-02,-1.440321771673422867e-02,-1.539206281924762089e-02
4.560912182436486773e-01,4.305046466635591151e-02,-1.435771085289871615e-02,-1.425723200636507156e-02
4.680936187237447199e-01,4.287841044300730320e-02,-1.431227118157665443e-02,-1.424686272888372671e-02
4.800960192038407071e-01,4.270690119653244160e-02,-1.426689900523084135e-02,-1.500331023777758642e-02
4.920984196839367497e-01,4.253593611333152807e-02,-1.422159462498106923e-02,-1.463153062204940701e-02
5.041008201640327924e-01,4.236551437893645855e-02,-1.417635834138071191e-02,-1.421958454921704897e-02
5.161032206441288350e-01,4.219563517698752403e-02,-1.413119045413163688e-02,-1.469804142796810389e-02
5.281056211242247667e-01,4.202629768454742981e-02,-1.408609126082016605e-02,-1.414505324153149564e-02
5.401080216043208093e-01,4.185750107524823654e-02,-1.404106105773177994e-02,-1.398377124125010744e-02
5.521104220844168520e-01,4.168924451930214325e-02,-1.399610013983551039e-02,-1.397474839760221889e-02
5.641128225645128946e-01,4.152152718350149430e-02,-1.395120880076548137e-02,-1.425498379575407086e-02
