t,H,H_slow,V_freq,dH_dt,dH_dt_noisy
0.000000000000000000e+00,3.499999999999999778e-01,3.499999999999999778e-01,0.000000000000000000e+00,-4.174999999999998157e-03,-4.105883161587040898e-03
6.001200240048009532e-02,3.497498910676738459e-01,3.499997498609338509e-01,1.049519595211875940e-04,-4.160308484789453087e-03,-3.995984856089221382e-03
1.200240048009601906e-01,3.495006617416409611e-01,3.499990012837806419e-01,2.097660610336818626e-04,-4.145685596172404494e-03,-4.079598180935726723e-03
1.800360072014402790e-01,3.492523079137598296e-01,3.499977570184396036e-01,3.144426504954831716e-04,-4.131130985513188636e-03,-4.391762431834061141e-03
2.400480096019203813e-01,3.490048254779883896e-01,3.499960198132831546e-01,4.189820736709172749e-04,-4.116644304530625575e-03,-3.935573131196002349e-03
3.000600120024004558e-01,3.487582103628623642e-01,3.499937923941909834e-01,5.233846739860013430e-04,-4.102225207958193343e-03,-4.012950293485390875e-03
3.600720144028805580e-01,3.485124585320692470e-01,3.499910774640961897e-01,6.276507924830326433e-04,-4.087873353590013720e-03,-4.195264000662070857e-03
4.200840168033606603e-01,3.482675659682768488e-01,3.499878777134224905e-01,7.317807688882812947e-04,-4.073588400953151271e-03,-3.957364780113880286e-03
4.800960192038407626e-01,3.480235286731333533e-01,3.499841958200842762e-01,8.357749416119894005e-04,-4.059370011305581116e-03,-3.986455532068365788e-03
5.401080216043208093e-01,3.477803426672672615e-01,3.499800344494865545e-01,9.396336477483719155e-04,-4.045217847634138483e-03,-3.986391348303033703e-03
6.001200240048009116e-01,3.475380039902873919e-01,3.499753962545251174e-01,1.043357223075616321e-03,-4.031131574652492555e-03,-4.025447126389333601e-03
6.601320264052810138e-01,3.472965087007830465e-01,3.499702838755863188e-01,1.146946002055881757e-03,-4.017110858799173220e-03,-3.907768261476683887e-03
7.201440288057611161e-01,3.470558528763238448e-01,3.499646999405471859e-01,1.250400317835300649e-03,-4.003155368235564865e-03,-4.150446185635898490e-03
7.801560312062412184e-01,3.468160326134596128e-01,3.499586470647755299e-01,1.353720502243978274e-03,-3.989264772843944401e-03,-4.021846762442555200e-03
8.401680336067213206e-01,3.465770440277207709e-01,3.499521278511296685e-01,1.456906885795991244e-03,-3.975438744225559193e-03,-4.071862606761554940e-03
9.001800360072014229e-01,3.463388832536180018e-01,3.499451448899588146e-01,1.559959797689388803e-03,-3.961676955698681564e-03,-3.841907713171755900e-03
