t,D,M,dD_dt,dD_dt_noisy
0.000000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00,-3.413333333333334191e-02,-3.344216494920376759e-02
6.001200240048009185e-03,1.997952527436644976e-01,2.394938078676981264e-03,-3.410364094853162581e-02,-3.246040466152930876e-02
1.200240048009601837e-02,1.995906561428861525e-01,4.778827845766308799e-03,-3.408309699519319197e-02,-3.342222284282642120e-02
1.800360072014402929e-02,1.993861557968490406e-01,7.151722086798650846e-03,-3.407153434062674957e-02,-3.667784880383546942e-02
2.400480096019203674e-02,1.991816983093981364e-01,9.513672675495205705e-03,-3.406878562993186088e-02,-3.225807389658562341e-02
3.000600120024004419e-02,1.989772312896401218e-01,1.186473063064011173e-02,-3.407468335418184502e-02,-3.318193420945382555e-02
3.600720144028805858e-02,1.987727033519433306e-01,1.420494611608042260e-02,-3.408905991762619520e-02,-3.516296638834676830e-02
4.200840168033606603e-02,1.985680641159377757e-01,1.653436844072611253e-02,-3.411174770396567524e-02,-3.294951149557297232e-02
4.800960192038407348e-02,1.983632642065152052e-01,1.885304605855009363e-02,-3.414257914165579749e-02,-3.341343434928364942e-02
5.401080216043208093e-02,1.981582552538289910e-01,2.116102656858819681e-02,-3.418138676819749977e-02,-3.359312177488645024e-02
6.001200240048008838e-02,1.979529898873615412e-01,2.345835676918696724e-02,-3.422800329438966532e-02,-3.417115881175807057e-02
6.601320264052809583e-02,1.977474217358595743e-01,2.574508278674666681e-02,-3.428226167266965746e-02,-3.318883569944476586e-02
7.201440288057611716e-02,1.975415054596775799e-01,2.802124982977398371e-02,-3.434399515595321084e-02,-3.581690332995654535e-02
7.801560312062412461e-02,1.973351967100287485e-01,3.028690241869368138e-02,-3.441303736041349814e-02,-3.473885725639960093e-02
8.401680336067213206e-02,1.971284521255315392e-01,3.254208441007940683e-02,-3.448922232761871681e-02,-3.545346095297867428e-02
9.001800360072013951e-02,1.969212293322097629e-01,3.478683899665372531e-02,-3.457238458512624374e-02,-3.337469215985698623e-02
9.601920384076814696e-02,1.967134869434924715e-01,3.702120870728806135e-02,-3.466235920573966511e-02,-3.458291499077634917e-02
1.020204040808161544e-01,1.965051845602139302e-01,3.924523540700274038e-02,-3.475898186540777451e-02,-3.534389536733795190e-02
1.080216043208641619e-01,1.962962827706138114e-01,4.145896029696698876e-02,-3.486208889974672792e-02,-3.642590582446041114e-02
1.140228045609121693e-01,1.960867431503369451e-01,4.366242391449891291e-02,-3.497151735916988885e-02,-3.548590184040763262e-02
1.200240048009601768e-01,1.958765282624335691e-01,4.585566613306549938e-02,-3.508710506261225603e-02,-3.507082070157557102e-02
1.260252050410081981e-01,1.956656016246584306e-01,4.803872625817953712e-02,-3.520869065119448110e-02,-3.575989646179322107e-02
1.320264052810561917e-01,1.954539276782256696e-01,5.021164320444493345e-02,-3.533611364865277271e-02,-3.274798601985635937e-02
1.380276055211042130e-01,1.952414719296869383e-01,5.237445509430667390e-02,-3.546921450766046813e-02,-3.345576587704887639e-02
1.440288057611522343e-01,1.950282008184163196e-01,5.452719955460934298e-02,-3.560783465713061174e-02,-4.103015961506254611e-02
1.500300060012002279e-01,1.948140817065145136e-01,5.666991374259309350e-02,-3.575181655143359893e-02,-3.952984304336894239e-02
1.560312062412482492e-01,1.945990828788089211e-01,5.880263434589373672e-02,-3.590100371795986595e-02,-3.625054790207019040e-02
1.620324064812962428e-01,1.943831735428535046e-01,6.092539758254261750e-02,-3.605524080310559126e-02,-3.689962162625829573e-02
1.680336067213442641e-01,1.941663238289289828e-01,6.303823920096671141e-02,-3.621437361668697341e-02,-3.578708762168975044e-02
1.740348069613922577e-01,1.939485047900426362e-01,6.514119447998853452e-02,-3.637824917478952452e-02,-3.594360531274439635e-02
1.800360072014402790e-01,1.937296884019284460e-01,6.723429822882627527e-02,-3.654671574106193449e-02,-3.231103823095983485e-02
1.860372074414882726e-01,1.935098475630470660e-01,6.931758478709364180e-02,-3.671962286646489326e-02,-3.894366439184945849e-02
1.920384076815362939e-01,1.932889560945857399e-01,7.139108802479998683e-02,-3.689682142748770821e-02,-3.765203144174170125e-02
