p,p_source,N_effective,H_freq,H_freq_noisy
5.115851922062515378e-01,1.333039637036106950e-01,1.875230791757768145e+01,-1.639869629134746987e-01,-1.622590419531507733e-01
9.414544223994165684e-01,6.866836280992436592e-01,2.260530508593860510e+00,3.953776002403613932e-02,4.364585074154193195e-02
1.512764204652410627e-01,1.718946494367689648e-01,3.530878681916432171e+00,2.403524279888882842e-02,2.568742817980576576e-02
9.396764581944989647e-01,1.870894653925278261e-01,5.030494382404281595e+01,-5.940038214721610199e-03,-1.245582437274341502e-02
3.155948229702757457e-01,6.097355676049935891e-01,7.506060185344440860e+00,-3.430872255265887683e-02,-2.978194321929329008e-02
4.248599199931241688e-01,7.767859609835582324e-01,2.914795947629493256e+01,-1.225983352234092383e-01,-1.203664623615891827e-01
8.211485419440328615e-01,3.062945338888169999e-01,7.484951660730013501e+00,-6.841515592488478514e-02,-7.109992210168621096e-02
4.110151536417780416e-01,5.049528824612600220e-01,2.687471229108908233e+00,-1.639594882582717794e-02,-1.349035830484541197e-02
5.486018139195982801e-01,7.133384411975464134e-01,3.830200296572343621e+00,-9.218541828884668776e-02,-9.036255630791631410e-02
3.700793097820700289e-02,2.480247082073848697e-01,2.222642438935291676e+00,7.522376679732865890e-02,7.669442928060628273e-02
7.484428465013104326e-01,4.298356045780823420e-01,9.009919325471830831e+00,-9.360083505279515048e-02,-9.345872384621616014e-02
5.373804469548926210e-01,5.743269831166036843e-01,4.307956200646104072e+00,-8.239475008218327678e-02,-7.966118514912104431e-02
3.331370821691103101e-01,7.299159175001250777e-01,4.343952227570133573e+01,-7.866037282265836428e-02,-8.234264325766670056e-02
7.826601293598361986e-01,5.587447390098447819e-01,2.465049946337729558e+00,-3.406291054749122083e-02,-3.487746028745648819e-02
3.071309327058120986e-01,2.168915725314034815e-01,3.280484730874969301e+01,-7.476120676347286498e-02,-7.717180332687276212e-02
4.544279316910384559e-01,7.643745194950674060e-01,2.765451055257741331e+01,-1.296043138069796763e-01,-1.266100827438065290e-01
1.413608633022214733e-01,7.488812365878679822e-01,1.367845201043593839e+01,2.098257857092572509e-02,2.118118910833401841e-02
4.050507267181866489e-01,6.783401078475830293e-01,1.267735201751146867e+01,-8.951648435726328179e-02,-9.097876811208872871e-02
2.093861358626266378e-01,6.863979185734895294e-01,4.061027112461176536e+00,2.313650775790826453e-02,1.922696544612405301e-02
2.670670736330125195e-01,4.646052022686426586e-01,7.252078172513535925e+00,-7.681080153969344071e-03,-8.967041357063698301e-03
7.453573791774514845e-01,6.201892758719337317e-01,4.185695229999436151e+01,-1.129844087553107390e-01,-1.129436978527190161e-01
2.848005828263191486e-01,8.989868559346652077e-01,4.263098564559054005e+00,-5.490821780334542712e-02,-5.628623232984227703e-02
4.854871549430023747e-01,8.798944931750470877e-01,2.300485790959981003e+01,-1.636055055004348446e-01,-1.571351864284438182e-01
9.711224558052138356e-01,2.491587228673577958e-01,3.713853260910425291e+01,3.957243925751698782e-02,4.460606083404596023e-02
9.524240497905109848e-01,6.099284690308809376e-01,7.607448150184769986e+01,3.784162046826668180e-02,2.428580807343683895e-02
7.202941419580629612e-01,7.940296952076513204e-01,2.418170510512114735e+00,-7.688084395616495703e-02,-8.632591018600331567e-02
5.404023184364855625e-01,1.481050900842561246e-01,1.654086482459379326e+01,-1.638775280211430263e-01,-1.647513884814188478e-01
2.813533799644634126e-01,5.599521915717015075e-01,2.904002516944616197e+00,2.251836379269078758e-02,2.040741173480901949e-02
1.674389685996243438e-01,1.923936552254756072e-01,6.414953472348436492e+01,-1.064708511358364307e-02,-9.578870126090587370e-03
9.605269049518099234e-01,2.468523646023189910e-01,8.331311204084046551e+01,2.760560327729220942e-02,2.869221293240502638e-02
5.157472138369211256e-01,3.873570004659437904e-01,2.488778134861080460e+00,-4.268324705971637822e-02,-3.209405328446113259e-02
1.235483002213549064e-01,5.453353751935385851e-01,2.948548146803730674e+00,7.687461553262646408e-02,7.131451171916505793e-02
6.210199604267504503e-01,5.331693033308758656e-01,1.198337323894566886e+01,-1.204623855750827088e-01,-1.223504106107177053e-01
7.711494520554520449e-01,5.031884678147561241e-01,4.145873183194033373e+01,-9.681260983152589761e-02,-8.659875179406424650e-02
6.107432350319796921e-01,8.658082504149775538e-01,2.226607293202367188e+01,-1.765412782195140973e-01,-1.733077632385048583e-01
9.089517506950846037e-01,5.074728743550568355e-01,7.321715273169958849e+00,7.863079672968981138e-03,1.117839653485028922e-02
4.880101913091880461e-02,6.864769100109585631e-01,2.065595216787112776e+01,6.890451077542887603e-02,6.633447891699156829e-02
5.280174779948212382e-01,3.674398164712385784e-01,4.536743173306453514e+01,-1.321491725113823623e-01,-1.403895483656606158e-01
4.601491652276956668e-01,6.954669374997612952e-01,7.355779352683646266e+01,-1.249910301212108221e-01,-1.241537064000971108e-01
7.110258756687808102e-02,6.983124987152009577e-01,3.435886201108562688e+00,7.321260844552317237e-02,7.375767888463090338e-02
6.385016057565874315e-01,6.356522990811337426e-01,5.411235015953445782e+01,-1.395064577288319674e-01,-1.456432180000548360e-01
8.455801817110436547e-01,7.034365991990156886e-01,2.522378307874819470e+01,-6.595382045063274967e-02,-6.936995375953555754e-02
5.910821977421982787e-01,5.578853567070548580e-01,1.630024609315143991e+01,-1.255568265271188033e-01,-1.259170449257549507e-01
2.648954987824787555e-01,7.845116602048403109e-01,1.121751963480170566e+01,-4.391602165149205428e-02,-4.863977976679594029e-02
8.330838906107805863e-01,7.660271477972585563e-01,1.475270087682325126e+01,-8.158876809928722329e-02,-8.208011793854831650e-02
5.093059638910791831e-01,1.771118191192981028e-01,1.203344692986485853e+01,-1.459268777587762744e-01,-1.454494626214289932e-01
5.106711067772023993e-01,4.586846298849142078e-01,2.757486359964900657e+01,-1.198364333052438502e-01,-1.196585021199664256e-01
7.479696035481343541e-01,1.965376515190798701e-01,7.088331156166711366e+01,-1.415846765325791679e-01,-1.441161348241507545e-01
1.549635950692574149e-01,8.604312314333656397e-01,5.052261988418939254e+00,4.667906291200840663e-03,7.636646650129954618e-03
8.132341847368914634e-01,4.479129570232309732e-01,2.016217220447844571e+00,-1.075770769172168517e-02,-6.301872920310043480e-03
6.796211678831920455e-01,2.760626544806267235e-01,2.212035767991048285e+00,-6.054386619762686106e-02,-5.893962467479404305e-02
7.813550027237050610e-01,7.701028333780545188e-01,7.079053863857630802e+01,-1.196880595413989390e-01,-1.237792106783504736e-01
1.977839338397325286e-01,1.697729276769831819e-01,7.569878189693513093e+01,-3.218837004473745766e-02,-2.853010862581025278e-02
7.963168779118393603e-01,2.232695589167108530e-01,6.135951207442801802e+01,-1.127603691232421657e-01,-1.152675692155774312e-01
1.974974475360562753e-01,6.430639493996295197e-01,1.952694751573098131e+01,5.273757849872218184e-03,9.669560941312145205e-03
8.992156501624244680e-02,5.059386583110594415e-01,1.973728680073013564e+01,6.505590738125732742e-02,5.969697029687010686e-02
8.481224348013287617e-01,3.138357330172647508e-01,9.710943754008445339e+00,-5.437828686341439344e-02,-4.980595084777048737e-02
8.540578262541150822e-01,5.610238154097431096e-01,7.498519365575930351e+00,-3.575671842608738049e-02,-3.585703569916478400e-02
8.690063544882489222e-01,2.659069390492253548e-01,7.701009247902376842e+01,-5.598321898728370050e-02,-6.222696343895577770e-02
4.724715249716144316e-01,3.473884887178780856e-01,1.592427185377483312e+01,-1.121884201599570585e-01,-1.137579175197912934e-01
2.785674208414439246e-01,5.888484913127157716e-01,5.869517970090594616e+00,-9.457628737208234604e-03,-9.187117343350514539e-03
1.694999203110293673e-02,8.063457238321427578e-01,2.616001006209572921e+01,5.579214646638823438e-02,5.715610316221050174e-02
6.428064776634488942e-01,6.625426182191285207e-01,2.862578603279994027e+00,-7.366893052290773847e-02,-7.857987114761262604e-02
7.155111958385191873e-01,6.145822273137839797e-01,2.901324636824604752e+01,-1.206260555179551330e-01,-1.261629207537811048e-01
8.288578321702686491e-01,6.973177096573487388e-01,5.805628972027468748e+00,-5.950017459584683310e-02,-5.850225193161143200e-02
2.862402708172512855e-01,4.027006245055071432e-01,3.022104474969925292e+01,-3.865387539994191712e-02,-4.098762348434092928e-02
2.209138038197141218e-01,8.847824481630985893e-01,1.317682576964663710e+01,-4.875760395037392891e-02,-4.758007589172280616e-02
6.365447524652561029e-01,5.890081440063471563e-01,5.809717647654819217e+01,-1.361429669348402371e-01,-1.323453693224483363e-01
7.989537364821095444e-01,3.060490204092846112e-01,3.859286578247093047e+01,-9.587402768906549966e-02,-1.041179645208202414e-01
9.543974553880714140e-01,1.287721982798835652e-01,9.366127689407574053e+01,-5.446192882978470595e-03,-4.174252300390384265e-03
1.575143338127539261e-01,1.894044682367137244e-01,1.938985014375042937e+01,-1.816389335379170467e-03,4.306845502299491181e-03
4.825681404353497905e-01,2.588073212918325372e-01,5.066917682881395280e+01,-1.371641031476270034e-01,-1.386517373694793609e-01
8.868215449522499627e-01,6.874981112081395285e-01,2.631267312535481651e+01,-3.173758072978599687e-02,-3.579165364597385046e-02
4.242625688065285172e-01,7.516169315780916182e-01,3.570447720414229309e+01,-1.189836815936524128e-01,-1.152224624577544432e-01
5.877120208423671777e-01,8.403622760390202506e-01,6.642868938321922201e+01,-1.759757940205750049e-01,-1.747085614395343101e-01
3.400086394349593338e-02,6.143281881420553647e-01,6.802728558797250358e+00,8.426753576652795674e-02,8.874695112041575129e-02
6.699906894098801580e-01,3.378215919804085088e-01,4.505118180419959373e+01,-1.378732763467159783e-01,-1.395993548969723663e-01
9.107068472411460336e-01,7.710952714747908443e-01,7.511034638697616117e+01,-2.610005397298501006e-02,-3.350914534159606800e-02
8.202888229655865837e-01,8.627761359070408309e-01,9.579346261706250232e+01,-1.191147762133279997e-01,-1.196648300368842593e-01
8.778098613757477908e-01,6.575230720300665466e-01,3.538103121301720666e+00,-1.192467021629520230e-02,-1.415381098135136406e-02
6.571482729101129072e-01,1.578864319766454527e-01,6.009360263922439493e+00,-1.431313236313305759e-01,-1.392547045210927037e-01
2.506412218983140039e-01,4.287855814255755460e-01,1.053286851775066246e+01,-8.741917027880685698e-03,-7.773752785994916814e-03
7.631466589183292237e-01,2.991549038466384536e-01,8.873221292773449065e+00,-1.005427900044149059e-01,-1.086970361665904050e-01
2.174412477553603062e-01,8.514084095087768311e-01,7.830003170904724641e+01,-4.785621571778170269e-02,-5.383203111829770043e-02
8.246493379711719030e-01,7.488987129008570776e-01,2.206596251751677951e+00,-3.360298188474469816e-02,-2.918403670180842041e-02
7.146356411935288200e-02,1.559416897041702166e-01,6.670159026672843083e+01,2.818879241028904303e-02,3.158761749737827584e-02
8.189780571256847219e-01,5.875455442574889497e-01,2.787467087206889182e+00,-2.885485539452053994e-02,-3.205607222406298140e-02
1.712171211446192887e-01,8.881180664937423641e-01,7.832328269113389752e+01,-3.315814441543374347e-02,-3.316338839827014801e-02
3.776440565667090188e-01,5.190449016158401596e-01,7.349947730028043225e+01,-8.134142386129772362e-02,-7.911355609241679798e-02
3.204034032258250009e-01,8.115530754133454261e-01,1.319488301998946866e+01,-7.828206159993505997e-02,-7.594003992069867093e-02
6.875102945721864867e-01,7.498645417700950944e-01,3.953594478642889154e+00,-1.030246929558387703e-01,-9.864348197526702500e-02
1.850004406108844979e-01,4.772299190927998813e-01,4.230060600702330476e+00,4.394197338480965165e-02,4.522440152091745935e-02
3.983310389726467116e-01,4.536067171137718734e-01,5.517771578077533157e+00,-5.422939083395944548e-02,-5.470353252880193889e-02
1.570810320582132630e-02,2.293209502015017276e-01,5.537517282214668768e+01,6.309657040121935401e-02,6.180233007728012928e-02
2.672448184950994565e-01,3.835756560906750101e-01,1.658619054368988444e+01,-2.586783489176147643e-02,-2.058912088909522001e-02
