u,s,m,N_e,q_eq,q_eq_noisy
2.316675951766803635e-03,6.873347958328102081e-02,2.860629462190721339e-01,6.820911911812465860e+02,2.320314705325987048e-01,2.327226389167282861e-01
8.620883635710918994e-03,3.800095408058245527e-01,1.565076986043789642e-02,2.139665778990310514e+02,2.111732781543248227e-01,2.128165144413271259e-01
7.700625172529084340e-04,9.044074030818255450e-02,7.264778057432896841e-02,5.100995701735221246e+02,1.690642670057659613e-01,1.697251411581327252e-01
8.574156188342854645e-03,9.898782428329690186e-02,4.121852266719051028e-01,2.208649900287196601e+02,3.028842620596380875e-01,3.002779475964293399e-01
1.272541859187255060e-03,3.367262567778089299e-01,1.690383129883901159e-01,5.662024092235868267e+01,1.504135407099412014e-01,1.522242524432874389e-01
1.777175888529661718e-03,4.306921030532515071e-01,3.424363462658049362e-01,8.131070693125510616e+02,1.477760263490962844e-01,1.486687754938243178e-01
5.968097456748748530e-03,1.660406753124595847e-01,1.686783765467723684e-01,4.776856861632144842e+02,2.372828929678378052e-01,2.362089864971172459e-01
1.703532231296067375e-03,2.777859963844587776e-01,3.776224053114285439e-02,1.347392542768056387e+02,1.592940503338105551e-01,1.604562865422032580e-01
2.594226416923312538e-03,3.950028731736198173e-01,8.304781402343131003e-02,8.221100424533749447e+02,1.586420556181056540e-01,1.593712004104778091e-01
5.430317683086167318e-04,1.332638983666539767e-01,1.349041086358249153e-02,1.866589655806986343e+02,1.499345900383881325e-01,1.505228550316991820e-01
4.778737344045425744e-03,2.355325275751713465e-01,1.923785896764919068e-01,6.772084547798465337e+01,2.106423112800110686e-01,2.106991557626426703e-01
2.506747536433544862e-03,3.168089280030895738e-01,9.807156177722853307e-02,5.910078151896239262e+01,1.705522312403639773e-01,1.716456572135888758e-01
1.342643946230120434e-03,4.043277035938203090e-01,3.934310321536371169e-01,1.350290211502054092e+02,1.451823368420009641e-01,1.437094286679976296e-01
5.305659768865421747e-03,3.080439156930376843e-01,2.672081537420906150e-02,1.536961333230498212e+02,1.978630432768477276e-01,1.975372233808616318e-01
1.240039649766310707e-03,1.157515095489144580e-01,3.575425174945239815e-01,2.163126382737349900e+02,1.794527385801096830e-01,1.784884999547497186e-01
1.945290032549998197e-03,4.237106672159754450e-01,3.357139849064819659e-01,6.197573546553842050e+01,1.542246682607902597e-01,1.554223606860595241e-01
7.470716793846155987e-04,4.149956955806757275e-01,2.457391694057033948e-01,3.994783808920180945e+02,1.320697975243417810e-01,1.321492417393050900e-01
1.672754054997917933e-03,3.753163106642654623e-01,2.360249304070963228e-01,2.438145827601828728e+02,1.499254739580160867e-01,1.493405604560859024e-01
9.197533434394688547e-04,3.798488291975878894e-01,9.052717014199979095e-02,3.642491794294236911e+02,1.359915798775603313e-01,1.344277629528466411e-01
1.097103318012984316e-03,2.550904262761115038e-01,1.646387163277435173e-01,7.656110104707282460e+01,1.532757558822652466e-01,1.527613714010274959e-01
4.733876799636062803e-03,3.426064676779627116e-01,3.886877355541974444e-01,1.762123443939133267e+02,1.858813383612747117e-01,1.858976227223113897e-01
1.158217731849353052e-03,4.994301064632492015e-01,9.673372023167531308e-02,1.336531010657608363e+02,1.360833414856401913e-01,1.355321356750414374e-01
2.139035615249151607e-03,4.886906524109639882e-01,3.121860765054882969e-01,2.727376582682341564e+02,1.494908764266582590e-01,1.520790040554546863e-01
