t,q,n,s,dq_dt,dq_dt_noisy
0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.382500000000000118e-01,1.388171601453806192e-01
2.000400080016003293e-02,1.027649390259043199e-01,1.397514355536194760e-03,-2.789441303749545190e-03,1.381875263884207727e-01,1.366192810639785260e-01
4.000800160032006586e-02,1.055285638041510432e-01,2.789499019928189279e-03,-5.556707618230344661e-03,1.381186082042332175e-01,1.368794175740575270e-01
6.001200240048010226e-02,1.082907458163789166e-01,4.175956750722757162e-03,-8.301892987813277308e-03,1.380432854187275959e-01,1.307188832708080228e-01
8.001600320064013172e-02,1.110513573865169884e-01,5.556890560556467656e-03,-1.102509159352293468e-02,1.379615996078731865e-01,1.433607217560358971e-01
1.000200040008001612e-01,1.138102717547618686e-01,6.932303714079938312e-03,-1.372639775331409122e-02,1.378735939149216549e-01,1.413060915310333510e-01
1.200240048009602045e-01,1.165673627942850343e-01,8.302199741617251674e-03,-1.640590592024738364e-02,1.377793129942508077e-01,1.368030444836473292e-01
1.400280056011202201e-01,1.193225053440845757e-01,9.666582420288626770e-03,-1.906371066040820489e-02,1.376788029907562716e-01,1.400002227509392627e-01
1.600320064012802634e-01,1.220755752631552116e-01,1.102545577112871468e-02,-2.169990665067955335e-02,1.375721114995887007e-01,1.384157435089816424e-01
1.800360072014403068e-01,1.248264494304882066e-01,1.237882405908658640e-02,-2.431458867874200513e-02,1.374592875227798328e-01,1.357978190135076813e-01
2.000400080016003224e-01,1.275750057450714681e-01,1.372669179302573456e-02,-2.690785164307371233e-02,1.373403814261315026e-01,1.402730837795096164e-01
2.200440088017603657e-01,1.303211231258894487e-01,1.506906372572408906e-02,-2.947979055295045156e-02,1.372154448963812667e-01,1.362837752564038107e-01
2.400480096019204090e-01,1.330646815119232718e-01,1.640594485387398410e-02,-3.203050052844552686e-02,1.370845308986557709e-01,1.360980591864818789e-01
2.600520104020804246e-01,1.358055618621505922e-01,1.773734041808219461e-02,-3.456007680042988417e-02,1.369476936342238493e-01,1.345712533681471534e-01
2.800560112022404402e-01,1.385436461555457077e-01,1.906325590286990848e-02,-3.706861471057200375e-02,1.368049884985602926e-01,1.381698627122828482e-01
3.000600120024005113e-01,1.412788175007705371e-01,2.038369702549207990e-02,-3.955620968933355741e-02,1.366564720437635216e-01,1.363588778886113684e-01
3.200640128025605269e-01,1.440109604093163520e-01,2.169866971058279775e-02,-4.202295718875180552e-02,1.365022019455640889e-01,1.381380680874581268e-01
3.400680136027205425e-01,1.467399602299742645e-01,2.300818014773048370e-02,-4.446895278888982062e-02,1.363422369397350731e-01,1.345206798401231696e-01
3.600720144028806136e-01,1.494657035401760758e-01,2.431223474805886686e-02,-4.689429213152117998e-02,1.361766367944984291e-01,1.365571203358340313e-01
3.800760152030406291e-01,1.521880781920802450e-01,2.561084013936436310e-02,-4.929907091154323018e-02,1.360054622683896097e-01,1.333286401381002517e-01
4.000800160032006447e-01,1.549069733125720549e-01,2.690400316611610276e-02,-5.168338487697710787e-02,1.358287750667874494e-01,1.383531699838978779e-01
4.200840168033607158e-01,1.576222793032635572e-01,2.819173088945591682e-02,-5.404732982896770510e-02,1.356466377989135053e-01,1.362107430598555602e-01
4.400880176035207314e-01,1.603338878404934331e-01,2.947403058719833685e-02,-5.639100162178369013e-02,1.354591139353111262e-01,1.364508269597171086e-01
4.600920184036807470e-01,1.630416918753271882e-01,3.075090975383059158e-02,-5.871449616281750050e-02,1.352662677658116042e-01,1.364977795047223885e-01
4.800960192038408181e-01,1.657455856335571243e-01,3.202237610051262423e-02,-6.101790941258536383e-02,1.350681643579958735e-01,1.320358918575358642e-01
5.001000200040007782e-01,1.684454646157021451e-01,3.328843755507705782e-02,-6.330133738472724925e-02,1.348648695161595579e-01,1.372144125045917928e-01
5.201040208041608492e-01,1.711412255970080343e-01,3.454910226202925760e-02,-6.556487614600693681e-02,1.346564497407881089e-01,1.408265581958152157e-01
5.401080216043209203e-01,1.738327666274472327e-01,3.580437858254724437e-02,-6.780862181631192032e-02,1.344429721885494478e-01,1.295276446788428681e-01
5.601120224044808804e-01,1.765199871470736759e-01,3.705427506746210298e-02,-7.003267051502923279e-02,1.342245046351053239e-01,1.290362702336418921e-01
5.801160232046409515e-01,1.792027881748471940e-01,3.829880042327468009e-02,-7.223711826819151360e-02,1.340011154377628300e-01,1.294866211961698821e-01
6.001200240048010226e-01,1.818810718728151588e-01,3.953796361372330370e-02,-7.442206120844331585e-02,1.337728734867951463e-01,1.362972501671571579e-01
6.201240248049609827e-01,1.845547418085048963e-01,4.077177378733730373e-02,-7.658759545668097912e-02,1.335398481726209619e-01,1.339259951450431640e-01
6.401280256051210538e-01,1.872237029744632519e-01,4.200024027253072834e-02,-7.873381711309729303e-02,1.333021093469209939e-01,1.365371366691388866e-01
6.601320264052811249e-01,1.898878617882564235e-01,4.322337257760228146e-02,-8.086082225718140004e-02,1.330597272839121326e-01,1.352270199008346330e-01
6.801360272054410849e-01,1.925471260924700445e-01,4.444118039073541304e-02,-8.296870694771890653e-02,1.328127726422295707e-01,1.334444880793554111e-01
7.001400280056011560e-01,1.952014051547091844e-01,4.565367357999827735e-02,-8.505756722279185500e-02,1.325613164274200839e-01,1.334134308631712007e-01
7.201440288057612271e-01,1.978506096675982928e-01,4.686086219334369835e-02,-8.712749909977865470e-02,1.323054299550510127e-01,1.317961484618816181e-01
7.401480296059211872e-01,2.004946517487812552e-01,4.806275645860922513e-02,-8.917859857535415102e-02,1.320451848144366669e-01,1.346505654480711911e-01
7.601520304060812583e-01,2.031334449409213927e-01,4.925936678351712505e-02,-9.121096162548963937e-02,1.317806528329858728e-01,1.283915049476436199e-01
7.801560312062413294e-01,2.057669042117014346e-01,5.045070375567434207e-02,-9.322468420545276802e-02,1.315119060411719665e-01,1.302463295626370143e-01
8.001600320064012895e-01,2.083949459538234628e-01,5.163677814257253140e-02,-9.521986224980766300e-02,1.312390166381275924e-01,1.319678331974238061e-01
8.201640328065613605e-01,2.110174879850090779e-01,5.281760089158806654e-02,-9.719659167241484488e-02,1.309620569578662796e-01,1.363663195332142641e-01
8.401680336067214316e-01,2.136344495532480348e-01,5.399318311647822999e-02,-9.915496834097980994e-02,1.306810994377496649e-01,1.283877070905884710e-01
8.601720344068813917e-01,2.162457514174735973e-01,5.516353600304513966e-02,-1.010950878776986916e-01,1.303962165959220432e-01,1.271590352185112127e-01
8.801760352070414628e-01,2.188513158207127107e-01,5.632867096631839071e-02,-1.030170459380258252e-01,1.301074809788017594e-01,1.284176193832896329e-01
9.001800360072015339e-01,2.214510664435464238e-01,5.748859958345663851e-02,-1.049209381190697871e-01,1.298149651392202786e-01,1.327227817426347711e-01
9.201840368073614940e-01,2.240449284064209012e-01,5.864333356913715295e-02,-1.068068599167212723e-01,1.295187416086587273e-01,1.288137250879832496e-01
9.401880376075215651e-01,2.266328282696475072e-01,5.979288477555585318e-02,-1.086749067256531365e-01,1.292188828669816603e-01,1.331919239246925346e-01
9.601920384076816362e-01,2.292146940334026661e-01,6.093726519242727291e-02,-1.105251738393202843e-01,1.289154613128049853e-01,1.232978727599869095e-01
9.801960392078415962e-01,2.317904551377278910e-01,6.207648694698457426e-02,-1.123577564499597531e-01,1.286085492344960501e-01,1.319941186601974736e-01
1.000200040008001556e+00,2.343600424625298662e-01,6.321056230397956166e-02,-1.141727496485906712e-01,1.282982187818049180e-01,1.314028175015935218e-01
1.020204040808161627e+00,2.369233883275804198e-01,6.433950366568266799e-02,-1.159702484250143134e-01,1.279845419381253901e-01,1.237285448687209383e-01
1.040208041608321698e+00,2.394804264925164405e-01,6.546332357188293372e-02,-1.177503476678140315e-01,1.276675904933835815e-01,1.281283361529914622e-01
1.060212042408481770e+00,2.420310921568399887e-01,6.658203469988804857e-02,-1.195131421643552683e-01,1.273474360175518572e-01,1.309947089231354722e-01
1.080216043208641841e+00,2.445753219599181572e-01,6.769564986452432376e-02,-1.212587266007856268e-01,1.270241498347857434e-01,1.272879069617142977e-01
1.100220044008801912e+00,2.471130539809832660e-01,6.880418201813670587e-02,-1.229871955620347734e-01,1.266978029981812859e-01,1.296969072646366183e-01
1.120224044808961761e+00,2.496442277391326126e-01,6.990764425058874909e-02,-1.246986435318144792e-01,1.263684662651495538e-01,1.334931270051009922e-01
1.140228045609121832e+00,2.521687841815709041e-01,7.100604978454927441e-02,-1.263931648842301358e-01,1.260362100749794489e-01,1.268580068387564486e-01
1.160232046409281903e+00,2.546866654397290652e-01,7.209941186093617171e-02,-1.280708536613560655e-01,1.257011045617165701e-01,1.248599576198877598e-01
1.180236047209441974e+00,2.571978152555928765e-01,7.318774388390118790e-02,-1.297318038025016551e-01,1.253632194797183463e-01,1.230500630002597517e-01
1.200240048009602045e+00,2.597021788398169995e-01,7.427105940034887943e-02,-1.313761091477626541e-01,1.250226241928529824e-01,1.269668179974864364e-01
1.220244048809762116e+00,2.621997027353490384e-01,7.534937205169342511e-02,-1.330038633592398323e-01,1.246793876706477205e-01,1.240891974715745555e-01
1.240248049609921965e+00,2.646903348174293735e-01,7.642269557385868162e-02,-1.346151599210388683e-01,1.243335784681782186e-01,1.237973393557960100e-01
1.260252050410082036e+00,2.671740242935912168e-01,7.749104379727815572e-02,-1.362100921392704889e-01,1.239852647065150248e-01,1.236694853712699271e-01
1.280256051210242108e+00,2.696507217036606674e-01,7.855443064689500432e-02,-1.377887531420503575e-01,1.236345140537222775e-01,1.255841230114787543e-01
1.300260052010402179e+00,2.721203789197566003e-01,7.961287014216202051e-02,-1.393512358794991302e-01,1.232813937064050763e-01,1.200823748699103438e-01
1.320264052810562250e+00,2.745829491462907224e-01,8.066637639704163365e-02,-1.408976331237424551e-01,1.229259703717996699e-01,1.183363408997880062e-01
1.340268053610722099e+00,2.770383869199676274e-01,8.171496362000593705e-02,-1.424280374689109174e-01,1.225683102504029343e-01,1.152666801589561224e-01
1.360272054410882170e+00,2.794866481097846300e-01,8.275864611403671578e-02,-1.439425413311401503e-01,1.222084790191351883e-01,1.258044917173054278e-01
1.380276055211042241e+00,2.819276899170320982e-01,8.379743827662533562e-02,-1.454412369485706680e-01,1.218465418150318502e-01,1.220679218937816557e-01
1.400280056011202312e+00,2.843614708752929543e-01,8.483135459977285409e-02,-1.469242163813480606e-01,1.214825632194587723e-01,1.260129214588258106e-01
1.420284056811362383e+00,2.867879508504431740e-01,8.586040966998996493e-02,-1.483915715116228551e-01,1.211166072428452034e-01,1.210897383485140116e-01
1.440288057611522454e+00,2.892070910406514539e-01,8.688461816829699813e-02,-1.498433940435505429e-01,1.207487373099297157e-01,1.185222709443321809e-01
1.460292058411682303e+00,2.916188538747219727e-01,8.790399484834661437e-02,-1.512797754657227711e-01,1.203790162594675639e-01,1.218128041558665386e-01
1.480296059211842374e+00,2.940232026165274792e-01,8.891855443639422318e-02,-1.527008068502511418e-01,1.200075063893179667e-01,1.197777411505063783e-01
1.500300060012002445e+00,2.964201022395238638e-01,8.992831181241381366e-02,-1.541065791498469895e-01,1.196342693256456646e-01,1.158717093397247655e-01
1.520304060812162517e+00,2.988095189566602472e-01,9.093328193081468003e-02,-1.554971831043958641e-01,1.192593660692062019e-01,1.166041663248538890e-01
1.540308061612322588e+00,3.011914201232893107e-01,9.193347980115290641e-02,-1.568727092109716559e-01,1.188828569972894406e-01,1.241831949497431975e-01
1.560312062412482659e+00,3.035657742371672962e-01,9.292892048813149175e-02,-1.582332477238368174e-01,1.185048018532515735e-01,1.195678536392221492e-01
1.580316063212642508e+00,3.059325509384540620e-01,9.391961911160019716e-02,-1.595788886544422247e-01,1.181252597364640944e-01,1.193744193415546273e-01
1.600320064012802579e+00,3.082917210097132488e-01,9.490559084655574018e-02,-1.609097217714272610e-01,1.177442890926750363e-01,1.169146339377119953e-01
1.620324064812962650e+00,3.106432563759119470e-01,9.588685092314158664e-02,-1.622258366006196773e-01,1.173619477047765092e-01,1.152927890134782390e-01
1.640328065613122721e+00,3.129871301044208076e-01,9.686341462664808943e-02,-1.635273224250357871e-01,1.169782926839731119e-01,1.196532601306859178e-01
1.660332066413282792e+00,3.153233164050143200e-01,9.783529729751246073e-02,-1.648142682848802998e-01,1.165933804613456665e-01,1.162795011033245923e-01
1.680336067213442863e+00,3.176517906298702565e-01,9.880251433131873040e-02,-1.660867629775464316e-01,1.162072667798041692e-01,1.139299424445603809e-01
1.700340068013602712e+00,3.199725292735703386e-01,9.976508117879777371e-02,-1.673448950576158500e-01,1.158200066864249200e-01,1.154176211283762798e-01
1.720344068813762783e+00,3.222855099730996820e-01,1.007230133458273669e-01,-1.685887528368586463e-01,1.154316545251651144e-01,1.127148364749980536e-01
1.740348069613922855e+00,3.245907115078470739e-01,1.016763263934320483e-01,-1.698184243842334462e-01,1.150422639299500116e-01,1.156124014457233506e-01
1.760352070414082926e+00,3.268881137996049180e-01,1.026250359377832710e-01,-1.710339975258872713e-01,1.146518878181256584e-01,1.180395707083327778e-01
1.780356071214242997e+00,3.291776977845550789e-01,1.035691576306509154e-01,-1.722355598142399358e-01,1.142605784037376004e-01,1.117523229053078576e-01
1.800360072014403068e+00,3.314594449035157542e-01,1.045087070701715415e-01,-1.734231983561553281e-01,1.138683872732247360e-01,1.181540192887370888e-01
1.820364072814562917e+00,3.337333381732715543e-01,1.054436999593793833e-01,-1.745970000498533736e-01,1.134753652193810219e-01,1.114725053733966464e-01
1.840368073614722988e+00,3.359993616412897399e-01,1.063741520397007700e-01,-1.757570515247978971e-01,1.130815623145646209e-01,1.135417988027364461e-01
1.860372074414883059e+00,3.382575002708403389e-01,1.073000790746147654e-01,-1.769034391190951738e-01,1.126870279242988271e-01,1.101778683483862625e-01
1.880376075215043130e+00,3.405077399409959793e-01,1.082214968496532231e-01,-1.780362488794939857e-01,1.122918107040974944e-01,1.116251052050344916e-01
1.900380076015203201e+00,3.427500674466324448e-01,1.091384211724007736e-01,-1.791555665613856207e-01,1.118959585965589448e-01,1.120381718340413280e-01
1.920384076815363272e+00,3.449844704984280086e-01,1.100508678724947953e-01,-1.802614776288038456e-01,1.114995188287224714e-01,1.101954639902021915e-01
1.940388077615523121e+00,3.472109377228639882e-01,1.109588528016254849e-01,-1.813540672544249333e-01,1.111025379096833854e-01,1.089938742229658725e-01
1.960392078415683192e+00,3.494294586622244125e-01,1.118623918335357736e-01,-1.824334203195676074e-01,1.107050616284605826e-01,1.086714030564695926e-01
1.980396079215843264e+00,3.516400237745961888e-01,1.127615008640214106e-01,-1.834996214141931536e-01,1.103071350521126204e-01,1.078436552043600394e-01
2.000400080016003113e+00,3.538426244338688242e-01,1.136561958109308657e-01,-1.845527548369053084e-01,1.099088025240970434e-01,1.051985625453237538e-01
2.020404080816163184e+00,3.560372529297349820e-01,1.145464926141654405e-01,-1.855929045949502587e-01,1.095101076628673953e-01,1.087211988296350185e-01
2.040408081616323255e+00,3.582239024676899253e-01,1.154324072356791714e-01,-1.866201544042167815e-01,1.091110933607040423e-01,1.103145679895344566e-01
2.060412082416483326e+00,3.604025671690316845e-01,1.163139556594788848e-01,-1.876345876892360764e-01,1.087118017827726352e-01,1.114370075580508879e-01
