t,p,D,dp_dt,dp_dt_noisy
0.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00,3.890677530017152413e-02,3.925235949223630783e-02
3.000600120024004766e-02,5.116899236786451310e-02,4.455272236562670416e-04,3.901041866636636296e-02,3.983203680986752149e-02
6.001200240048009532e-02,5.234109050112675798e-02,8.858294080365116752e-04,3.911377826746918751e-02,3.944421534365257637e-02
9.001800360072013951e-02,5.351628528443866384e-02,1.320977962100441288e-03,3.921681418534167518e-02,3.791365695373731526e-02
1.200240048009601906e-01,5.469456642079408709e-02,1.751043225420701940e-03,3.931948717743546928e-02,4.022484304410858802e-02
1.500300060012002279e-01,5.587592244777429135e-02,2.176094478261197084e-03,3.942175868317739779e-02,3.986813325554140752e-02
1.800360072014402790e-01,5.706034072204291957e-02,2.596199909469966340e-03,3.952359083745821122e-02,3.898663760209792467e-02
2.100420084016803302e-01,5.824780750014171143e-02,3.011426694135921692e-03,3.962494646716169244e-02,4.020606457135804390e-02
2.400480096019203813e-01,5.943830794971282500e-02,3.421841004953766249e-03,3.972578909474426545e-02,4.009036149093034296e-02
2.700540108021604047e-01,6.063182614949881588e-02,3.827508012223989481e-03,3.982608294306502761e-02,4.012021543972055238e-02
3.000600120024004558e-01,6.182834510316694704e-02,4.228491891010035739e-03,3.992579294035678017e-02,3.995421518167257408e-02
3.300660132026405069e-01,6.302784677482212161e-02,4.624855821386709281e-03,4.002488473116289081e-02,4.057159771777534008e-02
3.600720144028805580e-01,6.423031208026677708e-02,5.016661988966383129e-03,4.012332467823474802e-02,3.938687059123308076e-02
3.900780156031206092e-01,6.543572096732926113e-02,5.403971653873559065e-03,4.022107985873255714e-02,4.005816991073950228e-02
4.200840168033606603e-01,6.664405242154859688e-02,5.786845154811109775e-03,4.031811806674606008e-02,3.983599875406608481e-02
4.500900180036007114e-01,6.785528446617453135e-02,6.165341909060283176e-03,4.041440781586649877e-02,4.101325402850112406e-02
4.800960192038407626e-01,6.906939417540966519e-02,6.539520419019646293e-03,4.050991834183129831e-02,4.054964044931295974e-02
5.101020204040808137e-01,7.028635772007646443e-02,6.909438276331206566e-03,4.060461961120450519e-02,4.031216286023941997e-02
5.401080216043208093e-01,7.150615034348513366e-02,7.275152150353537787e-03,4.069848232226189189e-02,3.991657385990504681e-02
5.701140228045609160e-01,7.272874645252525028e-02,7.636717862647863196e-03,4.079147789831120280e-02,4.053428565769233438e-02
6.001200240048009116e-01,7.395411962672773787e-02,7.994190393069634110e-03,4.088357848781905279e-02,4.089172066833739877e-02
6.301260252050410182e-01,7.518224261826489396e-02,8.347623879768541200e-03,4.097475696470782164e-02,4.069915405940845166e-02
6.601320264052810138e-01,7.641308735431684429e-02,8.697071620421388538e-03,4.106498692848874893e-02,4.235905074288695560e-02
6.901380276055211205e-01,7.764662499859593947e-02,9.042586091794774933e-03,4.115424270787972072e-02,4.216096702318551659e-02
7.201440288057611161e-01,7.888282591317410941e-02,9.384218911513871053e-03,4.124249936581862036e-02,3.853133688685265318e-02
7.501500300060012227e-01,8.012165973781767980e-02,9.722020909397308813e-03,4.132973268893055246e-02,3.944071944296288074e-02
7.801560312062412184e-01,8.136309542585443144e-02,1.005604215144595935e-02,4.141591918412237949e-02,4.124114709206722074e-02
8.101620324064813250e-01,8.260710124417360023e-02,1.038633193984292609e-02,4.150103607668123584e-02,4.107884566510488361e-02
8.401680336067213206e-01,8.385364477322586330e-02,1.071293881295354820e-02,4.158506130823737268e-02,4.179870430573598417e-02
8.701740348069614273e-01,8.510269292635015692e-02,1.103591055357829032e-02,4.166797353486702271e-02,4.188529546588958680e-02
9.001800360072014229e-01,8.635421200365150929e-02,1.135529419085150836e-02,4.174975213164781179e-02,4.386759088669885814e-02
9.301860372074415295e-01,8.760816765001082362e-02,1.167113598472830326e-02,4.183037718825149270e-02,4.071835642555921009e-02
9.601920384076815251e-01,8.886452495846700050e-02,1.198348150143037708e-02,4.190982949750247238e-02,4.153222449037547587e-02
9.901980396079215208e-01,9.012324847923064430e-02,1.229237561873469664e-02,4.198809055115404476e-02,4.403086215864637776e-02
1.020204040808161627e+00,9.138430221968417422e-02,1.259786252597347965e-02,4.206514253585311169e-02,4.271184553205496087e-02
1.050210042008401734e+00,9.264764964438174100e-02,1.289998572403420508e-02,4.214096832900200013e-02,4.280403170137826036e-02
1.080216043208641619e+00,9.391325370538447515e-02,1.319878803721413751e-02,4.221555149488909892e-02,4.170154512320163598e-02
1.110222044408881725e+00,9.518107688283372614e-02,1.349431160476187094e-02,4.228887628765486822e-02,4.064080111679921337e-02
1.140228045609121832e+00,9.645108115071543420e-02,1.378659787844003712e-02,4.236092764258238275e-02,4.252839238680512085e-02
1.170234046809361939e+00,9.772322807853396631e-02,1.407568769146409424e-02,4.243169116333588009e-02,4.254070525115742629e-02
1.200240048009601823e+00,9.899747883561484108e-02,1.436162126085529372e-02,4.250115311603840790e-02,4.127380106179383279e-02
1.230246049209841930e+00,1.002737941911046593e-01,1.464443818744068544e-02,4.256930042342287057e-02,4.188607376164230761e-02
1.260252050410082036e+00,1.015521345139711873e-01,1.492417745585310207e-02,4.263612065891972391e-02,4.256407697919249722e-02
1.290258051610322143e+00,1.028324597944877961e-01,1.520087744317285584e-02,4.270160204060931275e-02,4.175685041754853555e-02
1.320264052810562028e+00,1.041147297032991303e-01,1.547457592072215907e-02,4.276573343100441293e-02,4.266746346315219290e-02
1.350270054010802134e+00,1.053989035314343986e-01,1.574531003153344794e-02,4.282850433011397423e-02,4.292398735758343187e-02
1.380276055211042241e+00,1.066849402977324696e-01,1.601311636556016632e-02,4.288990485901497673e-02,4.292549109607046026e-02
1.410282056411282348e+00,1.079727987587481008e-01,1.627803096515098580e-02,4.294992575215291625e-02,4.244363409383860447e-02
1.440288057611522232e+00,1.092624374087518835e-01,1.654008932504982474e-02,4.300855835006567318e-02,4.360230642185149857e-02
1.470294058811762339e+00,1.105538144797302696e-01,1.679932639239582054e-02,4.306579459208554478e-02,4.395696154636787034e-02
