p,v,F_index,F_index_noisy
5.070929748201540299e-01,6.873347958328101040e-03,3.727284192636269311e-01,3.744563402239508565e-01
7.702782177955613818e-01,3.800095408058245389e-02,7.633583261694276700e-01,7.674664168869335112e-01
2.864957676317802515e-01,9.044074030818255103e-03,4.106347441762648320e-01,4.122869295571817694e-01
7.691896682823464726e-01,9.898782428329689492e-03,4.587305936744506818e-01,4.522148075164288961e-01
3.870988712062912729e-01,3.367262567778089161e-02,5.754982133370480923e-01,5.800249926704136305e-01
4.539958693835454140e-01,4.306921030532515071e-02,6.188404091912308447e-01,6.210722820530508725e-01
6.966215562922650761e-01,1.660406753124595708e-02,4.866352470535879049e-01,4.839504808767864930e-01
4.455194818214968100e-01,2.777859963844587707e-02,5.231186642531105990e-01,5.260242547740923147e-01
5.297562126038357633e-01,3.950028731736198589e-02,5.969118392574581655e-01,5.987347012383885669e-01
2.165354679458410259e-01,1.332638983666539767e-02,5.005174211880750734e-01,5.019880836713527250e-01
6.521078652048839519e-01,2.355325275751713604e-02,5.237245234764670299e-01,5.238666346830460618e-01
5.228859879315670423e-01,3.168089280030896016e-02,5.473047531036164814e-01,5.500383180366786862e-01
3.978390298994552987e-01,4.043277035938203784e-02,6.160985966305838613e-01,6.124163261955755111e-01
6.730572220570426589e-01,3.080439156930377467e-02,5.906552440041282770e-01,5.898406942641629680e-01
3.819168975749870354e-01,1.157515095489144649e-02,4.133393493902867144e-01,4.109287528268868450e-01
4.720987336883909480e-01,4.237106672159754450e-02,6.127785721369829464e-01,6.157728032001560381e-01
2.804250183482988601e-01,4.149956955806757136e-02,7.050602772438834265e-01,7.052588877812917545e-01
4.418677918682775707e-01,3.753163106642654762e-02,5.868463959093788151e-01,5.853841121545533266e-01
3.220731444056897930e-01,3.798488291975878756e-02,6.395526607426798016e-01,6.356431184308956039e-01
3.573880042651097488e-01,2.550904262761114968e-02,5.279805147627986139e-01,5.266945535597042927e-01
6.502188035780316344e-01,3.426064676779627671e-02,6.021262324087189866e-01,6.021669433113107095e-01
3.682452547916239549e-01,4.994301064632492015e-02,6.882989623375646016e-01,6.869209478110677169e-01
4.911145846589811126e-01,4.886906524109640299e-02,6.496148654790865340e-01,6.560851845510775604e-01
7.884423198807433142e-01,1.339017816128887720e-02,5.207875939740799209e-01,5.258212155506089003e-01
7.769943161982721946e-01,3.368347638298705565e-02,7.355629915467766233e-01,7.220071791519467874e-01
6.348739644641202551e-01,4.403917035543038899e-02,6.589567856117639622e-01,6.495117193819256451e-01
5.247361133284605961e-01,7.705911317239407671e-03,3.796900616401241990e-01,3.788162011798483775e-01
3.661347224272225587e-01,3.087231077590821618e-02,5.638589680170557061e-01,5.617480159591738964e-01
2.963912052650761186e-01,1.019714310643300356e-02,4.191622564762702008e-01,4.202304714637632443e-01
7.819552479296796310e-01,1.326044550888044390e-02,5.122152708523208808e-01,5.133018805074337498e-01
5.096411513287273376e-01,2.116383127620933766e-02,4.763678346317836154e-01,4.869570284070388611e-01
2.695193674824621910e-01,3.005011485463654833e-02,6.230950676481089578e-01,6.175349638346475656e-01
