h2,S,t_gen,R,R_noisy
4.850483809952181868e-01,2.623568230551021063e-01,1.144251784876288625e+01,9.901442978487580426e-02,1.024702717055236689e-01
8.578941418770450467e-01,2.960082686983812827e+00,6.260307944175158568e-01,4.666453194587087405e-01,4.748615008937203119e-01
1.725356708116886906e-01,4.504864160042487686e-01,2.905911222973158736e+00,6.938273342781624275e-02,7.268710418965011744e-02
8.563520300666572771e-01,5.245611437885731032e-01,1.648740906687620367e+01,2.821754751635169312e-01,2.691439028474733042e-01
3.150567342089126144e-01,2.584960892074343874e+00,6.761532519535604635e+00,2.760551285374988062e-01,2.851086872042299936e-01
4.098274816266893050e-01,3.399331559794846580e+00,1.369745385063219700e+01,2.086334607289253018e-01,2.130972064525654130e-01
7.535472047473754653e-01,1.105685852707982919e+00,6.747135061870894290e+00,4.837301972058394295e-01,4.783606648522366056e-01
3.978192659137870790e-01,2.074145301998642221e+00,1.510489621245714176e+00,3.892528140855402996e-01,3.950639951275038420e-01
5.171546345221005314e-01,3.090024900838038491e+00,3.321912560937252401e+00,3.260287972767725306e-01,3.296745212386332780e-01
7.342524625660810933e-02,8.216204525110011314e-01,5.396164345432996612e-01,5.489844612171213001e-02,5.783977108826739155e-02
6.904861423735856318e-01,1.707948572318151559e+00,7.695143587059676271e+00,5.180467739628635826e-01,5.183309963760215355e-01
5.074218162363864915e-01,2.412344042693443047e+00,3.922862471089141323e+00,4.150767442724438983e-01,4.205438741385683632e-01
3.302719590242283454e-01,3.170840097813109715e+00,1.573724128614548512e+01,2.015255646469413520e-01,1.941610237769246794e-01
7.201643979141436613e-01,2.336380602672993412e+00,1.068832614968362460e+00,5.424308112869935528e-01,5.408017118070630458e-01
3.077156048978982317e-01,6.698464160905919229e-01,1.430170069978095881e+01,1.458784625974837157e-01,1.410572694706839214e-01
4.354732060585537745e-01,3.338825782538453524e+00,1.342855939625927775e+01,2.245042604778315354e-01,2.304927226041778021e-01
1.639354426600900250e-01,3.263296028365856305e+00,9.829566776228135794e+00,1.245859854656255344e-01,1.249832065404421211e-01
3.926460384800598002e-01,2.919408025756967451e+00,9.440997216283852467e+00,2.734059499338017951e-01,2.704813824241509290e-01
2.229369545747271752e-01,2.958689853045761708e+00,3.621086805679991638e+00,1.977977370618274888e-01,1.899786524382590658e-01
2.729663393755720757e-01,1.877450361059632700e+00,6.585548653109740691e+00,2.725642775052831701e-01,2.699923550990944721e-01
6.878099717355447007e-01,2.635922719875676723e+00,1.554750942216789866e+01,3.929788872304666447e-01,3.930603090356500906e-01
2.883474442881339139e-01,3.995060922681493043e+00,3.869348809267012523e+00,1.306685793096775128e-01,1.279125502566837991e-01
4.624123282668897716e-01,3.901985654228354861e+00,1.248744306021953143e+01,1.627432379910610794e-01,1.756838761350431599e-01
8.836266198310528397e-01,8.271487739783691673e-01,1.493604644355700906e+01,4.095684515807746506e-01,4.196356947338326093e-01
8.674086146142188092e-01,2.585901286525544407e+00,1.860196473554978525e+01,4.361911723536226471e-01,4.090795475639629752e-01
6.660714496575036447e-01,3.483394764137300204e+00,9.706695796570974366e-01,3.070007525402013160e-01,2.881106200805245710e-01
5.100428272153191278e-01,3.345123141607485584e-01,1.080099371395798258e+01,1.306525315097678830e-01,1.289048105892162677e-01
2.853575234385651860e-01,2.342266933912044991e+00,1.906649232896717727e+00,2.927301799582214259e-01,2.885082758424579175e-01
1.865542074588578125e-01,5.504190692241935912e-01,1.773031320478840200e+01,7.411211117538989146e-02,7.624854115037600633e-02
8.744366012337126959e-01,8.159052774363050320e-01,1.906665046961041199e+01,3.866809590653196294e-01,3.888541783755452563e-01
4.886582977156968544e-01,1.500865377271475731e+00,1.117808869145953121e+00,4.409688104732349401e-01,4.621471980237454313e-01
1.484857706001547761e-01,2.271009954068500480e+00,1.984475625424400036e+00,1.744305399603059414e-01,1.633103323333831292e-01
5.799662922068753446e-01,2.211700353738020208e+00,9.153182087845799231e+00,4.364613212553563604e-01,4.326852711840863952e-01
7.101806471909533069e-01,2.065543780596935886e+00,1.549863757971138867e+01,4.662118594585534237e-01,4.866395755334766982e-01
5.710528058950844477e-01,3.833315220773015675e+00,1.232056633044165395e+01,1.906085944043858504e-01,1.970756243664043283e-01
8.297030490722673290e-01,2.086430262480901909e+00,6.634406009873496934e+00,5.688649576782395245e-01,5.754955914020021268e-01
8.365394516457243246e-02,2.959074936303422998e+00,1.193682314571716319e+01,7.791479752244497015e-02,7.277473380557034077e-02
4.993008737710183942e-01,1.403769105297287823e+00,1.595924819470807599e+01,3.564329775714881743e-01,3.399522258629316673e-01
4.404355004525931649e-01,3.002901320311336164e+00,1.842997455877635460e+01,2.548620570614781866e-01,2.565367045037055815e-01
1.029971422773942602e-01,3.016773431236604353e+00,2.766485282313100313e+00,1.045873770482780712e-01,1.056775179264935471e-01
5.951289437684686989e-01,2.711304958020526623e+00,1.686040832875323048e+01,3.484128806497033826e-01,3.361393601072576454e-01
7.747379127085582962e-01,3.041753421095201304e+00,1.295820673003703227e+01,3.577271025878406840e-01,3.508948359700350683e-01
5.539998653886414326e-01,2.332191113946892269e+00,1.072607713179098532e+01,4.047369699807098486e-01,4.040165331834375539e-01
2.710828305766397328e-01,3.436994343498596560e+00,8.815539306830562083e+00,1.672876605678615125e-01,1.578401443372537405e-01
7.638992928766974444e-01,3.346882345511635215e+00,1.021609020695236403e+01,3.099464086479181146e-01,3.089637089693959560e-01
4.830714992932829688e-01,4.759201182065782021e-01,9.174500424620051220e+00,1.739124058790553207e-01,1.748672361537498554e-01
4.842555517965530520e-01,1.848587570688956516e+00,1.341381394948103001e+01,3.806244749699511098e-01,3.809803373405059590e-01
6.900756765468512022e-01,5.706210511555142029e-01,1.824062813727327637e+01,2.481738877322332559e-01,2.431109711490901104e-01
1.757337304172130743e-01,3.807102253237657496e+00,4.737645354614459237e+00,1.040908548699486375e-01,1.100283355878068636e-01
7.466827112513854114e-01,1.796075665488251039e+00,4.128765128203371049e-02,6.106181625294336834e-01,6.195298320722569807e-01
6.307938701027685502e-01,9.583054405930551134e-01,5.151609425990688607e-01,4.288080654640007428e-01,4.320165485096663649e-01
7.190324003215808890e-01,3.366751312718015310e+00,1.823393252653468721e+01,2.718866701283937926e-01,2.637043678544906955e-01
2.128738201671149244e-01,4.401430224252930179e-01,1.857665398962323522e+01,6.779204757156508110e-02,7.510857040941948393e-02
7.320095369643505601e-01,7.009390997189653971e-01,1.750298001758216060e+01,3.075244210127422995e-01,3.025100208280717684e-01
2.126253371486202526e-01,2.747436753323193592e+00,1.164946244821985388e+01,1.832547511022209752e-01,1.920463572851008327e-01
1.193197247589858068e-01,2.078950959266414600e+00,1.170423790479032711e+01,1.264360185179022877e-01,1.157181443491278466e-01
7.769429281440096702e-01,1.142449198459165816e+00,8.078205515946185855e+00,4.927711342903980940e-01,5.019158063216858645e-01
7.820909717510181602e-01,2.347491100122497620e+00,6.756393818420249886e+00,5.181703738090287503e-01,5.179697392628739294e-01
7.950565319540934262e-01,9.087963278649734411e-01,1.866445723246079069e+01,3.879152327813974455e-01,3.754277438780532772e-01
4.511232614549716691e-01,1.306018882499655920e+00,1.060677451797368320e+01,3.409882335969692813e-01,3.378492388773007837e-01
2.829411303216605167e-01,2.483136395149489584e+00,5.504187122023256329e+00,2.672639448133407036e-01,2.678049676010561542e-01
5.602805431269132497e-02,3.543435403681695739e+00,1.314452766304362186e+01,4.134195394682696478e-02,4.406986733847149951e-02
5.988627612387056320e-01,2.842395263818251472e+00,1.833198051785447369e+00,4.058889795326239280e-01,3.960670982832141251e-01
6.619229759823891390e-01,2.608588358154696696e+00,1.367377089933230927e+01,3.972649516774582890e-01,3.861912212058063454e-01
7.602338340252330351e-01,3.011923834579575132e+00,5.448233700515436873e+00,3.997638103386665920e-01,4.017596556671373942e-01
2.895961532598608223e-01,1.575665544464347478e+00,1.388228721244842490e+01,2.491743032381455170e-01,2.445068070693474926e-01
2.329354420885275667e-01,3.925814434795105612e+00,9.638555192501250701e+00,1.094923383164880942e-01,1.118473944337903397e-01
5.934316730565997178e-01,2.483914702030942223e+00,1.722367112766266217e+01,3.750808720565922405e-01,3.826760672813760422e-01
7.342966081732582584e-01,1.104488974495262621e+00,1.513242764898548209e+01,4.251268996721706550e-01,4.086390260086611992e-01
8.691202419182252337e-01,2.402644666144323204e-01,1.966520979583540552e+01,1.434767025069149105e-01,1.460205836720910866e-01
1.779461058580008581e-01,5.358467826539793366e-01,1.161344172557293497e+01,7.403204491793899389e-02,8.627851459329631545e-02
4.598805299694360138e-01,8.741856912976835314e-01,1.652429236014292258e+01,2.506370990411539990e-01,2.476618305974492562e-01
8.105084828667474817e-01,2.964053292139679829e+00,1.317427585099242116e+01,3.789236045971643985e-01,3.708154587647887190e-01
4.093093709036216832e-01,3.276632541443196267e+00,1.473472373881166142e+01,2.206869330103337912e-01,2.282093712821297304e-01
5.510767527714408587e-01,3.709266095690223697e+00,1.790879985506888517e+01,1.923860910315323136e-01,1.949205561936137310e-01
7.081707586935871712e-02,2.607349917192519850e+00,6.258534819899761459e+00,8.021749140432700431e-02,8.917632211210260729e-02
6.224409040799980808e-01,1.259380260904491733e+00,1.592348527601269481e+01,3.997851482587194138e-01,3.963329911582066378e-01
8.312253266887491554e-01,3.371589448439605619e+00,1.853675774311897229e+01,2.879047691744610060e-01,2.730865864372388763e-01
7.528015301232129364e-01,3.818533662546824026e+00,1.978028890328356582e+01,2.015071105816531039e-01,2.004070029345405846e-01
8.026922267034547476e-01,2.817924976146574334e+00,2.916360976096994406e+00,4.678566783573208099e-01,4.633983968272085141e-01
6.113020734424449154e-01,3.821963558861465327e-01,5.624563636380024434e+00,1.867834983930995452e-01,1.945367366135752896e-01
2.587194271567009318e-01,1.702829709449680484e+00,8.493577466309758961e+00,2.496395698481615466e-01,2.515758983319331121e-01
7.032394490618162353e-01,1.070880156252362658e+00,7.616983412072206860e+00,4.466822446255361290e-01,4.303737523011851307e-01
2.299235312163839251e-01,3.763115996355287152e+00,1.874938272252839866e+01,1.090769250059595019e-01,9.712529420492750643e-02
7.565836094647919730e-01,3.263381225391678075e+00,5.025736811516745561e-01,3.748944322320557632e-01,3.837323225979283325e-01
1.033102341851530048e-01,3.727157373078296976e-01,1.792975966292137713e+01,2.888764708144838170e-02,3.568529725562684385e-02
7.516646413845224917e-01,2.476784528255258522e+00,1.697260718640440924e+00,5.271420665089980861e-01,5.207396328499132032e-01
1.898311765029860876e-01,3.942075574156993500e+00,1.875090062366409072e+01,8.438081704879105138e-02,8.437032908311824231e-02
3.688749470221455717e-01,2.142843895377220864e+00,1.842591983263809396e+01,2.930425356482908028e-01,2.974982711860526541e-01
3.192274415734196458e-01,3.568821242640058955e+00,9.645556384806647898e+00,1.704394124866345228e-01,1.751234558451073009e-01
6.376364799860800847e-01,3.268089641129213518e+00,3.484018259639927173e+00,3.297085715148131979e-01,3.384709934759567163e-01
