s,P_fix,P_fix_noisy
5.000000000000000000e-01,2.171995719281923920e-01,2.206554138488402428e-01
5.005001000200040018e-01,2.173655167937667831e-01,2.255816982287783545e-01
5.010002000400080036e-01,2.175313761648843269e-01,2.208357469267182016e-01
5.015003000600120053e-01,2.176971500653544778e-01,2.046655777493108785e-01
5.020004000800160071e-01,2.178628385189652628e-01,2.269163971856964501e-01
5.025005001000200089e-01,2.180284415494740113e-01,2.224921872731141226e-01
5.030006001200240107e-01,2.181939591806061340e-01,2.128244268270032824e-01
5.035007001400280124e-01,2.183593914360564547e-01,2.241705724780199971e-01
5.040008001600320142e-01,2.185247383394885445e-01,2.221704623013492919e-01
5.045009001800360160e-01,2.186899999145361095e-01,2.216313248810913572e-01
5.050010002000400178e-01,2.188551761848032406e-01,2.191393985979612213e-01
5.055011002200440196e-01,2.190202671738621376e-01,2.244873970399866026e-01
5.060012002400480213e-01,2.191852729052571891e-01,2.118207320352405165e-01
5.065013002600520231e-01,2.193501934025016697e-01,2.177210939225711350e-01
5.070014002800560249e-01,2.195150286890821534e-01,2.146938355622823591e-01
5.075015003000600267e-01,2.196797787884537945e-01,2.256682409148000612e-01
5.080016003200640284e-01,2.198444437240440474e-01,2.202416647988606480e-01
5.085017003400680302e-01,2.200090235192522226e-01,2.170844560096013287e-01
5.090018003600720320e-01,2.201735181974488753e-01,2.123544335738804523e-01
5.095019003800760338e-01,2.203379277819773885e-01,2.177660053757886904e-01
5.100020004000800355e-01,2.205022522961526399e-01,2.205836741013360858e-01
5.105021004200840373e-01,2.206664917632629175e-01,2.179104627102692038e-01
5.110022004400880391e-01,2.208306462065679210e-01,2.337712843505500016e-01
5.115023004600920409e-01,2.209947156493023701e-01,2.310619588023603010e-01
5.120024004800960427e-01,2.211587001146728959e-01,1.940470753250131963e-01
5.125025005001000444e-01,2.213225996258601225e-01,2.024324671661834052e-01
5.130026005201040462e-01,2.214864142060186114e-01,2.197386932854669961e-01
5.135027005401080480e-01,2.216501438782769451e-01,2.174282397625134089e-01
5.140028005601120498e-01,2.218137886657371161e-01,2.239502186407232309e-01
5.145029005801160515e-01,2.219773485914779132e-01,2.241505679017035402e-01
5.150030006001200533e-01,2.221408236785504253e-01,2.433192112290609166e-01
5.155031006201240551e-01,2.223042139499815939e-01,2.111840063230587816e-01
5.160032006401280569e-01,2.224675194287747404e-01,2.186914693575047475e-01
5.165033006601320587e-01,2.226307401379067352e-01,2.430584562128300374e-01
5.170034006801360604e-01,2.227938761003322166e-01,2.292609060623506945e-01
5.175035007001400622e-01,2.229569273389799822e-01,2.295875610627426122e-01
5.180036007201440640e-01,2.231198938767567641e-01,2.179798301598821486e-01
5.185037007401480658e-01,2.232827757365440369e-01,2.068020240279875022e-01
5.190038007601520675e-01,2.234455729412013480e-01,2.251202203834287707e-01
5.195039007801560693e-01,2.236082855135647363e-01,2.246984263917801983e-01
5.200040008001600711e-01,2.237709134764469532e-01,2.114973929340012160e-01
5.205041008201640729e-01,2.239334568526388791e-01,2.171011902348332634e-01
5.210042008401680746e-01,2.240959156649089679e-01,2.233754788676367009e-01
5.215043008601720764e-01,2.242582899360024418e-01,2.148107737053946698e-01
5.220044008801760782e-01,2.244205796886442617e-01,2.234378800101220752e-01
5.225045009001800800e-01,2.245827849455364622e-01,2.255376152202309969e-01
5.230046009201840818e-01,2.247449057293601227e-01,2.251007680999149718e-01
