t,v,w,s_ca,c_ca,dv_dt,dv_dt_noisy
0.000000000000000000e+00,-6.500000000000000000e+01,2.000000000000000111e-01,0.000000000000000000e+00,5.000000000000000278e-02,2.071636564010190540e+01,2.088915773613429749e+01
8.001600320064013172e-02,-6.348364814536617473e+01,-2.065829353273222757e-01,2.345402125583981919e-03,5.000580339217140791e-02,1.733278590857231904e+01,1.774359498032289650e+01
1.600320064012802634e-01,-6.220614645354654471e+01,-6.022025433702679065e-01,4.871236323301039728e-03,5.002694684985844326e-02,1.470455299275178618e+01,1.486977153084347947e+01
2.400480096019204090e-01,-6.111585817155047096e+01,-9.882661261757739180e-01,7.538955430176041451e-03,5.006865086454952152e-02,1.262551061746729175e+01,1.197393200166511207e+01
3.200640128025605269e-01,-6.017477696076542770e+01,-1.365890467617742132e+00,1.031934993428212065e-02,5.013556047133042176e-02,1.095588576001418346e+01,1.140856369335074305e+01
4.000800160032006447e-01,-5.935427651538972782e+01,-1.735975727681711600e+00,1.319005562882192770e-02,5.023174300267338466e-02,9.597944667551999487e+00,9.821131953734004938e+00
4.800960192038408181e-01,-5.863237304148137241e+01,-2.099257093909196570e+00,1.613372455098929098e-02,5.036073510705536133e-02,8.481527227656222578e+00,8.213050609976079386e+00
5.601120224044808804e-01,-5.799190421775244886e+01,-2.456341828389575266e+00,1.913671829355639842e-02,5.052560629978269241e-02,7.555114998689070660e+00,7.845674050787247111e+00
6.401280256051210538e-01,-5.741928203757591831e+01,-2.807736480992105488e+00,2.218817566988984247e-02,5.072902410789426053e-02,6.780127443919425900e+00,6.962413642012463377e+00
7.201440288057612271e-01,-5.690361768410358678e+01,-3.153867269848359633e+00,2.527934260442203651e-02,5.097331441092102511e-02,6.127172930841382481e+00,6.274239179169145864e+00
8.001600320064012895e-01,-5.643609391277669829e+01,-3.495095610800041719e+00,2.840308476877314442e-02,5.126051468563146141e-02,5.573520533264222365e+00,5.587731653922120678e+00
8.801760352070414628e-01,-5.600950596439749773e+01,-3.831730137682872517e+00,3.155352824345245000e-02,5.159241977846482780e-02,5.101355460171689060e+00,5.374711953477912196e+00
9.601920384076816362e-01,-5.561791979173825240e+01,-4.164036136937274257e+00,3.472579087885434290e-02,5.197062066646805645e-02,4.696550198674799503e+00,4.328323155173966263e+00
1.040208041608321698e+00,-5.525641471450494890e+01,-4.492242998695544109e+00,3.791577961191623658e-02,5.239653698341847216e-02,4.347784617711361932e+00,4.266329643714835917e+00
1.120224044808961761e+00,-5.492088598546833822e+01,-4.816550206175884696e+00,4.112003491415418266e-02,5.287144405477888637e-02,4.045903770200993677e+00,3.804844113861004740e+00
1.200240048009602045e+00,-5.460789060671401529e+01,-5.137132225240474526e+00,4.433560939344965979e-02,5.339649526815994085e-02,3.783440728399597219e+00,4.082863834716911278e+00
1.280256051210242108e+00,-5.431452753882446416e+01,-5.454142439402015263e+00,4.755997349025516130e-02,5.397274079671549735e-02,3.554260295661315183e+00,3.574121349402144876e+00
1.360272054410882170e+00,-5.403834354779878169e+01,-5.767716361593872243e+00,5.079094144587695259e-02,5.460114280794275271e-02,3.353289383064698370e+00,3.207061007582153955e+00
