t,g,b,c,dg_dt,dg_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.358974358974358587e+00,-4.352062675133062442e+00
1.600320064012802565e-03,9.930535192278453493e-01,4.289651306506945920e-03,7.964195966795728629e-04,-4.322443399020459154e+00,-4.306011036150436233e+00
3.200640128025605130e-03,9.861652439748257448e-01,8.541706696095606108e-03,1.585401369820800457e-03,-4.286231542273410078e+00,-4.279622800749742773e+00
4.800960192038407695e-03,9.793346657263065635e-01,1.275647845264457798e-02,2.367009471719532139e-03,-4.250336052365909723e+00,-4.276399196997997088e+00
6.401280256051210260e-03,9.725612804421763791e-01,1.693427614739646120e-02,3.141307481652230987e-03,-4.214754216403131970e+00,-4.196647099069669373e+00
8.001600320064012825e-03,9.658445883571277202e-01,2.107540676428933113e-02,3.908358431707057053e-03,-4.179483343903319437e+00,-4.170555852456039325e+00
9.601920384076815390e-03,9.591840939439004732e-01,2.518017472314797861e-02,4.668224811509981940e-03,-4.144520766603299933e+00,-4.155259831310505803e+00
1.120224044808961796e-02,9.525793059132816598e-01,2.924888187968392728e-02,5.420968568224796176e-03,-4.109863838459580698e+00,-4.098241476375653392e+00
1.280256051210242052e-02,9.460297372016849282e-01,3.328182753321088511e-02,6.166651108179214275e-03,-4.075509935583757404e+00,-4.068218487660035798e+00
1.440288057611522309e-02,9.395349049016297194e-01,3.727930846815104976e-02,6.905333306328945327e-03,-4.041456455883684740e+00,-4.035573805950574133e+00
1.600320064012802565e-02,9.330943304197893973e-01,4.124161885364314994e-02,7.637075486023042238e-03,-4.007700819907506151e+00,-4.007132375081190467e+00
1.760352070414082648e-02,9.267075392233079523e-01,4.516905040356274104e-02,8.361937451666693472e-03,-3.974240469495617933e+00,-3.963306209763369115e+00
1.920384076815363078e-02,9.203740607849522082e-01,4.906189241091844788e-02,9.079978495829813673e-03,-3.941072867491244303e+00,-3.955801949231277703e+00
2.080416083216643508e-02,9.140934285831119332e-01,5.292043174785190235e-02,9.791257399247030660e-03,-3.908195497741727031e+00,-3.911453696701588267e+00
2.240448089617923591e-02,9.078651801017997292e-01,5.674495286563779883e-02,1.049583243081769063e-02,-3.875605865099689851e+00,-3.885248251353289550e+00
2.400480096019203674e-02,9.016888568225415179e-01,6.053573779970203295e-02,1.119376134866996095e-02,-3.843301495381415744e+00,-3.831324571128723377e+00
2.560512102420484104e-02,8.955640041195896961e-01,6.429306623232648732e-02,1.188510141432625074e-02,-3.811279934825561266e+00,-3.810485492675927954e+00
2.720544108821764534e-02,8.894901714812256666e-01,6.801721535228305582e-02,1.256990936431634336e-02,-3.779538751272452757e+00,-3.785387886291754711e+00
