t,A,R,S_a,dA_dt,dA_dt_noisy
0.000000000000000000e+00,5.000000000000000278e-02,1.000000000000000000e+00,1.000000000000000000e+00,4.551980198019801860e-02,4.897564390084587632e-02
4.000800160032006413e-03,5.018239589429428216e-02,9.997998155567670020e-01,9.997998155567670020e-01,4.565994934394926319e-02,5.387613077896084846e-02
8.001600320064012825e-03,5.036535301503266421e-02,9.995993413667578764e-01,9.995993413667578764e-01,4.580035896494333292e-02,4.910472972677720760e-02
1.200240048009601837e-02,5.054887241006420645e-02,9.993985761160206760e-01,9.993985761160206760e-01,4.594103015342052704e-02,3.290945783737692087e-02
1.600320064012802565e-02,5.073295512138360774e-02,9.991975184922812225e-01,9.991975184922812225e-01,4.608196220726503561e-02,5.513552087399621604e-02
2.000400080016003293e-02,5.091760219065716297e-02,9.989961671829532541e-01,9.989961671829532541e-01,4.622315441643105871e-02,5.068690014007116995e-02
2.400480096019203674e-02,5.110281465961048070e-02,9.987945208752355697e-01,9.987945208752355697e-01,4.636460606324596667e-02,4.099507370964311503e-02
2.800560112022404402e-02,5.128859356657779894e-02,9.985925782573377152e-01,9.985925782573377152e-01,4.650631641963583196e-02,5.231749746159936043e-02
3.200640128025605130e-02,5.147493994650200605e-02,9.983903380184804277e-01,9.983903380184804277e-01,4.664828474712127276e-02,5.029400870898202702e-02
3.600720144028805858e-02,5.166185483093460595e-02,9.981877988488953024e-01,9.981877988488953024e-01,4.679051029681330354e-02,4.973183526336856508e-02
4.000800160032006586e-02,5.184933924803574595e-02,9.979849594398250145e-01,9.979849594398250145e-01,4.693299230940944922e-02,4.721721472256741603e-02
4.400880176035207314e-02,5.203739422257420977e-02,9.977818184835229864e-01,9.977818184835229864e-01,4.707573001518987332e-02,5.254285988131434521e-02
4.800960192038407348e-02,5.222602077592740366e-02,9.975783746732539425e-01,9.975783746732539425e-01,4.721872263401379749e-02,3.985418176399713186e-02
5.201040208041608076e-02,5.241521992608138419e-02,9.973746267032933543e-01,9.973746267032933543e-01,4.736196937531590712e-02,4.573286989538537933e-02
5.601120224044808804e-02,5.260499268763082353e-02,9.971705732689277735e-01,9.971705732689277735e-01,4.750546943810304151e-02,4.268427631130326111e-02
6.001200240048009532e-02,5.279534007177903721e-02,9.969662130664548316e-01,9.969662130664548316e-01,4.764922201095094650e-02,5.363768413729722018e-02
6.401280256051210260e-02,5.298626308633798410e-02,9.967615447931829076e-01,9.967615447931829076e-01,4.779322627200121437e-02,4.819044734681780101e-02
6.801360272054410294e-02,5.317776273572824564e-02,9.965565671474314602e-01,9.965565671474314602e-01,4.793748138895834177e-02,4.501291387930745486e-02
7.201440288057611716e-02,5.336984002097902580e-02,9.963512788285311395e-01,9.963512788285311395e-01,4.808198651908696108e-02,4.026290189551853804e-02
7.601520304060811750e-02,5.356249593972819273e-02,9.961456785368233424e-01,9.961456785368233424e-01,4.822674080920921758e-02,4.565481840302051258e-02
8.001600320064013172e-02,5.375573148622221631e-02,9.959397649736604352e-01,9.959397649736604352e-01,4.837174339570227827e-02,4.845316520088571027e-02
8.401680336067213206e-02,5.394954765131622365e-02,9.957335368414059751e-01,9.957335368414059751e-01,4.851699340449605602e-02,4.576096435150234926e-02
8.801760352070414628e-02,5.414394542247396441e-02,9.955269928434342663e-01,9.955269928434342663e-01,4.866248995107098213e-02,6.160312809505305576e-02
9.201840368073614662e-02,5.433892578376783161e-02,9.953201316841306934e-01,9.953201316841306934e-01,4.880823214045599406e-02,5.887547529351393888e-02
9.601920384076814696e-02,5.453448971587884081e-02,9.951129520688916097e-01,9.951129520688916097e-01,4.895421906722674521e-02,2.184259427756705951e-02
1.000200040008001612e-01,5.473063819609664399e-02,9.949054527041244489e-01,9.949054527041244489e-01,4.910044981550379384e-02,3.021031735582706615e-02
1.040208041608321615e-01,5.492737219831952955e-02,9.946976322972476137e-01,9.946976322972476137e-01,4.924692345895115286e-02,4.749920253839953060e-02
