t,R,C,dR_dt,dR_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.639604801619651248e-03
2.000400080016003206e-03,9.999976341805395519e-01,3.062198439545760383e-03,-2.364027987201298888e-03,1.817642560032766211e-02
4.000800160032006413e-03,9.999905496271092042e-01,6.093918098767990565e-03,-4.716384239011328638e-03,3.544542665573349391e-03
6.001200240048009185e-03,9.999787770141880250e-01,9.095458989353676083e-03,-7.049876571444346762e-03,-3.962880736155337258e-02
8.001600320064012825e-03,9.999623614930869264e-01,1.206711811126605707e-02,-9.357832218070289212e-03,1.327606444875765491e-02
1.000200040008001647e-02,9.999413600090922838e-01,1.500918959400893322e-02,-1.163409089300388929e-02,-4.747265839036059892e-04
1.200240048009601837e-02,9.999158411269858382e-01,1.792196470691637469e-02,-1.387300208484491641e-02,-2.729683296885204724e-02
1.400280056011202201e-02,9.998858849990722719e-01,2.080573186046135586e-02,-1.606942242418871181e-02,-1.541469819279883691e-03
1.600320064012802565e-02,9.998515812379605849e-01,2.366077667057870509e-02,-1.821870092019981999e-02,-9.104391015547925667e-03
1.800360072014402929e-02,9.998130291235889366e-01,2.648738189336744681e-02,-2.031667292190138946e-02,-1.296336050551323907e-02
2.000400080016003293e-02,9.997703353669323834e-01,2.928582755766946655e-02,-2.235963905857078077e-02,-2.164908302567586026e-02
2.200440088017603657e-02,9.997236127042298248e-01,3.205639103379451238e-02,-2.434434479595040321e-02,-1.067652013063922871e-02
2.400480096019203674e-02,9.996729798969838932e-01,3.479934703352022263e-02,-2.626796736569159477e-02,-4.467931954073327272e-02
2.600520104020804038e-02,9.996185617319607308e-01,3.751496761009209813e-02,-2.812810326268666908e-02,-3.220085196251298854e-02
2.800560112022404402e-02,9.995604878285938577e-01,4.020352219970072666e-02,-2.992274686190699029e-02,-4.197572967890644824e-02
3.000600120024004766e-02,9.994988907576445314e-01,4.286527761518391100e-02,-3.165026138837695457e-02,-1.667910607251126692e-02
3.200640128025605130e-02,9.994339068880628840e-01,4.550049804129512043e-02,-3.330937018432875846e-02,-3.231631749728728492e-02
3.400680136027205147e-02,9.993656738375209514e-01,4.810944519081739729e-02,-3.489912037314631121e-02,-4.221053914727352502e-02
3.600720144028805858e-02,9.992943303986948633e-01,5.069237830814277840e-02,-3.641886509748633316e-02,-5.596657665640739077e-02
3.800760152030405875e-02,9.992200165392653988e-01,5.324955416927224655e-02,-3.786824726276409592e-02,-4.429805327823586186e-02
4.000800160032006586e-02,9.991428734019172087e-01,5.578122708181580680e-02,-3.924718416801941528e-02,-3.904362965506082833e-02
4.200840168033606603e-02,9.990630425010772475e-01,5.828764892194065322e-02,-4.055584492184634293e-02,-4.744591755433060637e-02
4.400880176035207314e-02,9.989806637298243031e-01,6.076906913564075058e-02,-4.179461500825591008e-02,-9.443019648300729485e-03
4.600920184036807331e-02,9.988958767592232002e-01,6.322573469171945126e-02,-4.296409440365402121e-02,-1.779598652100916265e-02
4.800960192038407348e-02,9.988088193423345640e-01,6.565789025724438899e-02,-4.406506546586758805e-02,-1.118441274400168162e-01
5.001000200040008059e-02,9.987196272151743770e-01,6.806577820457894445e-02,-4.509847665332264444e-02,-9.232380780251446539e-02
5.201040208041608076e-02,9.986284340967140905e-01,7.044963861138227312e-02,-4.606542814212999382e-02,-5.043473044350904599e-02
5.401080216043208787e-02,9.985353716888809572e-01,7.280970926060935378e-02,-4.696715832258955420e-02,-5.752191861199839468e-02
5.601120224044808804e-02,9.984405696729716784e-01,7.514622564096483381e-02,-4.780503108066710971e-02,-4.246395614320182949e-02
5.801160232046409515e-02,9.983441546083751117e-01,7.745942102110398020e-02,-4.858051071735045023e-02,-4.314746244178636198e-02
6.001200240048009532e-02,9.982462495493519272e-01,7.974952633050604034e-02,-4.929514480510539809e-02,3.650824071170809260e-03
6.201240248049610243e-02,9.981469745545171746e-01,8.201677026159021056e-02,-4.995055865085588215e-02,-7.775107771816291979e-02
6.401280256051210260e-02,9.980464462531399850e-01,8.426137937200545158e-02,-5.054843922729722328e-02,-5.998856440547217783e-02
6.601320264052810971e-02,9.979447778451434603e-01,8.648357808463043306e-02,-5.109052476497005085e-02,-2.123457766178837858e-05
6.801360272054410294e-02,9.978420791011050062e-01,8.868358868757353353e-02,-5.157859502759432058e-02,-3.541102012254814663e-02
7.001400280056011005e-02,9.977384563622558877e-01,9.086163133417290982e-02,-5.201446222951136567e-02,-3.543787792010481830e-02
7.201440288057611716e-02,9.976340125404817849e-01,9.301792404299641381e-02,-5.239996255653320278e-02,-6.525012184871978316e-02
7.401480296059212427e-02,9.975288468856242652e-01,9.515268276192488661e-02,-5.273694514607808054e-02,-9.393882441746939649e-02
7.601520304060811750e-02,9.974230543251366710e-01,9.726612127480246950e-02,-5.302725535060219542e-02,-4.884063674503366648e-02
7.801560312062412461e-02,9.973167260773834197e-01,9.935845124481890167e-02,-5.327273569913515416e-02,-5.054738350359646443e-02
8.001600320064013172e-02,9.972099498336556289e-01,1.014298823515803472e-01,-5.347522198798665416e-02,-8.415902334410101104e-02
8.201640328065612495e-02,9.971028097581160488e-01,1.034806222912459106e-01,-5.363653729425086475e-02,-7.071720383876492488e-02
8.401680336067213206e-02,9.969953864877989513e-01,1.055108767765276651e-01,-5.375848640596233435e-02,-5.555957839914302254e-02
8.601720344068813917e-02,9.968877571326096865e-01,1.075208495366905687e-01,-5.384285064234377305e-02,-7.746164121886320308e-02
8.801760352070414628e-02,9.967799952753252368e-01,1.095107423175524786e-01,-5.389138303969532445e-02,-5.634813223600075582e-02
9.001800360072013951e-02,9.966721710310100235e-01,1.114807548998857922e-01,-5.390580477550824257e-02,-5.151872908877188489e-02
9.201840368073614662e-02,9.965643510917477910e-01,1.134310851478091270e-01,-5.388780176672301747e-02,-5.299814584033587378e-02
9.401880376075215373e-02,9.964565982050114235e-01,1.153619288501559759e-01,-5.383901288428705190e-02,-6.649630434214492958e-02
9.601920384076814696e-02,9.963489720683279538e-01,1.172734799273148776e-01,-5.376103989429556473e-02,-3.891733809964999236e-02
9.801960392078415407e-02,9.962415294498998541e-01,1.191659304632047556e-01,-5.365544633735370300e-02,-3.137627248029549454e-02
1.000200040008001612e-01,9.961343241886041477e-01,1.210394707052749597e-01,-5.352375482555853103e-02,-4.550254721139443403e-02
1.020204040808161683e-01,9.960274071939931861e-01,1.228942890645051828e-01,-5.336744454026724760e-02,-7.382320022502492085e-02
1.040208041608321615e-01,9.959208264462940940e-01,1.247305721154055996e-01,-5.318794891746682352e-02,-3.489664182283080257e-02
1.060212042408481686e-01,9.958146269964091024e-01,1.265485045960167421e-01,-5.298665350839308619e-02,-6.552265397006939995e-02
1.080216043208641757e-01,9.957088511321325885e-01,1.283482694402141577e-01,-5.276489667774340864e-02,-3.078588122054377527e-02
1.100220044008801829e-01,9.956035386245530860e-01,1.301300477920543652e-01,-5.252397183312725037e-02,-7.931865725506336007e-02
1.120224044808961761e-01,9.954987261071382987e-01,1.318940188694250615e-01,-5.226511582217845120e-02,-2.940343574395892084e-02
1.140228045609121832e-01,9.953944480166656561e-01,1.336403601812990727e-01,-5.198952272346257786e-02,-5.249110908884958848e-02
1.160232046409281903e-01,9.952907366727724581e-01,1.353692475449465860e-01,-5.169834409120439150e-02,-8.291706634956477751e-02
