t,x,y,a,s,dx_dt,dx_dt_noisy
0.000000000000000000e+00,9.000000000000000222e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000000e+00,9.488513700892717631e-03,1.137904751882804801e-02
1.200240048009601906e-01,9.011316499003139135e-01,1.075384591685531327e-01,1.018283387998082656e-01,9.978418364564661802e-01,9.368746266585728164e-03,4.141261851778254080e-03
2.400480096019203813e-01,9.022489958548279843e-01,1.150061578353308578e-01,1.036562414805041049e-01,9.956882305066427907e-01,9.250155269086603183e-03,5.119519835167668856e-03
3.600720144028805580e-01,9.033521759830337450e-01,1.224042123366481105e-01,1.054836572202950684e-01,9.935392123671409337e-01,9.132686392458620392e-03,-1.528198743393993815e-02
4.800960192038407626e-01,9.044413217598171739e-01,1.297337148644456817e-01,1.073105358486909217e-01,9.913948115671684658e-01,9.016282604169886458e-03,2.701335643137890707e-02
6.001200240048009116e-01,9.055165572434062948e-01,1.369957349897534260e-01,1.091368277841105877e-01,9.892550570070753890e-01,8.900883934100182679e-03,2.034254265447247093e-02
7.201440288057611161e-01,9.065779990656958054e-01,1.441913196835546418e-01,1.109624840330542817e-01,9.871199769591292306e-01,8.786427157963024037e-03,5.532198789284780219e-03
8.401680336067213206e-01,9.076257564293340740e-01,1.513214933195878298e-01,1.127874561899463862e-01,9.849895990676569291e-01,8.672845455191070807e-03,1.641091132246768475e-02
9.601920384076815251e-01,9.086599300894340203e-01,1.583872585682674083e-01,1.146116963844190234e-01,9.828639503972715907e-01,8.560068135702741249e-03,1.137217483367923380e-02
1.080216043208641619e+00,9.096806125336887039e-01,1.653895960176021418e-01,1.164351572963879811e-01,9.807430574211786212e-01,8.448020224889000312e-03,2.909791860648476211e-03
1.200240048009601823e+00,9.106878868147750827e-01,1.723294655582403578e-01,1.182577920866410420e-01,9.786269460822740740e-01,8.336622144229257139e-03,1.811229665548961393e-02
1.320264052810562028e+00,9.116818254749745609e-01,1.792078074892464457e-01,1.200795543370737073e-01,9.765156418465780197e-01,8.225789349593136401e-03,5.120223883001611201e-03
1.440288057611522232e+00,9.126624905461738768e-01,1.860255425181008282e-01,1.219003980506892237e-01,9.744091697032345456e-01,8.115431833282048604e-03,4.827192792702422047e-03
1.560312062412482437e+00,9.136299335498642149e-01,1.927835717607000454e-01,1.237202776515984870e-01,9.723075541645115338e-01,8.005453588952772884e-03,8.398603536379119217e-05
1.680336067213442641e+00,9.145841939395658038e-01,1.994827776276118791e-01,1.255391479168802560e-01,9.702108193241432144e-01,7.895752182617031545e-03,1.244533289502558655e-02
1.800360072014402846e+00,9.155252988645466994e-01,2.061240237470743919e-01,1.273569639734140613e-01,9.681189888622153683e-01,7.786218157346537841e-03,6.794237640172657786e-03
1.920384076815363050e+00,9.164532622869480116e-01,2.127081557119853139e-01,1.291736812519428401e-01,9.660320860828204292e-01,7.676734452855073047e-03,1.312962159250189061e-02
2.040408081616323255e+00,9.173680822269826285e-01,2.192360028398872840e-01,1.309892553604185828e-01,9.639501340208550539e-01,7.567175950825757308e-03,1.495318952119386625e-03
2.160432086417283237e+00,9.182697407538324974e-01,2.257083781785104715e-01,1.328036420835922993e-01,9.618731554423675112e-01,7.457408712892426954e-03,8.725687184011125114e-03
2.280456091218243664e+00,9.191582039856476261e-01,2.321260785057726594e-01,1.346167973830141307e-01,9.598011728445577928e-01,7.347289164875959143e-03,-1.575451269421944238e-03
2.400480096019203646e+00,9.200334214315931680e-01,2.384898845828932468e-01,1.364286773706605282e-01,9.577342084770816832e-01,7.236663286451996621e-03,1.565131301015342674e-02
2.520504100820164073e+00,9.208953217155130266e-01,2.448005626587081984e-01,1.382392381440138152e-01,9.556722844764984348e-01,7.125366077296377797e-03,9.005716947103238265e-03
2.640528105621124055e+00,9.217438160086005583e-01,2.510588631046625219e-01,1.400484359268762691e-01,9.536154227533144567e-01,7.013220244879953685e-03,1.031893032623321452e-02
2.760552110422084482e+00,9.225787913546303898e-01,2.572655232655656765e-01,1.418562267899187435e-01,9.515636452156753800e-01,6.900035763311161349e-03,1.100507489301378976e-02
2.880576115223044464e+00,9.234001094198169834e-01,2.634212679651637967e-01,1.436625665994978318e-01,9.495169738105204704e-01,6.785608859063996419e-03,-3.321966142469348800e-03
3.000600120024004891e+00,9.242076064928143042e-01,2.695268095061396085e-01,1.454674110176559787e-01,9.474754305235824070e-01,6.669720810823090602e-03,1.450153077226386256e-02
3.120624124824964873e+00,9.250010934847158195e-01,2.755828476701126517e-01,1.472707155021212855e-01,9.454390373793877256e-01,6.552136677408385533e-03,2.711916486083207345e-02
3.240648129625925300e+00,9.257803532006089187e-01,2.815900704327792825e-01,1.490724352017642196e-01,9.434078165226088553e-01,6.432604202914062042e-03,-9.951820829441189453e-03
3.360672134426885282e+00,9.265451349184630203e-01,2.875491551896612319e-01,1.508725247622922372e-01,9.413817903701230394e-01,6.310852891703403432e-03,-1.098326177984141130e-02
