t,m,h,dm_dt,dm_dt_noisy
0.000000000000000000e+00,5.000000000000000278e-02,1.000000000000000000e+00,8.488490099009899925e-01,8.523048518216378433e-01
1.600320064012802565e-02,6.331885827935737621e-02,9.999713891542072464e-01,8.156611698556646139e-01,8.238773512906761853e-01
3.200640128025605130e-02,7.610656860056051742e-02,9.999366346882899714e-01,7.825080441376918161e-01,7.858124148995256908e-01
4.800960192038407348e-02,8.836550086789074498e-02,9.998961297516045788e-01,7.496118374297698894e-01,7.365802651137263179e-01
6.401280256051210260e-02,1.001013540805894969e-01,9.998502436557360484e-01,7.171661228360834972e-01,7.262196815028146846e-01
8.001600320064013172e-02,1.113226920263750697e-01,9.997993227904217184e-01,6.853350757272349547e-01,6.897988214508751215e-01
9.601920384076814696e-02,1.220404692235438071e-01,9.997436914889374915e-01,6.542540753231517181e-01,6.488845429695488942e-01
1.120224044808961761e-01,1.322675929058282351e-01,9.996836530944772647e-01,6.240312468712619909e-01,6.298424279132255332e-01
1.280256051210242052e-01,1.420184891241243197e-01,9.996194909985656185e-01,5.947497465915223547e-01,5.983954705533831575e-01
1.440288057611522343e-01,1.513087408853810711e-01,9.995514697328128362e-01,5.664703345401345125e-01,5.694116595066898157e-01
1.600320064012802634e-01,1.601547344114159777e-01,9.994798360934601389e-01,5.392342115186907758e-01,5.395184339318487288e-01
1.760352070414082926e-01,1.685733850954932167e-01,9.994048201863625636e-01,5.130657402484163354e-01,5.185328701145408559e-01
1.920384076815362939e-01,1.765818743995987150e-01,9.993266365522879280e-01,4.879751380887751289e-01,4.806105972187584841e-01
2.080416083216643230e-01,1.841974564029775219e-01,9.992454851286755035e-01,4.639608781423814610e-01,4.623317786624509540e-01
2.240448089617923522e-01,1.914372766717567509e-01,9.991615523137187260e-01,4.410119237928306624e-01,4.361907306660308681e-01
2.400480096019203813e-01,1.983182453448701921e-01,9.990750118305840033e-01,4.191096369888019924e-01,4.250980991151482868e-01
2.560512102420484104e-01,2.048569212138512119e-01,9.989860256921736514e-01,3.982294843657516736e-01,3.986267054405682742e-01
2.720544108821764118e-01,2.110694362744945374e-01,9.988947449704561610e-01,3.783424480261610157e-01,3.754178805165101496e-01
2.880576115223044686e-01,2.169714273216442335e-01,9.988013106376298911e-01,3.594162548811454805e-01,3.515971702575770852e-01
3.040608121624324700e-01,2.225779986782662478e-01,9.987058542591102928e-01,3.414163599734796883e-01,3.388444375672909903e-01
3.200640128025605269e-01,2.279036857392837956e-01,9.986084986912573402e-01,3.243067952292446599e-01,3.243882170344281057e-01
3.360672134426885282e-01,2.329624455393149440e-01,9.985093587270126303e-01,3.080508149989778510e-01,3.052947859459841373e-01
3.520704140828165851e-01,2.377676398799640767e-01,9.984085416387350476e-01,2.926114638309152416e-01,3.055521019748972944e-01
3.680736147229445865e-01,2.423320454222257780e-01,9.983061477928635297e-01,2.779519703013856313e-01,2.880192134544435900e-01
3.840768153630725879e-01,2.466678490670172197e-01,9.982022710600322313e-01,2.640361133852253683e-01,2.369244885955656965e-01
4.000800160032006447e-01,2.507866685662371031e-01,9.980969993797161877e-01,2.508284448504642383e-01,2.319383123907875210e-01
4.160832166433286461e-01,2.546995589673009541e-01,9.979904150934650886e-01,2.382945039953482391e-01,2.365467830747966238e-01
4.320864172834567030e-01,2.584170334343531827e-01,9.978825954084973304e-01,2.264009420585486321e-01,2.221790379427850959e-01
4.480896179235847043e-01,2.619490829581450630e-01,9.977736127376793940e-01,2.151156134158617173e-01,2.172520433908478321e-01
4.640928185637127612e-01,2.653051897677709547e-01,9.976635350064763097e-01,2.044076564068638135e-01,2.065808757170894405e-01
4.800960192038407626e-01,2.684943581479871666e-01,9.975524260348881400e-01,1.942474936232078120e-01,2.154258811737183033e-01
4.960992198439688194e-01,2.715251246707199861e-01,9.974403457356025848e-01,1.846068772252166812e-01,1.734866695982938689e-01
5.121024204840968208e-01,2.744055867416649308e-01,9.973273504498771924e-01,1.754588591835591627e-01,1.716828091122891697e-01
5.281056211242248777e-01,2.771434222617942256e-01,9.972134931656585488e-01,1.667777761923201207e-01,1.872054922672434230e-01
5.441088217643528235e-01,2.797459038296605804e-01,9.970988237091091833e-01,1.585392407468553255e-01,1.650062707088738034e-01
5.601120224044808804e-01,2.822199291136049393e-01,9.969833890273589461e-01,1.507200721903796947e-01,1.573507059141423248e-01
5.761152230446089373e-01,2.845720311446088835e-01,9.968672333094514837e-01,1.432982841209702873e-01,1.381582204040956718e-01
5.921184236847369942e-01,2.868083995009376164e-01,9.967503981931478130e-01,1.362530316424206966e-01,1.197722799338641619e-01
6.081216243248649400e-01,2.889349031297785975e-01,9.966329229576870175e-01,1.295645490684661782e-01,1.312391965106936009e-01
6.241248249649929969e-01,2.909570982929219340e-01,9.965148446139703298e-01,1.232141308211545522e-01,1.243042716993700281e-01
6.401280256051210538e-01,2.928802519957360850e-01,9.963961981001078216e-01,1.171840609191633076e-01,1.049105403767175704e-01
6.561312262452489996e-01,2.947093576823908156e-01,9.962770164074925550e-01,1.114575647050898705e-01,1.046252980872842409e-01
6.721344268853770565e-01,2.964491427981628124e-01,9.961573306570949971e-01,1.060187843277398817e-01,1.052983475304676009e-01
6.881376275255051134e-01,2.981040911036705321e-01,9.960371702707128128e-01,1.008527069356527639e-01,9.140519070504499188e-02
7.041408281656331702e-01,2.996784539900132494e-01,9.959165630583977080e-01,9.594512642597080587e-02,9.496242674744863332e-02
7.201440288057611161e-01,3.011762571597620397e-01,9.957955352799213733e-01,9.128261892963639157e-02,9.223744920433094019e-02
7.361472294458891730e-01,3.026013206029367075e-01,9.956741117907016436e-01,8.685247656052995369e-02,8.720833893108481671e-02
7.521504300860172298e-01,3.039572677584487792e-01,9.955523161095657381e-01,8.264267462125363117e-02,7.757975803811048565e-02
7.681536307261451757e-01,3.052475306356450813e-01,9.954301704635750703e-01,7.864185114994284853e-02,8.457933186780107471e-02
7.841568313662732326e-01,3.064753668638600104e-01,9.953076959088068554e-01,7.483924951537088144e-02,8.375091905819416482e-02
8.001600320064012895e-01,3.076438684761620967e-01,9.951849123925156082e-01,7.122468674203182026e-02,7.443316978769745629e-02
8.161632326465293463e-01,3.087559653042125096e-01,9.950618387821437150e-01,6.778853854822242120e-02,5.960623627431935190e-02
8.321664332866572922e-01,3.098144381747405252e-01,9.949384929573471537e-01,6.452169427923462597e-02,7.183821711708902880e-02
8.481696339267853491e-01,3.108219288509778133e-01,9.948148918780111982e-01,6.141552214501205809e-02,5.640112196034153397e-02
8.641728345669134059e-01,3.117809423513851486e-01,9.946910516029793259e-01,5.846185811653376030e-02,6.725346429941361781e-02
8.801760352070414628e-01,3.126938549186953353e-01,9.945669873459394017e-01,5.565297761671601784e-02,4.493510344794157674e-02
8.961792358471694087e-01,3.135629259644913125e-01,9.944427135554503305e-01,5.298155527931759645e-02,6.212622731060540859e-02
9.121824364872974655e-01,3.143903004416730984e-01,9.943182439318504207e-01,5.044065433847647051e-02,5.024001979232166348e-02
9.281856371274255224e-01,3.151780118113181040e-01,9.941935914494356430e-01,4.802371435764093976e-02,3.553622545429678536e-02
9.441888377675534683e-01,3.159279938737616367e-01,9.940687684347683239e-01,4.572451204237784617e-02,4.258551732270936946e-02
9.601920384076815251e-01,3.166420848827861678e-01,9.939437865940852213e-01,4.353714593304811031e-02,4.407816872076354697e-02
9.761952390478095820e-01,3.173220289085129098e-01,9.938186570237462769e-01,4.145602967635803049e-02,4.418394306800256521e-02
9.921984396879376389e-01,3.179694818603668316e-01,9.936933902504299088e-01,3.947587123063779624e-02,2.965398998122802110e-02
1.008201640328065585e+00,3.185860200561729250e-01,9.935679962871806215e-01,3.759164452007493495e-02,2.651791404842300526e-02
1.024204840968193642e+00,3.191731415030088503e-01,9.934424846420746302e-01,3.579858350730112659e-02,3.779442883577193574e-02
1.040208041608321698e+00,3.197322671034820707e-01,9.933168643271997889e-01,3.409217661579502789e-02,2.942468044699700705e-02
1.056211242248449755e+00,3.202647483792159799e-01,9.931911439088425553e-01,3.246814145804416407e-02,3.482319757534641652e-02
1.072214442888577812e+00,3.207718720518339395e-01,9.930653315372729439e-01,3.092240930484646544e-02,3.851760452963026021e-02
1.088217643528705647e+00,3.212548609455608273e-01,9.929394349529001573e-01,2.945112086747829483e-02,1.296324720396881125e-02
1.104220844168833704e+00,3.217148749933100849e-01,9.928134614933941116e-01,2.805062186086491882e-02,3.059450302604109148e-02
1.120224044808961761e+00,3.221530188791169036e-01,9.926874181429412580e-01,2.671743853296794369e-02,3.896390820832526525e-02
1.136227245449089818e+00,3.225703444831838351e-01,9.925613115480538262e-01,2.544826910437619771e-02,2.247300066067146537e-02
1.152230446089217875e+00,3.229678516465103733e-01,9.924351480227125988e-01,2.423998039155048079e-02,1.613183455917478054e-02
1.168233646729345931e+00,3.233464888892270683e-01,9.923089335533302746e-01,2.308960464190065731e-02,3.061204291369658617e-02
1.184236847369473988e+00,3.237071600969560481e-01,9.921826738416408276e-01,2.199431837550354374e-02,2.452878353758495764e-02
1.200240048009601823e+00,3.240507263311845354e-01,9.920563743163446357e-01,2.095143609321779843e-02,2.991026680099340140e-02
1.216243248649729880e+00,3.243780064452693179e-01,9.919300401371604625e-01,1.995840766181755654e-02,1.650625056130475971e-02
1.232246449289857937e+00,3.246897772186442821e-01,9.918036761959098113e-01,1.901281720722984570e-02,4.194634470007733290e-03
1.248249649929985994e+00,3.249867788063338647e-01,9.916772871513515053e-01,1.811236599694468485e-02,1.701225834983217597e-02
1.264252850570114051e+00,3.252697168643602921e-01,9.915508774427933547e-01,1.725486544344556616e-02,1.279658391333324437e-02
1.280256051210242108e+00,3.255392628823649548e-01,9.914244512922418817e-01,1.643823557100079769e-02,2.419147379147653862e-02
1.296259251850370164e+00,3.257960541622798578e-01,9.912980127044044298e-01,1.566050458617587737e-02,1.759683306994741514e-02
1.312262452490497999e+00,3.260406970466064314e-01,9.911715654872842451e-01,1.491979867915774194e-02,-1.388693645193270210e-03
1.328265653130626056e+00,3.262737702151951025e-01,9.910451132732203128e-01,1.421433166999473696e-02,2.262700868962738004e-03
1.344268853770754113e+00,3.264958248200632851e-01,9.909186595197492231e-01,1.354240423200001042e-02,2.238029459787256592e-02
1.360272054410882170e+00,3.267073848221737631e-01,9.907922075117946425e-01,1.290240253093544176e-02,1.970005270511390738e-02
1.376275255051010227e+00,3.269089473533340340e-01,9.906657603640034448e-01,1.229279681265464663e-02,5.890363153569759362e-03
1.392278455691138284e+00,3.271009869624584288e-01,9.905393210477801968e-01,1.171212831872163462e-02,1.170164035304882728e-02
1.408281656331266340e+00,3.272839562925390910e-01,9.904128923955998198e-01,1.115900698826151338e-02,1.561474252602337506e-02
1.424284856971394175e+00,3.274582862926349036e-01,9.902864771023579538e-01,1.063211057897406331e-02,1.531615393744684139e-02
1.440288057611522232e+00,3.276243860557730980e-01,9.901600777243531049e-01,1.013018492971204387e-02,1.889260689085554487e-02
1.456291258251650289e+00,3.277826444961317587e-01,9.900336966899557778e-01,9.652038705458332313e-03,1.221689497767395119e-02
1.472294458891778346e+00,3.279334331842492789e-01,9.899073363176384976e-01,9.196534682737636524e-03,8.248251293052654906e-03
1.488297659531906403e+00,3.280771064509452883e-01,9.897809988166368367e-01,8.762589269737275366e-03,6.174108621858819847e-03
1.504300860172034460e+00,3.282140016342778854e-01,9.896546862885130524e-01,8.349171607459446309e-03,1.890659961279195916e-02
1.520304060812162517e+00,3.283444386921181568e-01,9.895284007246818447e-01,7.955304587365721880e-03,-1.455323816341965587e-02
1.536307261452290351e+00,3.284687221368159382e-01,9.894021440187092953e-01,7.580058902574640656e-03,6.193505651661267673e-03
1.552310462092418408e+00,3.285871430182664699e-01,9.892759179789097912e-01,7.222546970716170467e-03,7.552548010556771677e-03
1.568313662732546465e+00,3.286999789474853717e-01,9.891497243284965712e-01,6.881922754654809515e-03,-7.371566854047066977e-03
1.584316863372674522e+00,3.288074942835492731e-01,9.890235647067608937e-01,6.557381099531689461e-03,9.885517230912155631e-03
1.600320064012802579e+00,3.289099397857865315e-01,9.888974406668346040e-01,6.248158681155371874e-03,-2.646514432785677939e-04
1.616323264652930636e+00,3.290075538727295634e-01,9.887713536836947315e-01,5.953530138753757028e-03,1.457797810191122437e-02
