t,Ca,B,Ca_er,dCa_dt,dCa_dt_noisy
0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,-4.071671459605075150e+00,-4.064759775763779004e+00
4.000800160032006413e-03,3.983793007483541704e+00,1.592930561788380439e-02,9.999908477916895322e+01,-4.030288358888460820e+00,-4.013855996018437899e+00
8.001600320064012825e-03,3.967750574209067072e+00,3.171204341171966756e-02,9.999817011973959779e+01,-3.989406901755079726e+00,-3.982798160231411977e+00
1.200240048009601837e-02,3.951870709339141641e+00,4.735002429927555323e-02,9.999725601813879905e+01,-3.949019219886146459e+00,-3.975082364518233824e+00
1.600320064012802565e-02,3.936151452751931679e+00,6.284503079170931927e-02,9.999634247079983140e+01,-3.909117598779100256e+00,-3.891010481445638103e+00
2.000400080016003293e-02,3.920590874748225207e+00,7.819881726490089668e-02,9.999542947416249206e+01,-3.869694474896408387e+00,-3.860766983449128276e+00
2.400480096019203674e-02,3.905187075782078576e+00,9.341311020961548528e-02,9.999451702467329994e+01,-3.830742432923877949e+00,-3.841481497631083819e+00
2.800560112022404402e-02,3.889938185626682365e+00,1.084896090129069401e-01,9.999360511878680313e+01,-3.792254201689507997e+00,-3.780631839605581135e+00
3.200640128025605130e-02,3.874842363753418173e+00,1.234299856116148342e-01,9.999269375296583462e+01,-3.754222653113646224e+00,-3.746931205189924619e+00
3.600720144028805858e-02,3.859897797099129058e+00,1.382358865595992303e-01,9.999178292368245025e+01,-3.716640794841315376e+00,-3.710758144908204770e+00
4.000800160032006586e-02,3.845102699853024220e+00,1.529089332252043520e-01,9.999087262741799975e+01,-3.679501767886536712e+00,-3.678933323060220584e+00
4.400880176035207314e-02,3.830455313456676780e+00,1.674507217912585277e-01,9.998996286066321204e+01,-3.642798844835580141e+00,-3.631864585103331322e+00
4.800960192038407348e-02,3.815953906568744447e+00,1.818628232878354845e-01,9.998905361991812413e+01,-3.606525428000048272e+00,-3.621254509740081673e+00
5.201040208041608076e-02,3.801596773371421989e+00,1.961467851702083931e-01,9.998814490169380065e+01,-3.570675043598231291e+00,-3.573933242558092527e+00
5.601120224044808804e-02,3.787382234874816511e+00,2.103041301199564395e-01,9.998723670251270335e+01,-3.535241343232771172e+00,-3.544883729486370871e+00
6.001200240048009532e-02,3.773308637168047319e+00,2.243363576584761487e-01,9.998632901890880476e+01,-3.500218098054003413e+00,-3.488241173801311046e+00
6.401280256051210260e-02,3.759374350189356395e+00,2.382449452864279782e-01,9.998542184742808558e+01,-3.465599194244814107e+00,-3.464804752095180795e+00
6.801360272054410294e-02,3.745577767726110618e+00,2.520313484837362061e-01,9.998451518462857734e+01,-3.431378631512207011e+00,-3.437227766531508966e+00
7.201440288057611716e-02,3.731917307414802210e+00,2.656970007095892927e-01,9.998360902708030551e+01,-3.397550521607807017e+00,-3.413188690854943808e+00
7.601520304060811750e-02,3.718391410741047398e+00,2.792433134024392971e-01,9.998270337136536057e+01,-3.364109086876802657e+00,-3.369252931689179942e+00
8.001600320064013172e-02,3.704998542276101148e+00,2.926716766900025468e-01,9.998179821407842383e+01,-3.331048657019553882e+00,-3.330885813409186991e+00
8.401680336067213206e-02,3.691737188405006531e+00,3.059834605855696332e-01,9.998089355182908378e+01,-3.298363664680649787e+00,-3.303875722786637326e+00
8.801760352070414628e-02,3.678605859301363523e+00,3.191800131518759409e-01,9.997998938124037238e+01,-3.266048648805897514e+00,-3.240167372517933408e+00
9.201840368073614662e-02,3.665603085913073045e+00,3.322626632888184828e-01,9.997908569894946140e+01,-3.234098246197586235e+00,-3.213963759891470318e+00
9.601920384076814696e-02,3.652727419760500638e+00,3.452327209206018099e-01,9.997818250160773346e+01,-3.202507189796747866e+00,-3.256730439376067210e+00
1.000200040008001612e-01,3.639977432936478685e+00,3.580914769957371790e-01,9.997727978588079623e+01,-3.171270307468915917e+00,-3.209050572388269185e+00
1.040208041608321615e-01,3.627351718106304634e+00,3.708402034870429964e-01,9.997637754844849667e+01,-3.140382520812745604e+00,-3.143877962653848890e+00
1.080216043208641757e-01,3.614848888507743663e+00,3.834801533916447625e-01,9.997547578600489260e+01,-3.109838843991136859e+00,-3.118282652222664098e+00
