ratio,T,E,E_noisy
1.055949744398163803e+00,2.912488986388854073e+02,1.736036147810368592e-03,2.081620339875154668e-03
7.960262559627988566e+00,3.120006360537216210e+02,1.726880176121982358e-01,1.735096357556993873e-01
1.942313038051235174e-01,2.926960493538788342e+02,-7.163974816261882428e-02,-7.130931108643544236e-02
7.894032212920651048e+00,2.932658549522197973e+02,1.612300584361377742e-01,1.599269012045334004e-01
4.204001903728689093e-01,3.091150837851872666e+02,-4.589961708407162833e-02,-4.499426121739850959e-02
7.025106264669263023e-01,3.153794735368834381e+02,-2.183389972259299275e-02,-2.138752515022898301e-02
4.522777132120278765e+00,2.977360450208306588e+02,1.125459946317279719e-01,1.120090413963676923e-01
6.582612236208861267e-01,3.051857330922972551e+02,-2.449233155540330234e-02,-2.391121345120695088e-02
1.256571991827155843e+00,3.130001915449079775e+02,1.329434017585589926e-02,1.365891257204197504e-02
1.135319837804826676e-01,2.955509265577769042e+02,-8.924434751001422694e-02,-8.895021501335870218e-02
3.213854545722011125e+00,3.023688351716780858e+02,8.420960706054658740e-02,8.423802930186238824e-02
1.192028465525248215e+00,3.077872618668726545e+02,9.590003819696053811e-03,1.013671680630850135e-02
4.565238099030962116e-01,3.136218469062546887e+02,-4.288777183381677766e-02,-4.362422592081844491e-02
3.774482419228238683e+00,3.072029277128691547e+02,9.981255816788632551e-02,9.964964821989327759e-02
4.040077150300002695e-01,2.943834339699276370e+02,-4.536491382026569541e-02,-4.584703313294567067e-02
8.072271845269060053e-01,3.149140444810650479e+02,-1.413625090149072012e-02,-1.353740468885609310e-02
1.853887578143128823e-01,3.143330463720450325e+02,-7.855303894386220231e-02,-7.851331683638054781e-02
6.400677900893794181e-01,3.116877540442843610e+02,-2.643733186442300334e-02,-2.672978861538809203e-02
2.552175183107454060e-01,3.119899219465058877e+02,-6.646062624405331409e-02,-6.724253470641015917e-02
3.346776269098196699e-01,3.036726950850741105e+02,-5.443122923828807441e-02,-5.468842147890694283e-02
3.167592786326513199e+00,3.095070978451975066e+02,8.499948180562225120e-02,8.500762398614059023e-02
3.637621566079690671e-01,3.199620070975499289e+02,-5.381809571309197071e-02,-5.409369861839134069e-02
