t,N,D,Phi,dN_dt,dN_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,-5.925935776588622730e+02,-5.919024092747326904e+02
1.000200040008001647e-02,9.994074999336746259e+03,4.542168551687978395e-01,9.087061627862115173e-03,-5.921558687260801435e+02,-5.905126324390778336e+02
2.000400080016003293e-02,9.988154786349141432e+03,9.075958394305738697e-01,1.816279955327112020e-02,-5.916363331691428584e+02,-5.909754590167760853e+02
3.000600120024005113e-02,9.982240175002241813e+03,1.360138752161825781e+00,2.722722682611732753e-02,-5.910355941369174388e+02,-5.936419086001261576e+02
4.000800160032006586e-02,9.976331970704948617e+03,1.811847426736137301e+00,3.628035726139857559e-02,-5.903543513982463082e+02,-5.885436396649000699e+02
5.001000200040008059e-02,9.970430979937837037e+03,2.262723739965471381e+00,4.532220559228570395e-02,-5.895933800897730634e+02,-5.887006309450450772e+02
6.001200240048010226e-02,9.964537999167230737e+03,2.712769601476718417e+00,5.435278729961745547e-02,-5.887535280824353094e+02,-5.898274345531558538e+02
7.001400280056011005e-02,9.958653813643843023e+03,3.161986952560467135e+00,6.337211859339046682e-02,-5.878357137752893777e+02,-5.866734775668966222e+02
8.001600320064013172e-02,9.952779197402778664e+03,3.610377766171008140e+00,7.238021641275929619e-02,-5.868409238126778291e+02,-5.861117790203056757e+02
9.001800360072015339e-02,9.946914913263537528e+03,4.057944046926330373e+00,8.137709842603638166e-02,-5.857702106641946784e+02,-5.851819456708835787e+02
1.000200040008001612e-01,9.941061712830005490e+03,4.504687831108123319e+00,9.036278303069202045e-02,-5.846246900780383839e+02,-5.845678455954067658e+02
1.100220044008801829e-01,9.935220336490465343e+03,4.950611186661776131e+00,9.933728935335447985e-02,-5.834055384187120126e+02,-5.823121124454871733e+02
1.200240048009602045e-01,9.929391513417591341e+03,5.395716213196380728e+00,1.083006372498099418e-01,-5.821139899003314895e+02,-5.835868980743348402e+02
1.300260052010402123e-01,9.923575961568445564e+03,5.840005041984722922e+00,1.172528473050023640e-01,-5.807513337270323746e+02,-5.810771536230184893e+02
1.400280056011202201e-01,9.917774387684487010e+03,6.283479835963292182e+00,1.261939408330337298e-01,-5.793189111521157884e+02,-5.802831497774757281e+02
1.500300060012002556e-01,9.911987486771240583e+03,6.726142788577464060e+00,1.351239398566077277e-01,-5.778181124401218085e+02,-5.766204200148525842e+02
1.600320064012802634e-01,9.906215930822840164e+03,7.167996102330948638e+00,1.440428667304413934e-01,-5.762503731981001920e+02,-5.761709289831368324e+02
1.700340068013602712e-01,9.900460382259032485e+03,7.609042024202459231e+00,1.529507447797251452e-01,-5.746171719677005285e+02,-5.752020854696306742e+02
1.800360072014403068e-01,9.894721491134998359e+03,8.049282832339839544e+00,1.618475980526416780e-01,-5.729200269439227213e+02,-5.744838438686364270e+02
1.900380076015203146e-01,9.888999890714654612e+03,8.488720825001136561e+00,1.707334511216865303e-01,-5.711604925819029859e+02,-5.716748770631406842e+02
2.000400080016003224e-01,9.883296197470664993e+03,8.927358320554617421e+00,1.796083290836682778e-01,-5.693401564249096509e+02,-5.693238720638729546e+02
2.100420084016803579e-01,9.877611011084425627e+03,9.365197657478759652e+00,1.884722575597083116e-01,-5.674606359311414963e+02,-5.680118417417402270e+02
