t,Np,Nd,dNd_dt,dNd_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+04,0.000000000000000000e+00,6.839397205857211475e+02,6.842853047777858819e+02
2.000400080016003293e-02,9.980015993867566067e+03,1.365462953452634132e+01,6.812477244915213532e+02,6.820693426350225081e+02
4.000800160032006586e-02,9.960071923785149920e+03,2.725527230131123346e+01,6.785426492464948751e+02,6.788730863226783185e+02
6.001200240048010226e-02,9.940167709944713351e+03,4.080169566403110792e+01,6.758271760479046861e+02,6.745240188163003268e+02
8.001600320064013172e-02,9.920303272697503417e+03,5.429371460907618996e+01,6.731036780667286621e+02,6.740090339334017244e+02
1.000200040008001612e-01,9.900478532553823243e+03,6.773118931453079483e+01,6.703742595390693850e+02,6.708206341114333782e+02
1.200240048009602045e-01,9.880693410182491789e+03,8.111401980183430283e+01,6.676407894470403335e+02,6.671038362116800045e+02
1.400280056011202201e-01,9.860947826411756978e+03,9.444214428971261555e+01,6.649049300455442335e+02,6.654860481497405544e+02
1.600320064012802634e-01,9.841241702228226131e+03,1.077155318561475497e+02,6.621681620212161761e+02,6.625327344174022528e+02
1.800360072014403068e-01,9.821574958775798223e+03,1.209341759399845699e+02,6.594318062291461047e+02,6.597259387258015977e+02
2.000400080016003224e-01,9.801947517355651144e+03,1.340980943409328461e+02,6.566970418896235060e+02,6.567254641309392582e+02
2.200440088017603657e-01,9.782359299426248981e+03,1.472073292195652812e+02,6.539649223737476404e+02,6.545116353603600601e+02
2.400480096019204090e-01,9.762810226602903640e+03,1.602619452652317875e+02,6.512363891472996329e+02,6.504999350602979575e+02
2.600520104020804246e-01,9.743300220656999954e+03,1.732620206871966957e+02,6.485122847831893296e+02,6.483493748351962722e+02
2.800560112022404402e-01,9.723829203519047951e+03,1.862076554162899811e+02,6.457933625530686186e+02,6.453112432403886487e+02
3.000600120024005113e-01,9.704397097274855696e+03,1.990989613409780645e+02,6.430802967513434396e+02,6.436791429639780517e+02
3.200640128025605269e-01,9.685003824165038168e+03,2.119360607439912201e+02,6.403736909989511332e+02,6.404134131064328130e+02
3.400680136027205425e-01,9.665649306585015438e+03,2.247190863023238308e+02,6.376740854115350885e+02,6.373816286605699588e+02
3.600720144028806136e-01,9.646333467085018128e+03,2.374481810872341896e+02,6.349819629357713211e+02,6.342000544734145251e+02
3.800760152030406291e-01,9.627056228370081953e+03,2.501234985642444713e+02,6.322977549634088064e+02,6.320405627227899004e+02
4.000800160032006447e-01,9.607817513300049541e+03,2.627452025931407888e+02,6.296218463164294690e+02,6.296299884969478171e+02
4.200840168033607158e-01,9.588617244887816923e+03,2.753134643656271692e+02,6.269545800338040635e+02,6.266789771285046982e+02
4.400880176035207314e-01,9.569455346299324447e+03,2.878284568994841948e+02,6.242962619592694864e+02,6.255903257736677006e+02
4.600920184036807470e-01,9.550331740860059654e+03,3.002903650259623305e+02,6.216471631321978748e+02,6.226538874475036209e+02
4.800960192038408181e-01,9.531246352047503024e+03,3.126993772052126133e+02,6.190075238863851155e+02,6.162963614074191128e+02
5.001000200040007782e-01,9.512199103490682319e+03,3.250556849436579796e+02,6.163775567519517153e+02,6.144885435059840120e+02
5.201040208041608492e-01,9.493189918970187136e+03,3.373594827939933793e+02,6.137574490002277798e+02,6.135826769081726297e+02
5.401080216043209203e-01,9.474218722418157995e+03,3.496109683551854914e+02,6.111473649317504169e+02,6.107251745201740505e+02
5.601120224044808804e-01,9.455285437918295429e+03,3.618103422724728375e+02,6.085474479365484513e+02,6.087610909340470471e+02
5.801160232046409515e-01,9.436389989705849075e+03,3.739578082373661800e+02,6.059578223521741620e+02,6.061751442831966870e+02
6.001200240048010226e-01,9.417532302167630405e+03,3.860535729876476694e+02,6.033785951417669366e+02,6.054964338968179618e+02
6.201240248049609827e-01,9.398712299842001812e+03,3.980978463073715830e+02,6.008098574116726240e+02,5.996978366489803420e+02
6.401280256051210538e-01,9.379929907418883886e+03,4.100908410268642683e+02,5.982516857857925743e+02,5.978740807786655296e+02
6.601320264052811249e-01,9.361185049731959225e+03,4.220327683234838219e+02,5.957041441880735420e+02,5.977469157955658829e+02
6.801360272054410849e-01,9.342477651770046577e+03,4.339238397379535854e+02,5.931672847419303025e+02,5.938139877381321412e+02
7.001400280056011560e-01,9.323807638680898890e+03,4.457642712786868060e+02,5.906411483289209627e+02,5.913042117012972767e+02
7.201440288057612271e-01,9.305174935759638174e+03,4.575542788257359348e+02,5.881257660474755085e+02,5.876117596757879937e+02
7.401480296059211872e-01,9.286579468448753687e+03,4.692940781295344550e+02,5.856211600629642362e+02,5.839730848921085453e+02
7.601520304060812583e-01,9.268021162338105569e+03,4.809838848108975071e+02,5.831273443822525451e+02,5.832948091264753430e+02
7.801560312062413294e-01,9.249499943164919387e+03,4.926239143610213773e+02,5.806443255602550835e+02,5.807533396480765759e+02
8.001600320064012895e-01,9.231015736813791591e+03,5.042143821414835543e+02,5.781721033450639879e+02,5.769447512908194540e+02
8.201640328065613605e-01,9.212568469316682240e+03,5.157555033842430703e+02,5.757106712675101790e+02,5.750274446057296700e+02
8.401680336067214316e-01,9.194158066852927732e+03,5.272474931916401601e+02,5.732600171804042475e+02,5.731879735006770034e+02
8.601720344068813917e-01,9.175784455749222616e+03,5.386905665363962044e+02,5.708201237521445819e+02,5.698753721290837575e+02
8.801760352070414628e-01,9.157447562479639600e+03,5.500849382616142975e+02,5.683909689189067649e+02,5.682926989510546036e+02
9.001800360072015339e-01,9.139147313665611364e+03,5.614308230807785094e+02,5.659725262991821637e+02,5.660680093266515769e+02
9.201840368073614940e-01,9.120883636075943286e+03,5.727284355777541123e+02,5.635647655740715436e+02,5.636003518111269841e+02
9.401880376075215651e-01,9.102656456626806175e+03,5.839779902067882631e+02,5.611676528363823309e+02,5.606613611780679776e+02
9.601920384076816362e-01,9.084465702375462570e+03,5.951797004635546955e+02,5.587811510037706739e+02,5.593748990755565274e+02
9.801960392078415962e-01,9.066311300510824367e+03,6.063337762302131750e+02,5.564052204091327667e+02,5.572963873634150787e+02
1.000200040008001556e+00,9.048193178397094016e+03,6.174404289182321008e+02,5.540398184968810256e+02,5.543606668014475645e+02
1.020204040808161627e+00,9.030111263544131361e+03,6.284998691966301294e+02,5.516849003251638806e+02,5.508666700977735218e+02
1.040208041608321698e+00,9.012065483603888424e+03,6.395123066139873345e+02,5.493404188366700964e+02,5.500720711204555755e+02
1.060212042408481770e+00,8.994055766370411220e+03,6.504779495984452069e+02,5.470063250690720906e+02,5.465048850506050258e+02
1.080216043208641841e+00,8.976082039779839761e+03,6.613970054577069959e+02,5.446825683488206096e+02,5.455617289671085928e+02
1.100220044008801912e+00,8.958144231910413509e+03,6.722696803790371405e+02,5.423690964696721721e+02,5.412973090527947306e+02
1.120224044808961761e+00,8.940242270982462287e+03,6.830961794292617242e+02,5.400658558572022230e+02,5.409803230603309885e+02
1.140228045609121832e+00,8.922376085358409910e+03,6.938767065547685888e+02,5.377727917204488222e+02,5.377527282658332979e+02
1.160232046409281903e+00,8.904545603542776007e+03,7.046114645815066524e+02,5.354898481917263098e+02,5.342410993013918414e+02
1.180236047209441974e+00,8.886750754182176024e+03,7.153006552149867048e+02,5.332169684555591402e+02,5.329030689835923340e+02
1.200240048009602045e+00,8.868991466065317582e+03,7.259444790402806120e+02,5.309540948676034304e+02,5.310081971463749824e+02
1.220244048809762116e+00,8.851267668123004114e+03,7.365431355220221121e+02,5.287011690643439579e+02,5.289739604035083858e+02
1.240248049609921965e+00,8.833579289428136690e+03,7.470968230044062466e+02,5.264581320642960236e+02,5.254759439393550338e+02
1.260252050410082036e+00,8.815926259195703096e+03,7.576057387111898151e+02,5.242249243613690624e+02,5.231175513142038653e+02
1.280256051210242108e+00,8.798308506782794211e+03,7.680700787456908074e+02,5.220014860110048858e+02,5.222010705438519835e+02
1.300260052010402179e+00,8.780725961688589450e+03,7.784900380907888575e+02,5.197877567096385292e+02,5.193210070927586912e+02
1.320264052810562250e+00,8.763178553554364044e+03,7.888658106089252442e+02,5.175836758680006824e+02,5.178191814797309007e+02
1.340268053610722099e+00,8.745666212163490854e+03,7.991975890421022086e+02,5.153891826787241826e+02,5.161487022012025818e+02
1.360272054410882170e+00,8.728188867426073557e+03,8.094855649351922011e+02,5.132042161860708802e+02,5.115554288197199071e+02
1.380276055211042241e+00,8.710746449372518327e+03,8.197299281395038406e+02,5.110287153967254881e+02,5.112831035132430770e+02
1.400280056011202312e+00,8.693338888223246613e+03,8.299308671196523619e+02,5.088626193033236405e+02,5.100872662708593452e+02
1.420284056811362383e+00,8.675966114337823456e+03,8.400885691693755462e+02,5.067058669066285006e+02,5.064083400622580484e+02
1.440288057611522454e+00,8.658628058211599637e+03,8.502032204099203909e+02,5.045583972604072756e+02,5.037475826771697029e+02
1.460292058411682303e+00,8.641324650475711678e+03,8.602750057900436786e+02,5.024201495127622934e+02,5.031723933399418911e+02
1.480296059211842374e+00,8.624055821897074566e+03,8.703041090860116356e+02,5.002910629441474839e+02,5.005445094603556413e+02
1.500300060012002445e+00,8.606821503378394482e+03,8.802907129016002727e+02,4.981710770023174746e+02,4.990669600730950606e+02
1.520304060812162517e+00,8.589621625958157892e+03,8.902349986680950451e+02,4.960601313344263872e+02,4.957149156243751236e+02
1.540308061612322588e+00,8.572456120810637003e+03,9.001371466442907376e+02,4.939581658164879059e+02,4.924763475427657227e+02
1.560312062412482659e+00,8.555324919245887941e+03,9.099973359164921476e+02,4.918651205803857351e+02,4.917551098156744729e+02
1.580316063212642508e+00,8.538227952709754391e+03,9.198157443985131749e+02,4.897809360386106619e+02,4.893351078855994274e+02
1.600320064012802579e+00,8.521165152783856684e+03,9.295925488316777319e+02,4.877055529068875330e+02,4.884808767289351294e+02
1.620324064812962650e+00,8.504136451185609985e+03,9.393279247848190607e+02,4.856389122248463082e+02,4.858325450732234572e+02
1.640328065613122721e+00,8.487141779768204287e+03,9.490220466542800750e+02,4.835809553748721328e+02,4.819501061424370505e+02
1.660332066413282792e+00,8.470181070520618960e+03,9.586750876639130183e+02,4.815316240992700614e+02,4.803364610191668476e+02
1.680336067213442863e+00,8.453254255567619111e+03,9.682872198650800328e+02,4.794908605158607315e+02,4.803746495524479769e+02
1.700340068013602712e+00,8.436361267169750136e+03,9.778586141366525908e+02,4.774586071321204486e+02,4.781383721495382702e+02
1.720344068813762783e+00,8.419502037723343165e+03,9.873894401850119493e+02,4.754348068579696474e+02,4.747945634920611724e+02
1.740348069613922855e+00,8.402676499760515071e+03,9.968798665440486957e+02,4.734194030173050010e+02,4.734183542207377400e+02
1.760352070414082926e+00,8.385884585949166649e+03,1.006330060575163088e+03,4.714123393583652728e+02,4.718579129121414439e+02
1.780356071214242997e+00,8.369126229092982612e+03,1.015740188467265057e+03,4.694135600630134491e+02,4.698819643988607027e+02
1.800360072014403068e+00,8.352401362131431597e+03,1.025110415236773861e+03,4.674230097550134815e+02,4.682992519511278147e+02
1.820364072814562917e+00,8.335709918139767979e+03,1.034440904727618545e+03,4.654406335073715582e+02,4.656971191345930947e+02
1.840368073614722988e+00,8.319051830323680406e+03,1.043731819761895167e+03,4.634663768327249045e+02,4.633715484937563929e+02
1.860372074414883059e+00,8.302427031972174518e+03,1.052983323578759837e+03,4.615001855359388401e+02,4.612413374711509846e+02
1.880376075215043130e+00,8.285835456566623179e+03,1.062195576896166131e+03,4.595420060333118499e+02,4.605977488338451167e+02
