x,sigma,I,I_noisy
2.559108123501283583e+00,5.624449319442700324e-01,3.050683098170995367e-01,3.052411019131319181e-01
4.752318481629676405e+00,1.600031802686081805e+00,3.582346357052847152e-02,3.623427264227904732e-02
7.207980635981686701e-01,6.348024676939418853e-01,7.393008215819218965e-01,7.394660401200136013e-01
4.743247235686219199e+00,6.632927476109896636e-01,5.256001256684066092e-02,5.190843395103848096e-02
1.559157260052427274e+00,1.455754189259363063e+00,2.849626517700016293e-01,2.854153297033381609e-01
2.116632244862878487e+00,1.768973676844171727e+00,1.768682521373563521e-01,1.770914394235383604e-01
4.138512969102208672e+00,8.868022510415318749e-01,5.778763927146927243e-02,5.751916265378913262e-02
2.045995681845806491e+00,1.259286654614862444e+00,2.110839010923492576e-01,2.113744601444474402e-01
2.747968438365297583e+00,1.650009577245399539e+00,1.181457752596452859e-01,1.183280614577383177e-01
1.377955662153418359e-01,7.775463278888465890e-01,9.298032053781670747e-01,9.299502716264947955e-01
3.767565543374033155e+00,1.118441758583904377e+00,6.585204288848774123e-02,6.586625400914564166e-02
2.690716566096391205e+00,1.389363093343631839e+00,1.261912287428097745e-01,1.264645852361160061e-01
1.648658582495460934e+00,1.681092345312734437e+00,2.493934896433465664e-01,2.490252625998457259e-01
3.942143517142021381e+00,1.360146385643459022e+00,5.741891532213608956e-02,5.733746034813956560e-02
1.515974146458225036e+00,7.191716984963815174e-01,4.679086265669029632e-01,4.676675669105629929e-01
2.267489447403257419e+00,1.745702224053251372e+00,1.602864542517193902e-01,1.605858773580366994e-01
6.702084862358237416e-01,1.716652318602252425e+00,5.386043973285523645e-01,5.386242583822932195e-01
2.015564932235646367e+00,1.584387702214218319e+00,1.945919466730439140e-01,1.944457182975613818e-01
1.017276203380748090e+00,1.599496097325292965e+00,4.190539254393904622e-01,4.186629712082120536e-01
1.311566702209247648e+00,1.183634754253704902e+00,3.915917092468659821e-01,3.914631131265565722e-01
3.751823363150262658e+00,1.475354892259875594e+00,6.409030087694980726e-02,6.409437196720897678e-02
