v,E,E_noisy
0.000000000000000000e+00,1.050000000000000044e+00,1.051382336768259096e+00
1.900380076015202829e-04,1.050000022614521855e+00,1.053286495188526573e+00
3.800760152030405658e-04,1.050000090458095059e+00,1.051321838762828698e+00
5.701140228045607945e-04,1.050000203530744303e+00,1.044787574604326919e+00
7.601520304060811316e-04,1.050000361832509332e+00,1.053621785299201807e+00
9.501900380076014688e-04,1.050000565363447214e+00,1.051786063652903280e+00
1.140228045609121589e-03,1.050000814123630333e+00,1.047853001182189159e+00
1.330266053210641926e-03,1.050001108113146842e+00,1.052325580529932303e+00
1.520304060812162263e-03,1.050001447332101989e+00,1.051459736916846355e+00
1.710342068413682600e-03,1.050001831780617012e+00,1.051178361767239222e+00
1.900380076015202938e-03,1.050002261458828245e+00,1.050115950424091338e+00
2.090418083616723058e-03,1.050002736366889122e+00,1.052189588313338975e+00
2.280456091218243178e-03,1.050003256504969729e+00,1.047057440156963004e+00
2.470494098819763732e-03,1.050003821873254362e+00,1.049352182081282114e+00
2.660532106421283852e-03,1.050004432471945082e+00,1.048075955221225097e+00
2.850570114022804406e-03,1.050005088301259937e+00,1.052400473151798410e+00
3.040608121624324527e-03,1.050005789361432074e+00,1.050164677791358692e+00
3.230646129225844647e-03,1.050006535652711737e+00,1.048836708648851479e+00
3.420684136827365201e-03,1.050007327175365157e+00,1.046879693325937888e+00
3.610722144428885321e-03,1.050008163929674554e+00,1.048979394967199053e+00
3.800760152030405875e-03,1.050009045915937911e+00,1.050041614638011378e+00
3.990798159631925995e-03,1.050009973134469865e+00,1.048907561513272357e+00
4.180836167233446116e-03,1.050010945585600819e+00,1.055187200843193729e+00
4.370874174834966236e-03,1.050011963269678050e+00,1.054038860530901234e+00
4.560912182436486356e-03,1.050013026187063714e+00,1.039168376271199845e+00
4.750950190038007344e-03,1.050014134338137284e+00,1.042458081354266541e+00
4.940988197639527464e-03,1.050015287723293333e+00,1.049316199355072587e+00
5.131026205241047584e-03,1.050016486342943534e+00,1.048327724696638041e+00
5.321064212842567705e-03,1.050017730197514876e+00,1.050872302187509266e+00
5.511102220444087825e-03,1.050019019287451227e+00,1.050888307011541567e+00
5.701140228045608813e-03,1.050020353613211999e+00,1.058491708633416239e+00
5.891178235647128933e-03,1.050021733175273031e+00,1.045573650124503873e+00
6.081216243248649053e-03,1.050023157974125709e+00,1.048512737945617612e+00
6.271254250850169173e-03,1.050024628010278738e+00,1.058195714440248070e+00
6.461292258451689294e-03,1.050026143284256142e+00,1.052612955269063510e+00
6.651330266053210281e-03,1.050027703796597489e+00,1.052679957286102530e+00
6.841368273654730402e-03,1.050029309547860112e+00,1.047973284061110233e+00
7.031406281256250522e-03,1.050030960538615998e+00,1.043438659855193462e+00
7.221444288857770642e-03,1.050032656769453787e+00,1.050702515746344767e+00
7.411482296459290763e-03,1.050034398240978994e+00,1.050470454592265179e+00
7.601520304060811750e-03,1.050036184953811347e+00,1.045126776736833074e+00
7.791558311662331870e-03,1.050038016908589222e+00,1.047305110261466998e+00
7.981596319263851991e-03,1.050039894105964544e+00,1.049751719387055582e+00
8.171634326865372111e-03,1.050041816546607665e+00,1.046262810054364500e+00
8.361672334466892231e-03,1.050043784231203592e+00,1.049650704359794684e+00
8.551710342068412352e-03,1.050045797160454208e+00,1.050427729270332122e+00
8.741748349669932472e-03,1.050047855335076941e+00,1.050190200283298791e+00
8.931786357271452592e-03,1.050049958755805868e+00,1.048024792122548510e+00
9.121824364872972712e-03,1.050052107423391057e+00,1.052427099710534275e+00
9.311862372474494567e-03,1.050054301338598561e+00,1.053618969155727836e+00
9.501900380076014688e-03,1.050056540502211089e+00,1.051339933720477404e+00
9.691938387677534808e-03,1.050058824915026667e+00,1.046785904005465451e+00
9.881976395279054928e-03,1.050061154577859757e+00,1.052987763713001623e+00
1.007201440288057505e-02,1.050063529491541470e+00,1.048057769417673368e+00
1.026205241048209517e-02,1.050065949656919129e+00,1.053582592130070994e+00
1.045209041808361529e-02,1.050068415074854489e+00,1.045781265407344618e+00
1.064212842568513541e-02,1.050070925746227957e+00,1.053728794558743020e+00
1.083216643328665553e-02,1.050073481671934150e+00,1.049993227853472266e+00
1.102220444088817565e-02,1.050076082852885007e+00,1.045081087291547250e+00
1.121224244848969750e-02,1.050078729290007784e+00,1.048823131402140341e+00
