E,sigma,sigma_noisy
6.000000000000000000e+00,-1.856205382274684346e-01,-1.921384497535853220e-01
6.002000400080016007e+00,-1.856641518963400017e-01,-1.874113248195977688e-01
6.004000800160032014e+00,-1.857078046327928222e-01,-1.690705647188808503e-01
6.006001200240048021e+00,-1.857514963815835030e-01,-1.791600188832609408e-01
6.008001600320064028e+00,-1.857952270875599110e-01,-2.022092000334063666e-01
6.010002000400080036e+00,-1.858389966956588979e-01,-1.858910293373782219e-01
6.012002400480096043e+00,-1.858828051509037460e-01,-1.921174425607876934e-01
6.014002800560112050e+00,-1.859266523984019759e-01,-1.844403371658817070e-01
6.016003200640128057e+00,-1.859705383833425152e-01,-2.020524162252063938e-01
6.018003600720144064e+00,-1.860144630509940056e-01,-1.835967442822254991e-01
6.020004000800160071e+00,-1.860584263467017219e-01,-1.837046171593271771e-01
6.022004400880176078e+00,-1.861024282158858512e-01,-1.703461679015712271e-01
6.024004800960192085e+00,-1.861464686040390781e-01,-1.829800184393200468e-01
6.026005201040208092e+00,-1.861905474567236984e-01,-1.810850808397472811e-01
6.028005601120224100e+00,-1.862346647195701199e-01,-2.011658315692124444e-01
6.030006001200240107e+00,-1.862788203382738927e-01,-1.637515290910336319e-01
6.032006401280256114e+00,-1.863230142585940441e-01,-2.054794698381770535e-01
6.034006801360272121e+00,-1.863672464263502471e-01,-1.753492278681254013e-01
6.036007201440288128e+00,-1.864115167874208778e-01,-1.897105575261593680e-01
6.038007601520304135e+00,-1.864558252877407396e-01,-1.952622904670187065e-01
6.040008001600320142e+00,-1.865001718732985925e-01,-1.930630219825889005e-01
6.042008401680336149e+00,-1.865445564901353770e-01,-1.932647032967219347e-01
6.044008801760352156e+00,-1.865889790843413276e-01,-1.827870881618514076e-01
6.046009201840368164e+00,-1.866334396020545849e-01,-1.877340265548350928e-01
6.048009601920384171e+00,-1.866779379894583091e-01,-1.718522263591197308e-01
6.050010002000400178e+00,-1.867224741927786813e-01,-2.050185144272321791e-01
6.052010402080416185e+00,-1.867670481582829334e-01,-1.867978578049414307e-01
6.054010802160432192e+00,-1.868116598322769051e-01,-1.957322177154928178e-01
6.056011202240448199e+00,-1.868563091611029625e-01,-1.790975906865223677e-01
6.058011602320464206e+00,-1.869009960911379720e-01,-2.080815965129886591e-01
6.060012002400480213e+00,-1.869457205687908852e-01,-1.903826640697856842e-01
6.062012402480496220e+00,-1.869904825405009352e-01,-1.848887532671399103e-01
6.064012802560512228e+00,-1.870352819527351107e-01,-2.018779677926986205e-01
6.066013202640528235e+00,-1.870801187519863240e-01,-1.772279629234044529e-01
6.068013602720544242e+00,-1.871249928847712740e-01,-1.853378585935873124e-01
6.070014002800560249e+00,-1.871699042976281979e-01,-1.771013365905573511e-01
6.072014402880576256e+00,-1.872148529371147618e-01,-1.776230043503696510e-01
6.074014802960592263e+00,-1.872598387498062567e-01,-1.970583844135530283e-01
6.076015203040608270e+00,-1.873048616822929613e-01,-1.952828192611883451e-01
6.078015603120624277e+00,-1.873499216811788659e-01,-1.893832465388979036e-01
6.080016003200640284e+00,-1.873950186930785633e-01,-1.799154214334472146e-01
6.082016403280656291e+00,-1.874401526646162774e-01,-1.789304797548608439e-01
6.084016803360672299e+00,-1.874853235424228659e-01,-1.945821722495097161e-01
6.086017203440688306e+00,-1.875305312731344876e-01,-1.936025031256878026e-01
6.088017603520704313e+00,-1.875757758033901323e-01,-1.955540049550554271e-01
6.090018003600720320e+00,-1.876210570798295119e-01,-1.934634393714029788e-01
6.092018403680736327e+00,-1.876663750490916160e-01,-1.900456088247388653e-01
6.094018803760752334e+00,-1.877117296578117434e-01,-1.890298801347143898e-01
6.096019203840768341e+00,-1.877571208526204738e-01,-1.671759761676433476e-01
6.098019603920784348e+00,-1.878025485801410599e-01,-1.928665851780053675e-01
6.100020004000800355e+00,-1.878480127869874561e-01,-1.907352564572796783e-01
6.102020404080816363e+00,-1.878935134197625145e-01,-1.833077361288222296e-01
6.104020804160832370e+00,-1.879390504250558203e-01,-1.974697910807550749e-01
6.106021204240848377e+00,-1.879846237494417760e-01,-1.916708952406658839e-01
