A,Z,beta2,B_per_A,B_per_A_noisy
1.306480439328574903e+02,1.182995582591522776e+01,1.716377677314432637e-01,nan,nan
2.289038679770094973e+02,7.546861723141302036e+01,9.390461916262736811e-03,nan,nan
4.829175324919795287e+01,1.626788468522843090e+01,4.358866834459738243e-02,nan,nan
2.284974761587426144e+02,1.801528852014070026e+01,2.473111360031430561e-01,nan,nan
8.585024525034873477e+01,6.661959027457426430e+01,1.014229877930340612e-01,nan,nan
1.108251245698569392e+02,8.583038551310920639e+01,2.054618077594829451e-01,nan,nan
2.014053810157789428e+02,3.172387139721395499e+01,1.012070259280634238e-01,nan,nan
1.076606065466921223e+02,5.456958148304489953e+01,2.265734431868571264e-02,nan,nan
1.391089860387653232e+02,7.853392073771783544e+01,4.982868841405878324e-02,nan,nan
2.217324136644731425e+01,2.502284144384925924e+01,8.094246518149494918e-03,nan,nan
1.847869363431566683e+02,4.593109452647946966e+01,1.154271538058951330e-01,nan,nan
1.365441021611183032e+02,6.254760305840942891e+01,5.884293706633711429e-02,nan,nan
8.985990449579664130e+01,8.044033051251437882e+01,2.360586192921822479e-01,nan,nan
1.926080295679625749e+02,6.075564498613214681e+01,1.603248922452543690e-02,nan,nan
8.391564176132847308e+01,2.144253084111139884e+01,2.145255104967143944e-01,nan,nan
1.175835272436659409e+02,8.440306974193275380e+01,2.014283909438891740e-01,nan,nan
4.602534018336490362e+01,8.262134220760481185e+01,1.474435016434220425e-01,nan,nan
1.062973089641569402e+02,7.450911240247205569e+01,1.416149582442577937e-01,nan,nan
6.157397391145751442e+01,7.543576063595129710e+01,5.431630208519987180e-02,nan,nan
7.475818825897428610e+01,4.992959826089389708e+01,9.878322979664611037e-02,nan,nan
1.840816866691317841e+02,6.782176672527236860e+01,2.332126413325184555e-01,nan,nan
7.881156178887295027e+01,9.988348843248650155e+01,5.804023213900518646e-02,nan,nan
1.246827782726862495e+02,9.768786671513041142e+01,1.873116459032929670e-01,nan,nan
2.356851327554774684e+02,2.515325312974614391e+01,2.240406966533551314e-01,nan,nan
2.314112113806882292e+02,6.664177393855129594e+01,2.790294710332467676e-01,nan,nan
