t,E,dE_dt,dE_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+02,-9.045624844601971581e-01,-8.872832748569579042e-01
1.200240048009601837e-02,9.998914265144631486e+01,-9.046336995778033740e-01,-8.635527924027454061e-01
2.400480096019203674e-02,9.997828444801872649e+01,-9.047049349484926895e-01,-8.881830811393233160e-01
3.600720144028805858e-02,9.996742538947408718e+01,-9.047761905820678185e-01,-9.699340521622858979e-01
4.800960192038407348e-02,9.995656547556916394e+01,-9.048474664883356944e-01,-8.595796731546797576e-01
6.001200240048008838e-02,9.994570470606053902e+01,-9.049187626771126869e-01,-8.826000340589120752e-01
7.201440288057611716e-02,9.993484308070475208e+01,-9.049900791582194959e-01,-9.318377409262337263e-01
8.401680336067213206e-02,9.992398059925817222e+01,-9.050614159414850368e-01,-8.760055107316673251e-01
9.601920384076814696e-02,9.991311726147705485e+01,-9.051327730367443314e-01,-8.869041532274405393e-01
1.080216043208641619e-01,9.990225306711757014e+01,-9.052041504538398398e-01,-8.904975256210635459e-01
1.200240048009601768e-01,9.989138801593573191e+01,-9.052755482026194622e-01,-9.038544361368295865e-01
1.320264052810561917e-01,9.988052210768745454e+01,-9.053469662929383155e-01,-8.780113169623159353e-01
1.440288057611522343e-01,9.986965534212855289e+01,-9.054184047346586217e-01,-9.422411090847420123e-01
1.560312062412482492e-01,9.985878771901467132e+01,-9.054898635376490423e-01,-9.136353609373016882e-01
1.680336067213442641e-01,9.984791923810136893e+01,-9.055613427117854553e-01,-9.296673083457843711e-01
1.800360072014402790e-01,9.983704989914410532e+01,-9.056328422669490674e-01,-8.756905316352177060e-01
1.920384076815362939e-01,9.982617970189816958e+01,-9.057043622130297456e-01,-9.037182568389467985e-01
2.040408081616323088e-01,9.981530864611879394e+01,-9.057759025599231295e-01,-9.203987401081775710e-01
2.160432086417283237e-01,9.980443673156102591e+01,-9.058474633175310764e-01,-9.449428864353731639e-01
2.280456091218243386e-01,9.979356395797985613e+01,-9.059190444957628818e-01,-9.187786565267064276e-01
2.400480096019203535e-01,9.978269032513011894e+01,-9.059906461045351689e-01,-9.055835370786179395e-01
2.520504100820163962e-01,9.977181583276653498e+01,-9.060622681537698897e-01,-9.198424134187384027e-01
2.640528105621123833e-01,9.976094048064371123e+01,-9.061339106533963239e-01,-8.414307199334859488e-01
2.760552110422084260e-01,9.975006426851615515e+01,-9.062055736133518558e-01,-8.558693578480621733e-01
2.880576115223044686e-01,9.973918719613722317e+01,-9.062772570435849717e-01,-1.041835380991883442e+00
3.000600120024004558e-01,9.972830926325568157e+01,-9.063489609540823500e-01,-1.000799623252466075e+00
3.120624124824964984e-01,9.971743046962514256e+01,-9.064206853548042453e-01,-9.151592899575623496e-01
3.240648129625924856e-01,9.970655081500002836e+01,-9.064924302557103575e-01,-9.276019508345280107e-01
3.360672134426885282e-01,9.969567029913459066e+01,-9.065641956667699342e-01,-8.958820457918393876e-01
3.480696139227845154e-01,9.968478892178298167e+01,-9.066359815979572190e-01,-8.957698850468290841e-01
3.600720144028805580e-01,9.967390668269922571e+01,-9.067077880592533390e-01,-8.008158503067008827e-01
3.720744148829765452e-01,9.966302358163719077e+01,-9.067796150606469707e-01,-9.623806531952610044e-01
3.840768153630725879e-01,9.965213961835064538e+01,-9.068514626121335631e-01,-9.257317129684834445e-01
3.960792158431686305e-01,9.964125479259323015e+01,-9.069233307237155595e-01,-8.047847503490990206e-01
4.080816163232646177e-01,9.963036910411842939e+01,-9.069952194054012873e-01,-8.746600695953089533e-01
4.200840168033606603e-01,9.961948255267962793e+01,-9.070671286672076228e-01,-8.739139600483945003e-01
4.320864172834566475e-01,9.960859513803005427e+01,-9.071390585191575484e-01,-9.328393771035307092e-01
4.440888177635526901e-01,9.959770685992283745e+01,-9.072110089712804859e-01,-9.896147675140631872e-01
4.560912182436486773e-01,9.958681771811095018e+01,-9.072829800336131845e-01,-8.989097428224761543e-01
4.680936187237447199e-01,9.957592771234726570e+01,-9.073549717161997208e-01,-9.019042673251222997e-01
4.800960192038407071e-01,9.956503684238450091e+01,-9.074269840290906108e-01,-9.687945867413193524e-01
4.920984196839367497e-01,9.955414510797525907e+01,-9.074990169823438091e-01,-9.416603500713719432e-01
5.041008201640327924e-01,9.954325250887201548e+01,-9.075710705860237093e-01,-9.111732545723850718e-01
5.161032206441288350e-01,9.953235904482711760e+01,-9.076431448502015886e-01,-9.548807260032404765e-01
5.281056211242247667e-01,9.952146471559275653e+01,-9.077152397849569399e-01,-9.126287381775678442e-01
5.401080216043208093e-01,9.951056952092103813e+01,-9.077873554003734746e-01,-9.030132040269007732e-01
5.521104220844168520e-01,9.949967346056389772e+01,-9.078594917065454517e-01,-9.060801798537712060e-01
5.641128225645128946e-01,9.948877653427319956e+01,-9.079316487135711267e-01,-9.332462316292868820e-01
5.761152230446089373e-01,9.947787874180059475e+01,-9.080038264315574148e-01,-8.783164228422662978e-01
5.881176235247048689e-01,9.946698008289769177e+01,-9.080760248706178928e-01,-8.635176771565015175e-01
6.001200240048009116e-01,9.945608055731592856e+01,-9.081482440408720214e-01,-8.921058288125438551e-01
6.121224244848969542e-01,9.944518016480658673e+01,-9.082204839524485873e-01,-9.491319953219639061e-01
6.241248249649929969e-01,9.943427890512087686e+01,-9.082927446154804851e-01,-8.717101304262084849e-01
6.361272254450889285e-01,9.942337677800985318e+01,-9.083650260401103793e-01,-9.334370269634629791e-01
6.481296259251849712e-01,9.941247378322442785e+01,-9.084373282364860414e-01,-8.644792973220867260e-01
6.601320264052810138e-01,9.940156992051541351e+01,-9.085096512147632364e-01,-9.620990220586354003e-01
6.721344268853770565e-01,9.939066518963348074e+01,-9.085819949851037247e-01,-8.628586348286646501e-01
6.841368273654730991e-01,9.937975959032914375e+01,-9.086543595576787036e-01,-9.096575322884526971e-01
6.961392278455690308e-01,9.936885312235284573e+01,-9.087267449426629229e-01,-9.711641894593836533e-01
7.081416283256650734e-01,9.935794578545484512e+01,-9.087991511502406805e-01,-9.244941247485830571e-01
7.201440288057611161e-01,9.934703757938531510e+01,-9.088715781906031577e-01,-9.061664642520259605e-01
7.321464292858571588e-01,9.933612850389425830e+01,-9.089440260739470867e-01,-8.953044591157244270e-01
7.441488297659530904e-01,9.932521855873159211e+01,-9.090164948104777487e-01,-9.581259010575265966e-01
7.561512302460491330e-01,9.931430774364707759e+01,-9.090889844104070860e-01,-9.644576367686666929e-01
7.681536307261451757e-01,9.930339605839036210e+01,-9.091614948839541466e-01,-8.991822682416000800e-01
7.801560312062412184e-01,9.929248350271093670e+01,-9.092340262413443064e-01,-9.325715070853344280e-01
7.921584316863372610e-01,9.928157007635819298e+01,-9.093065784928117123e-01,-8.975312979063004848e-01
8.041608321664331926e-01,9.927065577908138039e+01,-9.093791516485951743e-01,-8.714031755246761657e-01
8.161632326465292353e-01,9.925974061062963472e+01,-9.094517457189430498e-01,-9.918911140364904400e-01
8.281656331266252780e-01,9.924882457075193543e+01,-9.095243607141091369e-01,-8.968049548882283117e-01
8.401680336067213206e-01,9.923790765919716250e+01,-9.095969966443552268e-01,-8.483646482675686329e-01
8.521704340868172523e-01,9.922698987571403961e+01,-9.096696535199503275e-01,-9.245459957384739580e-01
8.641728345669132949e-01,9.921607122005119095e+01,-9.097423313511691090e-01,-9.502830605130475616e-01
