L,E,dm2,theta,P,P_noisy
7.141859496403080811e+02,6.873347958328100971e-01,3.288503569752577061e-03,6.931556224196705474e-01,-3.491255179137411901e-02,-3.318463083105018668e-02
1.240556435591122408e+03,3.800095408058245638e+00,1.125206158883503265e-03,4.299967243028743891e-01,6.986820227795179639e-01,7.027901134970238051e-01
2.729915352635604791e+02,9.044074030818254339e-01,1.581182244594631862e-03,6.272021171628153757e-01,6.659570218395796104e-01,6.676092072204965477e-01
1.238379336564692721e+03,9.898782428329689909e-01,4.297481813375240989e-03,4.371995087882036835e-01,6.960543466821235148e-01,6.895385605241016735e-01
4.741977424125825564e+02,3.367262567778089188e+00,2.352306503907121080e-03,1.282246850578850905e-01,9.823356423884116451e-01,9.868624217217771832e-01
6.079917387670907374e+02,4.306921030532515182e+00,3.739490770126439444e-03,7.330375632411498810e-01,4.389833851625691286e-01,4.412152580243892119e-01
1.093243112584530081e+03,1.660406753124595625e+00,2.349427012374179224e-03,6.122995735809609874e-01,-1.944944812354436059e-01,-1.971792474122450178e-01
5.910389636429935081e+02,2.777859963844587554e+00,1.302097924249142821e-03,3.250189563759984246e-01,8.775630171706431115e-01,8.804686076916248272e-01
7.595124252076714129e+02,3.950028731736198395e+00,1.664382512187450496e-03,7.355370499387313687e-01,4.835250933344076296e-01,4.853479553153380310e-01
1.330709358916820406e+02,1.332638983666539767e+00,1.107923286908660048e-03,3.990043423850434534e-01,9.878670528311050969e-01,9.893377153143827485e-01
1.004215730409767957e+03,2.355325275751713576e+00,2.539028717411935011e-03,1.688620631271814110e-01,8.365617607989109805e-01,8.367038720054900125e-01
7.457719758631338891e+02,3.168089280030895960e+00,1.784572494217828448e-03,1.379574563287175037e-01,9.558938240213816773e-01,9.586273889544438820e-01
4.956780597989106241e+02,4.043277035938203312e+00,4.147448257229097157e-03,3.255065903282160500e-01,8.299875295051361013e-01,8.263052590701277511e-01
1.046114444114085018e+03,3.080439156930376843e+00,1.213766522993672478e-03,3.548989635159637279e-01,6.787825732719897642e-01,6.779680235320244552e-01
4.638337951499739802e+02,1.157515095489144663e+00,3.860340139956191900e-03,4.324720310715319815e-01,4.130712606858840674e-01,4.106606641224841980e-01
6.441974673767817876e+02,4.237106672159754339e+00,3.685711879251855720e-03,1.487391881399109939e-01,9.454198475785140499e-01,9.484140786416871416e-01
2.608500366965977264e+02,4.149956955806757719e+00,2.965913355245627329e-03,5.717153564244586983e-01,9.358474523919477761e-01,9.360460629293561041e-01
5.837355837365550997e+02,3.753163106642654956e+00,2.888199443256770846e-03,4.596388856287164648e-01,7.058219689461610047e-01,7.043596851913355161e-01
3.441462888113795771e+02,3.798488291975878894e+00,1.724217361135998387e-03,5.507593482225390247e-01,9.232734635251298450e-01,9.193639212133456473e-01
4.147760085302194284e+02,2.550904262761114705e+00,2.317109730621948280e-03,1.967125688331895494e-01,9.586453723710766095e-01,9.573594111679822882e-01
1.000437607156063109e+03,3.426064676779627227e+00,4.109501884433579971e-03,3.859312253955409222e-01,2.990064992965400514e-01,2.990472101991317744e-01
4.364905095832478992e+02,4.994301064632491460e+00,1.773869761853402380e-03,3.231817445599372007e-01,9.456810973963049038e-01,9.443030828698080192e-01
6.822291693179620324e+02,4.886906524109639882e+00,3.497488612043906427e-03,4.850849493843411020e-01,5.985188208120186815e-01,6.049891398840097079e-01
1.276884639761486369e+03,1.339017816128887484e+00,3.987209288711402247e-03,6.638751970903516986e-01,-3.020966609614483267e-01,-2.970630393849193474e-01
1.253988632396544062e+03,3.368347638298704982e+00,4.720392947109956772e-03,2.829386698939569955e-01,7.463352511729257621e-01,7.327794387780959262e-01
9.697479289282404125e+02,4.403917035543038594e+00,1.194133915931419468e-03,2.366216425129060996e-01,8.719349819330352025e-01,8.624899157031968855e-01
