t,n,c,T_fuel,dn_dt
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02
1.000200040008001647e-02,1.009795612598870207e+02,6.530670876315806339e+00,1.004618287648796453e-02,9.686557596519723745e+01
2.000400080016003293e-02,1.019410302466082783e+02,1.311912762530215559e+01,2.017925034450122890e-02,9.545678279033680269e+01
3.000600120024005113e-02,1.028899383700817083e+02,1.976437525910598580e+01,3.039765605624682870e-02,9.431588153855713585e+01
4.000800160032006586e-02,1.038281593476982181e+02,2.646561996432760111e+01,4.070016344835323402e-02,9.330720427044560950e+01
5.001000200040008059e-02,1.047567214732737426e+02,3.322215874447010719e+01,5.108567592006509062e-02,9.237894029106300309e+01
6.001200240048010226e-02,1.056762875007066071e+02,4.003334247097244258e+01,6.155317996648333734e-02,9.150488758060495798e+01
7.001400280056011005e-02,1.065873142431542533e+02,4.689855876262645040e+01,7.210171882615959427e-02,9.066970241999321445e+01
8.001600320064013172e-02,1.074901402257973047e+02,5.381722057721469099e+01,8.273037491882144490e-02,8.986353427192980803e+01
9.001800360072015339e-02,1.083850193585667085e+02,6.078876108672801593e+01,9.343826195533391776e-02,8.907964595269903896e+01
1.000200040008001612e-01,1.092721475460700589e+02,6.781262839431812495e+01,1.042245168040687869e-01,8.831321118019147320e+01
1.100220044008801829e-01,1.101516822354438006e+02,7.488828181563853548e+01,1.150882937643579323e-01,8.756064802717381212e+01
1.200240048009602045e-01,1.110237481196571565e+02,8.201519073172053709e+01,1.260287627999898685e-01,8.681922364568157491e+01
1.300260052010402123e-01,1.118884449926048319e+02,8.919283230559511821e+01,1.370451060229801177e-01,8.608680620577902687e+01
1.400280056011202201e-01,1.127458530852890703e+02,9.642068996776362155e+01,1.481365153610816887e-01,8.536170238875396876e+01
1.500300060012002556e-01,1.135960393001625448e+02,1.036982518214468882e+02,1.593021901013481068e-01,8.464254673703727860e+01
1.600320064012802634e-01,1.144390583383799935e+02,1.110250103399398682e+02,1.705413364240160323e-01,8.392822453302891006e+01
1.700340068013602712e-01,1.152749531564292766e+02,1.184004622001425417e+02,1.818531671460895949e-01,8.321781651208911512e+01
1.800360072014403068e-01,1.161037591041721839e+02,1.258241066513046889e+02,1.932368992086470061e-01,8.251055786871950204e+01
1.900380076015203146e-01,1.169255034403485638e+02,1.332954456053872718e+02,2.046917538158744554e-01,8.180580796155832957e+01
2.000400080016003224e-01,1.177402084757791698e+02,1.408139826846301617e+02,2.162169549679445191e-01,8.110302681212303355e+01
2.100420084016803579e-01,1.185478922183490340e+02,1.483792230041955236e+02,2.278117291262154176e-01,8.040175714180870159e+01
2.200440088017603657e-01,1.193485683730075095e+02,1.559906731721679591e+02,2.394753052132309046e-01,7.970161037677762295e+01
2.300460092018403735e-01,1.201422463417681570e+02,1.636478412895545773e+02,2.512069146127204333e-01,7.900225556952544537e+01
2.400480096019204090e-01,1.209289321447699876e+02,1.713502366152485763e+02,2.630057906534039591e-01,7.830341039408548909e+01
2.500500100020003891e-01,1.217086302582441277e+02,1.790973685563785693e+02,2.748711670533061091e-01,7.760483369741857018e+01
2.600520104020804246e-01,1.224813412587388655e+02,1.868887474181432253e+02,2.868022790750038853e-01,7.690631999208281400e+01
2.700540108021604602e-01,1.232470644689755659e+02,1.947238837360827972e+02,2.987983624969330343e-01,7.620769419184297533e+01
2.800560112022404402e-01,1.240057981322476763e+02,2.026022882227077844e+02,3.108586535311612109e-01,7.550880754945298179e+01
2.900580116023204758e-01,1.247575394124208259e+02,2.105234717674991884e+02,3.229823888233883666e-01,7.480953428716630071e+01
3.000600120024005113e-01,1.255022843939326833e+02,2.184869454369083144e+02,3.351688054529462502e-01,7.410976876526001433e+01
3.100620124024804913e-01,1.262400280817930565e+02,2.264922204743567136e+02,3.474171409327985738e-01,7.340942308892138612e+01
3.200640128025605269e-01,1.269707644015838639e+02,2.345388083002364965e+02,3.597266332095412356e-01,7.270842507411488498e+01
3.300660132026405624e-01,1.276944861994590923e+02,2.426262205119098780e+02,3.720965206634020417e-01,7.200671651030573628e+01
3.400680136027205425e-01,1.284111853397329810e+02,2.507539688530632134e+02,3.845260420608840324e-01,7.130425164932562154e+01
3.500700140028005780e-01,1.291208545397361149e+02,2.589215644227380153e+02,3.970144353340918086e-01,7.060099555113737324e+01
3.600720144028806136e-01,1.298234857223174288e+02,2.671285179475789278e+02,4.095609380036399072e-01,6.989692329443488461e+01
3.700740148029605936e-01,1.305190703678670729e+02,2.753743401470629806e+02,4.221647877399965498e-01,6.919201889615700907e+01
3.800760152030406291e-01,1.312076000543692942e+02,2.836585416333804233e+02,4.348252222082988894e-01,6.848627433181097501e+01
3.900780156031206647e-01,1.318890664574022935e+02,2.919806329114347250e+02,4.475414790683525657e-01,6.777968877388173041e+01
4.000800160032006447e-01,1.325634613501384536e+02,3.003401243788425745e+02,4.603127959746321496e-01,6.707226792065789311e+01
4.100820164032806803e-01,1.332307766033441112e+02,3.087365263259340509e+02,4.731384105762811432e-01,6.636402340295894930e+01
4.200840168033607158e-01,1.338910041853797850e+02,3.171693489357524527e+02,4.860175605171116464e-01,6.565497225789141567e+01
4.300860172034406959e-01,1.345441361621999476e+02,3.256381022840539572e+02,4.989494834356045239e-01,6.494513646075039048e+01
4.400880176035207314e-01,1.351901646973532252e+02,3.341422963393085865e+02,5.119334169649096822e-01,6.423454250730122794e+01
4.500900180036007669e-01,1.358290820577626619e+02,3.426814409648047786e+02,5.249685987360473982e-01,6.352322103842624301e+01
4.600920184036807470e-01,1.364608812127054875e+02,3.512550460026696442e+02,5.380542665040460859e-01,6.281120633550494858e+01
4.700940188037607825e-01,1.370855555048631516e+02,3.598626208904782402e+02,5.511896575622489136e-01,6.209853612232586784e+01
4.800960192038408181e-01,1.377030984799972089e+02,3.685036749880072193e+02,5.643740092446172252e-01,6.138525131492603748e+01
4.900980196039207981e-01,1.383135041863714321e+02,3.771777177755969319e+02,5.776065592285304362e-01,6.067139567593135041e+01
5.001000200040007782e-01,1.389167671747516692e+02,3.858842588541519376e+02,5.908865455347855900e-01,5.995701558438315004e+01
5.101020204040808137e-01,1.395128824984059577e+02,3.946228079451406643e+02,6.042132065275975794e-01,5.924215982587740115e+01
5.201040208041608492e-01,1.401018457131045523e+02,4.033928748905952943e+02,6.175857809145988142e-01,5.852687940109525044e+01
5.301060212042408848e-01,1.406836528771198118e+02,4.121939696531122195e+02,6.310035077468394427e-01,5.781122735051526718e+01
5.401080216043209203e-01,1.412583005512262844e+02,4.210256023158515291e+02,6.444656264187875738e-01,5.709525859368530831e+01
5.501100220044009559e-01,1.418257857987006503e+02,4.298872830825373512e+02,6.579713766683286114e-01,5.637902978135312537e+01
5.601120224044808804e-01,1.423861061971984157e+02,4.387785223074195073e+02,6.715199986225721673e-01,5.566259915375363931e+01
5.701140228045609160e-01,1.429392600842456602e+02,4.476988309322085229e+02,6.851107334661368231e-01,5.494602631027567696e+01
5.801160232046409515e-01,1.434852463461357388e+02,4.566477197191885580e+02,6.987428222696024926e-01,5.422937220276779158e+01
5.901180236047209871e-01,1.440240644506054366e+02,4.656246997246794876e+02,7.124155067133249863e-01,5.351269898729921692e+01
6.001200240048010226e-01,1.445557145198600040e+02,4.746292825437274132e+02,7.261280294614744779e-01,5.279606988378106536e+01
6.101220244048810581e-01,1.450801973305731565e+02,4.836609803101039233e+02,7.398796341620359485e-01,5.207954908013616091e+01
6.201240248049609827e-01,1.455975143138871317e+02,4.927193056963067193e+02,7.536695654468086314e-01,5.136320164267934274e+01
6.301260252050410182e-01,1.461076675554127462e+02,5.018037719135595012e+02,7.674970689314066785e-01,5.064709343224301819e+01
6.401280256051210538e-01,1.466106597952291679e+02,5.109138927118115134e+02,7.813613912152588270e-01,4.993129102545289300e+01
6.501300260052010893e-01,1.471064944278841722e+02,5.200491823797379993e+02,7.952617798816079553e-01,4.921586164080560621e+01
6.601320264052811249e-01,1.475951755023939711e+02,5.292091557447403147e+02,8.091974834975118602e-01,4.850087306885853167e+01
6.701340268053610494e-01,1.480767077223107719e+02,5.383933281738109144e+02,8.231677516151642005e-01,4.778639360657642499e+01
6.801360272054410849e-01,1.485510965093970697e+02,5.476012161276170218e+02,8.371718356184811860e-01,4.707249193930348952e+01
6.901380276055211205e-01,1.490183480153957873e+02,5.568323365869872532e+02,8.512089878499459195e-01,4.635923711082740084e+01
7.001400280056011560e-01,1.494784690622036294e+02,5.660862070089361850e+02,8.652784615421611480e-01,4.564669849060752682e+01
7.101420284056811916e-01,1.499314671686267957e+02,5.753623458912375099e+02,8.793795116792173516e-01,4.493494567731679723e+01
7.201440288057612271e-01,1.503773505503810100e+02,5.846602727724252873e+02,8.935113949966929647e-01,4.422404844781301847e+01
7.301460292058411516e-01,1.508161281200914061e+02,5.939795082317926926e+02,9.076733699816544876e-01,4.351407670866548472e+01
7.401480296059211872e-01,1.512478094872926704e+02,6.033195738893933822e+02,9.218646968726565971e-01,4.280510044965747340e+01
7.501500300060012227e-01,1.516724049584288707e+02,6.126799924060400144e+02,9.360846376597414809e-01,4.209718969938310096e+01
7.601520304060812583e-01,1.520899255368535989e+02,6.220602874833055012e+02,9.503324560844396141e-01,4.139041448275726509e+01
7.701540308061612938e-01,1.525003829228299708e+02,6.314599838635220976e+02,9.646074176397692046e-01,4.068484478018562811e+01
7.801560312062413294e-01,1.529037895135304836e+02,6.408786073297821986e+02,9.789087895702364150e-01,3.998055048830369884e+01
7.901580316063212539e-01,1.533001584012095293e+02,6.503156847412445813e+02,9.932358409256089038e-01,3.927760138103032261e+01
8.001600320064012895e-01,1.536895033519668914e+02,6.597707448097394263e+02,1.007587843745595402e+00,3.857606703672648507e+01
8.101620324064813250e-01,1.540718388937321492e+02,6.692433169918763269e+02,1.021964071375970118e+00,3.787601683219400428e+01
8.201640328065613605e-01,1.544471802548329151e+02,6.787329319185371332e+02,1.036363799119335294e+00,3.717751990805539464e+01
8.301660332066413961e-01,1.548155433363995428e+02,6.882391217915529751e+02,1.050786304838617236e+00,3.648064512460926068e+01
8.401680336067214316e-01,1.551769447123652412e+02,6.977614203837043760e+02,1.065230868957065313e+00,3.578546103082403818e+01
8.501700340068013562e-01,1.555314016294659041e+02,7.072993630387210260e+02,1.079696774458251740e+00,3.509203583448493191e+01
8.601720344068813917e-01,1.558789320072402518e+02,7.168524866712821222e+02,1.094183306886073126e+00,3.440043737303906823e+01
8.701740348069614273e-01,1.562195544380298315e+02,7.264203297670161419e+02,1.108689754344748257e+00,3.371073308541004110e+01
8.801760352070414628e-01,1.565532881869788469e+02,7.360024323825006149e+02,1.123215407498820095e+00,3.302298998469784408e+01
8.901780356071214984e-01,1.568801531920344132e+02,7.455983361452626923e+02,1.137759559573154666e+00,3.233727463156189685e+01
9.001800360072015339e-01,1.572001700639463309e+02,7.552075842537786912e+02,1.152321506352941061e+00,3.165365310827781897e+01
9.101820364072814584e-01,1.575133600862671983e+02,7.648297214774739814e+02,1.166900546183691656e+00,3.097219099362017758e+01
9.201840368073614940e-01,1.578197451615878038e+02,7.744642945295878462e+02,1.181495980537453860e+00,3.029295334111916205e+01
9.301860372074415295e-01,1.581193478048331826e+02,7.841108523538920281e+02,1.196107114454236120e+00,2.961600464287606016e+01
9.401880376075215651e-01,1.584121913120560237e+02,7.937689449548199718e+02,1.210733254765932854e+00,2.894140879720819726e+01
9.501900380076016006e-01,1.586982995874028575e+02,8.034381243756819231e+02,1.225373711576458469e+00,2.826922910774818476e+01
9.601920384076816362e-01,1.589776971352423232e+02,8.131179447477873055e+02,1.240027798336209575e+00,2.759952826326006203e+01
9.701940388077615607e-01,1.592504090601651114e+02,8.228079622904442658e+02,1.254694831842063429e+00,2.693236831743073623e+01
9.801960392078415962e-01,1.595164610669840499e+02,8.325077353109602427e+02,1.269374132237379049e+00,2.626781066911636486e+01
9.901980396079216318e-01,1.597758794607340178e+02,8.422168242046412843e+02,1.284065023011996765e+00,2.560591604293409773e+01
1.000200040008001556e+00,1.600286911466720312e+02,8.519347914547923892e+02,1.298766831002237998e+00,2.494674447035662368e+01
1.010202040408081592e+00,1.602749236302771578e+02,8.616612016327178480e+02,1.313478886390906153e+00,2.429035527132793959e+01
1.020204040808161627e+00,1.605146050172505738e+02,8.713956213977207881e+02,1.328200522707285058e+00,2.363680703602854294e+01
1.030206041208241663e+00,1.607477640135155639e+02,8.811376194971030600e+02,1.342931076827140968e+00,2.298615760727166091e+01
1.040208041608321698e+00,1.609744299252174642e+02,8.908867667661658061e+02,1.357669888972720562e+00,2.233846406310806998e+01
1.050210042008401734e+00,1.611946326345949103e+02,9.006426362213622951e+02,1.372416302853211256e+00,2.169378270652483565e+01
1.060212042408481770e+00,1.614084023950313167e+02,9.104048039572667221e+02,1.387169667023027353e+00,2.105216910070492276e+01
1.070214042808561805e+00,1.616157702385341395e+02,9.201728476985337011e+02,1.401929332705400100e+00,2.041367793419177801e+01
1.080216043208641841e+00,1.618167677691694450e+02,9.299463474259985105e+02,1.416694654727101543e+00,1.977836307073832600e+01
1.090218043608721876e+00,1.620114270798051166e+02,9.397248856760663784e+02,1.431464991968664835e+00,1.914627755976596646e+01
1.100220044008801912e+00,1.621997807521107973e+02,9.495080475407128233e+02,1.446239707364384675e+00,1.851747362304500300e+01
1.110222044408881725e+00,1.623818618565580891e+02,9.592954206674828583e+02,1.461018167902317089e+00,1.789200264159994092e+01
1.120224044808961761e+00,1.625577039524203258e+02,9.690865952594924693e+02,1.475799744624280097e+00,1.726991514295747621e+01
1.130226045209041796e+00,1.627273410877727713e+02,9.788811640754269092e+02,1.490583812625852600e+00,1.665126078871212911e+01
1.140228045609121832e+00,1.628908077994924497e+02,9.886787224295417218e+02,1.505369751056375049e+00,1.603608836214987221e+01
1.150230046009201867e+00,1.630481391132582587e+02,9.984788681916625137e+02,1.520156943118949666e+00,1.542444575633820492e+01
1.160232046409281903e+00,1.631993705435509412e+02,1.008281201787185068e+03,1.534944776070439332e+00,1.481637996236957378e+01
1.170234046809361939e+00,1.633445380936530853e+02,1.018085326197075005e+03,1.549732641221469365e+00,1.421193705778859240e+01
1.180236047209441974e+00,1.634836782556490391e+02,1.027890846957868007e+03,1.564519933936425744e+00,1.361116219536025085e+01
