n1,n2,sv,R,R_noisy
1.779554061750641791e+00,6.040748865737833873e-01,1.229826606388659593e+00,1.222339982126410485e+00,1.239619191729649739e+00
2.876159240814838203e+00,2.333386337810136268e+00,2.563427714975764493e-01,1.218191803417606911e+00,1.259272710592664879e+00
8.603990317990843906e-01,7.246707794899029942e-01,4.615320100675843196e-01,3.051547447511603339e-01,3.216765985603297073e-01
2.871623617843109599e+00,7.721545793516494394e-01,1.683866816018858348e+00,2.195637625847949526e+00,2.130479764267731557e+00
1.279578630026213748e+00,2.092923648765605105e+00,8.085379267582044616e-01,1.602113684021654549e+00,1.647381477355310375e+00
1.558316122431439243e+00,2.614956128073619546e+00,1.432770846556897792e+00,2.220195154186154429e+00,2.242513882804355152e+00
2.569256484551104336e+00,1.144670418402553125e+00,8.072421555683806371e-01,1.683753982550670880e+00,1.656906320782656650e+00
1.522997840922903245e+00,1.765477757691437555e+00,3.359440659121142869e-01,7.791457710469010811e-01,8.082016762567187929e-01
1.873984219182648792e+00,2.416682628742332639e+00,4.989721304843527383e-01,1.544568343199641314e+00,1.562796963008945106e+00
5.688977831076709180e-01,9.625772131480776483e-01,2.485654791088969806e-01,1.425521292454533517e-01,1.572587540782296456e-01
2.383782771687016577e+00,1.530736264306507444e+00,8.925629228353708644e-01,1.960591910395076409e+00,1.962013022460866285e+00
1.845358283048195602e+00,1.982271822239386694e+00,5.530576223980228079e-01,1.468724715531441571e+00,1.496060364862063841e+00
1.324329291247730467e+00,2.468487242187890729e+00,1.616351715753093554e+00,2.270686962320116020e+00,2.233864257970032519e+00
2.471071758571010690e+00,1.933577309405764888e+00,2.961949353471526325e-01,1.081155102594915540e+00,1.073009605195262894e+00
1.257987073229112518e+00,8.652861641606358623e-01,1.487153062980286267e+00,1.442866759500523344e+00,1.418760793866524317e+00
1.633744723701628709e+00,2.576170373422085547e+00,1.408570345663335166e+00,2.210349633620844134e+00,2.240291944252575718e+00
8.351042431179118708e-01,2.527753864337087375e+00,1.084661009860532266e+00,1.711606380852584097e+00,1.713592486226667155e+00
1.507782466117823184e+00,2.307312837023697050e+00,1.049689749465546829e+00,2.071718919561715833e+00,2.057096082013461391e+00
1.008638101690374045e+00,2.332493495542154793e+00,5.258978125111992696e-01,1.046789558259212161e+00,1.007694135141369962e+00
1.155783351104623824e+00,1.639391257089508169e+00,7.926993787798766178e-01,1.270106492917746577e+00,1.257246880886803142e+00
2.375911681575131329e+00,2.125591487099792953e+00,1.599275847995110800e+00,1.989752575057553763e+00,1.990159684083470992e+00
1.201021894965099701e+00,2.996833924795828885e+00,5.482413928340311715e-01,1.444852030918382102e+00,1.431071885653413478e+00
1.712977436079087701e+00,2.937170291172022107e+00,1.323869875419757758e+00,2.134051655043362583e+00,2.198754845763272847e+00
2.951842999503096365e+00,9.661210089604930218e-01,1.544244179920130744e+00,2.247040159497517120e+00,2.297376375262806913e+00
2.904142984159467034e+00,2.093526465721502916e+00,1.874176826199480672e+00,1.473565930028855497e+00,1.338007806080557138e+00
2.311974851933833897e+00,2.668842797523910182e+00,2.873602621691387915e-01,1.256098891222340974e+00,1.161648228923957360e+00
1.853067138868585539e+00,6.503284065133003722e-01,1.172089434256218476e+00,1.274271621504718510e+00,1.265533016901960517e+00
1.192228010113427050e+00,1.937350598661567336e+00,3.715984309607046066e-01,7.558370804075983385e-01,7.347275598287806853e-01
9.016300219378171610e-01,7.887301725796111995e-01,1.795728188430956385e+00,1.253018781897839773e+00,1.263700931772770319e+00
2.924813533040331315e+00,9.589136393822468296e-01,1.915998542264937266e+00,2.308142264881400063e+00,2.319008361432528087e+00
1.790171463869696833e+00,1.397990626456074192e+00,3.006027982231357920e-01,6.628333436208053708e-01,7.687252813733578272e-01
7.896640311769258513e-01,1.891673047479808023e+00,3.786028062881959810e-01,5.329458638542293736e-01,4.773448257196152844e-01
2.058724388843750752e+00,1.853654072908987205e+00,1.023786387906121975e+00,2.100268186592617159e+00,2.081387936236267056e+00
2.441707785855744994e+00,1.759963961921112929e+00,1.594877382174024971e+00,2.152563821765547836e+00,2.254702402140164263e+00
2.032508252632601042e+00,2.893150782546805022e+00,1.308850969739748793e+00,2.004357132717077938e+00,2.036692282527170494e+00
2.793244261977256837e+00,1.773352732359552597e+00,7.970965408886148129e-01,2.043308484147418280e+00,2.076461652766231403e+00
5.989821916605071461e-01,2.332740343784245329e+00,1.274314083114544749e+00,1.501569878576944905e+00,1.475869559992571745e+00
1.821473158150054061e+00,1.335749426472620405e+00,1.636332337523726865e+00,2.218730873886424870e+00,2.136327115343642280e+00
1.648339707213509309e+00,2.360834179686754020e+00,1.858697710289871852e+00,2.136987409191888787e+00,2.145360646403025928e+00
6.558739478746890006e-01,2.369726558485003132e+00,4.489836754081790726e-01,6.479575945201615506e-01,6.534082989112389717e-01
2.103320422848437232e+00,2.173913434628542696e+00,1.717436749587790690e+00,2.036123866988003517e+00,1.974756264275774775e+00
2.631582096201642074e+00,2.385739372496924027e+00,1.366238605703332887e+00,1.883090273724140395e+00,1.848928940635112372e+00
1.982352545260710031e+00,1.930891739709546417e+00,1.165346941861188812e+00,2.180083695116582732e+00,2.176481511130221147e+00
