t,P,S_set,R,dP_dt,dP_dt_noisy
0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.604418260186826206e+00,-1.535301421773868968e+00
1.200240048009601837e-02,2.498060075143368053e+01,5.998157511542406579e-04,2.995841145255022809e-03,-1.628123210287697242e+00,-1.463799581587465592e+00
2.400480096019203674e-02,2.496091770955988665e+01,1.199018506975004124e-03,5.982156842945068539e-03,-1.651707365116752424e+00,-1.585619949880074930e+00
3.600720144028805858e-02,2.494095233565073855e+01,1.797601620333887790e-03,8.958935997051699351e-03,-1.675168859886827732e+00,-1.935800306207700050e+00
4.800960192038407348e-02,2.492070611274391823e+01,2.395558481403887129e-03,1.192616771604496952e-02,-1.698505869474145280e+00,-1.517434696139521755e+00
6.001200240048008838e-02,2.490018054555678617e+01,2.992882517738139781e-03,1.488384131315773767e-02,-1.721716608570585505e+00,-1.632441694097783280e+00
7.201440288057611716e-02,2.487937715532013527e+01,3.589567197562680730e-03,1.783194631491263199e-02,-1.744799331747473481e+00,-1.852189978819530403e+00
8.401680336067213206e-02,2.485829747796053724e+01,4.185606030761943909e-03,2.077047246242231388e-02,-1.767752333506859896e+00,-1.651528712667589271e+00
9.601920384076814696e-02,2.483694309092423680e+01,4.780992552578094794e-03,2.369940967258053754e-02,-1.790573948804000892e+00,-1.717659469566785724e+00
1.080216043208641619e-01,2.481531558952447014e+01,5.375720339451909788e-03,2.661874808298976894e-02,-1.813262552881646616e+00,-1.754436053550541441e+00
1.200240048009601768e-01,2.479341658508890589e+01,5.969783010226034636e-03,2.952847805519835667e-02,-1.835816561284164372e+00,-1.830132113021005091e+00
1.320264052810561917e-01,2.477124770495964512e+01,6.563174226144977488e-03,3.242859017470050426e-02,-1.858234429876744365e+00,-1.748891832554255066e+00
1.440288057611522343e-01,2.474881059249322490e+01,7.155887690855118437e-03,3.531907525093629097e-02,-1.880514654848138179e+00,-2.027805472248471741e+00
1.560312062412482492e-01,2.472610690706061121e+01,7.747917150404699110e-03,3.819992431729166832e-02,-1.902655772697230852e+00,-1.935237762295841435e+00
1.680336067213442641e-01,2.470313832404720600e+01,8.339256393243829613e-03,4.107112863109844969e-02,-1.924656360203763406e+00,-2.021080222739759069e+00
1.800360072014402790e-01,2.467990653485284369e+01,8.929899250224488522e-03,4.393267967363431725e-02,-1.946515034383528686e+00,-1.826745791856603240e+00
1.920384076815362939e-01,2.465641324689179115e+01,9.519839594600516819e-03,4.678456915012280115e-02,-1.968230452428353150e+00,-1.960286030932021362e+00
2.040408081616323088e-01,2.463266018359274767e+01,1.010907134202762916e-02,4.962678898973336972e-02,-1.989801311631208103e+00,-2.048292661824225647e+00
2.160432086417283237e-01,2.460864908439884857e+01,1.069758845056339655e-02,5.245933134558128375e-02,-2.011226349296774796e+00,-2.167608041768143146e+00
2.280456091218243386e-01,2.458438170476765450e+01,1.128538492066726365e-02,5.528218859472769364e-02,-2.032504342637808215e+00,-2.083942790761582398e+00
2.400480096019203535e-01,2.455985981617116920e+01,1.187245479520054880e-02,5.809535333817963942e-02,-2.053634108657636848e+00,-2.052005672553967930e+00
2.520504100820163962e-01,2.453508520609582888e+01,1.245879215942641630e-02,6.089881840089002296e-02,-2.074614504019151706e+00,-2.129735085079025758e+00
2.640528105621123833e-01,2.451005967804248797e+01,1.304439114100991795e-02,6.369257683175759410e-02,-2.095444424900619662e+00,-1.836631662020978162e+00
2.760552110422084260e-01,2.448478505152645468e+01,1.362924591001796193e-02,6.647662190362700618e-02,-2.116122806838689030e+00,-1.914777943777530078e+00
2.880576115223044686e-01,2.445926315910494253e+01,1.421335068042294328e-02,6.925094711703150274e-02,-2.136648624459949630e+00,-2.678881120253143511e+00
3.000600120024004558e-01,2.443349580755307926e+01,1.479669973224520887e-02,7.201554626550922544e-02,-2.157020890086056575e+00,-2.534823539279591031e+00
3.120624124824964984e-01,2.440748484792466044e+01,1.537928737948221491e-02,7.477041336969925123e-02,-2.177238655983493754e+00,-2.212193074394526171e+00
