t,T,H,W,dT_dt,dT_dt_noisy
0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00,-6.557142857142856940e-01,-6.488026018729899924e-01
6.001200240048009185e-03,1.996057986609962587e+00,2.017586390084930847e-01,5.157698785350798773e-04,-6.580214571733297158e-01,-6.415890943033065730e-01
1.200240048009601837e-02,1.992102233787450549e+00,2.035138492500222218e-01,1.034285735462994347e-03,-6.602932221188271278e-01,-6.536844805951593784e-01
1.800360072014402929e-02,1.988132953353899168e+00,2.052656267798849410e-01,1.555522860758660249e-03,-6.625298018170444614e-01,-6.885929464491317153e-01
2.400480096019203674e-02,1.984150355770077701e+00,2.070139676807491724e-01,2.079456795819762879e-03,-6.647314167597185852e-01,-6.466242994262562105e-01
3.000600120024004419e-02,1.980154650193231669e+00,2.087588680597907420e-01,2.606063296150912863e-03,-6.668982866820771793e-01,-6.579707952347969568e-01
3.600720144028805858e-02,1.976146044478441999e+00,2.105003240486233995e-01,3.135318330454387598e-03,-6.690306305601871895e-01,-6.797696952673928372e-01
4.200840168033606603e-02,1.972124745178625238e+00,2.122383318032988186e-01,3.667198080630128861e-03,-6.711286666077925789e-01,-6.595063045238654942e-01
4.800960192038407348e-02,1.968090957544534225e+00,2.139728875043064305e-01,4.201678941775741083e-03,-6.731926122731473061e-01,-6.659011643494258115e-01
5.401080216043208093e-02,1.964044885524757422e+00,2.157039873565735344e-01,4.738737522186500448e-03,-6.752226842358488579e-01,-6.693400343027383625e-01
6.001200240048008838e-02,1.959986731765719137e+00,2.174316275894653816e-01,5.278350643355345789e-03,-6.772190984036727812e-01,-6.766506535773568753e-01
6.601320264052809583e-02,1.955916697611679522e+00,2.191558044567850083e-01,5.820495339972878157e-03,-6.791820699094083258e-01,-6.682478101771593959e-01
7.201440288057611716e-02,1.951834983104734578e+00,2.208765142367732914e-01,6.365148859927371658e-03,-6.811118131076969728e-01,-6.958408948477302625e-01
7.801560312062412461e-02,1.947741786984816148e+00,2.225937532321090040e-01,6.912288664304760445e-03,-6.830085415718774033e-01,-6.862667405317384173e-01
8.401680336067213206e-02,1.943637306795561681e+00,2.243075177657070929e-01,7.461892375501203399e-03,-6.848724681319333651e-01,-6.945148543855329537e-01
9.001800360072013951e-02,1.939521738911228477e+00,2.260178041795125048e-01,8.013937761742473409e-03,-6.867038048832939667e-01,-6.747268806306013778e-01
9.601920384076814696e-02,1.935395278141795794e+00,2.277246088504421562e-01,8.568402930820284702e-03,-6.885027630305921020e-01,-6.877083208809589010e-01
1.020204040808161544e-01,1.931258118056255357e+00,2.294279281778505986e-01,9.125266173968013539e-03,-6.902695530093114762e-01,-6.961186880286132084e-01
