M,T_body,Q,Q_noisy
1.177415498508627367e+00,2.672896475046232467e+02,9.965010095058891570e-01,1.003412693347184970e+00
5.044082462406216223e+02,3.053344994318230192e+02,1.934325409582534488e-02,3.577561696584850848e-02
7.327531200248025602e-03,2.699427571487778437e+02,3.827674954094423265e-02,4.488549106461197508e-02
4.919224950758322166e+02,2.709874007457362950e+02,2.627325894161643832e-02,2.101143095292190566e-04
7.429998260135516064e-02,3.000443202728433221e+02,1.152137005707176559e-01,1.333208179041800168e-01
3.467038735465146071e-01,3.115290348176196176e+02,3.222378889009010483e-01,3.311653803481812708e-01
9.251572636262477545e+01,2.791827492048561794e+02,1.890201653592579745e-01,1.782811006520522712e-01
2.852297479905830935e-01,2.928405106692116533e+02,2.746157445964744204e-01,2.862381066804015051e-01
1.984093462078355463e+00,3.071670178323313394e+02,9.638547823953493854e-01,9.711462303190708800e-01
1.463371792519720408e-03,2.751766986892577052e+02,1.343288803799837575e-02,1.931553797110889537e-02
3.319545700893531404e+01,2.876761978147431478e+02,5.985235898315190983e-01,5.990920346578350042e-01
1.693791227817804002e+00,2.976099800892665144e+02,8.585730635978201519e-01,8.695073233300690818e-01
9.514594829923427033e-02,3.083067193281335676e+02,1.380187530705340448e-01,1.232896713305006997e-01
5.377398486025727919e+01,2.965387008069268404e+02,3.256031404242296090e-01,3.223449414643685396e-01
6.594304172115031393e-02,2.730362956115340012e+02,1.360898255498099729e-01,1.264474392962104121e-01
5.260019290542262693e-01,3.106757482152858643e+02,4.202579571817830484e-01,4.322348814344755819e-01
6.371624645952765446e-03,3.096105850154159498e+02,2.667742431984789983e-02,2.747186646948108005e-02
2.622273092854937593e-01,3.047608824145213475e+02,2.597595980793874770e-01,2.539104630600856893e-01
1.662384359013522814e-02,3.053148569019273850e+02,4.634260462861083951e-02,3.070443538147399690e-02
3.748694445039242595e-02,2.900666076559691646e+02,7.711623692947622288e-02,7.197239211709881290e-02
3.178249854498513827e+01,3.007630127161954192e+02,6.040746920776791651e-01,6.042375356880460568e-01
4.813406586620494476e-02,3.199303463455082124e+02,9.891844583125807000e-02,9.340638772527065647e-02
8.149779273673193325e-01,3.186177464057844873e+02,5.972594139807404501e-01,6.231406902687045557e-01
7.663430070998622341e+02,2.752546621971308696e+02,1.368800313895491075e-02,3.382248944507079691e-02
5.887665958550649066e+02,3.000575822458730499e+02,1.570289385530751480e-02,-3.852035572401185659e-02
2.232233619076719933e+01,3.127145415455260036e+02,9.205697821594330810e-01,8.827895172400795909e-01
1.767506962724086250e+00,2.683072249432926242e+02,1.252632533901556933e+00,1.249137092060453647e+00
4.585083237734067368e-02,2.966217131705544716e+02,8.535031302852037760e-02,7.690650479699330522e-02
9.202631938291641611e-03,2.713520637967514517e+02,4.240693982307108811e-02,4.667979977304331091e-02
6.600129841247202194e+02,2.750961000664094058e+02,1.659995274556658185e-02,2.094639136601785315e-02
1.248566025610184038e+00,2.847557937820336065e+02,7.564176637064774500e-01,7.987744388074984325e-01
4.956711874602068649e-03,2.956168070445557987e+02,2.234712709260424160e-02,1.067118387586135642e-04
5.507297447427015769e+00,2.947803896039977190e+02,1.520307078557902924e+00,1.512754978415362883e+00
4.571920669538099702e+01,2.927192071622644676e+02,4.003680741622185346e-01,4.412235063120651390e-01
4.764527152853240466e+00,3.176493172160297149e+02,1.600076720222102455e+00,1.613010780146139300e+00
3.189967282150121264e+02,2.930137601119101305e+02,3.462676724901048858e-02,4.788803469653572092e-02
1.728053802450397157e-03,3.053202875632533733e+02,1.224266415053337255e-02,1.962536716784115537e-03
1.484347480198484615e+00,2.833864873823976609e+02,8.562190059633266737e-01,8.232575025462136598e-01
5.701843557378927230e-01,3.059383519531085653e+02,4.321291229530874189e-01,4.354784178375422643e-01
2.366450774154054641e-03,3.061339842866700565e+02,1.471241870016934926e-02,1.689270045660029931e-02
7.046427937457399260e+00,3.018260955618279695e+02,1.565374257567183403e+00,1.540827216482291817e+00
1.305560587009751998e+02,3.064862661949323410e+02,1.087004011351047350e-01,9.503586789949348967e-02
3.611154823471998565e+00,2.964796182736100150e+02,1.307746282313808184e+00,1.306305408719263594e+00
3.635671923992171706e-02,3.120601766390827834e+02,7.750016224439874868e-02,5.860512978318320465e-02
1.094684896692405118e+02,3.107893664110615077e+02,1.391195043153639899e-01,1.371541049583196448e-01
1.140184910467570312e+00,2.703014375644517600e+02,9.040807151849468148e-01,9.059903757343359398e-01
1.162340329771657910e+00,2.896595683045878218e+02,6.950393835146744248e-01,6.957511082557841231e-01
3.297472984979031452e+01,2.716369635419367228e+02,7.598717721566318195e-01,7.497459389903454730e-01
7.718487669728304502e-03,3.172796471610438971e+02,3.171253913366578470e-02,4.358750056938223705e-02
8.274853520082152158e+01,2.889190157953471498e+02,1.964629405042742638e-01,2.142862795899208306e-01
1.258118174210592777e+01,2.771043074955430825e+02,1.597436449609688225e+00,1.603853415701019580e+00
5.279364518951343399e+01,3.110695697947412555e+02,3.466127761307222777e-01,3.302481715829161391e-01
1.411554185511251953e-02,2.697968887777926170e+02,5.681879083072249870e-02,7.145183650643131823e-02
6.519059828838133797e+01,2.734747821755238419e+02,3.235967274194497256e-01,3.135679270501086635e-01
1.405864797178040144e-02,3.023356465212245325e+02,4.153261958201334009e-02,5.911583194777304817e-02
3.085430044597575749e-03,2.929082827588853206e+02,1.708165458657213281e-02,-4.354093750976749388e-03
1.353199553206200108e+02,2.797012066449369740e+02,1.158815895110597294e-01,1.341709335736353537e-01
1.471299126270177737e+02,2.966953873094198570e+02,9.196464246199161086e-02,9.156337336968199681e-02
1.816446363799795449e+02,2.764061020596342360e+02,8.389099359997236049e-02,5.891601579328405169e-02
6.783570082572809579e-01,2.820079585993541400e+02,5.250826673041901760e-01,5.188046778648531809e-01
4.408494788040425577e-02,2.986083337777491806e+02,8.317142598539663256e-02,8.425347156082750588e-02
1.102937674177008505e-03,3.135612685134598223e+02,9.942791120723385584e-03,1.539861790401246197e-02
7.487302391685036085e+00,3.036748050025651082e+02,1.571982692191156161e+00,1.552338929692336666e+00
2.086682150253642831e+01,3.003775281278226430e+02,9.307812836733337924e-01,9.086338227300299053e-01
1.031371910063788420e+02,3.060655925389427239e+02,1.463210693195363954e-01,1.503127599764779998e-01
4.912097338001175650e-02,2.858106679347536101e+02,9.406017176083344977e-02,8.472517942323740114e-02
1.955730474141144024e-02,3.189537933112130190e+02,5.632399127318290372e-02,6.103410350778740862e-02
6.854697285437929999e+00,2.986193099004363489e+02,1.559652597923445239e+00,1.574842988373012842e+00
6.765953346698728410e+01,2.791658701531383144e+02,2.799056764972601696e-01,2.469299291702412025e-01
6.053760524373685712e+02,2.669780886317419686e+02,2.232405870326189049e-02,2.741182103361423580e-02
8.001086811733587600e-03,2.711465571912740415e+02,3.920381074241026387e-02,6.369675009312490699e-02
7.821216885136726971e-01,2.759180033388134916e+02,6.306496540683977914e-01,6.246991171809883614e-01
2.335044562635247019e+02,3.053904951455596120e+02,5.161969961612532243e-02,3.540340795137392194e-02
3.437964925654581894e-01,3.097986640459938030e+02,3.169438672494300779e-01,3.319887437930219565e-01
3.443597410000810211e+00,3.158999064776826344e+02,1.382524097934169305e+00,1.387593028258332195e+00
1.402633040540510754e-03,3.003600629347662903e+02,1.074450035965772779e-02,2.866216177520893374e-02
1.098396961696949781e+01,2.813502344486531115e+02,1.598942172522900496e+00,1.592037858321874833e+00
3.269879268519954962e+02,3.111377999138918540e+02,3.462477091018707764e-02,4.988405435742852834e-03
9.140121678348022272e+01,3.174408593436090769e+02,1.843921970628347451e-01,1.821919817686097343e-01
2.056466315554518189e+02,3.033297112020670738e+02,6.030128937965999192e-02,5.138472631943534485e-02
9.164996071111987774e+00,2.689796921983943889e+02,2.129249255921001449e+00,2.144755732361952827e+00
2.973812642706829060e-02,2.876040087230082918e+02,6.798547374346913807e-02,7.185813071101221361e-02
4.084152907608478955e+01,2.786918996394563806e+02,5.209400513334953020e-01,4.883230666847933055e-01
1.862294907359637874e-02,3.166593281537284383e+02,5.346220155032475885e-02,2.955893994826076093e-02
9.719613777916885056e+01,3.096117865119339285e+02,1.605320274224975308e-01,1.782078081542426418e-01
2.378523986246512418e-03,2.688459911671616851e+02,2.037972764564181111e-02,3.397502799399874235e-02
8.972777123474523364e+01,2.985187561677023496e+02,1.718847190261937885e-01,1.590798517080240226e-01
9.706074016799438875e-03,3.191831170714447694e+02,3.703903738354929337e-02,3.701806145220368216e-02
1.781894465692017981e-01,2.938093369860890220e+02,2.021649040289403287e-01,2.110763751044640590e-01
7.951132657694438832e-02,3.139192739346675012e+02,1.279318693579404032e-01,1.372999560748859593e-01
1.406119437217839518e+01,3.096781872466940513e+02,1.311161797510067339e+00,1.328686641432354376e+00
1.178775956730878163e-02,2.909345569376299636e+02,3.797937624414098740e-02,4.310908878857222515e-02
2.385266854544391413e-01,2.893104618015718188e+02,2.490856344708438364e-01,2.471890676914738627e-01
1.083796066962290682e-03,2.738908153263532199e+02,1.160722227113040669e-02,6.430260975373495655e-03
3.758099518507231063e-02,2.844958263562339198e+02,8.069153109425050707e-02,1.018063871049155328e-01
3.366145508996530866e-01,2.755251671611890742e+02,3.667766466383611812e-01,3.217595611367904396e-01
4.320434448762457483e-03,3.115139171118477748e+02,2.149229153742707177e-02,1.871918503560032407e-02
6.294477365911507860e+00,2.981871799156271550e+02,1.548252132821097415e+00,1.548912134900778614e+00
1.916662382909948281e-01,3.164933249241657336e+02,2.287315104973760005e-01,2.002245312799722510e-01
2.247830855855782772e+01,2.875694819638818558e+02,9.035952102953936915e-01,9.102514825581545788e-01
8.379074781200227306e+00,3.035940126483193353e+02,1.557785350271826630e+00,1.544759730022958744e+00
3.866878199143015116e-01,3.108232602316108455e+02,3.442865190641615780e-01,3.615354149904765335e-01
1.599274578295080005e+02,2.657082504195814181e+02,1.261639111218956777e-01,1.236520694412091281e-01
6.205984763514313940e+00,2.827569668947050445e+02,1.685885167592920064e+00,1.699268232408709167e+00
7.271870105211938551e+01,2.889926385464308964e+02,2.308852861356940900e-01,2.552621582391185751e-01
1.124005260097982739e-01,3.160731894213519695e+02,1.621181866958438800e-01,1.697767783501133165e-01
1.828166464237817257e+00,3.128768871236410405e+02,9.497090934063586731e-01,9.321946705379017262e-01
1.505848604048817818e-02,2.696479533511829914e+02,5.929101739043885627e-02,2.900464475634608602e-02
9.480847057543007850e+02,3.175502514358809663e+02,9.415062709069525401e-03,4.448274505939698448e-02
2.879338908073007450e-02,2.994797094904987489e+02,6.397600303116454667e-02,6.175015916741415783e-02
3.477000902121014231e-02,2.689563465741479718e+02,1.004431890301925312e-01,8.667189007750610019e-02
2.748782861416713963e-03,3.029567236855203873e+02,1.587726406778013771e-02,1.876240582899663806e-02
3.522238128030669158e-02,3.120449446517795877e+02,7.599272828692035797e-02,7.216450167726737308e-02
3.791151983992995156e+01,2.792370405763512053e+02,5.637839221252046729e-01,5.808267674094583777e-01
1.539435240368532121e+01,2.827463856479701576e+02,1.302902375466875151e+00,1.303580939115617232e+00
5.916151324024682655e-03,2.802730979483171723e+02,2.781966141895915109e-02,2.809465309132753996e-02
1.808968517145717048e-01,3.036379068654393336e+02,2.038632682908746996e-01,1.895716738702154236e-01
3.353732099959898516e-01,3.045053544036810536e+02,3.043442696352605115e-01,3.137356316102103970e-01
9.770245537417855175e+00,3.075892076852805985e+02,1.532271949696943247e+00,1.511594615249843621e+00
5.439685336417127148e-01,3.156572622275963340e+02,4.461965150119038270e-01,4.595143038071831665e-01
3.304531993620555053e+00,2.750005536723929254e+02,1.534166401320960826e+00,1.564645151580763560e+00
1.091710837627241091e+02,3.039536362465502179e+02,1.351571455387884091e-01,1.046634247768053749e-01
2.284765655632716275e+01,3.005136644122311509e+02,8.540615151949330075e-01,8.047369305679066276e-01
1.548972049032519005e-01,2.794441595274367387e+02,2.088042553397959356e-01,2.211418304428823256e-01
4.902051347772474199e-01,3.186419664839261259e+02,4.289026061444844995e-01,4.798605624541470438e-01
1.607671889669674836e-01,2.912328123842729042e+02,1.912751634210881901e-01,1.712566664436503128e-01
4.554156849372350407e-03,3.171855111630720216e+02,2.321844574513225179e-02,-1.795469430907511987e-03
1.657483693735207000e-02,3.184475586207014430e+02,5.069068046774966724e-02,6.247005914335913845e-02
5.044741690640267701e-02,3.145026452711246634e+02,9.672079886699506968e-02,7.990636706582891768e-02
