C,Na,R,R_noisy
4.118981916367040697e+01,8.333039637036107194e+01,4.631927801542039091e+00,4.666486220748518043e+00
7.606186385791185955e+01,1.386683628099243606e+02,2.616857085192132448e+00,2.699018899542248384e+00
1.196068921121088202e+01,8.718946494367689581e+01,8.131257631272626796e+00,8.164301338890965098e+00
7.591763104741089307e+01,8.870894653925277851e+01,2.679090434219831174e+00,2.548774711059395237e+00
2.529060043483359266e+01,1.309735567604993776e+02,6.765788736611806797e+00,6.856324323279118893e+00
3.415445269331976164e+01,1.476785960983558255e+02,5.475459152666450002e+00,5.520096609902851448e+00
6.630235620872511504e+01,1.006294533888817000e+02,2.997855477887094722e+00,2.944160154351066261e+00
3.303133134134832005e+01,1.204952882461259946e+02,5.601991497902307771e+00,5.660103308321943416e+00
4.419269817000822798e+01,1.413338441197546445e+02,4.358362228737834521e+00,4.394819468356441661e+00
2.690949502823935191e+00,9.480247082073847764e+01,5.029437022291091353e+00,5.058850271956644384e+00
6.040429213964712574e+01,1.129835604578082382e+02,3.253373672888225876e+00,3.256215897019805627e+00
4.328239340093261944e+01,1.274326983116603742e+02,4.443778621894232117e+00,4.498449920555477100e+00
2.671367146167782636e+01,1.429915917500125033e+02,6.560335572663237080e+00,6.486690163963070077e+00
6.318008192255814492e+01,1.258744739009844693e+02,3.109663726268210748e+00,3.093372731468905457e+00
2.460398892868577647e+01,9.168915725314035114e+01,6.744158392375120492e+00,6.695946461107122438e+00
3.655308221371179656e+01,1.464374519495067375e+02,5.171280100601294727e+00,5.231164721864757894e+00
1.115631493114959838e+01,1.448881236587868102e+02,8.740224918929456521e+00,8.744197129677623082e+00
3.254748242254677137e+01,1.378340107847583056e+02,5.684520128839071873e+00,5.655274453742562990e+00
1.667469163375389485e+01,1.386397918573489392e+02,8.164285302511942177e+00,8.086094456276258668e+00
2.135391056512703756e+01,1.164605202268642614e+02,7.354658575942196741e+00,7.328939351880309871e+00
6.015399147408918168e+01,1.320189275871933887e+02,3.252181836333844167e+00,3.252996054385678626e+00
2.279249625989017503e+01,1.598986855934665243e+02,7.240112803458567114e+00,7.212552512928629866e+00
3.907268246731499062e+01,1.579894493175046932e+02,4.880271916448677416e+00,5.009678297888497944e+00
7.846860738419847792e+01,9.491587228673577670e+01,2.596980582512935953e+00,2.697653014043515540e+00
7.695174689627104669e+01,1.309928469030880933e+02,2.597309440822010984e+00,2.326193192925414266e+00
5.812080029149592519e+01,1.494029695207651116e+02,3.350348401284242605e+00,3.161447076687475377e+00
4.352753501602101949e+01,8.481050900842561191e+01,4.414785866126150538e+00,4.397308656920634107e+00
2.251285072160698064e+01,1.259952191571701547e+02,7.203013703463868822e+00,7.160794662306233072e+00
1.327183469762258561e+01,8.923936552254755838e+01,8.121725943386433499e+00,8.143090243136294148e+00
7.760907035068254345e+01,9.468523646023189144e+01,2.621233241787363166e+00,2.642965434889619658e+00
4.152745255105635636e+01,1.087357000465943742e+02,4.611196774806293419e+00,4.822980650311397888e+00
9.711316191426240252e+00,1.245335375193538567e+02,8.557869851704314357e+00,8.446667775435086511e+00
5.006743556523128547e+01,1.233169303330875834e+02,3.878084327444176083e+00,3.840323826731476320e+00
6.224630759021268744e+01,1.203188467814756137e+02,3.157602691771741021e+00,3.361879852520973877e+00
4.923376243371671990e+01,1.565808250414977465e+02,3.930247629017913358e+00,3.994917928638098026e+00
7.342516753087676307e+01,1.207472874355056831e+02,2.716407402540559346e+00,2.782713739778185591e+00
3.647633694804127025e+00,1.386476910010958363e+02,6.829960725302189672e+00,6.778560088133443351e+00
4.252284642917172164e+01,1.067439816471238601e+02,4.513964175249536304e+00,4.349156658163971123e+00
3.701720268938959890e+01,1.395466937499761286e+02,5.112700229628266868e+00,5.129446704050541150e+00
5.456791542415110108e+00,1.398312498715201002e+02,7.893922039069758867e+00,7.904823447851913265e+00
5.148558944658030612e+01,1.335652299081133663e+02,3.772429836176382167e+00,3.649694630751924684e+00
6.828431065921220977e+01,1.403436599199015689e+02,2.882516016755690913e+00,2.814193350577634867e+00
4.763881093929057897e+01,1.257885356707054854e+02,4.063958737867057636e+00,4.056754369894334467e+00
2.117774709510924680e+01,1.484511660204840382e+02,7.487617554191006164e+00,7.393142391884928166e+00
