t,G,I,Ia,dG_dt,dG_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.172792096032392539e-01
2.000400080016003293e-02,1.000995002781564480e+01,5.139780103030606728e-01,2.026360097062121415e-03,4.947896395795434721e-01,5.358705467546014400e-01
4.000800160032006586e-02,1.001979498806774416e+01,5.279065183827436059e-01,4.104439046393474656e-03,4.894958038966901182e-01,5.060176577058594916e-01
6.001200240048010226e-02,1.002953323850237233e+01,5.417856408929813128e-01,6.233935877481662328e-03,4.841212478268597241e-01,4.189633862466416447e-01
8.001600320064013172e-02,1.003916319162731696e+01,5.556154934817274516e-01,8.414550679019876592e-03,4.786687069754244073e-01,5.239365003090803441e-01
1.000200040008001612e-01,1.004868331390075831e+01,5.693961908588331955e-01,1.064598458110036297e-02,4.731408951767409610e-01,4.954596237949415172e-01
1.200240048009602045e-01,1.005809212782383177e+01,5.831278466504888902e-01,1.292793981593639771e-02,4.675405017967987353e-01,4.406928400287845049e-01
1.400280056011202201e-01,1.006738820870375228e+01,5.968105736239875947e-01,1.526011965816511176e-02,4.618701897040180526e-01,4.909260949138357089e-01
1.600320064012802634e-01,1.007657018386253966e+01,6.104444837441707072e-01,1.764222840791127012e-02,4.561325931455204596e-01,4.743612129548242518e-01
1.800360072014403068e-01,1.008563673263701865e+01,6.240296881734277434e-01,2.007397139078727008e-02,4.503303156727894718e-01,4.650369405055657657e-01
2.000400080016003224e-01,1.009458658637881534e+01,6.375662972716972243e-01,2.255505495789315515e-02,4.444659281945909646e-01,4.458870402603807848e-01
2.200440088017603657e-01,1.010341852845435717e+01,6.510544205964658993e-01,2.508518648581661847e-02,4.385419671562934552e-01,4.658776164869157799e-01
2.400480096019204090e-01,1.011213139166397568e+01,6.644941670096384811e-01,2.766407436182279772e-02,4.325609330059047020e-01,3.957382286558213669e-01
