t,V,w,z,ca,dV_dt,dV_dt_noisy
0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.083333333333334370e+00,-2.048774914126855862e+00
8.001600320064013172e-02,-1.155927041344937845e+00,-3.983487786101306410e-03,4.258378659242472190e-04,2.116407230529268851e-04,-1.713752585758235858e+00,-1.631590771408119922e+00
1.600320064012802634e-01,-1.265335676494974360e+00,-8.825709511914641911e-03,6.920637507409790716e-04,3.417022324704549843e-04,-1.014961619122918046e+00,-9.819179115045792994e-01
2.400480096019204090e-01,-1.322736241347715724e+00,-1.417653778617339669e-02,8.886644863673456504e-04,4.358284482488339676e-04,-4.638137560901395284e-01,-5.941294792505755762e-01
3.200640128025605269e-01,-1.346390757167962526e+00,-1.975148003864484608e-02,1.057056421304040711e-03,5.149976064873628290e-04,-1.631025365545259453e-01,-7.256694988721416884e-02
4.000800160032006447e-01,-1.353110561752565388e+00,-2.539027245600107216e-02,1.214473840313919127e-03,5.879415230041013180e-04,-2.353386785340751478e-02,2.110358938299361845e-02
4.800960192038408181e-01,-1.352213109547655945e+00,-3.101747119723460150e-02,1.368046361658671042e-03,6.582774109110790068e-04,3.754242841888612986e-02,-1.615289511714238652e-02
5.601120224044808804e-01,-1.348003387905314154e+00,-3.660020347537504964e-02,1.520797134244272330e-03,7.275435733682698381e-04,6.406909576912250825e-02,1.221809061887578207e-01
6.401280256051210538e-01,-1.342343013667773644e+00,-4.212456381828483254e-02,1.674063554628905026e-03,7.964243509673314811e-04,7.588418423207865526e-02,1.123414238506862395e-01
7.201440288057612271e-01,-1.336021492013660161e+00,-4.758474695301561502e-02,1.828480706430997416e-03,8.652477905049752588e-04,8.147550033260220204e-02,1.108887499981548036e-01
8.001600320064012895e-01,-1.329372982787454305e+00,-5.297836624516713555e-02,1.984387718439604032e-03,9.341912965071333137e-04,8.442980961598268996e-02,8.727203374756237197e-02
8.801760352070414628e-01,-1.322539018949027367e+00,-5.830447167940615294e-02,2.141998815951042402e-03,1.003368198941907144e-03,8.627028596487062995e-02,1.409415846261153349e-01
9.601920384076816362e-01,-1.315578901631951236e+00,-6.356270913641602627e-02,2.301476685082737717e-03,1.072864875692855447e-03,8.765223861412269057e-02,1.400682991395599264e-02
1.040208041608321698e+00,-1.308516288548142281e+00,-6.875295916524867823e-02,2.462964706961506475e-03,1.142757051646223643e-03,8.886323164106063599e-02,7.257223684175535816e-02
1.120224044808961761e+00,-1.301358988322030452e+00,-7.387517954091171735e-02,2.626601519445475024e-03,1.213117146773966346e-03,9.003284652339578475e-02,4.182091525539795296e-02
