t,C,CB,C_t,dC_dt,dC_dt_noisy
0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+01,-1.993088316158704387e+01
4.800960192038407695e-03,2.490416224464928874e+01,7.996477813060613726e-03,1.796475495269739958e-02,-1.992445823058030641e+01,-1.976013460188007542e+01
9.601920384076815390e-03,2.480868649126573899e+01,1.598270877700974646e-02,3.585201715413723761e-02,-1.984919583712989777e+01,-1.978310842189322116e+01
1.440288057611522309e-02,2.471357140108188588e+01,2.395869013579891849e-02,5.366208394320912123e-02,-1.977421178569103333e+01,-2.003484323201190520e+01
1.920384076815363078e-02,2.461881564026232638e+01,3.192441912932318659e-02,7.139525155903386766e-02,-1.969950504613253273e+01,-1.951843387279791031e+01
2.400480096019203674e-02,2.452441787989629063e+01,3.987989299346998695e-02,8.905181514260447628e-02,-1.962507459214417338e+01,-1.953579967767137049e+01
2.880576115223044617e-02,2.443037679594566569e+01,4.782510896057577676e-02,1.066320687482948809e-01,-1.955091940119636362e+01,-1.965831004826842232e+01
3.360672134426885560e-02,2.433669106902760859e+01,5.576006426136267957e-02,1.241363053919633808e-01,-1.947703845437036918e+01,-1.936081483353109789e+01
3.840768153630726156e-02,2.424335938515450195e+01,6.368475611834530092e-02,1.415648168872354340e-01,-1.940343073693721010e+01,-1.933051625769999404e+01
4.320864172834566752e-02,2.415038043521231259e+01,7.159918175024825027e-02,1.589178939609992847e-01,-1.933009523795008988e+01,-1.927126873861898559e+01
4.800960192038407348e-02,2.405775291483566747e+01,7.950333837309182805e-02,1.761958262810627285e-01,-1.925703095014698718e+01,-1.925134650188382679e+01
5.281056211242248638e-02,2.396547552440782525e+01,8.739722320019210899e-02,1.933989024561533765e-01,-1.918423686995086541e+01,-1.907489427262837722e+01
5.761152230446089234e-02,2.387354696906068341e+01,9.528083344216084494e-02,2.105274100359181555e-01,-1.911171199746992500e+01,-1.925900281487025723e+01
6.241248249649929830e-02,2.378196595867478891e+01,1.031541663069055759e-01,2.275816355109239186e-01,-1.903945533649785560e+01,-1.907203732609646707e+01
6.721344268853771120e-02,2.369073120787932751e+01,1.110172189996295466e-01,2.445618643126570568e-01,-1.896746589451412035e+01,-1.906388975705011646e+01
7.201440288057611716e-02,2.359984143605213447e+01,1.188699887228316932e-01,2.614683808135234155e-01,-1.889574268268418322e+01,-1.877597344015725866e+01
