P,pH,CO2,S,S_noisy
5.167034084532541272e+01,7.216651981851805786e+00,4.288503569752577249e+01,7.018687150746765191e-01,7.087803989159722207e-01
9.509590593626759869e+01,7.493341814049621519e+00,2.125206158883503349e+01,9.766234823160805378e-01,9.930558451861036806e-01
1.527180165924374045e+01,7.235947324718384976e+00,2.581182244594631925e+01,2.201481245735428249e-01,2.267568660972105743e-01
9.491629526658714155e+01,7.243544732696263644e+00,5.297481813375240733e+01,9.305337968794442638e-01,9.044706522473570098e-01
3.187131374903805892e+01,7.454867783802496817e+00,3.352306503907121282e+01,6.142632368504894469e-01,6.323703541839518216e-01
4.290931844828499209e+01,7.538392980491778417e+00,4.739490770126439401e+01,7.976999056085262163e-01,8.066273970558064388e-01
8.294255678822374023e+01,7.303147266944408855e+00,3.349427012374178503e+01,9.283969426667998404e-01,9.176578779595940816e-01
4.151071450054696754e+01,7.402476441230629867e+00,2.302097924249142835e+01,7.499555162430444621e-01,7.615778783269715468e-01
5.540977507963288673e+01,7.506669220598772618e+00,2.664382512187450658e+01,8.999405169753704747e-01,9.072319648990919694e-01
3.728352211063768351e+00,7.274012354103692068e+00,2.107923286908659932e+01,1.349096443889792329e-01,1.407922943220897560e-01
7.559779775880585362e+01,7.364917802289040694e+00,3.539028717411935077e+01,9.246342421818772861e-01,9.252026870081931920e-01
5.427618800870854443e+01,7.437163491558301587e+00,2.784572494217828265e+01,8.680752483975661127e-01,8.790095081298150426e-01
3.364343993341012151e+01,7.514957958750062339e+00,5.147448257229096669e+01,6.357134614954883522e-01,6.209843797554550626e-01
7.905444163941203328e+01,7.429372369504922524e+00,2.213766522993672581e+01,9.504910425851900158e-01,9.472328436253290018e-01
3.101628809987285251e+01,7.258445786265701472e+00,4.860340139956191763e+01,4.139541460118121297e-01,4.043117597582125411e-01
4.589629105858450231e+01,7.532187259747533226e+00,4.685711879251855549e+01,8.251574552197450396e-01,8.371343794724376286e-01
1.427012802746931008e+01,7.524440618293933625e+00,3.965913355245626803e+01,2.506932820439979892e-01,2.514877241936311902e-01
4.090818565826579345e+01,7.489170053923791315e+00,3.888199443256770849e+01,7.624011125759756480e-01,7.565519775566739158e-01
2.114206882693881084e+01,7.493198959286744731e+00,2.724217361135998416e+01,4.275840271451640251e-01,4.119458578980271790e-01
2.696902070374310156e+01,7.382302601134321129e+00,3.317109730621947961e+01,4.682391664864686276e-01,4.630953216740912315e-01
7.528610259037520791e+01,7.460094637935966944e+00,5.109501884433579733e+01,9.390750195433206216e-01,9.392378631536875133e-01
2.876046704061795367e+01,7.599493427967332515e+00,2.773869761853402593e+01,6.725079838210937799e-01,6.669959257151063525e-01
4.903390646873187109e+01,7.589947246587523288e+00,4.497488612043906642e+01,8.785720695186616247e-01,9.044533458066257303e-01
9.809298278032262886e+01,7.274579361433678670e+00,4.987209288711402166e+01,9.446999120610415357e-01,9.648343983671574531e-01
9.620406217271488458e+01,7.454964234515440324e+00,5.720392947109957049e+01,9.691353008982935835e-01,9.149120513189742399e-01
7.275420413657982976e+01,7.547014847603825238e+00,2.194133915931419665e+01,9.591046251351392771e-01,9.213243602157857870e-01
5.458145869919598425e+01,7.224052545042128237e+00,4.160198742791596516e+01,7.391551431061569311e-01,7.356597012650536449e-01
2.841222920049171208e+01,7.429976095785850276e+00,2.381329846579343723e+01,5.598984964635603800e-01,5.514546882320333632e-01
1.690454886873756024e+01,7.246196827612737756e+00,5.546062640957680401e+01,1.935141040234845677e-01,1.977869639734567975e-01
9.702261590839712824e+01,7.273426182301159670e+00,5.813330093922082398e+01,9.391641201762310764e-01,9.435105587966823304e-01
5.209078996923999227e+01,7.343678500232972084e+00,2.223561773829190713e+01,8.188927765855492646e-01,8.612495516865702472e-01
1.247069563460626185e+01,7.422667687596769426e+00,2.396895125084880007e+01,2.233110960643799603e-01,2.010706808105343357e-01
6.272548579821253867e+01,7.416584651665437455e+00,3.830636417569159846e+01,8.937774891094705243e-01,8.862253889669305940e-01
7.789162831988750213e+01,7.401594233907378140e+00,5.099727515942277734e+01,9.317197138761819097e-01,9.725751460260285697e-01
6.168732680425100767e+01,7.582904125207488022e+00,4.464113266088330789e+01,9.341056131622557102e-01,9.470396730862926660e-01
9.181247277429936560e+01,7.403736437177528273e+00,3.326881201974699565e+01,9.622095045404364111e-01,9.754707719879616157e-01
4.919694789756082542e+00,7.493238455005479359e+00,4.387364629143432637e+01,1.372379067862395663e-01,1.269577793524903075e-01
5.333033706274214580e+01,7.333719908235619478e+00,5.191849638941614842e+01,7.729962750387026071e-01,7.400347716215895932e-01
4.647425240565496551e+01,7.497733468749880004e+00,5.685994911755270920e+01,7.935748192085095853e-01,7.969241140929643752e-01
7.172608335837684201e+00,7.499156249357600501e+00,2.553297056462620063e+01,1.608614851503218368e-01,1.630417669067527886e-01
6.449148874479811866e+01,7.467826149540567116e+00,5.372081665750646096e+01,9.057416785938716686e-01,8.811946375089801942e-01
8.541065100958502398e+01,7.501718299599507311e+00,4.591641346007406810e+01,9.654658760534393647e-01,9.518013428178281332e-01
5.970116079232411721e+01,7.428942678353527285e+00,4.145215426358197419e+01,8.810464008829063109e-01,8.796055272883617215e-01
2.674964732598509798e+01,7.542255830102419623e+00,3.763107861366112417e+01,5.588320522082097508e-01,5.399370197469941512e-01
8.414827058210947541e+01,7.533013573898628579e+00,4.043218041390473161e+01,9.689736872572682902e-01,9.670082879002239729e-01
5.144009227062942813e+01,7.238555909559648782e+00,3.834900084924009889e+01,7.246593064793700467e-01,7.265689670287591717e-01
5.157799956218676840e+01,7.379342314942457293e+00,4.682762789896206357e+01,7.937660807019319975e-01,7.944778054430416958e-01
7.554999056251560319e+01,7.248268825759540235e+00,5.648125627454655273e+01,8.687370192301474559e-01,8.586111860638611093e-01
1.564428154271069893e+01,7.580215615716682009e+00,2.947529070922891847e+01,3.288344379744712054e-01,3.407093994101876855e-01
8.214304519280841532e+01,7.373956478511615842e+00,2.008257530256406653e+01,9.464047924237247722e-01,9.642281315093713667e-01
6.864540369432245370e+01,7.288031327240313217e+00,2.103032188519813772e+01,8.879321711735822520e-01,8.943491372649134963e-01
7.892259721392530025e+01,7.535051416689026560e+00,5.646786505306937443e+01,9.586106736633470682e-01,9.422460691155408741e-01
1.997000964299338932e+01,7.234886463838491544e+00,5.715330797924647044e+01,2.193125847457549349e-01,2.339456304214637405e-01
8.043405195231846960e+01,7.261634779458355560e+00,5.500596003516432120e+01,8.949915344979665344e-01,8.849627341286254723e-01
1.994106867966282692e+01,7.471531974699814782e+00,4.329892489643970777e+01,3.372166683795424502e-01,3.547998807453021652e-01
9.073709118987759226e+00,7.402969329155530076e+00,4.340847580958065066e+01,1.574504699756821280e-01,1.360147216381332458e-01
8.566747045441994146e+01,7.306917866508632287e+00,3.615641103189237526e+01,9.341172372862973639e-01,9.524065813488730159e-01
8.626706612158916698e+01,7.430511907704871355e+00,3.351278763684049977e+01,9.590466226310928599e-01,9.586453535387832181e-01
8.777717254524146995e+01,7.282953469524612977e+00,5.732891446492158138e+01,9.219831693790966343e-01,8.970081915724082977e-01
4.771906221652023561e+01,7.323694244358939009e+00,4.121354903594736641e+01,7.328428109959164161e-01,7.265648215565794210e-01
2.813079047275810751e+01,7.444424245656358075e+00,3.100837424404651443e+01,5.411740561337073929e-01,5.422561017091382940e-01
1.702091031713459879e+00,7.553172861916070957e+00,4.628905532608724371e+01,1.304609565748460209e-01,1.359167833581350904e-01
6.492636866191983813e+01,7.481271309109564172e+00,2.366639610357089651e+01,9.292861354064572144e-01,9.096423729076376086e-01
7.227102896736060700e+01,7.457291113656891568e+00,4.734754179866462209e+01,9.326838116852619320e-01,9.105363507419580449e-01
8.372135243352714440e+01,7.498658854828674336e+00,3.089646740103087552e+01,9.657778748332703778e-01,9.697695654902119822e-01
2.890590490908967070e+01,7.351350312252753483e+00,4.776457442489684979e+01,4.371796788669927714e-01,4.278446865293967227e-01
2.230659854913438522e+01,7.592391224081548984e+00,3.927711038500250140e+01,4.802266351352202367e-01,4.849367473698247277e-01
6.429380662659220036e+01,7.444504072003173434e+00,5.444734225532532434e+01,8.963123318016631424e-01,9.115027222512307459e-01
8.070042848135595648e+01,7.303024510204642716e+00,5.026485529797096774e+01,9.130343190566340139e-01,8.800585717296149912e-01
9.640341641165211684e+01,7.214386099139941777e+00,5.933041959167081103e+01,9.225551797822083566e-01,9.276429421125607089e-01
1.590195821169657009e+01,7.244702234118356898e+00,4.322688345114586639e+01,2.009865951100287540e-01,2.254795344607433971e-01
4.873902643173431670e+01,7.279403660645916041e+00,5.304858472028584515e+01,6.847103354183813329e-01,6.787597985309719029e-01
8.957687035742117132e+01,7.493749055604069120e+00,4.634855170198484586e+01,9.690853202732748750e-01,9.528690286085235162e-01
4.284897378759828968e+01,7.525808465789045165e+00,4.946944747762331929e+01,7.856151899635586133e-01,8.006600665071504919e-01
5.936070414632076364e+01,7.570181138019509426e+00,5.581759971013777033e+01,9.154471129206143143e-01,9.205160432447770935e-01
3.424577071842956677e+00,7.457164094071027094e+00,3.251706963979952292e+01,1.338763522708773246e-01,1.517940136864285305e-01
6.767252882814095472e+01,7.318910795990204221e+00,5.184697055202538962e+01,8.662466088139550990e-01,8.593422946129295470e-01
9.198977334374842485e+01,7.535547635737395389e+00,5.707351548623794457e+01,9.743483181569224660e-01,9.447119526824782065e-01
8.285570762611538953e+01,7.581388067953519716e+00,5.956057780656713163e+01,9.698224000932283984e-01,9.676221847990034153e-01
8.866650640428473196e+01,7.478761536015032796e+00,2.583272195219398881e+01,9.693997922055256344e-01,9.604832291453010429e-01
6.637518267153181739e+01,7.228943215988322457e+00,3.124912727276004887e+01,8.448615698428578735e-01,8.603680462838093623e-01
2.530967445707458197e+01,7.364392790712787296e+00,3.698715493261951792e+01,4.108821784357542528e-01,4.147548354032973283e-01
7.708318289072917651e+01,7.299577451923319416e+00,3.523396682414441727e+01,9.110368205643395445e-01,8.784198359156375480e-01
2.195579951814353947e+01,7.575704204754387661e+00,5.749876544505679732e+01,3.965853560475107731e-01,3.726820944454467543e-01
8.329620863178165280e+01,7.524449356450428006e+00,2.100514736230334734e+01,9.697158783001152971e-01,9.873916590318604358e-01
7.209074334506056836e+00,7.227970844852085186e+00,5.585951932584275426e+01,1.371070407744462150e-01,1.507023411228031462e-01
8.272329352596202057e+01,7.443772772128744108e+00,2.339452143728088274e+01,9.581908970844115192e-01,9.453860297662417533e-01
1.728621938093602850e+01,7.594059033246870705e+00,5.750180124732818143e+01,2.954010120264050077e-01,2.953800360950594173e-01
3.813955265316754151e+01,7.409522450807919824e+00,5.685183966527618793e+01,6.179019719000389266e-01,6.268134429755626291e-01
3.235707848913946805e+01,7.555776537706672791e+00,3.929111276961329224e+01,6.780517046497878120e-01,6.874197913667333681e-01
6.944236649249639015e+01,7.524932270885047458e+00,2.696803651927985612e+01,9.483211025991816756e-01,9.658459465214687123e-01
1.867861593926281927e+01,7.388614959546400129e+00,2.765914860688104326e+01,3.180164577174730001e-01,3.231461702619042309e-01
4.022936005948165672e+01,7.376803358556886181e+00,3.037649213400499093e+01,7.017001578522946703e-01,6.998035910729246689e-01
1.576634915690113603e+00,7.264660475100750858e+00,5.395669365066757450e+01,1.301656005988122977e-01,1.249886393030553849e-01
2.698697656226004682e+01,7.341787828045337250e+00,4.162996762229885661e+01,4.150256718532311928e-01,4.361405278638962324e-01
4.269769260866657135e+01,7.276546670263193128e+00,5.499298437356336677e+01,5.951498944086430765e-01,5.501328089070722793e-01
1.148620243402512031e+01,7.538283033540710498e+00,5.018607933029232981e+01,1.900704143633024090e-01,1.872973078614756648e-01
6.368283465761921747e+01,7.441361308477288716e+00,5.870815523322764307e+01,8.881645824143846735e-01,8.888245844940658724e-01
3.866200271876670058e+01,7.574496908539386730e+00,4.645507744509912129e+01,7.704095053068640286e-01,7.419025260894602791e-01
7.280409986954764179e+01,7.364141687010049786e+00,2.680177502705397430e+01,9.210635210844141385e-01,9.277197933471750257e-01
6.573273509577104790e+01,7.480683728351412931e+00,4.187755965512215539e+01,9.223967327483342249e-01,9.093711124994663386e-01
4.369144812896320929e+01,7.533260074411715301e+00,4.957135393168358206e+01,7.990817059158402680e-01,8.163306018421552235e-01
8.686473005857772023e+01,7.205150912142410213e+00,3.431617724326853391e+01,9.117312848696808025e-01,9.092194431889942807e-01
6.358137663251653748e+01,7.329141577416036668e+00,5.999109873787183744e+01,8.363457821484319155e-01,8.497288469642210185e-01
8.121716085852361289e+01,7.374491916701315652e+00,2.869051054770568498e+01,9.423510405795818556e-01,9.667279126830062852e-01
3.483767767007118721e+01,7.571441377609832379e+00,5.706521608248919364e+01,6.826509263177139575e-01,6.903095179719833663e-01
5.482325967717710569e+01,7.548195542717389017e+00,3.959735165976960758e+01,9.008867289054233174e-01,8.833723060369663704e-01
2.043339162636058859e+01,7.233803297099512974e+00,5.379099251732006337e+01,2.305090236133600923e-01,2.002226509792673359e-01
9.961797782174416227e+01,7.582183646806406330e+00,4.131408143091437069e+01,9.847219546929334433e-01,1.019789637043260866e+00
2.507833096632638359e+01,7.450761523567263289e+00,4.202451923094885444e+01,4.425810845116462389e-01,4.403552406478958292e-01
2.642987925548317207e+01,7.228773429630167335e+00,4.828694006655993576e+01,3.240517293999449211e-01,3.102804304472585040e-01
8.245817166705631251e+00,7.476048899531057224e+00,4.096286905872129580e+01,1.577067744672953076e-01,1.605919162285117940e-01
2.652250878067692241e+01,7.542145052012942052e+00,3.793880890813996132e+01,5.525536582728637347e-01,5.487254316632107498e-01
7.654972472186126708e+01,7.303542113282554205e+00,2.475003897477117931e+01,9.165036791508848202e-01,9.335465244351385250e-01
7.009146349762505679e+01,7.329064622894328807e+00,4.690902877480290556e+01,8.867207566922519213e-01,8.873993203409938912e-01
1.373864801939977376e+01,7.311077075987761020e+00,5.840173656997304619e+01,1.721311764636808683e-01,1.724061681360492537e-01
3.824761164138132585e+01,7.481002959021377130e+00,5.770503504558141827e+01,6.710775418757924937e-01,6.567859474551331900e-01
4.267121806712882659e+01,7.487311668390407071e+00,2.187895973272383543e+01,8.108472547258466223e-01,8.202386167007964524e-01
6.683344038983410940e+01,7.509739692256585997e+00,3.746848639128856462e+01,9.352001741854024663e-01,9.145228397383028396e-01
4.613696734133113608e+01,7.568416452564336261e+00,4.382893947107989163e+01,8.495637701826654897e-01,8.628815589779448292e-01
5.906531435572760813e+01,7.272731299435585051e+00,2.394988876450319992e+01,8.310307597089459097e-01,8.615095099687485325e-01
8.412877575728529678e+01,7.483299172702183810e+00,4.842531784663805894e+01,9.605893571781111140e-01,9.300956364161280243e-01
7.292088742092467157e+01,7.458281195725317225e+00,3.733452013282312976e+01,9.390845278957965503e-01,8.897599432687701704e-01
3.713571908734733285e+01,7.305048432926812829e+00,2.519313051973279016e+01,6.230970911686600777e-01,6.354346662717464955e-01
4.539123462510394091e+01,7.590123392610371944e+00,2.850591223056087031e+01,8.714332506387281185e-01,9.223912069483906073e-01
3.740225739931065618e+01,7.390784090067438861e+00,2.073371989214050615e+01,6.951407671936977728e-01,6.751222702162599232e-01
1.186373173666297731e+01,7.579530990276887259e+00,2.920428836367846515e+01,2.405410850927280908e-01,2.155271699166883270e-01
2.112091286465226148e+01,7.588709517241464475e+00,4.802104584646942698e+01,4.164651593763234461e-01,4.282445380519329103e-01
2.909684240546897627e+01,7.560019238335452307e+00,3.973542972580167287e+01,6.163313200105648981e-01,5.995168882093987461e-01
3.209925566462791835e+01,7.383794143992036929e+00,2.935137191840339455e+01,5.812643262938435029e-01,5.711438166151088236e-01
3.199173802317383064e+01,7.311910716059008664e+00,3.011011118886884930e+01,5.276392307923620795e-01,5.206768814586865135e-01
