Pco2,Po2,pHa,VE,VE_noisy
5.070929748201540121e+01,4.249779727777080041e+01,7.371637767731443525e+00,1.875810867335038097e+02,1.879266709255686010e+02
7.702782177955612042e+01,8.400127210744327044e+01,7.209390461916262538e+00,5.753964638489205896e+01,5.836126452839321388e+01
2.864957676317802537e+01,4.539209870775767541e+01,7.243588668344597359e+00,1.681011950563144453e+01,1.714055658181483111e+01
7.691896682823463038e+01,4.653170990443958743e+01,7.447311136003142984e+00,2.238082705020389085e+02,2.225051132704345491e+02
3.870988712062912640e+01,7.823016757037451896e+01,7.301422987793034558e+00,1.541978439048600258e+01,1.632514025715911998e+01
4.539958693835453829e+01,9.075894707376687620e+01,7.405461807759483150e+00,2.359005912143393502e+01,2.403643369379794592e+01
6.966215562922650406e+01,5.547209004166127500e+01,7.301207025928063921e+00,1.568138257527832025e+02,1.562768725174229303e+02
4.455194818214967256e+01,7.037146618459449599e+01,7.222657344318685446e+00,3.371456509601873108e+01,3.429568320021508754e+01
5.297562126038356922e+01,8.600038308981598334e+01,7.249828688414059030e+00,4.055553627199088140e+01,4.092010866817695813e+01
2.165354679458410203e+01,5.110185311555386534e+01,7.208094246518149895e+00,1.430380979475955705e+01,1.459794229141508382e+01
6.521078652048839785e+01,6.473767034335617154e+01,7.315427153805895699e+00,6.692684781148028605e+01,6.695527005279608090e+01
5.228859879315669446e+01,7.557452373374528065e+01,7.258842937066336987e+00,4.252016086966683872e+01,4.306687385627928677e+01
3.978390298994553120e+01,8.724369381250937749e+01,7.436058619292182037e+00,1.017026313584372943e+01,9.433809048842062950e+00
6.730572220570425657e+01,7.440585542573836619e+01,7.216032489224526003e+00,5.842465723853789683e+01,5.826174729054484658e+01
3.819168975749870043e+01,4.876686793985525981e+01,7.414525510496714489e+00,2.565392882044851319e+01,2.517180950776853621e+01
4.720987336883909080e+01,8.982808896213006733e+01,7.401428390943888935e+00,2.707921030588176592e+01,2.767805651851639226e+01
2.804250183482988490e+01,8.866609274409009345e+01,7.347443501643422081e+00,4.998324099440758950e+00,5.038046206922418335e+00
4.418677918682774930e+01,8.337550808856872209e+01,7.341614958244258027e+00,2.503263328479821226e+01,2.474017653383312521e+01
3.220731444056897885e+01,8.397984389301171859e+01,7.254316302085199730e+00,4.466249048913686792e+00,3.684340586556844599e+00
3.573880042651097000e+01,6.734539017014819251e+01,7.298783229796645955e+00,7.323710091539978428e+00,7.066517850921107957e+00
6.502188035780315545e+01,7.901419569039502733e+01,7.433212641332518800e+00,5.140839460326991173e+01,5.141653678378825276e+01
3.682452547916239638e+01,9.992401419509988614e+01,7.258040232139005177e+00,1.101721346988643369e+01,1.074161056458706298e+01
4.911145846589810304e+01,9.849208698812853413e+01,7.387311645903293034e+00,2.888858194685326808e+01,3.018264576125147514e+01
7.884423198807431277e+01,5.118690421505183252e+01,7.424040696653355198e+00,1.732836863281661124e+02,1.742904106434719154e+02
7.769943161982720881e+01,7.824463517731606998e+01,7.479029471033246779e+00,5.499220116733982167e+01,5.228103868837385448e+01
6.348739644641202062e+01,9.205222714057384792e+01,7.214560043694856262e+00,5.005635957280335191e+01,4.816734632683567696e+01
5.247361133284605472e+01,4.360788175631920893e+01,7.362014905709370005e+00,1.906107989744322708e+02,1.904360268823771207e+02
3.661347224272225276e+01,7.449641436787760540e+01,7.228599738493451277e+00,1.407712756309359570e+01,1.365493715151724174e+01
2.963912052650761098e+01,4.692952414191066879e+01,7.465954698071826101e+00,1.624372059158421422e+01,1.645736358908282426e+01
7.819552479296794445e+01,5.101392734517392569e+01,7.485999757044155878e+00,1.795621993731019757e+02,1.797795213041245290e+02
5.096411513287272044e+01,6.155177503494577707e+01,7.216767133037189197e+00,6.713410606849646456e+01,6.925194482354751813e+01
2.695193674824621866e+01,7.340015313951539611e+01,7.229767134381366311e+00,5.009125232056509169e+00,3.897104469364228052e+00
5.740938533225002516e+01,7.248769774981569469e+01,7.337297731317686811e+00,4.800747853647660435e+01,4.762987352934960938e+01
6.660098686053788697e+01,7.023913508610669965e+01,7.432479563695671310e+00,5.651522278517396103e+01,5.855799439266628781e+01
5.678019806318242502e+01,9.743561878112330987e+01,7.384808494956624614e+00,3.900712156816567955e+01,3.965382456436752534e+01
7.503786228745416054e+01,7.056046557662926944e+01,7.299516090148102876e+00,6.298685701118444058e+01,6.364992038356070481e+01
2.237557259985216973e+01,8.398576825082189146e+01,7.379052347185757199e+00,5.000128201197378885e+00,4.486121829509915671e+00
5.171535579560129747e+01,6.005798623534288794e+01,7.439388722920621255e+00,6.910973989667562023e+01,6.746166472581997198e+01
4.756015297312422518e+01,8.466002031248208937e+01,7.476449618381645124e+00,2.605419187561049199e+01,2.622165661983323304e+01
2.374097474899253513e+01,8.487343740364006806e+01,7.241497279234696549e+00,4.999921007515194304e+00,5.108935095336741838e+00
5.847969014836250068e+01,8.017392243108503180e+01,7.452906124931298670e+00,4.391153690111961794e+01,4.268418484687504133e+01
7.115797030883939556e+01,8.525774493992616954e+01,7.394373100950555333e+00,5.499937260996650679e+01,5.431614594818594810e+01
5.557646108625704073e+01,7.434140175302911757e+01,7.360891156976864913e+00,4.452942759696229302e+01,4.445738391723506311e+01
3.560584686423339207e+01,9.133837451536302865e+01,7.332233089602458342e+00,4.948093633871422981e+00,4.003342010810645668e+00
7.039289126188452883e+01,8.995203608479438628e+01,7.353241353104285949e+00,5.374836665599937646e+01,5.365009668814715837e+01
5.056975289129056250e+01,4.578338643394735641e+01,7.337617506369300990e+00,1.670922000352900625e+02,1.671876830627595041e+02
5.065333306799197999e+01,6.690134724136856903e+01,7.401207209242215868e+00,4.102499137757107661e+01,4.106057761462655975e+01
6.518181246213066515e+01,4.724032386393098903e+01,7.473609422059099394e+00,2.046825864189322886e+02,2.041762947606179637e+02
