t,Vol,hormone,pressure,dVol_dt,dVol_dt_noisy
0.000000000000000000e+00,2.000000000000000000e+00,2.999999999999999889e-01,5.000000000000000000e-01,-2.131998700064480223e-01,-2.062881861651522930e-01
6.001200240048009185e-03,1.998711663549039175e+00,2.994017412714488069e-01,5.069698930297397155e-01,-2.161550796341180636e-01,-1.997227167640948930e-01
1.200240048009601837e-02,1.997405675696387384e+00,2.988071915274554402e-01,5.138772396116825236e-01,-2.190825620767643811e-01,-2.124738205530966317e-01
1.800360072014402929e-02,1.996082202164005226e+00,2.982163304381121871e-01,5.207227329726016318e-01,-2.219825989823797641e-01,-2.480457436144669903e-01
2.400480096019203674e-02,1.994741406615724300e+00,2.976291377952312578e-01,5.275070499935030632e-01,-2.248554654887845172e-01,-2.067483481553221702e-01
3.000600120024004419e-02,1.993383451141304885e+00,2.970455934989248425e-01,5.342308563970624702e-01,-2.277014324345951191e-01,-2.187739409873148966e-01
3.600720144028805858e-02,1.992008496312919208e+00,2.964656775559279533e-01,5.408948073350935415e-01,-2.305207665974163544e-01,-2.412598313046220577e-01
4.200840168033606603e-02,1.990616701185151660e+00,2.958893700795985349e-01,5.474995473885483355e-01,-2.333137306803972910e-01,-2.216913685964702341e-01
4.800960192038407348e-02,1.989208223294998801e+00,2.953166512899175200e-01,5.540457105675168359e-01,-2.360805832992057818e-01,-2.287891353754842594e-01
5.401080216043208093e-02,1.987783218661868911e+00,2.947475015134885523e-01,5.605339203112272850e-01,-2.388215789694128344e-01,-2.329389290363023113e-01
6.001200240048008838e-02,1.986341841787582441e+00,2.941819011835382081e-01,5.669647894880459615e-01,-2.415369680942784092e-01,-2.409685232679624756e-01
6.601320264052809583e-02,1.984884245656372448e+00,2.936198308399160517e-01,5.733389203954772917e-01,-2.442269969529308193e-01,-2.332927372206818895e-01
7.201440288057611716e-02,1.983410581734883049e+00,2.930612711290944694e-01,5.796569047601637381e-01,-2.468919076889325159e-01,-2.616209894289658333e-01
7.801560312062412461e-02,1.981920999972171415e+00,2.925062028041686690e-01,5.859193237378860220e-01,-2.495319382992221280e-01,-2.527901372590831697e-01
8.401680336067213206e-02,1.980415648941718620e+00,2.919546067218581897e-01,5.921267495667855707e-01,-2.521473233320869478e-01,-2.617897095856865364e-01
9.001800360072013951e-02,1.978894676019558041e+00,2.914064638420311715e-01,5.982797481898700642e-01,-2.547382949991122136e-01,-2.427613707464196524e-01
9.601920384076814696e-02,1.977358226853062062e+00,2.908617552389076710e-01,6.043788730435873946e-01,-2.573050805024669208e-01,-2.565106383528337197e-01
1.020204040808161544e-01,1.975806445796388866e+00,2.903204620882919307e-01,6.104246695141195556e-01,-2.598479039371923149e-01,-2.656970389564941026e-01
1.080216043208641619e-01,1.974239475940665178e+00,2.897825656668194805e-01,6.164176752690754268e-01,-2.623669864238529215e-01,-2.780051556709897675e-01
1.140228045609121693e-01,1.972657459113986045e+00,2.892480473519571382e-01,6.223584202574906632e-01,-2.648625460992313219e-01,-2.700063909116087180e-01
1.200240048009601768e-01,1.971060535881415055e+00,2.887168886220028985e-01,6.282474267098274723e-01,-2.673347981072985435e-01,-2.671719544969316518e-01
1.260252050410081981e-01,1.969448845544983673e+00,2.881890710560860436e-01,6.340852091379750588e-01,-2.697839545904625047e-01,-2.752960126964499321e-01
1.320264052810561917e-01,1.967822526143692574e+00,2.876645763341669770e-01,6.398722743352490694e-01,-2.722102246810825799e-01,-2.463289483931184187e-01
1.380276055211042130e-01,1.966181714453510310e+00,2.871433862370373902e-01,6.456091213763924808e-01,-2.746138144932500080e-01,-2.544793281871341462e-01
1.440288057611522343e-01,1.964526545987373529e+00,2.866254826463203176e-01,6.512962416175743785e-01,-2.769949271148265391e-01,-3.312181766941458827e-01
1.500300060012002279e-01,1.962857154995188314e+00,2.861108475444699151e-01,6.569341186963910673e-01,-2.793537625997377649e-01,-3.171340275190911995e-01
1.560312062412482492e-01,1.961173674517092236e+00,2.855994630131422629e-01,6.625232290591678286e-01,-2.816905181867125907e-01,-2.851859600278158213e-01
1.620324064812962428e-01,1.959476236658520110e+00,2.850913112271023508e-01,6.680640450214172521e-01,-2.840053896033861713e-01,-2.924491978349132437e-01
1.680336067213442641e-01,1.957764972044539364e+00,2.845863744725606881e-01,6.735570295875665803e-01,-2.862985688359366288e-01,-2.820257088859643990e-01
1.740348069613922577e-01,1.956040010152945374e+00,2.840846351333992659e-01,6.790026392113901466e-01,-2.885702453085887687e-01,-2.842238066881375147e-01
1.800360072014402790e-01,1.954301479396679087e+00,2.835860756883248901e-01,6.844013245637553533e-01,-2.908206062063712349e-01,-2.484638311053502524e-01
1.860372074414882726e-01,1.952549507123825467e+00,2.830906787108694034e-01,6.897535305326226718e-01,-2.930498364685153456e-01,-3.152902517223609702e-01
