t,N,T,dN_dt,dN_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.815529411764705836e-01,1.372721325306042628e+00
6.001200240048009185e-03,1.004098530287050872e+00,6.004483007339044215e-04,6.843525066176905369e-01,2.327588793620007479e+00
1.200240048009601837e-02,1.008213895964606310e+00,1.201558564238417413e-03,6.871636207911424599e-01,1.348037773157916730e+00
1.800360072014402929e-02,1.012346166486208565e+00,1.803338916464674582e-03,6.899863317236929472e-01,-1.916328131485028896e+00
2.400480096019203674e-02,1.016495411578104857e+00,2.405797499077883071e-03,6.928206876338209863e-01,2.503532420980056461e+00
3.000600120024004419e-02,1.020661701262278953e+00,3.008942471794843337e-03,6.956667369473931162e-01,1.588415881675415697e+00
3.600720144028805858e-02,1.024845105856687200e+00,3.612782012407975835e-03,6.985245282978691517e-01,-3.753819424227011758e-01
4.200840168033606603e-02,1.029045695975259633e+00,4.217324316785317322e-03,7.013941105263470366e-01,1.863630318919053286e+00
4.800960192038407348e-02,1.033263542527898649e+00,4.822577598870529322e-03,7.042755326816059203e-01,1.433420325053757383e+00
5.401080216043208093e-02,1.037498716720479885e+00,5.428550090682884681e-03,7.071688440201521209e-01,1.295433837331203986e+00
6.001200240048008838e-02,1.041751290054852230e+00,6.035250042317283174e-03,7.100740940062636453e-01,7.669185766378572300e-01
6.601320264052809583e-02,1.046021334328837149e+00,6.642685721944237634e-03,7.129913323120355972e-01,1.806417305536929474e+00
7.201440288057611716e-02,1.050308921636229353e+00,7.250865415809883488e-03,7.159206088174250304e-01,-7.569875651859088173e-01
7.801560312062412461e-02,1.054614124385045093e+00,7.859797430056951820e-03,7.188619736227650492e-01,3.930420776366594926e-01
8.401680336067213206e-02,1.058937015317310770e+00,8.469490092673242002e-03,7.218154770623318450e-01,-2.424231482976246799e-01
9.001800360072013951e-02,1.063277667396831383e+00,9.079951742270974888e-03,7.247811696277115523e-01,1.922473594896966675e+00
9.601920384076814696e-02,1.067636153893711581e+00,9.691190736541621664e-03,7.277591020255917975e-01,8.072033169889097914e-01
1.020204040808161544e-01,1.072012548392972109e+00,1.030321545311695640e-02,7.307493251836965076e-01,1.458358232535192922e-01
1.080216043208641619e-01,1.076406924794549802e+00,1.091603428956905777e-02,7.337518902508336494e-01,-8.300650344628505151e-01
1.140228045609121693e-01,1.080819357313297369e+00,1.152965566341030562e-02,7.367668485969434133e-01,2.223823673592020267e-01
1.200240048009601768e-01,1.085249920478984054e+00,1.214408801209339132e-02,7.397942518131477296e-01,7.560786128498347969e-01
1.260252050410081981e-01,1.089698689136294751e+00,1.275933979301130741e-02,7.428341517117981185e-01,1.916283411130572656e-01
1.320264052810561917e-01,1.094165738444830671e+00,1.337541948349734236e-02,7.458866003265257616e-01,3.334014229122940431e+00
1.380276055211042130e-01,1.098651143879109338e+00,1.399233558082510834e-02,7.489516499122902404e-01,2.762400280523878759e+00
1.440288057611522343e-01,1.103154981228564147e+00,1.461009660220849958e-02,7.520293529454296078e-01,-4.670295604986507421e+00
1.500300060012002279e-01,1.107677326597544365e+00,1.522871108480172708e-02,7.551197621237100144e-01,-3.022906729811635440e+00
1.560312062412482492e-01,1.112218256405316019e+00,1.584818758569931166e-02,7.582229303663764464e-01,4.086787462560525497e-01
1.620324064812962428e-01,1.116777847386060563e+00,1.646853468193605619e-02,7.613389108142021300e-01,-8.304191233850499732e-02
1.680336067213442641e-01,1.121356176588876208e+00,1.708976097048710285e-02,7.644677568295407122e-01,1.191753751826762908e+00
1.740348069613922577e-01,1.125953321377776595e+00,1.771187506826785857e-02,7.676095219963761096e-01,1.202253384041503281e+00
