t,N,P_i,dN_dt,dN_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000021e-02,5.723684453853196352e+00,5.927776365991714869e+00
2.400480096019203674e-02,1.013832992380134002e+01,1.042979654039771428e-02,5.801640070490384993e+00,5.546073567358966727e+00
4.800960192038407348e-02,1.027854097605260186e+01,1.086464887542117584e-02,5.880413660767727535e+00,5.922223545440305159e+00
7.201440288057611716e-02,1.042065278559322117e+01,1.130460748015776201e-02,5.960004649166704027e+00,5.903227688553911001e+00
9.601920384076814696e-02,1.056468496114562505e+01,1.174972286289135623e-02,6.040412157412449190e+00,5.995147228201404666e+00
1.200240048009601768e-01,1.071065709069600835e+01,1.220004556395208085e-02,6.121635002294011585e+00,6.100075285985035123e+00
1.440288057611522343e-01,1.085858872921406792e+01,1.265562612950609477e-02,6.203671687050253958e+00,6.001673074135529085e+00
1.680336067213442641e-01,1.100849939784105658e+01,1.311651510561957779e-02,6.286520399248439084e+00,6.263327161484020245e+00
1.920384076815362939e-01,1.116040856404815429e+01,1.358276299763883262e-02,6.370178998193951614e+00,6.283657690566457177e+00
2.160432086417283237e-01,1.131433563233554729e+01,1.405442025151172267e-02,6.454645008348675717e+00,6.786944960013164163e+00
2.400480096019203535e-01,1.147029994423242627e+01,1.453153725378766511e-02,6.539915617930338598e+00,6.562494279253130891e+00
2.640528105621123833e-01,1.162832077829698996e+01,1.501416433161763264e-02,6.625987677483264449e+00,6.590724598049105154e+00
2.880576115223044686e-01,1.178841734556009868e+01,1.550235174282333511e-02,6.712857695931249147e+00,6.684728954116113897e+00
3.120624124824964984e-01,1.195060875135276746e+01,1.599614959010284623e-02,6.800521818464378754e+00,6.733717183853483945e+00
3.360672134426885282e-01,1.211491401461205974e+01,1.649560786134867188e-02,6.888975835764677313e+00,6.783460780644165133e+00
3.600720144028805580e-01,1.228135203972320433e+01,1.700077637252056517e-02,6.978215167451800482e+00,6.939135069728335381e+00
3.840768153630725879e-01,1.244994160968357377e+01,1.751170475314005326e-02,7.068234857170666352e+00,7.116429396021344722e+00
4.080816163232646177e-01,1.262070138610268977e+01,1.802844244629044773e-02,7.159029571279746484e+00,7.135174210622409419e+00
4.320864172834566475e-01,1.279364990920222844e+01,1.855103870861684115e-02,7.250593597394244583e+00,7.346369467690220922e+00
4.560912182436486773e-01,1.296880558882853940e+01,1.907954259104401376e-02,7.342920838025031038e+00,7.322940625118373070e+00
4.800960192038407071e-01,1.314618666227585919e+01,1.961400284393705409e-02,7.436004786748462436e+00,7.438430743256128963e+00
5.041008201640327924e-01,1.332581122139991159e+01,2.015446797424846892e-02,7.529838540937331182e+00,7.684420626058612314e+00
5.281056211242247667e-01,1.350769717463420783e+01,2.070098617020445925e-02,7.624414780042256368e+00,7.678925332311020924e+00
5.521104220844168520e-01,1.369186224182730349e+01,2.125360529059014056e-02,7.719725761153171106e+00,7.669202887591769269e+00
5.761152230446089373e-01,1.387832395424280030e+01,2.181237286474952894e-02,7.815763317027476731e+00,7.797479419567703296e+00
6.001200240048009116e-01,1.406709965455934253e+01,2.237733609258554454e-02,7.912518853825933007e+00,7.966571367001413329e+00
6.241248249649929969e-01,1.425820648768154264e+01,2.294854182592916819e-02,8.009983343845581416e+00,8.203492147255467160e+00
6.481296259251849712e-01,1.445166135067291968e+01,2.352603646049851796e-02,8.108147297325043468e+00,8.081185264590851958e+00
6.721344268853770565e-01,1.464748092843988836e+01,2.410986600583972864e-02,8.207000777930133495e+00,8.182644910022222717e+00
6.961392278455690308e-01,1.484568164706253590e+01,2.470007600060585701e-02,8.306533375957371845e+00,8.406764736084941347e+00
7.201440288057611161e-01,1.504627966606586931e+01,2.529671149757658014e-02,8.406734201326598210e+00,8.318088207010539747e+00
7.441488297659530904e-01,1.524929087841980291e+01,2.589981706365816760e-02,8.507591880124632411e+00,8.478419856880645256e+00
7.681536307261451757e-01,1.545473091053916903e+01,2.650943677988350233e-02,8.609094550716633876e+00,8.697348447462282195e+00
7.921584316863372610e-01,1.566261511874348678e+01,2.712561423500919541e-02,8.711229857663973064e+00,8.769264859283062208e+00
8.161632326465292353e-01,1.587295852704629162e+01,2.774839240557470943e-02,8.813984916578746720e+00,8.823136586906981549e+00
8.401680336067213206e-01,1.608577586689025196e+01,2.837781371825980753e-02,8.917346329051824227e+00,8.984356764534672024e+00
8.641728345669132949e-01,1.630108153247642377e+01,2.901391998407509484e-02,9.021300155643768193e+00,8.738483924959391302e+00
8.881776355271053802e-01,1.651888955899239164e+01,2.965675236123664280e-02,9.125831900140209285e+00,9.227962581890217564e+00
9.121824364872973545e-01,1.673921362261224388e+01,3.030635135516597869e-02,9.230926504069044469e+00,9.134962028088230213e+00
9.361872374474894398e-01,1.696206704049658498e+01,3.096275681849010308e-02,9.336568340710538649e+00,9.169706356444940809e+00
9.601920384076814141e-01,1.718746277079253559e+01,3.162600795104146545e-02,9.442741208591669988e+00,9.470385784543770669e+00
9.841968393678734994e-01,1.741541337175909732e+01,3.229614323395416098e-02,9.549428305324049404e+00,9.619482793858988856e+00
1.008201640328065585e+00,1.764593097307811220e+01,3.297320036500463875e-02,9.656612207357856192e+00,9.612135461789577562e+00
1.032206441288257670e+00,1.787902730882429125e+01,3.365721632142573000e-02,9.764274878214632025e+00,9.656634294204550883e+00
1.056211242248449533e+00,1.811471364291569230e+01,3.434822725558001749e-02,9.872397626270162263e+00,9.875010109623564958e+00
1.080216043208641619e+00,1.835300076793390645e+01,3.504626849318803750e-02,9.980961096906145968e+00,9.975686366081857770e+00
1.104220844168833704e+00,1.859389900512405092e+01,3.575137453332821041e-02,1.008994526476746501e+01,1.023050508136927483e+01
1.128225645129025789e+00,1.883741820439476911e+01,3.646357904843692405e-02,1.019932942558216560e+01,1.027407022433010120e+01
1.152230446089217875e+00,1.908356774238698250e+01,3.718291488186690336e-02,1.030909218669833649e+01,1.032847375132479861e+01
1.176235247049409738e+00,1.933235642851173353e+01,3.790941391872997696e-02,1.041921141649029359e+01,1.053037473701269278e+01
1.200240048009601823e+00,1.958379256672087010e+01,3.864310714362145793e-02,1.052966426377278353e+01,1.050911195878220461e+01
1.224244848969793908e+00,1.983788390503323740e+01,3.938402460079030304e-02,1.064042712662302037e+01,1.054783716925818382e+01
1.248249649929985994e+00,2.009463758170178238e+01,4.013219533132164618e-02,1.075147562050315919e+01,1.080988145160568337e+01
1.272254450890177857e+00,2.035406012521353958e+01,4.088764737313675679e-02,1.086278457038821088e+01,1.092103841225378069e+01
1.296259251850369942e+00,2.061615745428965951e+01,4.165040776099307451e-02,1.097432800272311226e+01,1.095284511161042751e+01
1.320264052810562028e+00,2.088093487788537672e+01,4.242050252648416758e-02,1.108607913725079186e+01,1.100779827945439493e+01
1.344268853770754113e+00,2.114839709210287921e+01,4.319795669490347767e-02,1.119801037746164951e+01,1.122092576798297614e+01
1.368273654730946198e+00,2.141854805591672317e+01,4.398279414683529953e-02,1.131009325071324945e+01,1.106070382286745080e+01
1.392278455691138062e+00,2.169139108669462246e+01,4.477503769236809011e-02,1.142229844166852892e+01,1.149131091868481036e+01
1.416283256651330147e+00,2.196692879131072829e+01,4.557470902859495077e-02,1.153459575655985425e+01,1.158373258263435268e+01
1.440288057611522232e+00,2.224516299758682081e+01,4.638182867571038343e-02,1.164695408930309384e+01,1.148306837491404409e+01
1.464292858571714318e+00,2.252609475429232333e+01,4.719641597701034613e-02,1.175934141690281898e+01,1.176547676788663566e+01
1.488297659531906181e+00,2.280972433114429165e+01,4.801848909889221834e-02,1.187172479521263568e+01,1.177531482885851233e+01
1.512302460492098266e+00,2.309605121880742473e+01,4.884806503085484253e-02,1.198407035511552543e+01,1.205979245959134083e+01
1.536307261452290351e+00,2.338507412889405401e+01,4.968515958549846873e-02,1.209634329919034457e+01,1.189292657184600088e+01
1.560312062412482437e+00,2.367679090734837288e+01,5.052978732431150782e-02,1.220850786554234624e+01,1.211705841174288700e+01
1.584316863372674522e+00,2.397119848863475511e+01,5.138196148909929956e-02,1.232052730994922207e+01,1.239148530872342846e+01
1.608321664332866385e+00,2.426829300337463025e+01,5.224169410574450167e-02,1.243236394773067843e+01,1.254800405257389428e+01
1.632326465293058471e+00,2.456806960778779469e+01,5.310899586293019864e-02,1.254397908995068711e+01,1.232817855193806622e+01
1.656331266253250556e+00,2.487052248034395774e+01,5.398387610952491700e-02,1.265533304648694113e+01,1.260552906201181145e+01
1.680336067213442641e+00,2.517564482176278418e+01,5.486634285458266702e-02,1.276638513145570464e+01,1.279918714070996266e+01
1.704340868173634505e+00,2.548342885501386235e+01,5.575640276734292189e-02,1.287709366975942160e+01,1.281617205596443476e+01
1.728345669133826590e+00,2.579386582531673255e+01,5.665406117723064544e-02,1.298741600482740566e+01,1.314648002795972026e+01
1.752350470094018675e+00,2.610694599997924570e+01,5.755932207375517168e-02,1.309730850756101361e+01,1.297818583939923620e+01
1.776355271054210760e+00,2.642265850655022774e+01,5.847218799433873820e-02,1.320672653038864652e+01,1.324217972501733875e+01
1.800360072014402846e+00,2.674099141252960266e+01,5.939266004204766386e-02,1.331562445004706419e+01,1.321078389819261290e+01
1.824364872974594709e+00,2.706193174089238340e+01,6.032073792332311862e-02,1.342395568794183092e+01,1.356455198225531866e+01
1.848369673934786794e+00,2.738546532426286362e+01,6.125641986591930793e-02,1.353167267777582694e+01,1.352950755487027124e+01
1.872374474894978880e+00,2.771157680491457143e+01,6.219970261890341717e-02,1.363872688695971114e+01,1.360150183055965023e+01
1.896379275855170965e+00,2.804024963477031207e+01,6.315058145265563250e-02,1.374506883983872818e+01,1.357325034486546578e+01
1.920384076815362828e+00,2.837146607540213594e+01,6.410905015886914082e-02,1.385064814278895540e+01,1.401883069729562337e+01
1.944388877775554914e+00,2.870520719803137766e+01,6.507510105055017147e-02,1.395541351123168283e+01,1.403069137050142245e+01
1.968393678735746999e+00,2.904145288352860277e+01,6.604872496201789900e-02,1.405931279860985228e+01,1.413466918236078840e+01
1.992398479695939084e+00,2.938018176153145689e+01,6.702991121824984633e-02,1.416229300877542130e+01,1.427608113466719963e+01
2.016403280656131169e+00,2.972137105670644175e+01,6.801864752638828171e-02,1.426430028442637088e+01,1.429922294223867318e+01
2.040408081616323255e+00,3.006499682320256994e+01,6.901492008877832540e-02,1.436528001693723233e+01,1.430135535587958984e+01
2.064412882576515340e+00,3.041103375794687480e+01,7.001871354457164798e-02,1.446517682900039858e+01,1.438515270629738829e+01
2.088417683536706981e+00,3.075945518239635135e+01,7.103001096203671871e-02,1.456393461326727490e+01,1.448391461533117486e+01
2.112422484496899067e+00,3.111023304253799537e+01,7.204879383855886110e-02,1.466149657896886715e+01,1.479850381310223817e+01
2.136427285457091152e+00,3.146333790888875725e+01,7.307504210064016958e-02,1.475780530086160880e+01,1.461176718074206704e+01
2.160432086417283237e+00,3.181873897649557037e+01,7.410873410389950955e-02,1.485280277050405218e+01,1.479316581932697261e+01
2.184436887377475323e+00,3.217640406493533334e+01,7.514984663307255897e-02,1.494643044986389668e+01,1.491430605793527775e+01
2.208441688337667408e+00,3.253629961831494199e+01,7.619835490201180839e-02,1.503862932724910806e+01,1.506109122978401693e+01
2.232446489297859493e+00,3.289839069128814941e+01,7.725423255333409289e-02,1.512933997202060077e+01,1.518687491087138142e+01
2.256451290258051579e+00,3.326264081903777736e+01,7.831745160292243046e-02,1.521850256354070297e+01,1.509359286263114797e+01
2.280456091218243664e+00,3.362901210294960208e+01,7.938798240373022563e-02,1.530605697888779559e+01,1.513305563376054330e+01
2.304460892178435749e+00,3.399746520668601590e+01,8.046579372306195133e-02,1.539194285868873280e+01,1.539150143542653559e+01
2.328465693138627390e+00,3.436795934339345138e+01,8.155085274919847416e-02,1.547609967344812354e+01,1.559745605597673190e+01
2.352470494098819476e+00,3.474045227570236705e+01,8.264312509139705443e-02,1.555846679544055178e+01,1.563417260137020470e+01
2.376475295059011561e+00,3.511490031572724035e+01,8.374257477989134613e-02,1.563898357280658935e+01,1.566054865117658501e+01
2.400480096019203646e+00,3.549125832506658185e+01,8.484916426589134142e-02,1.571758940580199848e+01,1.568587384140026231e+01
2.424484896979395732e+00,3.586947971480292807e+01,8.596285442158346779e-02,1.579422382514444578e+01,1.582354719472446902e+01
2.448489697939587817e+00,3.624951644550284158e+01,8.708360454013051866e-02,1.586882657239697458e+01,1.584449306382275680e+01
2.472494498899779902e+00,3.663131902721691091e+01,8.821137233567165337e-02,1.594133768232281234e+01,1.602305834037207077e+01
2.496499299859971988e+00,3.701483653235148807e+01,8.934611395335349815e-02,1.601169756950861967e+01,1.593225283561993066e+01
2.520504100820164073e+00,3.740001679297897397e+01,9.048778412483797495e-02,1.607984714901909484e+01,1.609327114372772982e+01
2.544508901780355714e+00,3.778680591829057533e+01,9.163633579481567093e-02,1.614572783485979812e+01,1.613464982124864022e+01
2.568513702740547799e+00,3.817514857812737716e+01,9.279172033819678422e-02,1.620928168495013466e+01,1.626361762390315135e+01
2.592518503700739885e+00,3.856498815673074176e+01,9.395388767928769536e-02,1.627045151603788042e+01,1.629291536840281651e+01
2.616523304660931970e+00,3.895626675274233719e+01,9.512278629179109213e-02,1.632918099065019391e+01,1.658418445428098309e+01
2.640528105621124055e+00,3.934892517920417276e+01,9.629836319880595574e-02,1.638541470526550725e+01,1.653528018107905595e+01
2.664532906581316141e+00,3.974290296355854935e+01,9.748056397282751917e-02,1.643909827961208592e+01,1.658877199616393838e+01
2.688537707541508226e+00,4.013813834764807353e+01,9.866933273574726715e-02,1.649017844699708490e+01,1.628622806323761907e+01
2.712542508501700311e+00,4.053456828771567899e+01,9.986461215885301945e-02,1.653860314556694178e+01,1.650457148309670430e+01
2.736547309461892397e+00,4.093212845440459091e+01,1.010663434628288060e-01,1.658432161039776176e+01,1.652346054880646875e+01
2.760552110422084038e+00,4.133075323275836155e+01,1.022744664177549223e-01,1.662728446631241752e+01,1.668055662630132119e+01
2.784556911382276123e+00,4.173037572222084890e+01,1.034889193431080406e-01,1.666744382131845725e+01,1.643954117241292323e+01
2.808561712342468208e+00,4.213092827765021298e+01,1.047096394219852317e-01,1.670475341124720359e+01,1.682220327914812330e+01
2.832566513302660294e+00,4.253234222550934618e+01,1.059365625172174891e-01,1.673916864956835227e+01,1.684586698065788468e+01
2.856571314262852379e+00,4.293454703447588372e+01,1.071696226968725379e-01,1.677064664673117633e+01,1.664043956090659648e+01
2.880576115223044464e+00,4.333747140423635358e+01,1.084087528810089851e-01,1.679914640364401635e+01,1.670129155078187466e+01
2.904580916183236550e+00,4.374104327944132820e+01,1.096538848498821717e-01,1.682462888769502740e+01,1.674451168661691014e+01
2.928585717143428635e+00,4.414518984970545290e+01,1.109049492439441870e-01,1.684705710686701963e+01,1.685138669689533586e+01
2.952590518103620720e+00,4.454983754960744591e+01,1.121618755638438270e-01,1.686639618326572077e+01,1.693049328973466672e+01
2.976595319063812362e+00,4.495491205869006990e+01,1.134245921704266219e-01,1.688261342597101589e+01,1.708740203150674830e+01
3.000600120024004447e+00,4.536033830146018175e+01,1.146930262847349058e-01,1.689567840312127345e+01,1.687593386013250552e+01
3.024604920984196532e+00,4.576604044738870414e+01,1.159671039880076360e-01,1.690556301314124710e+01,1.698231326903161076e+01
3.048609721944388617e+00,4.617194191091059707e+01,1.172467502216805457e-01,1.691224155502448667e+01,1.692778333603042995e+01
3.072614522904580703e+00,4.657796535142491479e+01,1.185318887873861304e-01,1.691569079758149741e+01,1.709168342597232382e+01
3.096619323864772788e+00,4.698403267329477018e+01,1.198224423469535782e-01,1.691589004756520254e+01,1.699010583368636063e+01
3.120624124824964873e+00,4.739006526293201915e+01,1.211183325520367032e-01,1.691282121489941659e+01,1.704967625998686387e+01
3.144628925785156959e+00,4.779598563974640513e+01,1.224194809280194779e-01,1.690646884361949986e+01,1.679870132464115429e+01
3.168633726745349044e+00,4.820171428013609471e+01,1.237258071236695678e-01,1.689682017336486552e+01,1.687759610221226936e+01
3.192638527705540685e+00,4.860717124241521958e+01,1.250372298337155963e-01,1.688386520270682212e+01,1.680248796052261895e+01
3.216643328665732771e+00,4.901227672178519867e+01,1.263536671058346772e-01,1.686759671420661277e+01,1.701809145460744332e+01
3.240648129625924856e+00,4.941695105033473112e+01,1.276750363406521371e-01,1.684801029687183416e+01,1.691377428725361298e+01
3.264652930586116941e+00,4.982111469703982465e+01,1.290012542917417515e-01,1.682510436650700214e+01,1.679458992392925154e+01
3.288657731546309027e+00,5.022468826776376005e+01,1.303322370656256335e-01,1.679888018393847915e+01,1.675363339523143935e+01
