t,N,P,R,dN_dt,dN_dt_noisy
0.000000000000000000e+00,4.000000000000000000e+01,9.000000000000000000e+00,1.000000000000000000e+00,-5.847619047619048160e+00,-5.502034855554262194e+00
4.000800160032006586e-02,3.976584820019088795e+01,9.018117648095177685e+00,1.007987177178242044e+00,-5.857745512766115326e+00,-5.036127369264956855e+00
8.001600320064013172e-02,3.953127749867115170e+01,9.036460400534966908e+00,1.015819213318610581e+00,-5.868555578464288658e+00,-5.538118502280901190e+00
1.200240048009602045e-01,3.929626107301881177e+01,9.055023876470270849e+00,1.023497143069993287e+00,-5.880023057251932528e+00,-7.183180288856293672e+00
1.600320064012802634e-01,3.906077313046044708e+01,9.073803828578389741e+00,1.031021952584196155e+00,-5.892122369757952782e+00,-4.986766503084835378e+00
2.000400080016003224e-01,3.882478887212477048e+01,9.092796131242579349e+00,1.038394582552556233e+00,-5.904828487453936958e+00,-5.458453915089926056e+00
2.400480096019204090e-01,3.858828452806517362e+01,9.111996792342521800e+00,1.045615924741662761e+00,-5.918116949596424092e+00,-6.455070184956709589e+00
2.800560112022404402e-01,3.835123731792391055e+01,9.131401939217779429e+00,1.052686825254857128e+00,-5.931963800126943909e+00,-5.350845695930591006e+00
3.200640128025605269e-01,3.811362537594597200e+01,9.151007793362776255e+00,1.059608091084077497e+00,-5.946345490779947340e+00,-5.581773094593871498e+00
3.600720144028806136e-01,3.787542775089472968e+01,9.170810670398571673e+00,1.066380490117205815e+00,-5.961238863432221535e+00,-5.667106366776695658e+00
4.000800160032006447e-01,3.763662440605196480e+01,9.190806980072864008e+00,1.073004751138068036e+00,-5.976621132605664855e+00,-5.948198891289868229e+00
4.400880176035207314e-01,3.739719621921782533e+01,9.210993226259988731e+00,1.079481563826433899e+00,-5.992469868027896496e+00,-5.445756881415449335e+00
4.800960192038408181e-01,3.715712498271085451e+01,9.231366006960914916e+00,1.085811578758017149e+00,-6.008762977244810344e+00,-6.745217064246476824e+00
5.201040208041608492e-01,3.691639336368774593e+01,9.251921995936696064e+00,1.091995411662954663e+00,-6.025478635279142736e+00,-6.188388583272195653e+00
5.601120224044808804e-01,3.667498488373207977e+01,9.272657936437234127e+00,1.098033644232447648e+00,-6.042595249374524968e+00,-6.524714562054502842e+00
6.001200240048010226e-01,3.643288394848981682e+01,9.293570653371663326e+00,1.103926821823001836e+00,-6.060091478551346000e+00,-5.461245265916718772e+00
6.401280256051210538e-01,3.619007579867896851e+01,9.314657028462606903e+00,1.109675459746245707e+00,-6.077946147010923283e+00,-6.038224039529263898e+00
6.801360272054410849e-01,3.594654650978398536e+01,9.335914000098059162e+00,1.115280043304813118e+00,-6.096138228737629561e+00,-6.388594979702718391e+00
7.201440288057612271e-01,3.570228299205572853e+01,9.357338563331385473e+00,1.120741027792344191e+00,-6.114646832570471702e+00,-6.896555294927313895e+00
7.601520304060812583e-01,3.545727299051152670e+01,9.378927769881318710e+00,1.126058838493484204e+00,-6.133451187316918407e+00,-6.390643427935788878e+00
8.001600320064012895e-01,3.521150508493513343e+01,9.400678728131961037e+00,1.131233870683884035e+00,-6.152530626909630485e+00,-6.144388446391286784e+00
8.401680336067214316e-01,3.496496868617471421e+01,9.422588595203318818e+00,1.136266491582665017e+00,-6.171864555389916518e+00,-6.447467460689287222e+00
8.801760352070414628e-01,3.471765402223103081e+01,9.444654562605602877e+00,1.141157043304251717e+00,-6.191432395135180400e+00,-4.897368580736973342e+00
9.201840368073614940e-01,3.446955214742337148e+01,9.466873875469447697e+00,1.145905838262624821e+00,-6.211213622032342840e+00,-5.204489306726548747e+00
9.601920384076816362e-01,3.422065493944099046e+01,9.489243810143609181e+00,1.150513165369688284e+00,-6.231187695697286699e+00,-8.942350174663255657e+00
1.000200040008001556e+00,3.397095509893293297e+01,9.511761672843691784e+00,1.154979290387220914e+00,-6.251334042938829327e+00,-8.140347288906502499e+00
1.040208041608321698e+00,3.372044614950801389e+01,9.534424799652152061e+00,1.159304455926877697e+00,-6.271632044746585422e+00,-6.446404136801747065e+00
1.080216043208641841e+00,3.346912243773483198e+01,9.557230556518293341e+00,1.163488881450189139e+00,-6.292061023381535279e+00,-6.714251434957889231e+00
1.120224044808961761e+00,3.321697913314177697e+01,9.580176339258271057e+00,1.167532763268561036e+00,-6.312600229577732591e+00,-6.098957232079121660e+00
1.160232046409281903e+00,3.296401222923265095e+01,9.603259573099403923e+00,1.171436274670292654e+00,-6.333228828910801411e+00,-6.115906897888237381e+00
