R,T,f,f_noisy
2.583517042266270636e+01,1.104074886573783409e+01,3.705573731707047513e-01,3.878365827739440608e-01
4.754795296813379935e+01,2.833386337810136268e+01,2.122251547910063429e+00,2.163332455085121175e+00
7.635900829621870223e+00,1.224670779489903083e+01,4.301784886493651427e-01,4.467003424585345162e-01
4.745814763329357078e+01,1.272154579351649417e+01,5.252425132370821537e-01,4.600846516568640743e-01
1.593565687451902946e+01,2.592923648765605193e+01,2.789069466813575371e+00,2.834337260147231419e+00
2.145465922414249604e+01,3.114956128073619368e+01,1.859830141276632043e+00,1.882148869894832544e+00
4.147127839411187011e+01,1.644670418402553125e+01,1.151544998415728660e+00,1.124697336647714430e+00
2.075535725027348377e+01,2.265477757691437688e+01,2.586600162073670273e+00,2.615656067283488095e+00
2.770488753981644336e+01,2.916682628742332639e+01,2.150743215031540423e+00,2.168971834840843993e+00
1.864176105531884176e+00,1.462577213148077604e+01,1.354662915627088959e-01,1.501729163954851898e-01
3.779889887940292681e+01,2.030736264306507621e+01,1.939466790523711515e+00,1.940887902589501390e+00
2.713809400435427222e+01,2.482271822239386694e+01,2.570025955009658247e+00,2.597361604340280739e+00
1.682171996670506076e+01,2.968487242187890729e+01,2.255304603085195314e+00,2.218481898735111812e+00
3.952722081970601664e+01,2.433577309405765021e+01,2.394110901703508265e+00,2.385965404303855841e+00
1.550814404993642626e+01,1.365286164160635884e+01,7.761327358412472011e-01,7.520267702072482852e-01
2.294814552929225115e+01,3.076170373422085547e+01,1.919181503462487060e+00,1.949123814094218421e+00
7.135064013734655042e+00,3.027753864337087464e+01,1.579131733901433687e+00,1.581117839275516745e+00
2.045409282913289672e+01,2.807312837023697227e+01,2.493529040317960188e+00,2.478906202769705747e+00
1.057103441346940542e+01,2.832493495542154704e+01,2.328788077282907931e+00,2.289692654165065733e+00
1.348451035187155078e+01,2.139391257089508258e+01,2.440059675308049236e+00,2.427200063277105802e+00
3.764305129518760396e+01,2.625591487099792687e+01,2.380637090145222956e+00,2.381044199171140185e+00
1.438023352030897684e+01,3.496833924795828352e+01,1.036944785713715955e+00,1.023164640448747331e+00
2.451695323436593554e+01,3.437170291172022019e+01,1.094261784993993958e+00,1.158964975713904222e+00
4.904649139016131443e+01,1.466121008960493199e+01,8.133974957654851456e-01,8.637337115307748281e-01
4.810203108635744229e+01,2.593526465721502916e+01,2.349910620744574796e+00,2.214352496796276437e+00
3.637710206828991488e+01,3.168842797523910093e+01,1.553257962172679862e+00,1.458807299874296248e+00
2.729072934959799213e+01,1.150328406513300372e+01,4.153264846143251976e-01,4.065878800115670932e-01
1.420611460024585604e+01,2.437350598661567247e+01,2.786662659100421102e+00,2.765553138521603227e+00
8.452274434368780121e+00,1.288730172579611200e+01,5.377466724418386024e-01,5.484288223167691489e-01
4.851130795419856412e+01,1.458913639382246785e+01,8.016543965774419744e-01,8.125204931285701093e-01
2.604539498461999614e+01,1.897990626456073926e+01,1.806721833500811947e+00,1.912613771253364403e+00
6.235347817303130924e+00,2.391673047479807934e+01,1.855164693403719145e+00,1.799563655269105000e+00
3.136274289910626933e+01,2.353654072908987160e+01,2.438460158145293821e+00,2.419579907788943718e+00
3.894581415994375106e+01,2.259963961921112841e+01,2.273778879936567243e+00,2.375917460311183671e+00
3.084366340212550384e+01,3.393150782546804578e+01,1.125685787313170039e+00,1.158020937123262373e+00
4.590623638714968280e+01,2.273352732359552419e+01,2.256941432856086394e+00,2.290094601474899516e+00
2.459847394878041271e+00,2.832740343784245596e+01,5.531118687823242119e-01,5.274115501979510512e-01
2.666516853137107290e+01,1.835749426472620272e+01,1.660514561186989813e+00,1.578110802644207222e+00
2.323712620282748276e+01,2.860834179686753842e+01,2.341492358697971010e+00,2.349865595909108151e+00
3.586304167918842101e+00,2.869726558485002954e+01,9.119364753800041079e-01,9.173871797710815290e-01
3.224574437239905933e+01,2.673913434628542873e+01,2.404194382706205335e+00,2.342826779993976594e+00
4.270532550479251199e+01,2.885739372496924204e+01,2.057362671929912512e+00,2.023201338840884489e+00
2.985058039616205861e+01,2.430891739709546329e+01,2.504569978331940838e+00,2.500967794345579254e+00
1.337482366299254899e+01,3.139098938140125838e+01,1.844710678111266988e+00,1.797473096958228211e+00
4.207413529105473771e+01,3.081334836866432880e+01,1.704867222366857726e+00,1.699953723974246822e+00
2.572004613531471406e+01,1.240974434747806576e+01,5.335406496553797284e-01,5.383148010288524299e-01
2.578899978109338420e+01,2.120889468390356569e+01,2.253673923481198660e+00,2.255453235333972906e+00
3.777499528125780159e+01,1.301680160997124602e+01,5.750664123495317082e-01,5.497518294338159528e-01
7.822140771355349464e+00,3.376347598229267533e+01,1.031354891408561514e+00,1.061042294997852631e+00
4.107152259640420766e+01,2.087227990697596880e+01,2.020202504817572020e+00,2.064760852531688506e+00
3.432270184716122685e+01,1.550195795251958408e+01,9.944147622153465260e-01,1.010457177443674803e+00
3.946129860696265013e+01,3.094071354306420218e+01,1.689923482071243654e+00,1.649011970701728336e+00
9.985004821496694660e+00,1.218040398990572371e+01,4.911076685521519880e-01,5.276902827414240438e-01
4.021702597615923480e+01,1.385217371614721316e+01,6.927259780380300436e-01,6.676539771146774438e-01
9.970534339831413462e+00,2.697074841873842033e+01,2.442084672181010330e+00,2.486042703095409756e+00
4.536854559493879613e+00,2.268558307222060932e+01,1.308185060069731120e+00,1.254595689225858957e+00
4.283373522720997073e+01,1.668236665678952235e+01,1.195008699432519972e+00,1.240732059588959046e+00
4.313353306079458349e+01,2.440699423155447079e+01,2.377217931171412779e+00,2.376214758440638786e+00
4.388858627262073497e+01,1.518459184528829198e+01,9.091575778303304656e-01,8.467201333136097352e-01
2.385953110826011780e+01,1.773089027243369031e+01,1.562696135348711213e+00,1.547001161750368725e+00
1.406539523637905376e+01,2.527651535352237033e+01,2.792475101854893893e+00,2.795180215793470868e+00
8.510455158567299394e-01,3.207330386975446146e+01,5.781730871699992946e-02,7.145687567522261696e-02
