t,N1,N2,P1,dN1_dt,dN1_dt_noisy
0.000000000000000000e+00,2.000000000000000000e+01,6.000000000000000000e+01,5.000000000000000000e+00,3.730769230769230838e+00,3.748048440372470314e+00
1.200240048009601837e-02,2.004475833948647079e+01,6.008632270849273027e+01,5.001506369391933049e+00,3.727455524800211251e+00,3.768536431975268997e+00
2.400480096019203674e-02,2.008947667115987201e+01,6.017245588809326762e+01,5.003024858934320918e+00,3.724102615461199139e+00,3.740624469270368291e+00
3.600720144028805858e-02,2.013415452550791684e+01,6.025839897566066128e+01,5.004555440928532661e+00,3.720710666946120071e+00,3.655552805365902103e+00
4.800960192038407348e-02,2.017879143485957272e+01,6.034415141512498337e+01,5.006098087775158412e+00,3.717279844408700740e+00,3.762547637742356788e+00
6.001200240048008838e-02,2.022338693357623995e+01,6.042971265747762999e+01,5.007652771968519545e+00,3.713810313962775389e+00,3.736129042580976112e+00
7.201440288057611716e-02,2.026794055805883232e+01,6.051508216077104407e+01,5.009219466096446638e+00,3.710302242666758232e+00,3.683454580898744002e+00
8.401680336067213206e-02,2.031245184674776638e+01,6.060025939011873675e+01,5.010798142840281244e+00,3.706755798507544331e+00,3.735811703717362153e+00
9.601920384076814696e-02,2.035692034012296858e+01,6.068524381769525888e+01,5.012388774974875005e+00,3.703171150384441113e+00,3.721399770193744683e+00
1.080216043208641619e-01,2.040134558070388238e+01,6.077003492273623664e+01,5.013991335368590541e+00,3.699548468093138531e+00,3.714255092925915047e+00
1.200240048009601768e-01,2.044572711304945400e+01,6.085463219153833592e+01,5.015605796983301445e+00,3.695887922309718299e+00,3.697309034375507952e+00
1.320264052810561917e-01,2.049006448375814315e+01,6.093903511745929080e+01,5.017232132874389627e+00,3.692189684574689768e+00,3.719525333905312259e+00
1.440288057611522343e-01,2.053435724146790875e+01,6.102324320091788223e+01,5.018870316190750636e+00,3.688453927277064892e+00,3.651631222926981390e+00
1.560312062412482492e-01,2.057860493685623382e+01,6.110725594939395933e+01,5.020520320174789219e+00,3.684680823638477598e+00,3.676535326238825174e+00
1.680336067213442641e-01,2.062280712278015571e+01,6.119107287719759114e+01,5.022182118153679653e+00,3.680870547725578756e+00,3.656764582091579729e+00
1.800360072014402790e-01,2.066696335862140188e+01,6.127469349841418733e+01,5.023855683264886629e+00,3.677023275302210070e+00,3.706965585933941654e+00
1.920384076815362939e-01,2.071107320242266070e+01,6.135811734008965601e+01,5.025540988944285914e+00,3.673139182209082421e+00,3.675125287583165257e+00
2.040408081616323088e-01,2.075513621185383784e+01,6.144134394044824177e+01,5.027238008878133435e+00,3.669218444558118186e+00,3.654595607009863745e+00
2.160432086417283237e-01,2.079915194686934399e+01,6.152437284447012900e+01,5.028946716839243436e+00,3.665261239255643844e+00,3.626165816137801645e+00
2.280456091218243386e-01,2.084311996970810199e+01,6.160720360389139927e+01,5.030667086686985812e+00,3.661267743986039491e+00,3.648408131955096056e+00
2.400480096019203535e-01,2.088703984489355392e+01,6.168983577720406686e+01,5.032399092367288773e+00,3.657238137195407912e+00,3.657645246221325142e+00
2.520504100820163962e-01,2.093091113923365043e+01,6.177226892965605032e+01,5.034142707912637071e+00,3.653172598075307587e+00,3.639392452810338963e+00
2.640528105621123833e-01,2.097473342182085432e+01,6.185450263325120801e+01,5.035897907442073773e+00,3.649071306546499027e+00,3.713774497266409291e+00
2.760552110422084260e-01,2.101850626403214761e+01,6.193653646674928126e+01,5.037664665161197597e+00,3.644934443242765276e+00,3.695270659008055070e+00
2.880576115223044686e-01,2.106222923952901738e+01,6.201837001566596541e+01,5.039442955362164689e+00,3.640762189494747947e+00,3.505204065546449588e+00
3.000600120024004558e-01,2.110590192425746991e+01,6.210000287227284588e+01,5.041232752423689512e+00,3.636554727313837887e+00,3.542104065015454051e+00
3.120624124824964984e-01,2.114952389644802722e+01,6.218143463559744788e+01,5.043034030811043955e+00,3.632312239376109808e+00,3.623573634773351593e+00
3.240648129625924856e-01,2.119309473661571630e+01,6.226266491142319381e+01,5.044846765076054673e+00,3.628034909006285780e+00,3.606925388427467905e+00
3.360672134426885282e-01,2.123661402756008343e+01,6.234369331228943878e+01,5.046670929857108412e+00,3.623722920161760008e+00,3.634405070036690777e+00
3.480696139227845154e-01,2.128008135436518344e+01,6.242451945749144926e+01,5.048506499879147569e+00,3.619376457416649817e+00,3.630242553967777841e+00
3.600720144028805580e-01,2.132349630439959043e+01,6.250514297308041023e+01,5.050353449953671969e+00,3.614995705945899918e+00,3.720887643698452152e+00
3.720744148829765452e-01,2.136685846731638705e+01,6.258556349186342516e+01,5.052211754978738867e+00,3.610580851509425315e+00,3.554979813374811393e+00
3.840768153630725879e-01,2.141016743505317521e+01,6.266578065340350889e+01,5.054081389938962054e+00,3.606132080436293741e+00,3.587251830079943637e+00
3.960792158431686305e-01,2.145342280183205830e+01,6.274579410401960899e+01,5.055962329905513641e+00,3.601649579608961371e+00,3.703788159983577799e+00
4.080816163232646177e-01,2.149662416415966604e+01,6.282560349678657019e+01,5.057854550036121388e+00,3.597133536447544966e+00,3.629468686257637522e+00
4.200840168033606603e-01,2.153977112082713674e+01,6.290520849153517702e+01,5.059758025575072260e+00,3.592584138894130419e+00,3.625737307512943541e+00
4.320864172834566475e-01,2.158286327291011375e+01,6.298460875485211119e+01,5.061672731853208873e+00,3.588001575397143927e+00,3.562301256812770767e+00
4.440888177635526901e-01,2.162590022376876675e+01,6.306380396007998712e+01,5.063598644287932160e+00,3.583386034895751582e+00,3.500982276352968992e+00
4.560912182436486773e-01,2.166888157904777401e+01,6.314279378731733061e+01,5.065535738383198705e+00,3.578737706804304253e+00,3.587110944015441394e+00
4.680936187237447199e-01,2.171180694667631883e+01,6.322157792341858595e+01,5.067483989729524296e+00,3.574056780996830440e+00,3.579507485387907639e+00
4.800960192038407071e-01,2.175467593686811085e+01,6.330015606199411593e+01,5.069443374003980374e+00,3.569343447791579305e+00,3.507975845079350563e+00
4.920984196839367497e-01,2.179748816212136475e+01,6.337852790341019471e+01,5.071413866970195805e+00,3.564597897935593451e+00,3.530436564846565428e+00
5.041008201640327924e-01,2.184024323721881444e+01,6.345669315478902917e+01,5.073395444478357774e+00,3.559820322589335451e+00,3.556218138602973866e+00
5.161032206441288350e-01,2.188294077922769532e+01,6.353465153000872334e+01,5.075388082465208228e+00,3.555010913311362764e+00,3.507773332158323765e+00
5.281056211242247667e-01,2.192558040749976911e+01,6.361240274970331399e+01,5.077391756954050095e+00,3.550169862043031088e+00,3.545256363650420184e+00
5.401080216043208093e-01,2.196816174367130614e+01,6.368994654126275634e+01,5.079406444054740177e+00,3.545297361093270094e+00,3.550071512466742796e+00
5.521104220844168520e-01,2.201068441166308531e+01,6.376728263883290992e+01,5.081432119963692706e+00,3.540393603123372479e+00,3.542172914976146725e+00
5.641128225645128946e-01,2.205314803768040832e+01,6.384441078331556696e+01,5.083468760963882005e+00,3.535458781131851858e+00,3.510144198216136324e+00
5.761152230446089373e-01,2.209555225021308189e+01,6.392133072236843105e+01,5.085516343424837160e+00,3.530493088439335736e+00,3.560180492028627075e+00
5.881176235247048689e-01,2.213789668003542843e+01,6.399804221040511720e+01,5.087574843802644686e+00,3.525496718673512220e+00,3.570055066387628706e+00
6.001200240048009116e-01,2.218018096020628249e+01,6.407454500859516600e+01,5.089644238639947638e+00,3.520469865754100702e+00,3.536512280982428980e+00
6.121224244848969542e-01,2.222240472606899786e+01,6.415083888486404362e+01,5.091724504565949161e+00,3.515412723877902046e+00,3.474501212508386505e+00
6.241248249649929969e-01,2.226456761525143691e+01,6.422692361389310634e+01,5.093815618296406278e+00,3.510325487503867414e+00,3.546908101693139415e+00
6.361272254450889285e-01,2.230666926766597058e+01,6.430279897711965020e+01,5.095917556633634327e+00,3.505208351338223505e+00,3.480136350414870794e+00
