t,N,P_mate,Q_env,dN_dt,dN_dt_noisy
0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.364664716763387275e+01,1.381943926366626663e+01
2.000400080016003293e-02,2.027885802765902312e+01,8.074301767666128282e-02,2.012238360543216684e-02,1.423892960604902669e+01,1.464973867779960592e+01
4.000800160032006586e-02,2.056989239311121764e+01,1.629951284319665628e-01,4.048921976472408257e-02,1.486440139663730342e+01,1.502961993472899671e+01
6.001200240048010226e-02,2.087378942194015963e+01,2.468429003487533635e-01,6.111252563954676364e-02,1.552533143743691468e+01,1.487375282163473500e+01
8.001600320064013172e-02,2.119128255387561310e+01,3.323785274690029268e-01,8.200500367949195568e-02,1.622416183893258079e+01,1.667683977226914038e+01
1.000200040008001612e-01,2.152315592366590380e+01,4.197002641871681039e-01,1.031800887976725145e-01,1.696352077593498819e+01,1.718670806211699542e+01
1.200240048009602045e-01,2.187024816904094848e+01,5.089128918911590693e-01,1.246519989900779918e-01,1.774623582173034819e+01,1.747775920405020500e+01
1.400280056011202201e-01,2.223345668863723290e+01,6.001282477969709372e-01,1.464357918862902452e-01,1.857534814601273609e+01,1.886590719811091432e+01
1.600320064012802634e-01,2.261374184412688493e+01,6.934657540845987622e-01,1.685474212060124599e-01,1.945412622454998441e+01,1.963641242264302278e+01
1.800360072014403068e-01,2.301213192983266609e+01,7.890530557987887050e-01,1.910038039336371951e-01,2.038608073288082778e+01,2.053314698120859205e+01
2.000400080016003224e-01,2.342972782913214402e+01,8.870266303097154026e-01,2.138228842694837317e-01,2.137497776986721831e+01,2.138918889052511574e+01
2.200440088017603657e-01,2.386770861519655185e+01,9.875325410590615194e-01,2.370237116414962708e-01,2.242485297034517799e+01,2.269820946365140202e+01
2.400480096019204090e-01,2.432733670638848622e+01,1.090727150158180114e+00,2.606265142762079767e-01,2.354002264917629361e+01,2.317179560567545948e+01
2.600520104020804246e-01,2.480996391689621561e+01,1.196777991655328943e+00,2.846527878360169406e-01,2.472509451471541553e+01,2.464363954071889040e+01
2.800560112022404402e-01,2.531703708560558042e+01,1.305864613061643364e+00,3.091253808778897660e-01,2.598497387228484001e+01,2.574391421594485152e+01
3.000600120024005113e-01,2.585010424933985718e+01,1.418179567155336995e+00,3.340685933588893874e-01,2.732486655663456787e+01,2.762428966295188104e+01
3.200640128025605269e-01,2.641082055936285400e+01,1.533929407642036447e+00,3.595082759470394351e-01,2.875027523099111804e+01,2.877013628473194728e+01
3.400680136027205425e-01,2.700095405384528391e+01,1.653335794009727744e+00,3.854719371140014061e-01,3.026698752249149038e+01,3.012075914700894685e+01
3.600720144028806136e-01,2.762239136486966018e+01,1.776636657703556166e+00,4.119888570724234422e-01,3.188105407683554304e+01,3.149009984565712372e+01
3.800760152030406291e-01,2.827714228024848353e+01,1.904087409712332368e+00,4.390902015725326457e-01,3.359875097550895617e+01,3.347015485519951739e+01
4.000800160032006447e-01,2.896734423943463455e+01,2.035962274272376415e+00,4.668091489888958057e-01,3.542652610818542058e+01,3.543059719844459465e+01
4.200840168033607158e-01,2.969526440252700539e+01,2.172555578225417783e+00,4.951810076595020704e-01,3.737091920779121779e+01,3.723311775514153510e+01
4.400880176035207314e-01,3.046330119993256602e+01,2.314183218893790528e+00,5.242433513281309354e-01,3.943845589549555797e+01,4.008548780269466505e+01
4.600920184036807470e-01,3.127398184488844635e+01,2.461183988932321487e+00,5.540361340229713605e-01,4.163550057571582386e+01,4.213886273336871824e+01
4.800960192038408181e-01,3.212995817828620204e+01,2.613921101398471336e+00,5.846018244666419950e-01,4.396806805034265153e+01,4.261248681085966439e+01
5.001000200040007782e-01,3.303399636230251701e+01,2.772783454554034410e+00,6.159855072203105353e-01,4.644157413875926466e+01,4.549706751577542718e+01
5.201040208041608492e-01,3.398896286472864858e+01,2.938187073399503024e+00,6.482350001250745120e-01,4.906052377239505802e+01,4.897313772636747586e+01
5.401080216043209203e-01,3.499780140461228939e+01,3.110576137202146985e+00,6.814009219942041007e-01,5.182811322249411035e+01,5.161701801670593426e+01
5.601120224044808804e-01,3.606350311759716476e+01,3.290424102297891729e+00,7.155367676531999566e-01,5.474574412695776005e+01,5.485256562570706507e+01
5.801160232046409515e-01,3.718906377752959713e+01,3.478234192881076492e+00,7.506989101739345305e-01,5.781242486462522834e+01,5.792108583013651213e+01
6.001200240048010226e-01,3.837743014405904063e+01,3.674539835032306190e+00,7.869465948103994135e-01,6.102406005774665942e+01,6.208297943527218621e+01
6.201240248049609827e-01,3.963142850731981071e+01,3.879904143525347404e+00,8.243418273514973027e-01,6.437260909056077196e+01,6.381659870921463096e+01
6.401280256051210538e-01,4.095367752525410765e+01,4.094919118674437364e+00,8.629492311003156280e-01,6.784512692676307211e+01,6.765632442319957818e+01
6.601320264052811249e-01,4.234647848866105591e+01,4.320203460763439196e+00,9.028357539172532364e-01,7.142268826070258569e+01,7.244407406444875619e+01
6.801360272054410849e-01,4.381168495099763049e+01,4.556399768564221908e+00,9.440703125466419765e-01,7.507923619688315853e+01,7.540258769498407787e+01
7.001400280056011560e-01,4.535054843278440018e+01,4.804169842358677833e+00,9.867232361444739919e-01,7.878040602934672165e+01,7.911193771553485021e+01
7.201440288057612271e-01,4.696353905105426918e+01,5.064188887003584050e+00,1.030865600904372403e+00,8.248240801307977677e+01,8.222540482723604782e+01
7.401480296059211872e-01,4.865015225658007836e+01,5.337137524438109182e+00,1.076568338092579680e+00,8.613111831221823422e+01,8.530708072679040299e+01
7.601520304060812583e-01,5.040868618568147497e+01,5.623691736855156442e+00,1.123901137832818087e+00,8.966149641369676715e+01,8.974522878580813767e+01
7.801560312062413294e-01,5.223603684298517180e+01,5.924511342474556130e+00,1.172931209036278011e+00,9.299762567500573596e+01,9.305213271891651061e+01
8.001600320064012895e-01,5.412746894461204761e+01,6.240224618145899349e+00,1.223721656327358076e+00,9.605349004743931118e+01,9.543981402031702999e+01
8.201640328065613605e-01,5.607644864822901809e+01,6.571413493069465872e+00,1.276329932534928657e+00,9.873486378558447996e+01,9.839325045469419706e+01
8.401680336067214316e-01,5.807449465062438065e+01,6.918593620436902292e+00,1.330805784251120505e+00,1.009423798840511921e+02,1.009063580441875843e+02
8.601720344068813917e-01,6.011112290079806542e+01,7.282196968421879468e+00,1.387189479284515414e+00,1.025759624165015822e+02,1.021035866049711984e+02
8.801760352070414628e-01,6.217389088957149568e+01,7.662550471688343023e+00,1.445509656600194148e+00,1.035405158591700996e+02,1.034913808752439905e+02
9.001800360072015339e-01,6.424854960723035902e+01,8.059858760583207271e+00,1.505781617348323165e+00,1.037525698009582129e+02,1.038003113146929337e+02
9.201840368073614940e-01,6.631936920073606245e+01,8.474186061565438521e+00,1.568005562026238531e+00,1.031473735079462983e+02,1.031651666264740470e+02
9.401880376075215651e-01,6.836955188094407276e+01,8.905443943079427882e+00,1.632165442297518698e+00,1.016856192913209043e+02,1.014324734621637418e+02
9.601920384076816362e-01,7.038183086969884528e+01,9.353382036450025083e+00,1.698228143362210840e+00,9.935891036645570296e+01,9.965578440234861546e+01
9.801960392078415962e-01,7.233910322339535526e+01,9.817585916836982562e+00,1.766143408085992572e+00,9.619306229335464309e+01,9.663864577049581328e+01
1.000200040008001556e+00,7.422512178960217000e+01,1.029748052564025684e+01,1.835844330905518351e+00,9.224856373515478936e+01,9.240898788743807302e+01
1.020204040808161627e+00,7.602520054906665337e+01,1.079234170611264965e+01,1.907248692104800414e+00,8.761778521479482151e+01,8.720867010109967055e+01
1.040208041608321698e+00,7.772674664111789866e+01,1.130131170244265704e+01,1.980260668735672525e+00,8.241936680993876507e+01,8.278519295183149040e+01
1.060212042408481770e+00,7.931975841742561784e+01,1.182342326511402497e+01,2.054773433746417854e+00,7.679008714906018440e+01,7.653936713982665196e+01
1.080216043208641841e+00,8.079706410442983611e+01,1.235762320563698147e+01,2.130671657842033717e+00,7.087563772007446516e+01,7.131521802921845676e+01
1.100220044008801912e+00,8.215441952286674621e+01,1.290280201109524505e+01,2.207834625760614511e+00,6.482117763915015018e+01,6.428528393071142943e+01
1.120224044808961761e+00,8.339040789665207853e+01,1.345782045007003092e+01,2.286139012123038494e+00,5.876292668363019800e+01,5.922016028519458786e+01
1.140228045609121832e+00,8.450619111167276287e+01,1.402153615939728404e+01,2.365461636906970089e+00,5.282155130230100326e+01,5.281151957499326244e+01
1.160232046409281903e+00,8.550514867590835877e+01,1.459282720595390259e+01,2.445681893667265960e+00,4.709779255486606786e+01,4.647341810969886211e+01
1.180236047209441974e+00,8.639245981654956097e+01,1.517061122069612189e+01,2.526683705514514600e+00,4.167033442558506806e+01,4.151338468960164363e+01
1.200240048009602045e+00,8.717465338363535921e+01,1.575386107656682633e+01,2.608357116731152114e+00,3.659574250370319959e+01,3.662279364308896845e+01
1.220244048809762116e+00,8.785917905506964587e+01,1.634161614699019438e+01,2.690599423264555590e+00,3.190994314714412639e+01,3.204633881672635454e+01
1.240248049609921965e+00,8.845402063756993982e+01,1.693298929708819500e+01,2.773315858764517472e+00,2.763074489949299561e+01,2.713965083702250780e+01
1.260252050410082036e+00,8.896736234658898468e+01,1.752717060994597986e+01,2.856419943491644187e+00,2.376093886469718797e+01,2.320725234111459301e+01
1.280256051210242108e+00,8.940732044070183804e+01,1.812342826660610839e+01,2.939833540918940002e+00,2.029153908158856012e+01,2.039133134801210190e+01
1.300260052010402179e+00,8.978173957787969073e+01,1.872110696592218915e+01,3.023486661861496838e+00,1.720486511071444369e+01,1.697149030227454247e+01
1.320264052810562250e+00,9.009804764583384440e+01,1.931962459445531266e+01,3.107317090385548930e+00,1.447728518702162859e+01,1.459503799288674131e+01
1.340268053610722099e+00,9.036315995283055713e+01,1.991846785155864552e+01,3.191269905050009736e+00,1.208153381489974265e+01,1.246129357613893163e+01
1.360272054410882170e+00,9.058342495364237834e+01,2.051718719334933994e+01,3.275296932874672606e+00,9.988572253352657526e+00,9.164178570177183403e+00
1.380276055211042241e+00,9.076460525830569281e+01,2.111539117626702833e+01,3.359356143601750944e+00,8.168995471597398250e+00,8.296189529856206946e+00
1.400280056011202312e+00,9.091188111934775407e+01,2.171274083180328063e+01,3.443411050015281916e+00,6.594065992894002193e+00,7.206389476661868798e+00
1.420284056811362383e+00,9.102986942054418762e+01,2.230894434187524666e+01,3.527430142134694968e+00,5.236436811158384330e+00,5.087673388973147581e+00
1.440288057611522454e+00,9.112265854752939731e+01,2.290375161855991593e+01,3.611386312961047729e+00,4.070583651986495966e+00,3.665176360367710995e+00
