t,p,q,dp_dt,dp_dt_noisy
0.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00,2.509851741266104844e-02,2.855435933330890963e-02
1.000200040008001647e-02,5.025157215128463889e-02,2.374838969453698680e-04,2.520589776978192365e-02,3.342207920479350891e-02
2.000400080016003293e-02,5.050421975345684850e-02,4.748433638967841999e-04,2.531356445872653266e-02,2.861793522056040387e-02
3.000600120024005113e-02,5.075794566553100406e-02,7.120825775963054776e-04,2.542151640217309161e-02,1.238994408612948198e-02
4.000800160032006586e-02,5.101275273552174916e-02,9.492056938404067360e-04,2.552975249855526929e-02,3.458331116528644278e-02
5.001000200040008059e-02,5.126864379977277147e-02,1.186216847756882626e-03,2.563827162168776791e-02,3.010201734532787915e-02
6.001200240048010226e-02,5.152562168295681672e-02,1.423120153804849439e-03,2.574707262070045910e-02,2.037754026709760746e-02
7.001400280056011005e-02,5.178368919807570248e-02,1.659919705774743921e-03,2.585615431997280445e-02,3.166733536193633292e-02
8.001600320064013172e-02,5.204284914646029048e-02,1.896619576788325648e-03,2.596551551906853619e-02,2.961123948092929392e-02
9.001800360072015339e-02,5.230310431777051433e-02,2.133223819298675408e-03,2.607515499267073350e-02,2.901647995922599504e-02
1.000200040008001612e-01,5.256445748994137412e-02,2.369736465100488829e-03,2.618507149049282418e-02,2.646929390365079099e-02
1.100220044008801829e-01,5.282691142491167946e-02,2.606161525937501083e-03,2.629526373531095723e-02,3.176239360143542911e-02
1.200240048009602045e-01,5.309046887503679479e-02,2.842502991459763470e-03,2.640573042579677510e-02,1.904118955578010600e-02
1.300260052010402123e-01,5.335513258154325061e-02,3.078764829500867627e-03,2.651647023575938455e-02,2.488737075582885677e-02
1.400280056011202201e-01,5.362090527086228742e-02,3.314950986843972526e-03,2.662748181244808249e-02,2.180628868564829861e-02
1.500300060012002556e-01,5.388778965462987652e-02,3.551065389221806645e-03,2.673876377650079988e-02,3.272722590284707356e-02
1.600320064012802634e-01,5.415578842968666456e-02,3.787111941316662327e-03,2.685031472189285812e-02,2.724753579670944822e-02
1.700340068013602712e-01,5.442490427807805675e-02,4.023094526760404022e-03,2.696213321588655787e-02,2.403756570623567096e-02
1.800360072014403068e-01,5.469513986705412667e-02,4.259017008134464814e-03,2.707421779898096931e-02,1.925513317541254626e-02
1.900380076015203146e-01,5.496649784906968567e-02,4.494883226969840356e-03,2.718656698486240225e-02,2.461464457867369379e-02
2.000400080016003224e-01,5.523898086178424816e-02,4.730697003747099706e-03,2.729917926035546269e-02,2.738060106553889816e-02
2.100420084016803579e-01,5.551259152806205244e-02,4.966462137896377957e-03,2.741205308537455337e-02,2.465602403238085008e-02
2.200440088017603657e-01,5.578733245597202600e-02,5.202182407797377103e-03,2.752518689287602321e-02,4.046582503685809684e-02
2.300460092018403735e-01,5.606320623878783410e-02,5.437861570779367777e-03,2.763857908881081626e-02,3.770582224186876108e-02
2.400480096019204090e-01,5.634021545498784506e-02,5.673503363121190982e-03,2.775222805207778337e-02,6.406032624180976742e-04
2.500500100020003891e-01,5.661836266825512332e-02,5.909111500051251152e-03,2.786613213447755588e-02,8.975999674800828193e-03
2.600520104020804246e-01,5.689765042201418155e-02,6.144689674666769554e-03,2.798028965834043966e-02,2.623256873778882087e-02
2.700540108021604602e-01,5.717808123625435501e-02,6.380241555929973968e-03,2.809469891519009860e-02,2.387279479942656241e-02
2.800560112022404402e-01,5.745965762405995381e-02,6.615770792125198752e-03,2.820935817274253243e-02,3.034578814772864383e-02
