A,D,N_step,S,S_noisy
1.115029862694547624e+01,2.081497731475667834e+01,2.860629462190721561e+00,1.128751197697751607e+01,1.135662881539047397e+01
6.336578001821513908e+02,3.666772675620272821e+02,1.565076986043789642e-01,6.752200704960286126e-01,8.395436991962602624e-01
3.772579937783818727e-01,4.493415589798060950e+01,7.264778057432896841e-01,5.299788515343036854e-01,5.960662667709810680e-01
6.231574457862890313e+02,5.443091587032989054e+01,4.121852266719050917e+00,2.073570007979466467e+01,2.047506863347379280e+01
1.767363200655444277e+00,3.185847297531209961e+02,1.690383129883901159e+00,8.283442089320723900e-01,1.009415382266696026e+00
4.935211802989533325e+00,4.229912256147239304e+02,3.424363462658049251e+00,1.573491977730625990e+00,1.662766892203428215e+00
2.045551298683013783e+02,1.289340836805106392e+02,1.686783765467723573e+00,9.259030443646066644e+00,9.151639796574009722e+00
4.333078385228661844e+00,2.530955515382875092e+02,3.776224053114285439e-01,8.152276202466818278e-01,9.314512410859524527e-01
1.578973170644466073e+01,3.833365257484664994e+02,8.304781402343131003e-01,6.217712404863235953e-01,6.946857197235387638e-01
1.288951134113177910e-01,9.251544262961553500e+01,1.349041086358249153e-01,2.722305858120298641e-02,8.604955791230818607e-02
1.032886104105803469e+02,2.061472528613014674e+02,1.923785896764919068e+00,5.455034163796662838e+00,5.460718612059822341e+00
1.420931862622477659e+01,2.964543644478773103e+02,9.807156177722853307e-01,1.288820469433093363e+00,1.398163066755582662e+00
2.084139890084383051e+00,3.936974484375781458e+02,3.934310321536371280e+00,1.440022938779363715e+00,1.292732121379030374e+00
1.424671753306305959e+02,2.867154618811529758e+02,2.672081537420906150e-01,1.208525223714555619e+00,1.175943234115945035e+00
1.632222338037619069e+00,7.305723283212716979e+01,3.575425174945239704e+00,4.530063697994945571e+00,4.433639835458949463e+00
6.516157274392356591e+00,4.152340746844171235e+02,3.357139849064819437e+00,1.717521542387371092e+00,1.837290784914296538e+00
3.436899152393396162e-01,4.055507728674174928e+02,2.457391694057033948e+00,7.293913818981093145e-02,8.088355968614273361e-02
4.096867759099018791e+00,3.614625674047394455e+02,2.360249304070963117e+00,1.332037226013327968e+00,1.273545875820310203e+00
6.513598165269565143e-01,3.664986991084309693e+02,9.052717014199979095e-01,1.117840536119937556e-01,-4.459763885937467753e-02
1.120091139539884484e+00,2.278782514179016232e+02,1.646387163277435173e+00,9.482093680441811001e-01,8.967709199204069170e-01
1.003364405998776334e+02,3.251182974199585942e+02,3.886877355541974666e+00,5.107684780873413821e+00,5.109313216977082739e+00
1.323229065800806126e+00,4.993667849591657273e+02,9.673372023167531308e-01,1.165514334387275364e-01,6.143085237885344968e-02
8.724969103465252118e+00,4.874340582344044606e+02,3.121860765054882858e+00,1.258971584632098573e+00,1.517784347511740073e+00
8.374305481129223381e+02,9.322420179209861146e+01,3.734011610889252264e+00,1.831021197606574802e+01,1.851155683912690719e+01
7.024716059460046154e+02,3.187052931443005832e+02,4.650491183887446311e+00,8.692954721504099425e+00,8.150722225710905988e+00
7.927929200841640522e+01,4.337685595047820470e+02,2.426673949142743592e-01,2.734879977223458880e-01,-1.043146514711886796e-01
1.461865517873654419e+01,3.006568130266007444e+01,2.700248428489495645e+00,1.127516796548429312e+01,1.124021354707326026e+01
1.281046269730046427e+00,2.874701197323134352e+02,4.766623082241794318e-01,3.340928271704942110e-01,2.496547448552234871e-01
4.391450937933623067e-01,5.774603451592225412e+01,4.432578301197100501e+00,8.707530041878939198e-01,9.134816036876161061e-01
7.580566342010832841e+02,9.178272787644937125e+01,4.766662617402602997e+00,1.917900283113559823e+01,1.922246721734011032e+01
1.159509582702686536e+01,1.795981252912148136e+02,2.794522172864882803e-01,1.922105345443006152e+00,2.345673096453215756e+00
2.907116592475836869e-01,2.783346094959616153e+02,4.961189063561000090e-01,3.308451117717842171e-02,-1.893196413612778517e-01
3.118595315192268913e+01,2.707308145817974037e+02,2.288295521961449808e+00,3.374044419391694305e+00,3.298523417966294780e+00
1.278593397232587563e+02,2.519927923842225539e+02,3.874659394927847167e+00,7.068426432275525251e+00,7.476980753773990962e+00
2.831478082246554351e+01,4.786301565093609724e+02,3.080141582610413487e+00,1.680124396459034442e+00,1.809464995699403778e+00
4.668644649330411767e+02,2.546705464719105123e+02,1.658601502468374234e+00,5.037426197039188480e+00,5.170038871514440970e+00
1.440029890095113896e-01,3.665480687568490907e+02,2.984205786429290796e+00,1.688947382616475673e-02,-8.591180051132782380e-02
1.301238945488111831e+01,1.671498852945240685e+02,3.989812048677018996e+00,6.385803654232918625e+00,6.056188620061788264e+00
6.876121334430948195e+00,3.721668359373507542e+02,4.607493639694088650e+00,2.808068501541270301e+00,2.841561450385818421e+00
1.775817439158580979e-01,3.739453116970005908e+02,6.916213205782750784e-01,6.447366036854922274e-03,2.825018360116442889e-02
