N,P,T,N_next,N_next_noisy
7.726142208033824943e+01,7.202863239797490102e+00,2.144251784876288625e+01,4.883431654125122812e+00,5.229015846189908778e+00
1.426190907525643468e+02,1.102698257334841259e+02,1.062603079441751674e+01,3.152478340632569598e-01,1.136865977564415431e+00
2.247978229522542648e+01,1.439037845759822254e+01,1.290591122297315962e+01,1.673869516371404131e+01,1.706913223989742789e+01
1.423487676234493335e+02,1.722041292935830725e+01,2.648740906687620367e+01,2.239090626070523726e-01,-1.079248168997308577e+00
4.746288634956233210e+01,9.593824946643006513e+01,1.676153251953560641e+01,3.778830818084938414e+01,3.869366404752250332e+01
6.407564089691376807e+01,1.270513852331877303e+02,2.369745385063219700e+01,2.276956370158668364e+01,2.321593827395069454e+01
1.243276864792458269e+02,3.942235693679216979e+01,1.674713506187089251e+01,1.474662714380269302e+00,9.377094790199841379e-01
6.197067131900502801e+01,7.642247435840967285e+01,1.151048962124571418e+01,6.477189637145102097e+00,7.058307741341454999e+00
8.288945946328585990e+01,1.152342846730430210e+02,1.332191256093725329e+01,6.247417057417687047e+00,6.611989453603762890e+00
5.106307873217186710e+00,2.856960190362542917e+01,1.053961643454329966e+01,2.517025276360234542e+00,2.811157773015760419e+00
1.132734531925461852e+02,6.243188135266783689e+01,1.769514358705967538e+01,3.368305324470022732e+00,3.396727565785819358e+00
8.118335366967245648e+01,8.934340060546743700e+01,1.392286247108914132e+01,7.020746521167173348e+00,7.567459507779620509e+00
5.013002575836473085e+01,1.183218396343982874e+02,2.573724128614548334e+01,2.353200421536066500e+01,2.279555012835899674e+01
1.184758768108322471e+02,8.644120764058358475e+01,1.106883261496836290e+01,7.591640403437398543e-01,5.962540923506870483e-01
4.617602956445509932e+01,2.277105538397389850e+01,2.430170069978095881e+01,2.053213635192075870e+01,2.005001703924078171e+01
6.857118553261707916e+01,1.247397542559563135e+02,2.342855939625927775e+01,2.026574969347001343e+01,2.086459590610463977e+01
2.097221288982754572e+01,1.218541303144904049e+02,1.982956677622813402e+01,7.056574484366788624e+01,7.060546695114955185e+01
6.106383498062225357e+01,1.087158450866123474e+02,1.944099721628385424e+01,3.144132220552616985e+01,3.114886545456108280e+01
3.131483086074629441e+01,1.102166123343124298e+02,1.362108680567999208e+01,3.031324779266975256e+01,2.953133933031291036e+01
4.008468772583557893e+01,6.890771892253468422e+01,1.658554865310973980e+01,4.119958151506043720e+01,4.094238927444156673e+01
1.128043362218778327e+02,9.788525263114765096e+01,2.554750942216789866e+01,2.644610223897976287e+00,2.652752404416319987e+00
4.278090493991994947e+01,1.498113019178314005e+02,1.386934880926701297e+01,2.738516466460458432e+01,2.710956175930521539e+01
7.329345519031362244e+01,1.462553493538525231e+02,2.248744306021953321e+01,2.019929274303641265e+01,2.149335655743461970e+01
