t,N,P_agg,dN_dt,dN_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+00,-1.875291375291375289e+02,-1.858012165688136008e+02
4.000800160032006413e-03,9.992500034385650451e+02,1.000000374868283970e+00,-1.873941638353371673e+02,-1.832860731178313642e+02
8.001600320064012825e-03,9.985005466363288633e+02,1.000001498114432508e+00,-1.872593118781547901e+02,-1.856071264972378572e+02
1.200240048009601837e-02,9.977516291065784344e+02,1.000003367703802493e+00,-1.871245814922973523e+02,-1.936403676503191491e+02
1.600320064012802565e-02,9.970032503632268117e+02,1.000005981605999850e+00,-1.869899725127496026e+02,-1.824631931793840067e+02
2.000400080016003293e-02,9.962554099202237694e+02,1.000009337789690367e+00,-1.868554847744951246e+02,-1.846236119126750737e+02
2.400480096019203674e-02,9.955081072927544028e+02,1.000013434233122389e+00,-1.867211181130825253e+02,-1.894058842898839430e+02
2.800560112022404402e-02,9.947613419969485449e+02,1.000018268921597731e+00,-1.865868723644885847e+02,-1.836812818435068095e+02
3.200640128025605130e-02,9.940151135495684684e+02,1.000023839844729867e+00,-1.864527473649709464e+02,-1.846298853840405627e+02
3.600720144028805858e-02,9.932694214680085452e+02,1.000030144996443715e+00,-1.863187429510678044e+02,-1.848480804677901688e+02
4.000800160032006586e-02,9.925242652702953592e+02,1.000037182374975187e+00,-1.861848589595978751e+02,-1.860427477530188867e+02
4.400880176035207314e-02,9.917796444750880482e+02,1.000044949982872078e+00,-1.860510952276604826e+02,-1.833175302945982423e+02
4.800960192038407348e-02,9.910355586016775078e+02,1.000053445826993181e+00,-1.859174515926352740e+02,-1.895997220276436224e+02
5.201040208041608076e-02,9.902920071699874143e+02,1.000062667918509174e+00,-1.857839278921823336e+02,-1.865984776321475920e+02
5.601120224044808804e-02,9.895489897005733155e+02,1.000072614272901728e+00,-1.856505239642421543e+02,-1.880611205276420321e+02
6.001200240048009532e-02,9.888065057146231993e+02,1.000083282909963733e+00,-1.855172396470354101e+02,-1.825230085838622642e+02
6.401280256051210260e-02,9.880645547339571522e+02,1.000094671853800188e+00,-1.853840747790630701e+02,-1.851854642416547847e+02
6.801360272054410294e-02,9.873231362810279279e+02,1.000106779132826862e+00,-1.852510291991063127e+02,-1.867133129539317622e+02
7.201440288057611716e-02,9.865822498789199244e+02,1.000119602779771188e+00,-1.851181027462262705e+02,-1.890276450580104779e+02
7.601520304060811750e-02,9.858418950513503205e+02,1.000133140831671819e+00,-1.849852952597642570e+02,-1.862712564628586165e+02
8.001600320064013172e-02,9.851020713226682801e+02,1.000147391329879287e+00,-1.848526065793416251e+02,-1.848118956767499128e+02
8.401680336067213206e-02,9.843627782178552934e+02,1.000162352320054682e+00,-1.847200365448596244e+02,-1.860980510713564797e+02
8.801760352070414628e-02,9.836240152625249493e+02,1.000178021852171417e+00,-1.845875849964993449e+02,-1.781172659245083025e+02
9.201840368073614662e-02,9.828857819829235041e+02,1.000194397980513683e+00,-1.844552517747218303e+02,-1.794216301981928723e+02
9.601920384076814696e-02,9.821480779059289716e+02,1.000211478763677331e+00,-1.843230367202677655e+02,-1.978788491150976085e+02
1.000200040008001612e-01,9.814109025590520332e+02,1.000229262264569430e+00,-1.841909396741577041e+02,-1.936360059039960788e+02
1.040208041608321615e-01,9.806742554704353552e+02,1.000247746550408712e+00,-1.840589604776916985e+02,-1.849328209379675059e+02
1.080216043208641757e-01,9.799381361688540437e+02,1.000266929692725126e+00,-1.839270989724495848e+02,-1.860380510303313599e+02
1.120224044808961761e-01,9.792025441837151902e+02,1.000286809767360063e+00,-1.837953550002906411e+02,-1.827271400127975767e+02
1.160232046409281903e-01,9.784674790450584396e+02,1.000307384854466131e+00,-1.836637284033536162e+02,-1.825771187482407925e+02
1.200240048009601906e-01,9.777329402835556493e+02,1.000328653038507820e+00,-1.835322190240568716e+02,-1.729430252488016322e+02
1.240248049609922049e-01,9.769989274305106619e+02,1.000350612408260620e+00,-1.834008267050979555e+02,-1.889609305185593655e+02
1.280256051210242052e-01,9.762654400178599872e+02,1.000373261056811236e+00,-1.832695512894538297e+02,-1.851575763250888258e+02
1.320264052810562194e-01,9.755324775781721200e+02,1.000396597081558481e+00,-1.831383926203807846e+02,-1.729245345829191365e+02
1.360272054410882059e-01,9.748000396446477680e+02,1.000420618584211718e+00,-1.830073505414140698e+02,-1.797738355604048479e+02
1.400280056011202201e-01,9.740681257511199647e+02,1.000445323670792641e+00,-1.828764248963684054e+02,-1.795611080344870913e+02
1.440288057611522343e-01,9.733367354320541835e+02,1.000470710451633272e+00,-1.827456155293374422e+02,-1.853156473877747601e+02
1.480296059211842485e-01,9.726058682225479970e+02,1.000496777041377960e+00,-1.826149222846939608e+02,-1.908552981389722163e+02
1.520304060812162350e-01,9.718755236583311898e+02,1.000523521558982054e+00,-1.824843450070895585e+02,-1.816470212859758533e+02
1.560312062412482492e-01,9.711457012757657594e+02,1.000550942127712339e+00,-1.823538835414548487e+02,-1.818088131023471021e+02
1.600320064012802634e-01,9.704164006118461430e+02,1.000579036875146821e+00,-1.822235377329993185e+02,-1.883602980042221873e+02
1.640328065613122499e-01,9.696876212041989902e+02,1.000607803933175388e+00,-1.820933074272113572e+02,-1.855094407361141577e+02
1.680336067213442641e-01,9.689593625895171272e+02,1.000637241424325641e+00,-1.819631924691227027e+02,-1.823234108677588381e+02
1.720344068813762783e-01,9.682316243039454093e+02,1.000667347465179047e+00,-1.818331927034914770e+02,-1.865569508187953716e+02
1.760352070414082926e-01,9.675044058874666462e+02,1.000698120204672970e+00,-1.817033079768617085e+02,-1.821946578161227990e+02
1.800360072014402790e-01,9.667777068807220076e+02,1.000729557796308011e+00,-1.815735381360687484e+02,-1.810961229987214836e+02
1.840368073614722932e-01,9.660515268249275778e+02,1.000761658397416820e+00,-1.814438830282003039e+02,-1.812659518429228740e+02
1.880376075215043075e-01,9.653258652618740143e+02,1.000794420169163867e+00,-1.813143425005961547e+02,-1.838458007921677222e+02
1.920384076815362939e-01,9.646007217339266617e+02,1.000827841276544783e+00,-1.811849164008481807e+02,-1.782161760419190557e+02
1.960392078415683081e-01,9.638760957840255514e+02,1.000861919888386575e+00,-1.810556045768002491e+02,-1.765997698053886040e+02
2.000400080016003224e-01,9.631519869556855156e+02,1.000896654177348521e+00,-1.809264068765482705e+02,-1.793221653537154623e+02
2.040408081616323366e-01,9.624283947929961869e+02,1.000932042319920834e+00,-1.807973231484401140e+02,-1.848884742853916521e+02
2.080416083216643230e-01,9.617053188406215440e+02,1.000968082496425549e+00,-1.806683532410754651e+02,-1.770100918221482686e+02
2.120424084816963373e-01,9.609827586438005937e+02,1.001004772891016303e+00,-1.805394970033059678e+02,-1.830466970956412354e+02
2.160432086417283515e-01,9.602607137483468023e+02,1.001042111691678338e+00,-1.804107542842348266e+02,-1.760149511927949106e+02
2.200440088017603657e-01,9.595391837006487776e+02,1.001080097090228049e+00,-1.802821249332172329e+02,-1.856410620176044404e+02
2.240448089617923522e-01,9.588181680476692463e+02,1.001118727282313881e+00,-1.801536087998599385e+02,-1.755812727842160257e+02
2.280456091218243664e-01,9.580976663369459629e+02,1.001158000467415876e+00,-1.800252057340213412e+02,-1.801255230070987352e+02
2.320464092818563806e-01,9.573776781165914826e+02,1.001197914848845461e+00,-1.798969155858115414e+02,-1.861406600374836273e+02
2.360472094418883671e-01,9.566582029352928203e+02,1.001238468633745216e+00,-1.797687382055920864e+02,-1.813382355654263165e+02
2.400480096019203813e-01,9.559392403423117912e+02,1.001279660033090213e+00,-1.796406734439759418e+02,-1.793701620501182106e+02
2.440488097619523955e-01,9.552207898874848979e+02,1.001321487261686238e+00,-1.795127211518276908e+02,-1.781487644560054093e+02
2.480496099219844097e-01,9.545028511212234434e+02,1.001363948538170900e+00,-1.793848811802631644e+02,-1.842958218049680568e+02
2.520504100820163962e-01,9.537854235945133041e+02,1.001407042085013854e+00,-1.792571533806496404e+02,-1.847940186164755971e+02
2.560512102420484104e-01,9.530685068589152706e+02,1.001450766128515912e+00,-1.791295376046056731e+02,-1.781316149403702696e+02
2.600520104020804246e-01,9.523521004665644796e+02,1.001495118898809045e+00,-1.790020337040010077e+02,-1.813357817884000269e+02
2.640528105621124388e-01,9.516362039701709818e+02,1.001540098629857711e+00,-1.788746415309566373e+02,-1.776971134723055172e+02
2.680536107221444531e-01,9.509208169230197427e+02,1.001585703559457086e+00,-1.787473609378446326e+02,-1.749497633254527500e+02
2.720544108821764118e-01,9.502059388789699597e+02,1.001631931929234387e+00,-1.786201917772881984e+02,-1.868641286090429503e+02
2.760552110422084260e-01,9.494915693924558582e+02,1.001678781984648436e+00,-1.784931339021616168e+02,-1.772211933195735298e+02
2.800560112022404402e-01,9.487777080184864644e+02,1.001726251974989435e+00,-1.783661871655901336e+02,-1.722429523279114676e+02
2.840568113622724544e-01,9.480643543126451505e+02,1.001774340153379184e+00,-1.782393514209498449e+02,-1.797269856428022194e+02
2.880576115223044686e-01,9.473515078310902027e+02,1.001823044776771088e+00,-1.781126265218679805e+02,-1.821666994380558435e+02
2.920584116823364829e-01,9.466391681305545944e+02,1.001872364105949931e+00,-1.779860123222223365e+02,-1.742247931863243764e+02
2.960592118423684971e-01,9.459273347683460997e+02,1.001922296405532542e+00,-1.778595086761416155e+02,-1.765922760951009138e+02
3.000600120024004558e-01,9.452160073023469522e+02,1.001972839943966687e+00,-1.777331154380052851e+02,-1.732537000841174972e+02
3.040608121624324700e-01,9.445051852910144135e+02,1.002023992993532397e+00,-1.776068324624435206e+02,-1.793329110126999240e+02
3.080616123224644842e-01,9.437948682933799773e+02,1.002075753830340421e+00,-1.774806596043370064e+02,-1.848897509729480646e+02
3.120624124824964984e-01,9.430850558690503931e+02,1.002128120734333994e+00,-1.773545967188171062e+02,-1.779046505423733606e+02
3.160632126425285127e-01,9.423757475782067559e+02,1.002181091989287509e+00,-1.772286436612657781e+02,-1.794577844263219504e+02
3.200640128025605269e-01,9.416669429816049615e+02,1.002234665882806519e+00,-1.771028002873153184e+02,-1.732261811770774500e+02
3.240648129625925411e-01,9.409586416405757063e+02,1.002288840706328843e+00,-1.769770664528485327e+02,-1.760089022109627592e+02
3.280656131226244998e-01,9.402508431170240328e+02,1.002343614755123458e+00,-1.768514420139985930e+02,-1.850056881761740897e+02
3.320664132826565140e-01,9.395435469734302387e+02,1.002398986328290942e+00,-1.767259268271490669e+02,-1.827017422276650791e+02
3.360672134426885282e-01,9.388367527728488540e+02,1.002454953728763698e+00,-1.766005207489336328e+02,-1.721815755659973490e+02
3.400680136027205425e-01,9.381304600789092092e+02,1.002511515263305286e+00,-1.764752236362363362e+02,-1.730763985491471146e+02
3.440688137627525567e-01,9.374246684558156630e+02,1.002568669242511090e+00,-1.763500353461914187e+02,-1.795512521757338504e+02
3.480696139227845709e-01,9.367193774683469201e+02,1.002626413980808318e+00,-1.762249557361830909e+02,-1.762301997190194811e+02
3.520704140828165851e-01,9.360145866818564855e+02,1.002684747796455111e+00,-1.760999846638457313e+02,-1.738721168949647904e+02
3.560712142428485438e-01,9.353102956622725515e+02,1.002743669011541661e+00,-1.759751219870638010e+02,-1.736331003078274193e+02
3.600720144028805580e-01,9.346065039760981108e+02,1.002803175951989756e+00,-1.758503675639715311e+02,-1.714691565833997799e+02
3.640728145629125723e-01,9.339032111904107296e+02,1.002863266947552345e+00,-1.757257212529532637e+02,-1.744432931168454672e+02
3.680736147229445865e-01,9.332004168728627747e+02,1.002923940331814201e+00,-1.756011829126431110e+02,-1.760753246074856122e+02
3.720744148829766007e-01,9.324981205916812996e+02,1.002985194442191919e+00,-1.754767524019249549e+02,-1.767709927258641756e+02
3.760752150430086149e-01,9.317963219156680452e+02,1.003047027619933251e+00,-1.753524295799325046e+02,-1.700737155772662561e+02
3.800760152030406291e-01,9.310950204141995528e+02,1.003109438210117554e+00,-1.752282143060491251e+02,-1.864824856814418013e+02
3.840768153630725879e-01,9.303942156572267095e+02,1.003172424561656007e+00,-1.751041064399078664e+02,-1.757973830653645564e+02
3.880776155231046021e-01,9.296939072152756580e+02,1.003235985027290944e+00,-1.749801058413913495e+02,-1.748151053214710373e+02
3.920784156831366163e-01,9.289940946594467732e+02,1.003300117963596971e+00,-1.748562123706317095e+02,-1.819829571749826584e+02
3.960792158431686305e-01,9.282947775614153443e+02,1.003364821730979850e+00,-1.747324258880106811e+02,-1.730683578223204506e+02
4.000800160032006447e-01,9.275959554934313473e+02,1.003430094693676278e+00,-1.746087462541592856e+02,-1.778651513163762559e+02
4.040808161632326589e-01,9.268976280283195592e+02,1.003495935219755886e+00,-1.744851733299580303e+02,-1.701729493483792908e+02
4.080816163232646732e-01,9.261997947394792163e+02,1.003562341681118575e+00,-1.743617069765367660e+02,-1.749896673967083984e+02
4.120824164832966874e-01,9.255024552008843557e+02,1.003629312453496736e+00,-1.742383470552745166e+02,-1.708925808513272386e+02
4.160832166433286461e-01,9.248056089870838150e+02,1.003696845916453917e+00,-1.741150934277997067e+02,-1.680208754019435844e+02
4.200840168033606603e-01,9.241092556730775414e+02,1.003764940452389842e+00,-1.739919459559346819e+02,-1.720772980423673175e+02
4.240848169633926745e-01,9.234133948320813943e+02,1.003833594428721110e+00,-1.738689045007078846e+02,-1.782475102178221107e+02
4.280856171234246887e-01,9.227180260397140046e+02,1.003902806231799394e+00,-1.737459689242226659e+02,-1.813175620827458658e+02
4.320864172834567030e-01,9.220231488731953959e+02,1.003972574260116657e+00,-1.736231390892894524e+02,-1.648562185017075876e+02
4.360872174434887172e-01,9.213287629102597975e+02,1.004042896915503746e+00,-1.735004148589406157e+02,-1.740568758248782046e+02
4.400880176035207314e-01,9.206348677291562126e+02,1.004113772603129062e+00,-1.733777960964301315e+02,-1.768206208346017263e+02
4.440888177635526901e-01,9.199414629086478499e+02,1.004185199731498779e+00,-1.732552826652339206e+02,-1.725339972249298057e+02
4.480896179235847043e-01,9.192485480280125785e+02,1.004257176712457067e+00,-1.731328744290493660e+02,-1.740899310814626233e+02
4.520904180836167185e-01,9.185561226670423594e+02,1.004329701961185650e+00,-1.730105712517955681e+02,-1.687498599307321285e+02
4.560912182436487328e-01,9.178641864060441549e+02,1.004402773896204470e+00,-1.728883729976134305e+02,-1.727187320854279164e+02
4.600920184036807470e-01,9.171727388258389055e+02,1.004476390939371244e+00,-1.727662795308651198e+02,-1.726975316127730196e+02
4.640928185637127612e-01,9.164817795077620985e+02,1.004550551515881240e+00,-1.726442907161344920e+02,-1.762171893212993155e+02
4.680936187237447754e-01,9.157913080336639950e+02,1.004625254054268391e+00,-1.725224064182267512e+02,-1.701745659244892863e+02
4.720944188837767341e-01,9.151013239859090618e+02,1.004700496986403513e+00,-1.724006265021687341e+02,-1.775699601139436368e+02
4.760952190438087483e-01,9.144118269473760847e+02,1.004776278747495866e+00,-1.722789508332083699e+02,-1.689495036343885204e+02
4.800960192038407626e-01,9.137228165014585102e+02,1.004852597776092260e+00,-1.721573792768151918e+02,-1.645376917118645395e+02
4.840968193638727768e-01,9.130342922320641037e+02,1.004929452514077948e+00,-1.720359116986798824e+02,-1.796593418891756357e+02
4.880976195239047910e-01,9.123462537236154049e+02,1.005006841406675289e+00,-1.719145479647144441e+02,-1.842456941214710469e+02
4.920984196839368052e-01,9.116587005610490451e+02,1.005084762902445084e+00,-1.717932879410520286e+02,-1.687088941652804408e+02
4.960992198439688194e-01,9.109716323298162024e+02,1.005163215453285686e+00,-1.716721314940469654e+02,-1.589326424166313245e+02
5.001000200040007782e-01,9.102850486158826016e+02,1.005242197514433444e+00,-1.715510784902746479e+02,-1.765557027346341101e+02
5.041008201640327924e-01,9.095989490057284002e+02,1.005321707544462484e+00,-1.714301287965317329e+02,-1.776836075905416692e+02
5.081016203240648066e-01,9.089133330863480751e+02,1.005401744005284925e+00,-1.713092822798356565e+02,-1.683644376109332939e+02
5.121024204840968208e-01,9.082282004452506499e+02,1.005482305362150441e+00,-1.711885388074249477e+02,-1.753921467577164890e+02
5.161032206441288350e-01,9.075435506704598083e+02,1.005563390083646924e+00,-1.710678982467591140e+02,-1.735980256664427941e+02
5.201040208041608492e-01,9.068593833505133261e+02,1.005644996641700040e+00,-1.709473604655185000e+02,-1.726879477989373868e+02
5.241048209641928635e-01,9.061756980744636394e+02,1.005727123511573229e+00,-1.708269253316043432e+02,-1.681669149001453434e+02
5.281056211242248777e-01,9.054924944318776170e+02,1.005809769171867707e+00,-1.707065927131385763e+02,-1.727331045201041775e+02
5.321064212842568919e-01,9.048097720128366745e+02,1.005892932104523130e+00,-1.705863624784640535e+02,-1.691969482780632461e+02
5.361072214442889061e-01,9.041275304079363195e+02,1.005976610794816040e+00,-1.704662344961441818e+02,-1.713489007906120491e+02
5.401080216043209203e-01,9.034457692082870608e+02,1.006060803731361641e+00,-1.703462086349631761e+02,-1.745695641532211937e+02
5.441088217643528235e-01,9.027644880055133854e+02,1.006145509406112692e+00,-1.702262847639257188e+02,-1.718254160526418275e+02
5.481096219243848378e-01,9.020836863917545543e+02,1.006230726314359725e+00,-1.701064627522572437e+02,-1.748584610780968376e+02
5.521104220844168520e-01,9.014033639596639205e+02,1.006316452954731488e+00,-1.699867424694034810e+02,-1.699541675400547263e+02
5.561112222444488662e-01,9.007235203024098382e+02,1.006402687829194287e+00,-1.698671237850309410e+02,-1.754864549228591386e+02
5.601120224044808804e-01,9.000441550136746400e+02,1.006489429443052197e+00,-1.697476065690263169e+02,-1.752120784155025319e+02
5.641128225645128946e-01,8.993652676876553187e+02,1.006576676304947737e+00,-1.696281906914968829e+02,-1.623433816149706104e+02
5.681136227245449088e-01,8.986868579190631863e+02,1.006664426926860534e+00,-1.695088760227701243e+02,-1.697747971242968390e+02
5.721144228845769231e-01,8.980089253031242151e+02,1.006752679824108432e+00,-1.693896624333938519e+02,-1.696591725607540582e+02
5.761152230446089373e-01,8.973314694355786969e+02,1.006841433515347273e+00,-1.692705497941362296e+02,-1.667128676945481232e+02
5.801160232046409515e-01,8.966544899126814698e+02,1.006930686522570673e+00,-1.691515379759855193e+02,-1.712558229887298751e+02
5.841168233646729657e-01,8.959779863312015777e+02,1.007020437371110022e+00,-1.690326268501502227e+02,-1.701753036875410032e+02
5.881176235247049799e-01,8.953019582884229521e+02,1.007110684589634486e+00,-1.689138162880588538e+02,-1.667880726113993148e+02
5.921184236847369942e-01,8.946264053821435027e+02,1.007201426710151226e+00,-1.687951061613601382e+02,-1.673830269501381167e+02
5.961192238447690084e-01,8.939513272106759132e+02,1.007292662268005401e+00,-1.686764963419227001e+02,-1.744729799765848384e+02
6.001200240048009116e-01,8.932767233728473002e+02,1.007384389801879720e+00,-1.685579867018353184e+02,-1.643912737184870139e+02
6.041208241648329258e-01,8.926025934679989859e+02,1.007476607853795114e+00,-1.684395771134064432e+02,-1.713917518298516711e+02
6.081216243248649400e-01,8.919289370959871803e+02,1.007569314969110064e+00,-1.683212674491646510e+02,-1.736016622007355750e+02
6.121224244848969542e-01,8.912557538571820714e+02,1.007662509696521269e+00,-1.682030575818582179e+02,-1.727054329318534656e+02
