L,E,T,T_noisy
1.779554061750641791e+00,3.249779727777080129e-01,4.017538413732851810e-02,4.086655252145809242e-02
2.876159240814838203e+00,7.400127210744327222e-01,5.052297511311123340e-02,5.216621140011355046e-02
8.603990317990843906e-01,3.539209870775767430e-01,3.558953840318762052e-01,3.565562581842429690e-01
2.871623617843109599e+00,3.653170990443958543e-01,4.073773036458258438e-03,1.467458573249536425e-03
1.279578630026213748e+00,6.823016757037452251e-01,3.687687628749092839e-01,3.705794746082555213e-01
1.558316122431439243e+00,8.075894707376687354e-01,2.949521675236591589e-01,2.958449166683871923e-01
2.569256484551104336e+00,4.547209004166127277e-01,1.424219452299155600e-02,1.316828805227098637e-02
1.522997840922903245e+00,6.037146618459450220e-01,2.393579327388188627e-01,2.405201689472115656e-01
1.873984219182648792e+00,7.600038308981598156e-01,1.793432441870936311e-01,1.800723889794657862e-01
5.688977831076709180e-01,4.110185311555386578e-01,6.655632700732878604e-01,6.661515350665989654e-01
2.383782771687016577e+00,5.473767034335618176e-01,3.955508963374133879e-02,3.961193411637293355e-02
1.845358283048195602e+00,6.557452373374528243e-01,1.550517041112098870e-01,1.561451300844347856e-01
1.324329291247730467e+00,7.724369381250938416e-01,3.614746614641811684e-01,3.600017532901778616e-01
2.471071758571010690e+00,6.440585542573835642e-01,5.767209297134941182e-02,5.734627307536330904e-02
1.257987073229112518e+00,3.876686793985525958e-01,1.700396260795890568e-01,1.690753874542290924e-01
1.633744723701628709e+00,7.982808896213006156e-01,2.646268239007059653e-01,2.658245163259752020e-01
8.351042431179118708e-01,7.866609274409011032e-01,6.394560705929115407e-01,6.395355148078748497e-01
1.507782466117823184e+00,7.337550808856874163e-01,2.737837815422312082e-01,2.731988680403010239e-01
1.008638101690374045e+00,7.397984389301172081e-01,5.250095531352662048e-01,5.234457362105525702e-01
1.155783351104623824e+00,5.734539017014819162e-01,4.049301904795949980e-01,4.044158059983572473e-01
2.375911681575131329e+00,6.901419569039503044e-01,7.564172326717480410e-02,7.565800762821149605e-02
1.201021894965099701e+00,8.992401419509989946e-01,5.832081826933933622e-01,5.826569768827946083e-01
1.712977436079087701e+00,8.849208698812853768e-01,4.046742280300970052e-01,4.072623556588934046e-01
2.951842999503096365e+00,4.118690421505183386e-01,4.762999854189262257e-03,6.776448484800851393e-03
2.904142984159467034e+00,6.824463517731607087e-01,3.574187152372211573e-02,3.031954656579017790e-02
2.311974851933833897e+00,8.205222714057385236e-01,1.542851834380544740e-01,1.505071569461191305e-01
1.853067138868585539e+00,3.360788175631920782e-01,3.561533565790225841e-02,3.526579147379193396e-02
1.192228010113427050e+00,6.449641436787761917e-01,4.242375383945889977e-01,4.233931575714363071e-01
9.016300219378171610e-01,3.692952414191066901e-01,3.397444512683867601e-01,3.401717372633839553e-01
2.924813533040331315e+00,4.101392734517392280e-01,4.980001203065911701e-03,5.414645065111039005e-03
1.790171463869696833e+00,5.155177503494577929e-01,9.781134676526087590e-02,1.020470242753629686e-01
7.896640311769258513e-01,6.340015313951539166e-01,7.678670497746271639e-01,7.656430082492425848e-01
2.058724388843750752e+00,6.248769774981569602e-01,1.043513576421700312e-01,1.035961476279160381e-01
2.441707785855744994e+00,6.023913508610670986e-01,5.123833388989165738e-02,5.532387710487631644e-02
2.032508252632601042e+00,8.743561878112331431e-01,3.146998130579800601e-01,3.159932190503837446e-01
2.793244261977256837e+00,6.056046557662926322e-01,2.959746872049394406e-02,3.092359546524646799e-02
5.989821916605071461e-01,7.398576825082190389e-01,8.368337928290787708e-01,8.358057800857038311e-01
1.821473158150054061e+00,5.005798623534288838e-01,8.481700971860657579e-02,8.152085937689526607e-02
1.648339707213509309e+00,7.466002031248210047e-01,2.315804604270901845e-01,2.319153899155356746e-01
6.558739478746890006e-01,7.487343740364007516e-01,7.829559797544901611e-01,7.831740079301332536e-01
2.103320422848437232e+00,7.017392243108503402e-01,1.142288015673653956e-01,1.117740974588762454e-01
2.631582096201642074e+00,7.525774493992618552e-01,7.147213063346678774e-02,7.010567730990566182e-02
1.982352545260710031e+00,6.434140175302911491e-01,1.228519246320969316e-01,1.227078372726424782e-01
1.150243619343058077e+00,8.133837451536303220e-01,4.635506242033322621e-01,4.616611209572106800e-01
2.599703802578521739e+00,7.995203608479439783e-01,1.027046953468192941e-01,1.025081554111148541e-01
1.773739703803773438e+00,3.578338643394735619e-01,4.750075081837785290e-02,4.769171687331676124e-02
1.777222211166332499e+00,5.690134724136857169e-01,1.347005833678558140e-01,1.347717558419667949e-01
2.382575519255444974e+00,3.724032386393099081e-01,1.274762691445429502e-02,1.173504359782566453e-02
8.698050894623914342e-01,8.703234235750243464e-01,6.552841426399681479e-01,6.564716387835397571e-01
2.549066797798192674e+00,5.609347177674233187e-01,3.263234204481890027e-02,3.441467595338355834e-02
2.208217265008142860e+00,4.320469908604700482e-01,2.631978224174116865e-02,2.696147885087429516e-02
2.467742353887002693e+00,8.025771250335409501e-01,1.177059417726214752e-01,1.160694813178408669e-01
9.790406475503381500e-01,3.523296957577373711e-01,2.777031471312627064e-01,2.791664516988335842e-01
2.505910402836325268e+00,3.924521691875331175e-01,1.093034072667145064e-02,9.927460689737346161e-03
9.783098151430007494e-01,7.072979620497221731e-01,5.524270953535884709e-01,5.541854165901644036e-01
7.038815434087817291e-01,6.044539937332946700e-01,8.688071177775633647e-01,8.666635429438084293e-01
2.638067435717675657e+00,4.603767997629485409e-01,1.287211592181874108e-02,1.470105032807630246e-02
2.653208740444171099e+00,6.457678615573073655e-01,4.410210222717965423e-02,4.406197531794869143e-02
2.691342741041451436e+00,4.244302042869190217e-01,9.009989524491189561e-03,6.512491743822358334e-03
1.679774298396975674e+00,4.855413665384086253e-01,1.039592442870941880e-01,1.033314453431604940e-01
1.185120971534295631e+00,6.666363684845368898e-01,4.253702872279880309e-01,4.254784917855310988e-01
5.177295715079156535e-01,8.297592928741071017e-01,8.554772355883374368e-01,8.560228182666663743e-01
2.114302238937369793e+00,7.219069636643464793e-01,1.184281971005483880e-01,1.164638208506664357e-01
2.299773458771732670e+00,6.859366704853380181e-01,8.324225229054785236e-02,8.102750619621747197e-02
2.588923041250685397e+00,7.479882822430116152e-01,7.302895165343462058e-02,7.342812071912878380e-02
1.204694568411355249e+00,5.270254683791304462e-01,3.096763884631395514e-01,3.087428892293799243e-01
1.038045417907433876e+00,8.885868361223239198e-01,6.065335279664508805e-01,6.070045391899113740e-01
2.098328450166469850e+00,6.667561080047603728e-01,1.071477703686084665e-01,1.086668094135652268e-01
2.512637082862524185e+00,4.545367653069635194e-01,1.597420069756331357e-02,1.267662596486141685e-02
2.909177182112427040e+00,3.215791487099126655e-01,2.753162735527663052e-03,3.261938968562897671e-03
8.763120760529437003e-01,3.670533511775352919e-01,3.554312099312824103e-01,3.578805038663538940e-01
1.705530970498341237e+00,4.191054909688743946e-01,7.274126426951395274e-02,7.214621058077300142e-02
2.736789655490433848e+00,7.406235834061046797e-01,5.923602064549930019e-02,5.761439147902416152e-02
1.556792267363593218e+00,7.887126986835687470e-01,2.817951608439048794e-01,2.832996484982640562e-01
1.973755155210120238e+00,8.552717070292652490e-01,2.631576499346678366e-01,2.636645429670841367e-01
5.612266937334080552e-01,6.857461411065415291e-01,9.431756665409452012e-01,9.449674326825002746e-01
2.183649717882347296e+00,4.783661939853064426e-01,3.628354977047214269e-02,3.559311835036958055e-02
2.797721549084556170e+00,8.033214536060933053e-01,9.118710203740677811e-02,8.822346548996234938e-02
2.567063323891802806e+00,8.720821019302806842e-01,2.683185316095023643e-01,2.680985100800798437e-01
2.713800666774866865e+00,7.181423040225499710e-01,5.394253418717839810e-02,5.305087788115593617e-02
2.150888451301308457e+00,3.434148239824840743e-01,1.839944134105152979e-02,1.995008898514667728e-02
1.113880668107944061e+00,5.465891860691816095e-01,3.932387519535137654e-01,3.936260176502680563e-01
2.421292497240635999e+00,4.493661778849789012e-01,1.865190128380841625e-02,1.539020281893821451e-02
1.029186856518776283e+00,8.635563071315826011e-01,5.667419677748285478e-01,5.643516416146221459e-01
2.578187086661152705e+00,7.866740346756428970e-01,9.451796207357551771e-02,9.628554014675003159e-02
6.567948064269206743e-01,3.419562672781276680e-01,5.132678483266054359e-01,5.146273783614411235e-01
2.563719533483889368e+00,6.656591581931167179e-01,5.375901792104757076e-02,5.247853118923059140e-02
9.112681661852533033e-01,8.910885498703067231e-01,6.665997303241637528e-01,6.665976327310292326e-01
1.437867491241604512e+00,6.142836762118801808e-01,2.818950274945131729e-01,2.827861746020655653e-01
1.291845416392410684e+00,8.336648065600091861e-01,4.154827290105962412e-01,4.164195376822907857e-01
2.228342588194353269e+00,7.873984063275714096e-01,1.337060636686803750e-01,1.354585480609090675e-01
9.464296954359298075e-01,5.829224393195999721e-01,5.850116110915193346e-01,5.855245823459624965e-01
1.490640405542466240e+00,5.652050378353288274e-01,2.199585080282646932e-01,2.197688513503276986e-01
5.145614877699523637e-01,3.969907126511262874e-01,7.063909846222184985e-01,7.058732884926428586e-01
1.156236781875253694e+00,5.126817420680062076e-01,3.189988270073678689e-01,3.211103126084343673e-01
1.552972035572388165e+00,4.148200053947897481e-01,9.932403846477635967e-02,9.482232991461927996e-02
7.648030917683110719e-01,8.074245503110666355e-01,6.879602628004746201e-01,6.876829521502919595e-01
2.082899865091394354e+00,6.620419627159328524e-01,1.087229776145603455e-01,1.087889778225284709e-01
1.451060674716330823e+00,8.617453628090809836e-01,3.976681794145534021e-01,3.948174814928130383e-01
2.313234845190597078e+00,5.462125305150749011e-01,4.457110537412102558e-02,4.523673260039711569e-02
2.134665027670985982e+00,7.210255925271198407e-01,1.149707787087952404e-01,1.136682166839084462e-01
1.578066871943515359e+00,7.998901116175731740e-01,2.827076977570653904e-01,2.844325873496968970e-01
2.668301264105497950e+00,3.077263682136151535e-01,4.392392069905902419e-03,4.141207901837248156e-03
2.080337793750417497e+00,4.937123661240552797e-01,4.893146234645430470e-02,5.026976882803321084e-02
2.525685880265747585e+00,5.617378750519737007e-01,3.420017088806258376e-02,3.663785809840502949e-02
1.354486809850282469e+00,8.571620664147490132e-01,4.215174499859999924e-01,4.222833091514269221e-01
1.859173224171139172e+00,8.222933140760844140e-01,2.302704834597645855e-01,2.285190411729189075e-01
9.907422127868834583e-01,3.507049456492692396e-01,2.697528668779465844e-01,2.667242296145372893e-01
2.990352975296569848e+00,8.732754702096103827e-01,2.794340241596676711e-01,2.829407923947004355e-01
1.108038660765817696e+00,6.761422853508955999e-01,4.728205367761971201e-01,4.725979523898221069e-01
1.142168668067756965e+00,3.431601444452504479e-01,1.899186840111658781e-01,1.885415541158972363e-01
6.829751809774149418e-01,7.140733492965862794e-01,7.870736744135637952e-01,7.873621885896854300e-01
1.144507797491841394e+00,8.132175780194139669e-01,4.662967709792680271e-01,4.659139483183027397e-01
2.407821331360133321e+00,4.553131699238311958e-01,1.991452476015696110e-02,2.161880928858233783e-02
2.244733926707703553e+00,4.935969343414927657e-01,3.533337512074062603e-02,3.540123148561482441e-02
8.216830307929235966e-01,4.666156139816420856e-01,4.963243070280304314e-01,4.963518061952672533e-01
1.440596253570235685e+00,7.215044385320656950e-01,2.965748858657769049e-01,2.951457264237109523e-01
1.552303486543657352e+00,7.309675025856113839e-01,2.570850595880024292e-01,2.580241957854974011e-01
2.162460615904901573e+00,7.646095383848796612e-01,1.290356982143357756e-01,1.269679647696258240e-01
1.639822407609372146e+00,8.526246788465055015e-01,3.267641168558276243e-01,3.280958957353555805e-01
1.966295817063828499e+00,4.090969491533776314e-01,3.931543401361784623e-02,4.236330903959811128e-02
2.599211509022355759e+00,7.249487590532753822e-01,6.419056410908727250e-02,6.114119203288896631e-02
2.316184025780926081e+00,6.874217935879765040e-01,8.164759372651853031e-02,7.671513526381588954e-02
1.412518158771397303e+00,4.575726493902191883e-01,1.576399755898248711e-01,1.588737331001335018e-01
1.620990773361210557e+00,8.851850889155579161e-01,4.222963614497564633e-01,4.273921570807227011e-01
1.419248924225016584e+00,5.861761351011589571e-01,2.706426320498276361e-01,2.686407823520838289e-01
7.743366600167418401e-01,8.692964854153308885e-01,7.062612329943291911e-01,7.037598414767252120e-01
1.008103860218491521e+00,8.830642758621973787e-01,6.072493510809298112e-01,6.084272889484907409e-01
1.209516222360327742e+00,8.400288575031784610e-01,4.568249279764898807e-01,4.551434847963732877e-01
1.285334739005755456e+00,5.756912159880559487e-01,3.278557452671101435e-01,3.268436942992366534e-01
1.282619647049844325e+00,4.678660740885132174e-01,2.123389158388531706e-01,2.116426809054856029e-01
1.941749290632380109e+00,6.514571636132160393e-01,1.326940426891821123e-01,1.337580468617657059e-01
2.929224939049386744e+00,5.697214997715833729e-01,1.828397079275727310e-02,1.747336606997103650e-02
2.436660337309330071e+00,5.809209491067433007e-01,4.561934582019626372e-02,4.617511150035658735e-02
2.477834870432013226e+00,4.464488062211574571e-01,1.628231829021887719e-02,1.592925177243172813e-02
2.398171251348950150e+00,8.053518452413701567e-01,1.276465904646684468e-01,1.259572482573652341e-01
1.992469326309391109e+00,7.384344559423687837e-01,1.454655213986784656e-01,1.448258688831920160e-01
