n,L,E,E_noisy
4.582751372901796572e+00,2.541189410183673850e-09,1.800002270157241856e-19,1.800036828576448242e-19
7.653245874281546790e+00,1.153360895661270797e-08,-3.065508118087129830e-20,-3.064686499943628798e-20
2.009117289037436027e+00,3.168288053347495946e-09,1.040131551406591189e-20,1.040461988482774522e-20
7.640546129960706701e+00,3.415203812628577088e-09,2.806070544816040629e-19,2.805940229092880410e-19
3.182820164073397962e+00,1.028320297358114530e-08,-4.259497111134202607e-20,-4.258591755267529206e-20
3.963285142808029349e+00,1.299777186598282107e-08,-5.690814492252860936e-20,-5.690368117680497499e-20
6.793918156743091963e+00,5.352286175693276152e-09,6.980223248442380854e-20,6.979686295207020101e-20
3.864393954584128821e+00,8.580484339995474935e-09,-2.900763389773670823e-20,-2.900182271669474506e-20
4.847155813711416350e+00,1.196674966946012800e-08,-4.844828760308736805e-20,-4.844464187912550821e-20
1.192913792701478570e+00,4.405401508370003393e-09,-8.249214766775967873e-21,-8.246273441809412902e-21
6.274591760723645884e+00,7.359828574393837673e-09,7.272556800469312062e-21,7.272841022882470693e-21
4.767003192534946976e+00,9.707813475644810110e-09,-3.278878455653765143e-20,-3.278331742667152431e-20
3.308122015493645041e+00,1.223613365937703020e-08,-5.341265990334163209e-20,-5.342002444421164849e-20
6.519000923998830466e+00,9.454602008909977437e-09,-1.810152178077203695e-20,-1.810315088025196876e-20
3.122363805041514784e+00,3.899488053635306531e-09,1.986774502901634988e-20,1.986292383588955016e-20
4.174485226364560653e+00,1.279608594179484412e-08,-5.537370869328202579e-20,-5.536772023115568337e-20
1.938291880730153238e+00,1.254432009455285270e-08,-5.118611375742073416e-20,-5.118571653634591906e-20
3.821790905129904381e+00,1.139802675252322345e-08,-4.788303534958966728e-20,-4.788595991709931897e-20
2.424186684733047326e+00,1.152896617681920402e-08,-4.905224329310112344e-20,-4.906006237772468997e-20
2.836193383092946441e+00,7.924834536865441443e-09,-2.896397136995100312e-20,-2.896654329235719444e-20
6.252552708410368254e+00,1.045307573291892171e-08,-2.999881230499892387e-20,-2.999873088319373830e-20
2.962861305902279696e+00,1.498353640893831004e-08,-6.742777090710819730e-20,-6.743052693616118813e-20
