k,m,level_index,dE,dE_noisy
2.535464874100770150e+00,1.124889863888540065e+00,4.577007139505154143e+00,1.067141637383007824e+00,1.070597479303655675e+00
3.851391088977806021e+00,3.200063605372163611e+00,2.504123177670063427e-01,1.095275388604622258e+00,1.103491570039633940e+00
1.432478838158901091e+00,1.269604935387883771e+00,1.162364489189263494e+00,1.026917771255699607e+00,1.030222142017533482e+00
3.845948341411731697e+00,1.326585495221979327e+00,6.594963626750481644e+00,6.946360367006239045e-01,6.816044643845803330e-01
1.935494356031456364e+00,2.911508378518726126e+00,2.704613007814241854e+00,7.613342002363118199e-01,7.703877589030430073e-01
2.269979346917726737e+00,3.537947353688343455e+00,5.478981540252878979e+00,6.823593918141713788e-01,6.868231375378115455e-01
3.483107781461325381e+00,1.773604502083063750e+00,2.698854024748357894e+00,1.209499003193189370e+00,1.204129470839586435e+00
2.227597409107483717e+00,2.518573309229724888e+00,6.041958484982856703e-01,9.302572913417433975e-01,9.360684723837069399e-01
2.648781063019178372e+00,3.300019154490799078e+00,1.328765024374900960e+00,8.678483933305669584e-01,8.714941172924277613e-01
1.082677339729205102e+00,1.555092655777693178e+00,2.158465738173198645e-01,8.353926288620862062e-01,8.383339538286415094e-01
3.260539326024419537e+00,2.236883517167808755e+00,3.078057434823870508e+00,1.053093541902991648e+00,1.053377764316149712e+00
2.614429939657834545e+00,2.778726186687263677e+00,1.569144988435656529e+00,9.286234417403899100e-01,9.340905716065144304e-01
1.989195149497276383e+00,3.362184690625468875e+00,6.294896514458193870e+00,6.413791781423540117e-01,6.340146372723373114e-01
3.365286110285213184e+00,2.720292771286918043e+00,4.275330459873449840e-01,1.103139549274965159e+00,1.101510449795034541e+00
1.909584487874934844e+00,1.438343396992763035e+00,5.720680279912383703e+00,8.608445480052643317e-01,8.560233548784645929e-01
2.360493668441954629e+00,3.491404448106502745e+00,5.371423758503711454e+00,6.994261590959472974e-01,7.054146212222935919e-01
