t,P,C,W,N,dP_dt,dP_dt_noisy
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.727920960323930163e-03
4.000800160032006413e-03,-1.277952153799154046e-06,-1.596799935836428408e-03,-7.984857828187038747e-07,9.967996192428465463e-01,-6.382087939630001891e-04,3.469881923542791468e-03
8.001600320064012825e-03,-5.101581052252530039e-06,-3.186564747801605164e-03,-3.186617546334574654e-06,9.935997702863111902e-01,-1.272585274507579984e-03,3.796001064093556220e-04
1.200240048009601837e-02,-1.145557301245360054e-05,-4.769302163180651720e-03,-7.153433135894515506e-06,9.904004726863627761e-01,-1.903138675436325325e-03,-8.418924833458130141e-03
1.600320064012802565e-02,-2.032465078126562493e-05,-6.345019952895230089e-03,-1.268800519468825440e-05,9.872017459581595711e-01,-2.529878244773014952e-03,1.996901088592573526e-03
2.000400080016003293e-02,-3.169357428556656667e-05,-7.913725925079582307e-03,-1.977944125117907009e-05,9.840036095732787036e-01,-3.152813241662402299e-03,-9.209403798423458111e-04
2.400480096019203674e-02,-4.554714067560058612e-05,-9.475427924676088978e-03,-2.841688372644137725e-05,9.808060829595435237e-01,-3.771952935962802345e-03,-6.456719112764228163e-03
2.800560112022404402e-02,-6.187018432497816173e-05,-1.103013383343526450e-02,-3.858950993416079421e-05,9.776091855010237142e-01,-4.387306608020027227e-03,-1.481716087038261690e-03
3.200640128025605130e-02,-8.064757683067595956e-05,-1.257785156991576142e-02,-5.028653208063405488e-05,9.744129365380350682e-01,-4.998883548443528411e-03,-3.176021567513149547e-03
3.600720144028805858e-02,-1.018642270130369214e-04,-1.411858908948436346e-02,-6.349719726476907311e-05,9.712173553671397119e-01,-5.606693057884754548e-03,-4.136030574607124644e-03
4.000800160032006586e-02,-1.255050809157702172e-04,-1.565235438431599249e-02,-7.821078747808490883e-05,9.680224612411459928e-01,-6.210744446817689432e-03,-6.068633240238705158e-03
4.400880176035207314e-02,-1.515551218059511438e-04,-1.717915548339370851e-02,-9.441661960471172061e-05,9.648282733691085911e-01,-6.811047035321587430e-03,-4.077482102259352356e-03
4.800960192038407348e-02,-1.799993701740213955e-04,-1.869900045250870099e-02,-1.121040454213909147e-04,9.616348109163284086e-01,-7.407610152865851290e-03,-1.108988058787418671e-02
5.201040208041608076e-02,-2.108228837337889695e-04,-2.021189739426030446e-02,-1.312624515974750909e-04,9.584420930043524578e-01,-8.000443138097097437e-03,-8.814992878062361328e-03
5.601120224044808804e-02,-2.440107574224278540e-04,-2.171785444805597945e-02,-1.518812596949278392e-04,9.552501387109741948e-01,-8.589555338628342834e-03,-1.100015190202823477e-02
6.001200240048009532e-02,-2.795481235932385225e-04,-2.321687978765363952e-02,-1.739499260933029940e-04,9.520589670692504169e-01,-9.174956109770183998e-03,-6.180725046597046295e-03
6.401280256051210260e-02,-3.174201531739119292e-04,-2.470898160908335112e-02,-1.974579415641142233e-04,9.488685970625929667e-01,-9.756654809029869160e-03,-9.558044271621574106e-03
6.801360272054410294e-02,-3.576120533416038568e-04,-2.619416816362396885e-02,-2.223948321854790275e-04,9.456790476378440502e-01,-1.033466081002715545e-02,-1.179694456485259890e-02
7.201440288057611716e-02,-4.001090686389415906e-04,-2.767244774046177802e-02,-2.487501588577552942e-04,9.424903376984249403e-01,-1.090898349490917671e-02,-1.481852580669338823e-02
