t,w,s,q,c,dw_dt,dw_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,0.000000000000000000e+00,3.750000000000000000e-01,3.768905338179353581e-01
6.001200240048009185e-03,1.002253555111561667e+00,5.000089676620879109e-01,5.029916156235968439e-01,1.497501316862860643e-03,3.760364676183226562e-01,3.708089832035151856e-01
1.200240048009601837e-02,1.004513360189579263e+00,5.000357275257647505e-01,5.059653384267009946e-01,2.989464426112635898e-03,3.770828858380599335e-01,3.729522504041409836e-01
1.800360072014402929e-02,1.006779474623452852e+00,5.000800664386101380e-01,5.089212820818653782e-01,4.475977627503138767e-03,3.781391467702561737e-01,3.537244729438576152e-01
2.400480096019203674e-02,1.009051957151405832e+00,5.001417732156694385e-01,5.118595595053545555e-01,5.957128423004430864e-03,3.792051427472291625e-01,3.972022165744381605e-01
3.000600120024004419e-02,1.011330865871008955e+00,5.002206385760111784e-01,5.147802828771030903e-01,7.433003545767009369e-03,3.802807663019863726e-01,3.917224250223586557e-01
3.600720144028805858e-02,1.013616258239182777e+00,5.003164551427261575e-01,5.176835636407152164e-01,8.903688960122379051e-03,3.813659101793115958e-01,3.781116818106333710e-01
4.200840168033606603e-02,1.015908191072196542e+00,5.004290174429270044e-01,5.205695125034650594e-01,1.036926986158304836e-02,3.824604673467438265e-01,3.901985332140204266e-01
4.800960192038407348e-02,1.018206720546279254e+00,5.005581219013914840e-01,5.234382394385608261e-01,1.182983067847123530e-02,3.835643310015530161e-01,3.863764376995295069e-01
5.401080216043208093e-02,1.020511902196523435e+00,5.007035668013919416e-01,5.262898537020624934e-01,1.328545506824750123e-02,3.846773945499478708e-01,3.791391661857073658e-01
6.001200240048008838e-02,1.022823790904019425e+00,5.008651523639172654e-01,5.291244638078572704e-01,1.473622588246637291e-02,3.857995516582397033e-01,3.955752261695000827e-01
6.601320264052809583e-02,1.025142440915357778e+00,5.010426806303645009e-01,5.319421775643977668e-01,1.618222522012864248e-02,3.869306962040978126e-01,3.838251307375062926e-01
7.201440288057611716e-02,1.027467905846182417e+00,5.012359554361441871e-01,5.347431020834813031e-01,1.762353443731194680e-02,3.880707222722065142e-01,3.847824832316268928e-01
7.801560312062412461e-02,1.029800238681188862e+00,5.014447824106801344e-01,5.375273437802500220e-01,1.906023414717075704e-02,3.892195241644644810e-01,3.812980566108755132e-01
8.401680336067213206e-02,1.032139491774125784e+00,5.016689689774102012e-01,5.402950083731908881e-01,2.049240421993639427e-02,3.903769964101183043e-01,3.949265771225268784e-01
