E,B,sigma,sigma_noisy
1.028525033153510959e+00,-9.167400907409732902e-01,1.175318833434055854e+01,1.178774675354703660e+01
1.901422755688611188e+00,4.667090702481091480e-01,1.188909618135781265e+01,1.197125799570792815e+01
2.968776293120711229e-01,-8.202633764080775602e-01,1.063012854716179056e+01,1.066317225478012887e+01
1.897812399803115335e+00,-7.822763365186804485e-01,1.286096781051080917e+01,1.273065208735037324e+01
6.305445895008661150e-01,2.743389190124840837e-01,1.674677133528423667e+01,1.683730692195154788e+01
8.524196334554255960e-01,6.919649024588956365e-01,1.467229097611326871e+01,1.471692843334967016e+01
1.657128161702679181e+00,-4.842636652779575002e-01,1.276571318434525359e+01,1.271201786080922425e+01
8.243062813746309114e-01,1.238220615314999939e-02,1.437491086178457422e+01,1.443302267220420987e+01
1.103691438469388331e+00,5.333461029938659781e-01,1.316856735649422383e+01,1.320502459611283186e+01
6.484263535370604625e-02,-6.299382294815378813e-01,1.204360720098949500e+01,1.207302045065504714e+01
1.509491086262865212e+00,-1.754109885547940895e-01,1.274247662488878419e+01,1.274531884902036438e+01
1.080905193306363588e+00,1.858174577915092662e-01,1.347869726587738093e+01,1.353336856453862502e+01
6.661661158331934063e-01,5.747897937503125831e-01,1.704382687407417052e+01,1.697018146537400440e+01
1.578973119822524529e+00,1.468618475246119548e-01,1.245073230585033741e+01,1.243444131105103168e+01
6.133577102903735589e-01,-7.077710686714913102e-01,1.176254380933194810e+01,1.171433187806395004e+01
9.124608000664965468e-01,6.609362987376685705e-01,1.417743450516361925e+01,1.423731912642708153e+01
2.767429775218578358e-01,6.222030914696699000e-01,3.082320066213593179e+01,3.082717287288409835e+01
8.121948430297871724e-01,4.458502696189576842e-01,1.515407948314505937e+01,1.512483380804855138e+01
4.148759289455377641e-01,4.659947964337238790e-01,2.220159404856410390e+01,2.212340320232841862e+01
5.320035474792805807e-01,-8.848699432839346457e-02,1.558187153004289982e+01,1.555615230598101206e+01
1.503225698533804611e+00,3.004731896798342738e-01,1.238233749214370683e+01,1.238315171019554128e+01
5.680134283922194660e-01,9.974671398366630193e-01,1.903303013792715248e+01,1.900546984739721523e+01
9.755300391189537512e-01,9.497362329376177748e-01,1.318959693543708056e+01,1.331900331687690198e+01
1.961667027604464986e+00,-6.271031928316055382e-01,1.282872490670058596e+01,1.292939733823116555e+01
1.923697815390935650e+00,2.748211725772022884e-01,1.209243571880137580e+01,1.182131947090477908e+01
1.452331982139331901e+00,7.350742380191281899e-01,1.188563896310965262e+01,1.169673763851288584e+01
1.087041442539394165e+00,-8.797372747893597023e-01,1.194912085453952599e+01,1.193164364533400956e+01
5.610134960502879409e-01,1.498804789292538242e-01,1.692550457121984664e+01,1.688328553006221000e+01
3.296974974625024868e-01,-7.690158619363109960e-01,1.101945890742907608e+01,1.104082320717893673e+01
1.940151572300103711e+00,-6.328690884942025363e-01,1.282855674984471683e+01,1.285028894294697288e+01
1.036976485240278745e+00,-2.816074988351406905e-01,1.317028130646839834e+01,1.338206518197350370e+01
2.405725688168329490e-01,1.133384379838464628e-01,2.176849104023435899e+01,2.165728896396512937e+01
1.250744613519625847e+00,8.292325832718971945e-02,1.301097549407431764e+01,1.297321499336161743e+01
1.555599397541173046e+00,7.971169536890254648e-03,1.259562326953424538e+01,1.279990043028347912e+01
1.229876569095550431e+00,9.145206260374438845e-01,1.207837665592610499e+01,1.214304695554628921e+01
1.835422432533896364e+00,1.868218588764203325e-02,1.239140809960852252e+01,1.245771443684614788e+01
8.878982456176368054e-02,4.661922750273963523e-01,4.212661756607673169e+01,4.207521692890798448e+01
1.061892633887443038e+00,-3.314004588219037206e-01,1.305851439519444845e+01,1.289370687810888327e+01
9.240784069419534230e-01,4.886673437494031269e-01,1.423613422977317455e+01,1.425288070419544795e+01
1.340756625082524522e-01,4.957812467880022833e-01,3.884190146928077070e+01,3.885280287806292421e+01
1.286243056587356159e+00,3.391307477028342454e-01,1.275484395253080017e+01,1.263210874710634357e+01
1.706739348576506998e+00,5.085914979975392214e-01,1.192469869468079047e+01,1.185637602850273353e+01
1.189952626027525273e+00,1.447133917676370896e-01,1.314064418633784115e+01,1.313343981836511887e+01
5.275939209970741395e-01,7.112791505121007773e-01,2.022344080593946103e+01,2.012896564363338214e+01
1.681364226852503529e+00,6.650678694931462243e-01,1.174550337363160146e+01,1.173567637684637965e+01
1.023896804227803603e+00,-8.072204522017547568e-01,1.201552113083626772e+01,1.202506943358321401e+01
1.026668880088400737e+00,-1.032884252877146469e-01,1.345931296209443673e+01,1.346287158579998611e+01
1.508530113327333888e+00,-7.586558712023003803e-01,1.264498685744753281e+01,1.259435769161610175e+01
3.043648512120635252e-01,9.010780785834140438e-01,3.275474939612202974e+01,3.281412420330061508e+01
1.641057171047361152e+00,-1.302176074419225671e-01,1.262570052324443637e+01,1.271481721867266934e+01
