V,L,Eb,Eb_noisy
1.267732437050385075e+00,5.291409682406593706e-01,1.137841108767667364e-01,1.155120318370906618e-01
1.925695544488903010e+00,1.013348174586838013e+00,4.339417497328491580e-01,4.380498404503549437e-01
7.162394190794505455e-01,5.629078182571728428e-01,6.420998831387157713e-02,6.586217369478851447e-02
1.922974170705865848e+00,5.762032822184618430e-01,2.105158805570860325e-01,2.040000943990642190e-01
9.677471780157281822e-01,9.460186216543693405e-01,1.481688808005594826e-01,1.526956601339250763e-01
1.134989673458863368e+00,1.092187715860613473e+00,2.173862703385373574e-01,2.196181432003574130e-01
1.741553890730662690e+00,6.805077171527148527e-01,2.244722264486997965e-01,2.217874602718983845e-01
1.113798704553741858e+00,8.543337721536023999e-01,1.597858729058636296e-01,1.626914634268454007e-01
1.324390531509589186e+00,1.036671136047853103e+00,2.549623416395441766e-01,2.567852036204745780e-01
5.413386698646025508e-01,6.295216196814616971e-01,5.294336472318416503e-02,5.441402720646179580e-02
1.630269663012209769e+00,7.886061540058220132e-01,2.449303665299410737e-01,2.450724777365200502e-01
1.307214969828917273e+00,9.150361102270282432e-01,2.150578004155147827e-01,2.177913653485770151e-01
9.945975747486381913e-01,1.051176427812609226e+00,1.726998044703226542e-01,1.690175340353143318e-01
1.682643055142606592e+00,9.014016466336141065e-01,3.031067441147574093e-01,3.022921943747921558e-01
9.547922439374674219e-01,6.022801259649780414e-01,9.275949483194496914e-02,9.034889826854507200e-02
1.180246834220977314e+00,1.081327704558183944e+00,2.272062160786809670e-01,2.302004471418541143e-01
7.010625458707471225e-01,1.067771082014384421e+00,1.103230307110977804e-01,1.105216412485060806e-01
1.104669479670693732e+00,1.006047594366635156e+00,1.899835311665633020e-01,1.885212474117378689e-01
8.051828610142244269e-01,1.013098178751803413e+00,1.250782580431501478e-01,1.211687157313659363e-01
8.934700106627742056e-01,8.190295519850623318e-01,1.151560074590869259e-01,1.138700462559925769e-01
1.625547008945078975e+00,9.551656163879419514e-01,3.104379939245824338e-01,3.104787048271741567e-01
9.206131369790598873e-01,1.199113498942832035e+00,1.799997091871880783e-01,1.786216946606912215e-01
1.227786461647452532e+00,1.182407681528166332e+00,2.686844597278002511e-01,2.751547787997912775e-01
1.971105799701857952e+00,6.305138825089380283e-01,2.423972350732427061e-01,2.474308566497716855e-01
1.942485790495680043e+00,9.461874104020207010e-01,4.004073603608165333e-01,3.868515479659866974e-01
1.587184911160300471e+00,1.107275983306694744e+00,3.635311219975630448e-01,3.540860557677246723e-01
1.311840283321151324e+00,5.420919538237241042e-01,1.214243818713778428e-01,1.205505214111020351e-01
9.153368060680562301e-01,9.024581676252387830e-01,1.310528447975032873e-01,1.289418927396215331e-01
7.409780131626902966e-01,5.808444483222912069e-01,6.817973685545694607e-02,6.924795184295000350e-02
1.954888119824198967e+00,6.284958190270291123e-01,2.387493232427786993e-01,2.398359328978915128e-01
1.274102878321818011e+00,7.514373754077007250e-01,1.656028190786192344e-01,1.761920128538744801e-01
6.737984187061554220e-01,8.896684532943461843e-01,8.844737002624196431e-02,8.288726621278055817e-02
1.435234633306250673e+00,8.790231404145163463e-01,2.337008952114359717e-01,2.318128701758009891e-01
1.665024671513446908e+00,8.527899093379115447e-01,2.781615022969907702e-01,2.883753603344524352e-01
1.419504951579560803e+00,1.170082219113105282e+00,3.297384768627504292e-01,3.329719918437596404e-01
1.875946557186354058e+00,8.565387650606746117e-01,3.327751206057300015e-01,3.360904374676113027e-01
5.593893149963042877e-01,1.013167296259588568e+00,7.966441119058660647e-02,7.709437933214929872e-02
1.292883894890032526e+00,7.340098394123336645e-01,1.644765046893290894e-01,1.562361288350508359e-01
1.189003824328105585e+00,1.021033570312291028e+00,2.143627612786295211e-01,2.152000849997432186e-01
5.935243687248134004e-01,1.023523436375800788e+00,8.625031172501573806e-02,8.679538216412346907e-02
1.461992253709062384e+00,9.686957616959919193e-01,2.705318349326545913e-01,2.643950746614316949e-01
1.778949257720985111e+00,1.028007024299138816e+00,3.917863525131650704e-01,3.883702192042622348e-01
1.389411527156426018e+00,9.006496871186728814e-01,2.299069680561006135e-01,2.295467496574644661e-01
8.901461716058347573e-01,1.098947702679235139e+00,1.558241653177303843e-01,1.511004072024264844e-01
1.759822281547113176e+00,1.082773754322601256e+00,4.134036552904168937e-01,4.129123054511558144e-01
1.264243822282264063e+00,5.674728417293858351e-01,1.216797897244557003e-01,1.221572048618029677e-01
1.266333326699799589e+00,8.138490511492998403e-01,1.796571980373676547e-01,1.798351292226450793e-01
1.629545311553266762e+00,5.844704450791948780e-01,1.723366025341052932e-01,1.698051442425337065e-01
7.218830536774347717e-01,1.165377327504194760e+00,1.251284821482571974e-01,1.280972225071863035e-01
1.729440078678915471e+00,8.044238373953270793e-01,2.728999392854865591e-01,2.773557740568982077e-01
1.524930359004885716e+00,6.540548226705483748e-01,1.794550915304083116e-01,1.810593330532411227e-01
1.680645412332201438e+00,1.086339979205797501e+00,3.868268407500827233e-01,3.827356896131312025e-01
7.874243885302028012e-01,5.610513117173602238e-01,7.060662003521035734e-02,7.426488145413756570e-02
1.703546241701795028e+00,6.078608640521220297e-01,1.909047708957967160e-01,1.883975708034614505e-01
7.869858890858003608e-01,9.751809557246757798e-01,1.168493855755517036e-01,1.212451886669916323e-01
6.223289260452691263e-01,8.551963260221769891e-01,7.788059723072277007e-02,7.252166014633554258e-02
1.782840461430605261e+00,6.871062663901066347e-01,2.344879802982527961e-01,2.390603163138967091e-01
1.791925244266502570e+00,9.033958384835252264e-01,3.334925726284523329e-01,3.333922553553749224e-01
1.814805644624870817e+00,6.451685716680721772e-01,2.227273975960492869e-01,2.164836531443772027e-01
1.207864579038185227e+00,7.164649276281433998e-01,1.466804770421992754e-01,1.451109796823650266e-01
9.110725829205774673e-01,9.277424298986263196e-01,1.340694132713257103e-01,1.343399246651834356e-01
5.106377429047493921e-01,1.118052508353124974e+00,7.786277146553996498e-02,7.922672816136223928e-02
1.468581343362421743e+00,9.922247909417374334e-01,2.806746971442737881e-01,2.757637565195689144e-01
1.579864075263039513e+00,9.502594488995609323e-01,2.957088149848364211e-01,2.901719497490104493e-01
1.753353824750411238e+00,1.022652995950179999e+00,3.805303906334074338e-01,3.815283132976428626e-01
9.228167410468132159e-01,7.648630464423187281e-01,1.119767836190085353e-01,1.096430355346095231e-01
8.228272507444603923e-01,1.186684642142711077e+00,1.521715565085242916e-01,1.533490845671754144e-01
1.458997070099881777e+00,9.278821260055536424e-01,2.556338314559330471e-01,2.594314290683249480e-01
1.707582249717514600e+00,6.802928928581239987e-01,2.184561321213881468e-01,2.102121952896334189e-01
1.945506309267456269e+00,5.251756734948981320e-01,1.919116845557193585e-01,1.931836251383074465e-01
7.257872456317662202e-01,5.782289097071244832e-01,6.649118238260470770e-02,7.261441722028337542e-02
1.223318582299004920e+00,6.389564061303534270e-01,1.320567084488224463e-01,1.305690742269700888e-01
1.842073793294260131e+00,1.014060847307121982e+00,4.056922645443261088e-01,4.016381916281382414e-01
1.134075360418155931e+00,1.070164815130830060e+00,2.119329453808743990e-01,2.156941645167723687e-01
1.384253093126072143e+00,1.147816991534142739e+00,3.096212745067668526e-01,3.108885070878075751e-01
5.367360162400447443e-01,9.500371646242984358e-01,7.191861251054101900e-02,7.639802786442881355e-02
1.510189830729408378e+00,7.080938929828575201e-01,1.940099774646348030e-01,1.922838989143784150e-01
1.878632929450733791e+00,1.087208362540442064e+00,4.601272508705244180e-01,4.527181595019133531e-01
1.740237994335081639e+00,1.167429118918660746e+00,4.502431799894620057e-01,4.496931261659057322e-01
1.828280400064920208e+00,9.878326880263081922e-01,3.870846638994813738e-01,3.848555231344252259e-01
1.490533070780784897e+00,5.506506279795647663e-01,1.442342156804832243e-01,1.481108347907210965e-01
8.683284008647663699e-01,7.876873837473785667e-01,1.069950954982437502e-01,1.079632597401295191e-01
1.652775498344381422e+00,6.742605408658086663e-01,2.068468945484578658e-01,1.986926483862823667e-01
8.175121139112657698e-01,1.157482358320179650e+00,1.468126295572002027e-01,1.408368141566841980e-01
1.746912251996691756e+00,1.067786373788250032e+00,4.010822344859688027e-01,4.055011796689050874e-01
5.940768838561523157e-01,5.489489784911488757e-01,5.250393848310535433e-02,5.590276357019458714e-02
1.738231720090333665e+00,9.266023512253027672e-01,3.295554061757456910e-01,3.263541893462032495e-01
7.467608997111518931e-01,1.189603308182024310e+00,1.337371230274896350e-01,1.337318790446532235e-01
1.062720494744962885e+00,8.666642889138601591e-01,1.525342572782306949e-01,1.547621250471116205e-01
9.751072498354464990e-01,1.122608940986677073e+00,1.810176668241120779e-01,1.833596885033484669e-01
1.537005552916611784e+00,1.068631474048833185e+00,3.304001012919635105e-01,3.347813122725352697e-01
7.678578172615578845e-01,8.300761792061999156e-01,9.695692197196431605e-02,9.823935010807212376e-02
1.094384243325479567e+00,8.094058774745502838e-01,1.472264036976824730e-01,1.467522620028399727e-01
5.087368926619714182e-01,6.131558314263140241e-01,4.902919322182905382e-02,4.773495289788982909e-02
